Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fmb,Fumble Forced,FR,FR Yds,FR TD,unique_id
Mike Mitchell,FS,28.092,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,0,1,0,0,0,MitcMi99
Geno Atkins,DT,27.169,2015-09-13,NFL,CIN,@,OAK,W 33-13,1,1,Sun,0,1,0,0,0,AtkiGe99
Robert Ayers,RDE,30.007,2015-09-13,NFL,NYG,@,DAL,L 26-27,1,1,Sun,0,1,0,0,0,AyerRo99
Angelo Blackson,DE,22.303,2015-09-13,NFL,TEN,@,TAM,W 42-14,1,1,Sun,0,1,0,0,0,BlacAn00
Darius Butler,LCB,29.179,2015-09-13,NFL,IND,@,BUF,L 14-27,1,1,Sun,0,1,0,0,0,ButlDa99
Jadeveon Clowney,DE,22.211,2015-09-13,NFL,HOU,,KAN,L 20-27,1,1,Sun,0,1,0,0,0,ClowJa00
Lavonte David,WLB,25.233,2015-09-13,NFL,TAM,,TEN,L 14-42,1,1,Sun,0,1,0,0,0,DaviLa00
Justin Houston,LOLB,26.244,2015-09-13,NFL,KAN,@,HOU,W 27-20,1,1,Sun,0,1,0,0,0,HousJu00
Adam Jones,RCB,31.348,2015-09-13,NFL,CIN,@,OAK,W 33-13,1,1,Sun,0,1,0,0,0,JonePa20
Jason Jones,DE,29.113,2015-09-13,NFL,DET,@,SDG,L 28-33,1,1,Sun,0,1,0,0,0,JoneJa99
Hau'oli Kikaha,SAM,23.051,2015-09-13,NFL,NOR,@,ARI,L 19-31,1,1,Sun,0,1,0,0,0,KikaHa00
Lorenzo Mauldin,OLB,22.347,2015-09-13,NFL,NYJ,,CLE,W 31-10,1,1,Sun,0,1,0,0,0,MaulLo00
Trumaine McBride,CB,29.354,2015-09-13,NFL,NYG,@,DAL,L 26-27,1,1,Sun,0,1,0,0,0,McBrTr99
Henry Melton,DT,28.337,2015-09-13,NFL,TAM,,TEN,L 14-42,1,1,Sun,0,1,0,0,0,MeltHe99
Josh Norman,RCB,27.272,2015-09-13,NFL,CAR,@,JAX,W 20-9,1,1,Sun,0,1,1,0,0,NormJo01
Calvin Pryor,FS,23.073,2015-09-13,NFL,NYJ,,CLE,W 31-10,1,1,Sun,0,1,0,0,0,PryoCa00
Trevor Reilly,OLB,27.239,2015-09-13,NFL,NYJ,,CLE,W 31-10,1,1,Sun,0,1,0,0,0,ReilTr00
Patrick Robinson,CB,28.006,2015-09-13,NFL,SDG,,DET,W 33-28,1,1,Sun,0,1,0,0,0,RobiPa99
Preston Smith,LB,22.300,2015-09-13,NFL,WAS,,MIA,L 10-17,1,1,Sun,0,2,1,0,0,SmitPr00
Earl Thomas,FS,26.129,2015-09-13,NFL,SEA,@,STL,L 31-34,1,1,Sun,0,1,0,0,0,ThomEa99
Cary Williams,RCB,30.264,2015-09-13,NFL,SEA,@,STL,L 31-34,1,1,Sun,0,1,1,8,1,WillCa99
Justin Durant,LB,29.359,2015-09-14,NFL,ATL,,PHI,W 26-24,1,1,Mon,0,1,0,0,0,DuraJu99
