Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,XP Made,XP Att,XP %,FG Made,FG Att,FG %,2PM,Sfty,TD,Pts,unique_id
Olindo Mare,K,34.092,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,1,1,100.0,1,2,50.0,,,0,4,marexoli01
Adam Vinatieri,K,34.252,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,5,5,100.0,2,2,100.0,,,0,11,vinatada01
David Akers,K,32.274,2007-09-09,NFL,PHI,@,GNB,L 13-16,1,1,Sun,1,1,100.0,2,2,100.0,,,0,7,akersdav01
Rob Bironas,PK,29.223,2007-09-09,NFL,TEN,@,JAX,W 13-10,1,1,Sun,1,1,100.0,2,2,100.0,,,0,7,bironrob01
Josh Brown,K,28.133,2007-09-09,NFL,SEA,,TAM,W 20-6,1,1,Sun,2,2,100.0,2,2,100.0,,,0,8,brownjos01
Kris Brown,K,30.260,2007-09-09,NFL,HOU,,KAN,W 20-3,1,1,Sun,2,2,100.0,2,2,100.0,,,0,8,brownkri01
Matt Bryant,K,32.103,2007-09-09,NFL,TAM,@,SEA,L 6-20,1,1,Sun,,,,2,2,100.0,,,0,6,bryanmat01
Mason Crosby,K,23.006,2007-09-09,NFL,GNB,,PHI,W 16-13,1,1,Sun,1,1,100.0,3,3,100.0,,,0,10,CrosMa20
Jason Elam,K,37.185,2007-09-09,NFL,DEN,@,BUF,W 15-14,1,1,Sun,,,,3,5,60.0,,,0,9,elamxjas01
Jay Feely,K,31.109,2007-09-09,NFL,MIA,@,WAS,L 13-16,1,1,Sun,1,1,100.0,2,2,100.0,,,0,7,feelyjay01
Nick Folk,K,22.308,2007-09-09,NFL,DAL,,NYG,W 45-35,1,1,Sun,6,6,100.0,1,1,100.0,,,0,9,FolkNi20
Stephen Gostkowski,K,23.224,2007-09-09,NFL,NWE,@,NYJ,W 38-14,1,1,Sun,5,5,100.0,1,1,100.0,,,0,8,GostSt20
Robbie Gould,K,24.277,2007-09-09,NFL,CHI,@,SDG,L 3-14,1,1,Sun,,,,1,1,100.0,,,0,3,gouldrob01
Jason Hanson,K,37.084,2007-09-09,NFL,DET,@,OAK,W 36-21,1,1,Sun,3,3,100.0,3,3,100.0,,,0,12,hansojas01
Sebastian Janikowski,K,29.191,2007-09-09,NFL,OAK,,DET,L 21-36,1,1,Sun,3,3,100.0,,3,0.0,,,0,3,janikseb01
