Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fantasy Pts,PPR,DK Pts,FD Pts,Pass_cmp,Pass_att,Pass_yds,Pass_td,Pass_int,Run_att,Run_yds,Run_td,Rec,Rec_yds,Rec_td,Fmb,FGM,FGA,XPM,XPA,unique_id
Tiki Barber,RB,27.151,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,12.60,17.6,17.6,15.1,0,0,0,0,0,15,29,1,5,37,0,0,,,,,BarbTi00
Kevan Barlow,RB,23.241,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,6.70,9.7,9.7,8.2,0,0,0,0,0,8,33,0,3,34,0,0,,,,,BarlKe00
Matt Bryant,PK,27.099,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,7.00,7.0,,7.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,bryanmat01
Kerry Collins,QB,29.249,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,8.08,8.1,14.1,11.1,28,45,342,0,3,1,4,0,0,0,0,0,,,,,CollKe00
Jose Cortez,K,27.101,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,10.00,10.0,,10.0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,1,cortejos01
Ron Dayne,RB,24.175,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,1.40,2.4,2.4,1.9,0,0,0,0,0,6,10,0,1,4,0,0,,,,,DaynRo00
Ron Dixon,WR,26.100,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,4.00,7.0,7.0,5.5,0,0,0,0,0,0,0,0,3,40,0,0,,,,,DixoRo00
Jeff Garcia,QB,32.193,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,10.74,10.7,11.7,11.7,16,26,166,1,1,3,21,0,0,0,0,0,,,,,GarcJe00
Garrison Hearst,RB,31.244,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,11.00,13.0,13.0,12.0,0,0,0,0,0,12,40,0,2,10,1,0,,,,,HearGa00
Ike Hilliard,WR,26.153,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,6.50,11.5,11.5,9.0,0,0,0,0,0,0,0,0,5,65,0,0,,,,,HillIk00
Eric Johnson,TE,26.128,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,4.40,7.4,7.4,5.9,0,0,0,0,0,0,0,0,3,44,0,0,,,,,JohnEr00
Terrell Owens*,WR,28.272,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,5.10,9.1,9.1,7.1,0,0,0,0,0,1,10,0,4,41,0,0,,,,,OwenTe00
Jeremy Shockey,TE,22.018,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,4.40,7.4,7.4,5.9,0,0,0,0,0,0,0,0,3,44,0,0,,,,,ShocJe00
J.J. Stokes,WR,29.334,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,3.70,6.7,6.7,5.2,0,0,0,0,0,0,0,0,3,37,0,0,,,,,StokJ.00
Amani Toomer,WR,27.362,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,13.40,22.4,25.4,17.9,0,0,0,0,0,0,0,0,9,134,0,0,,,,,ToomAm00
David Akers,K,27.273,2002-09-08,NFL,PHI,@,TEN,L 24-27,1,1,Sun,6.00,6.0,,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,akersdav01
Derrick Alexander,WR,30.306,2002-09-08,NFL,MIN,@,CHI,L 23-27,1,1,Sun,1.10,2.1,2.1,1.6,0,0,0,0,0,0,0,0,1,11,0,0,,,,,AlexDe00
Shaun Alexander,RB,25.009,2002-09-08,NFL,SEA,@,OAK,L 17-31,1,1,Sun,13.20,19.2,19.2,16.2,0,0,0,0,0,13,36,0,6,36,1,0,,,,,AlexSh00
James Allen,RB,27.164,2002-09-08,NFL,HOU,,DAL,W 19-10,1,1,Sun,7.20,9.2,9.2,8.2,0,0,0,0,0,19,56,0,2,16,0,0,,,,,AlleJa00
Mike Alstott,FB,28.261,2002-09-08,NFL,TAM,,NOR,L 20-26,1,1,Sun,5.90,9.9,9.9,7.9,0,0,0,0,0,6,11,0,4,48,0,0,,,,,AlstMi00
Morten Andersen*,K,42.020,2002-09-08,NFL,KAN,@,CLE,W 40-39,1,1,Sun,10.00,10.0,,10.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,andermor01
Mike Anderson,FB,28.352,2002-09-08,NFL,DEN,,STL,W 23-16,1,1,Sun,3.70,5.7,5.7,4.7,0,0,0,0,0,7,17,0,2,20,0,0,,,,,AndeMi00
Richie Anderson,FB,30.360,2002-09-08,NFL,NYJ,@,BUF,W 37-31,1,1,Sun,1.90,4.9,4.9,3.4,0,0,0,0,0,0,0,0,3,19,0,0,,,,,AndeRi00
D'Wayne Bates,WR,26.278,2002-09-08,NFL,MIN,@,CHI,L 23-27,1,1,Sun,5.00,7.0,7.0,6.0,0,0,0,0,0,0,0,0,2,50,0,0,,,,,BateDW00
Anthony Becht,TE,25.031,2002-09-08,NFL,NYJ,@,BUF,W 37-31,1,1,Sun,9.60,13.6,13.6,11.6,0,0,0,0,0,0,0,0,4,36,1,0,,,,,BechAn00
Brandon Bennett,HB,29.217,2002-09-08,NFL,CIN,,SDG,L 6-34,1,1,Sun,2.10,3.1,3.1,2.6,0,0,0,0,0,2,12,0,1,9,0,0,,,,,BennBr00
Drew Bennett,WR,24.013,2002-09-08,NFL,TEN,,PHI,W 27-24,1,1,Sun,1.30,3.3,3.3,2.3,0,0,0,0,0,0,0,0,2,13,0,0,,,,,BennDr00
Michael Bennett,RB,24.026,2002-09-08,NFL,MIN,@,CHI,L 23-27,1,1,Sun,5.30,5.3,5.3,5.3,0,0,0,0,0,16,53,0,0,0,0,0,,,,,BennMi00
Drew Bledsoe,QB,30.206,2002-09-08,NFL,BUF,,NYJ,L 31-37,1,1,Sun,10.84,10.8,12.8,12.8,26,39,271,1,2,0,0,0,0,0,0,0,,,,,BledDr00
Marty Booker,WR,26.039,2002-09-08,NFL,CHI,,MIN,W 27-23,1,1,Sun,25.80,33.8,36.8,29.8,0,0,0,0,0,0,0,0,8,198,1,0,,,,,BookMa00
David Boston,WR,24.020,2002-09-08,NFL,ARI,@,WAS,L 23-31,1,1,Sun,19.80,26.8,29.8,23.3,0,0,0,0,0,0,0,0,7,138,1,0,,,,,BostDa00
Corey Bradford,WR,26.274,2002-09-08,NFL,HOU,,DAL,W 19-10,1,1,Sun,15.90,19.9,19.9,17.9,0,0,0,0,0,0,0,0,4,99,1,0,,,,,BradCo00
Drew Brees,QB,23.236,2002-09-08,NFL,SDG,@,CIN,W 34-6,1,1,Sun,15.70,15.7,15.7,15.7,15,19,160,2,0,5,13,0,0,0,0,0,,,,,BreeDr00
Doug Brien,K,31.288,2002-09-08,NFL,MIN,@,CHI,L 23-27,1,1,Sun,11.00,11.0,,12.0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,briendou01
Aaron Brooks,QB,26.168,2002-09-08,NFL,NOR,@,TAM,W 26-20,1,1,Sun,17.30,17.3,18.3,18.3,24,42,260,2,1,3,9,0,0,0,0,0,,,,,BrooAa00
Kris Brown,PK,25.259,2002-09-08,NFL,HOU,,DAL,W 19-10,1,1,Sun,5.00,5.0,,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,brownkri01
Tim Brown*,WR,36.048,2002-09-08,NFL,OAK,,SEA,W 31-17,1,1,Sun,10.60,14.6,14.6,12.6,0,0,0,0,0,0,0,0,4,46,1,0,,,,,BrowTi00
Isaac Bruce,WR,29.302,2002-09-08,NFL,STL,@,DEN,L 16-23,1,1,Sun,6.00,11.0,11.0,8.5,0,0,0,0,0,0,0,0,5,60,0,0,,,,,BrucIs00
Mark Brunell,QB,31.356,2002-09-08,NFL,JAX,,IND,L 25-28,1,1,Sun,19.02,19.0,20.0,20.0,22,36,228,2,1,4,19,0,0,0,0,0,,,,,BrunMa00
Antonio Bryant,WR,21.183,2002-09-08,NFL,DAL,@,HOU,L 10-19,1,1,Sun,4.70,8.7,8.7,6.7,0,0,0,0,0,0,0,0,4,47,0,0,,,,,BryaAn00
Mark Campbell,TE,26.276,2002-09-08,NFL,CLE,,KAN,L 39-40,1,1,Sun,2.70,4.7,4.7,3.7,0,0,0,0,0,0,0,0,2,27,0,0,,,,,CampMa00
John Carney,K,38.141,2002-09-08,NFL,NOR,@,TAM,W 26-20,1,1,Sun,8.00,8.0,,9.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,carnejoh01
David Carr,QB,23.049,2002-09-08,NFL,HOU,,DAL,W 19-10,1,1,Sun,12.50,12.5,13.5,13.5,10,22,145,2,1,4,7,0,0,0,0,0,,,,,CarrDa00
Quincy Carter,QB,24.330,2002-09-08,NFL,DAL,@,HOU,L 10-19,1,1,Sun,3.74,3.7,4.7,4.7,13,30,131,0,1,1,5,0,0,0,0,0,,,,,CartQu00
Aveion Cason,FB,23.058,2002-09-08,NFL,DET,@,MIA,L 21-49,1,1,Sun,4.10,6.1,6.1,5.1,0,0,0,0,0,4,4,0,2,37,0,0,,,,,CasoAv00
Byron Chamberlain,TE,30.326,2002-09-08,NFL,MIN,@,CHI,L 23-27,1,1,Sun,6.10,7.1,7.1,6.6,0,0,0,0,0,0,0,0,1,61,0,0,,,,,ChamBy00
Chris Chambers,WR,24.027,2002-09-08,NFL,MIA,,DET,W 49-21,1,1,Sun,9.60,12.6,12.6,11.1,0,0,0,0,0,0,0,0,3,36,1,0,,,,,ChamCh00
Doug Chapman,RB,25.017,2002-09-08,NFL,MIN,@,CHI,L 23-27,1,1,Sun,3.30,3.3,3.3,3.3,0,0,0,0,0,5,33,0,0,0,0,0,,,,,ChapDo00
Wayne Chrebet,WR,29.025,2002-09-08,NFL,NYJ,@,BUF,W 37-31,1,1,Sun,11.80,16.8,16.8,14.3,0,0,0,0,0,0,0,0,5,58,1,0,,,,,ChreWa00
Bob Christian,FB,33.298,2002-09-08,NFL,ATL,@,GNB,L 34-37,1,1,Sun,5.50,6.5,6.5,6.0,0,0,0,0,0,0,0,0,1,55,0,0,,,,,ChriBo00
Steve Christie,K,34.299,2002-09-08,NFL,SDG,@,CIN,W 34-6,1,1,Sun,10.00,10.0,,10.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,chrisste01
Laveranues Coles,WR,24.253,2002-09-08,NFL,NYJ,@,BUF,W 37-31,1,1,Sun,3.20,7.2,7.2,5.2,0,0,0,0,0,0,0,0,4,32,0,0,,,,,ColeLa00
Brett Conway,K,27.184,2002-09-08,NFL,WAS,,ARI,W 31-23,1,1,Sun,7.00,7.0,,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,conwabre01
Curtis Conway,WR,31.238,2002-09-08,NFL,SDG,@,CIN,W 34-6,1,1,Sun,12.10,17.1,17.1,14.6,0,0,0,0,0,1,22,0,5,39,1,0,,,,,ConwCu00
Ernie Conwell,TE,30.022,2002-09-08,NFL,STL,@,DEN,L 16-23,1,1,Sun,5.00,8.0,8.0,6.5,0,0,0,0,0,0,0,0,3,50,0,0,,,,,ConwEr00
Alge Crumpler,TE,24.259,2002-09-08,NFL,ATL,@,GNB,L 34-37,1,1,Sun,7.40,9.4,9.4,8.4,0,0,0,0,0,0,0,0,2,14,1,0,,,,,CrumAl00
Daunte Culpepper,QB,25.223,2002-09-08,NFL,MIN,@,CHI,L 23-27,1,1,Sun,13.96,14.0,17.0,16.0,16,28,234,1,2,5,6,1,0,0,0,0,,,,,CulpDa00
Billy Cundiff,K,22.162,2002-09-08,NFL,DAL,@,HOU,L 10-19,1,1,Sun,4.00,4.0,,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,cundibil01
Andre' Davis,,23.088,2002-09-08,NFL,CLE,,KAN,L 39-40,1,1,Sun,7.40,10.4,10.4,8.9,0,0,0,0,0,0,0,0,3,14,1,0,,,,,DaviAn01
John Davis,TE,29.117,2002-09-08,NFL,CHI,,MIN,W 27-23,1,1,Sun,1.00,2.0,2.0,1.5,0,0,0,0,0,0,0,0,1,10,0,0,,,,,DaviJo00
Stephen Davis,RB,28.191,2002-09-08,NFL,WAS,,ARI,W 31-23,1,1,Sun,21.00,28.0,31.0,24.5,0,0,0,0,0,26,104,1,7,46,0,0,,,,,DaviSt00
