Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fmb,Fumble Forced,FR,FR Yds,FR TD,unique_id
Michael Griffin,FS,24.249,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,0,1,0,0,0,GrifMi99
James Harrison,ROLB,31.129,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,0,1,0,0,0,HarrJa23
Kroy Biermann,DE,24.001,2009-09-13,NFL,ATL,,MIA,W 19-7,1,1,Sun,0,1,0,0,0,BierKr99
Andre Carter,DE,30.124,2009-09-13,NFL,WAS,@,NYG,L 17-23,1,1,Sun,0,1,0,0,0,CartAn20
Trent Cole,RDE,26.343,2009-09-13,NFL,PHI,@,CAR,W 38-10,1,1,Sun,0,1,0,0,0,ColeTr20
Cedric Griffin,RCB,26.306,2009-09-13,NFL,MIN,@,CLE,W 34-20,1,1,Sun,0,1,0,0,0,GrifCe20
Quentin Groves,DE,25.070,2009-09-13,NFL,JAX,@,IND,L 12-14,1,1,Sun,0,1,0,0,0,GrovQu99
Tamba Hali,ROLB,25.314,2009-09-13,NFL,KAN,@,BAL,L 24-38,1,1,Sun,0,1,0,0,0,HaliTa20
Darren Howard,DE,32.298,2009-09-13,NFL,PHI,@,CAR,W 38-10,1,1,Sun,0,1,0,0,0,HowaDa21
Grady Jackson,LDT,36.235,2009-09-13,NFL,DET,@,NOR,L 27-45,1,1,Sun,0,1,0,0,0,JackGr20
Bruce Johnson,CB,21.269,2009-09-13,NFL,NYG,,WAS,W 23-17,1,1,Sun,0,1,0,0,0,JohnBr97
James Laurinaitis,MLB,22.284,2009-09-13,NFL,STL,@,SEA,L 0-28,1,1,Sun,0,1,1,0,0,LaurJa99
Lance Laury,LB,27.239,2009-09-13,NFL,SEA,,STL,W 28-0,1,1,Sun,0,1,0,0,0,LaurLa20
Curtis Lofton,MLB,23.103,2009-09-13,NFL,ATL,,MIA,W 19-7,1,1,Sun,0,1,0,0,0,LoftCu99
Don Muhlbach,LS,28.027,2009-09-13,NFL,DET,@,NOR,L 27-45,1,1,Sun,0,1,0,0,0,MuhlDo20
Julius Peppers,RDE,29.238,2009-09-13,NFL,CAR,,PHI,L 10-38,1,1,Sun,0,1,0,0,0,PeppJu99
Mike Peterson,WLB,33.088,2009-09-13,NFL,ATL,,MIA,W 19-7,1,1,Sun,0,1,0,0,0,PeteMi20
Trevor Pryce,DE,34.041,2009-09-13,NFL,BAL,,KAN,W 38-24,1,1,Sun,0,1,0,0,0,PrycTr00
Antrel Rolle,FS,26.271,2009-09-13,NFL,ARI,,SFO,L 16-20,1,1,Sun,0,1,0,0,0,RollAn20
Antonio Smith,LDE,27.327,2009-09-13,NFL,HOU,,NYJ,L 7-24,1,1,Sun,0,1,0,0,0,SmitAn22
Justin Smith,RDE,29.348,2009-09-13,NFL,SFO,@,ARI,W 20-16,1,1,Sun,0,1,0,0,0,SmitJu20
Donald Strickland,CB,28.293,2009-09-13,NFL,NYJ,@,HOU,W 24-7,1,1,Sun,0,1,0,0,0,StriDo20
Osi Umenyiora,RDE,27.301,2009-09-13,NFL,NYG,,WAS,W 23-17,1,1,Sun,0,1,1,37,1,UmenOs99
Adrian Wilson,SS,29.336,2009-09-13,NFL,ARI,,SFO,L 16-20,1,1,Sun,0,1,0,0,0,WilsAd99
Sam Aiken,WR,28.274,2009-09-14,NFL,NWE,,BUF,W 25-24,1,1,Mon,0,1,0,0,0,AikeSa00
Stephen Cooper,ILB,30.087,2009-09-14,NFL,SDG,@,OAK,W 24-20,1,1,Mon,0,1,1,0,0,CoopSt20
Greg Ellis,DE,34.031,2009-09-14,NFL,OAK,,SDG,L 20-24,1,1,Mon,0,1,0,0,0,ElliGr20
Pierre Woods,LB,27.251,2009-09-14,NFL,NWE,,BUF,W 25-24,1,1,Mon,0,1,0,0,0,WoodPi20
Jared Allen,RDE,27.170,2009-09-20,NFL,MIN,@,DET,W 27-13,2,2,Sun,0,1,0,0,0,AlleJa22
Ronde Barber,RCB,34.166,2009-09-20,NFL,TAM,@,BUF,L 20-33,2,2,Sun,0,1,0,0,0,BarbRo00
Ron Bartell,LCB,27.210,2009-09-20,NFL,STL,@,WAS,L 7-9,2,2,Sun,0,1,1,0,0,BartRo20
Tony Brown,RDT,28.356,2009-09-20,NFL,TEN,,HOU,L 31-34,2,2,Sun,0,1,0,0,0,BrowTo25
Erik Coleman,SS,27.137,2009-09-20,NFL,ATL,,CAR,W 28-20,2,2,Sun,0,1,0,0,0,ColeEr21
Blake Costanzo,LB,25.159,2009-09-20,NFL,CLE,@,DEN,L 6-27,2,2,Sun,0,1,1,0,0,CostBl20
Karlos Dansby,ILB,27.321,2009-09-20,NFL,ARI,@,JAX,W 31-17,2,2,Sun,0,1,0,0,0,DansKa20
Elvis Dumervil,OLB,25.244,2009-09-20,NFL,DEN,,CLE,W 27-6,2,2,Sun,0,1,0,0,0,DumeEl20
Justin Durant,LB,24.000,2009-09-20,NFL,JAX,,ARI,L 17-31,2,2,Sun,0,1,0,0,0,DuraJu99
Charles Godfrey,FS,23.309,2009-09-20,NFL,CAR,@,ATL,L 20-28,2,2,Sun,0,1,0,0,0,GodfCh99
Clark Haggans,LOLB,32.253,2009-09-20,NFL,ARI,@,JAX,W 31-17,2,2,Sun,0,1,0,0,0,HaggCl20
James Harrison,ROLB,31.139,2009-09-20,NFL,PIT,@,CHI,L 14-17,2,2,Sun,0,1,0,0,0,HarrJa23
Gerald Hayes,ILB,28.345,2009-09-20,NFL,ARI,@,JAX,W 31-17,2,2,Sun,0,1,0,0,0,HayeGe20
Chris Horton,SS,24.265,2009-09-20,NFL,WAS,,STL,W 9-7,2,2,Sun,0,1,0,0,0,HortCh99
Lawrence Jackson,DE,24.021,2009-09-20,NFL,SEA,@,SFO,L 10-23,2,2,Sun,0,1,0,0,0,JackLa98
Cullen Jenkins,RDE,28.243,2009-09-20,NFL,GNB,,CIN,L 24-31,2,2,Sun,0,1,0,0,0,JenkCu20
Malcolm Jenkins,DB,21.274,2009-09-20,NFL,NOR,@,PHI,W 48-22,2,2,Sun,0,1,0,0,0,JenkMa99
Ben Leber,WLB,30.287,2009-09-20,NFL,MIN,@,DET,W 27-13,2,2,Sun,0,1,0,0,0,LebeBe20
Ray Lewis*,MIKE,34.128,2009-09-20,NFL,BAL,@,SDG,W 31-26,2,2,Sun,0,1,0,0,0,LewiRa00
Marquand Manuel,SS,30.071,2009-09-20,NFL,DET,,MIN,L 13-27,2,2,Sun,0,1,0,0,0,ManuMa20
Rashean Mathis,CB,29.024,2009-09-20,NFL,JAX,,ARI,L 17-31,2,2,Sun,0,1,1,0,0,MathRa99
Rey Maualuga,SLB,22.243,2009-09-20,NFL,CIN,@,GNB,W 31-24,2,2,Sun,0,2,0,0,0,MauaRe99
Rocky McIntosh,WLB,26.309,2009-09-20,NFL,WAS,,STL,W 9-7,2,2,Sun,0,1,0,0,0,McInRo20
Juqua Parker,DE,31.128,2009-09-20,NFL,PHI,,NOR,L 22-48,2,2,Sun,0,1,0,0,0,ThomJu20
Mike Peterson,WLB,33.095,2009-09-20,NFL,ATL,,CAR,W 28-20,2,2,Sun,0,1,0,0,0,PeteMi20
Dominique Rodgers-Cromartie,CB,23.166,2009-09-20,NFL,ARI,@,JAX,W 31-17,2,2,Sun,0,1,0,0,0,RodgDo99
Daryl Smith,OLB,27.190,2009-09-20,NFL,JAX,,ARI,L 17-31,2,2,Sun,0,1,0,0,0,SmitDa24
Charles Tillman,LCB,28.209,2009-09-20,NFL,CHI,,PIT,W 17-14,2,2,Sun,0,1,0,0,0,TillCh20
Mike Tolbert,FB,23.301,2009-09-20,NFL,SDG,,BAL,L 26-31,2,2,Sun,0,1,0,0,0,TolbMi00
Kyle Vanden Bosch,RDE,30.307,2009-09-20,NFL,TEN,,HOU,L 31-34,2,2,Sun,0,1,0,0,0,VandKy99
Vince Wilfork,LDT,27.320,2009-09-20,NFL,NWE,@,NYJ,L 9-16,2,2,Sun,0,1,0,0,0,WilfVi20
Jamar Williams,LB,25.098,2009-09-20,NFL,CHI,,PIT,W 17-14,2,2,Sun,0,1,0,0,0,WillJa21
Mike Wright,DE,27.203,2009-09-20,NFL,NWE,@,NYJ,L 9-16,2,2,Sun,0,1,0,0,0,WrigMi20
Robert Mathis,LDE,28.207,2009-09-21,NFL,IND,@,MIA,W 27-23,2,2,Mon,0,1,0,0,0,MathRo20
Jared Allen,RDE,27.177,2009-09-27,NFL,MIN,,SFO,W 27-24,3,3,Sun,0,1,0,0,0,AlleJa22
Dre' Bly,CB,32.128,2009-09-27,NFL,SFO,@,MIN,L 24-27,3,3,Sun,0,1,0,0,0,BlyxDr00
Ricky Brown,OLB,25.274,2009-09-27,NFL,OAK,,DEN,L 3-23,3,3,Sun,0,1,0,0,0,BrowRi22
Tony Brown,RDT,28.363,2009-09-27,NFL,TEN,@,NYJ,L 17-24,3,3,Sun,0,1,0,0,0,BrowTo25
Melvin Bullitt,SS,24.318,2009-09-27,NFL,IND,@,ARI,W 31-10,3,3,Sun,0,1,0,0,0,BullMe99
Aaron Curry,OLB,23.174,2009-09-27,NFL,SEA,,CHI,L 19-25,3,3,Sun,0,1,0,0,0,CurrAa99
Dwight Freeney,RDE,29.220,2009-09-27,NFL,IND,@,ARI,W 31-10,3,3,Sun,0,1,0,0,0,FreeDw00
Chris Gocong,SAM,25.315,2009-09-27,NFL,PHI,,KAN,W 34-14,3,3,Sun,0,1,0,0,0,GocoCh99
Mario Haggan,OLB,29.208,2009-09-27,NFL,DEN,@,OAK,W 23-3,3,3,Sun,0,1,0,0,0,HaggMa20
Cullen Jenkins,RDE,28.250,2009-09-27,NFL,GNB,@,STL,W 36-17,3,3,Sun,0,1,0,0,0,JenkCu20
Malcolm Jenkins,DB,21.281,2009-09-27,NFL,NOR,@,BUF,W 27-7,3,3,Sun,0,1,1,0,0,JenkMa99
Aaron Kampman,LOLB,29.301,2009-09-27,NFL,GNB,@,STL,W 36-17,3,3,Sun,0,1,0,0,0,KampAa99
Patrick Kerney,RDE,32.271,2009-09-27,NFL,SEA,,CHI,L 19-25,3,3,Sun,0,1,0,0,0,KernPa99
Brandon McGowan,FS,26.011,2009-09-27,NFL,NWE,,ATL,W 26-10,3,3,Sun,0,1,0,0,0,McGoBr21
Rocky McIntosh,WLB,26.316,2009-09-27,NFL,WAS,@,DET,L 14-19,3,3,Sun,0,1,0,0,0,McInRo20
