Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fantasy Pts,PPR,DK Pts,FD Pts,Pass_cmp,Pass_att,Pass_yds,Pass_td,Pass_int,Run_att,Run_yds,Run_td,Rec,Rec_yds,Rec_td,Fmb,FGM,FGA,XPM,XPA,unique_id
Courtney Anderson,TE,24.293,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,13.80,16.8,16.8,15.3,0,0,0,0,0,0,0,0,3,18,2,0,,,,,AndeCo00
Tom Brady,QB,28.036,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,20.14,20.1,23.1,20.1,24,38,306,2,0,3,-1,0,0,0,0,0,,,,,BradTo00
Deion Branch,WR,26.052,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,15.90,22.9,22.9,19.4,0,0,0,0,0,0,0,0,7,99,1,0,,,,,BranDe00
Troy Brown,WR,34.068,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,5.10,11.1,11.1,8.1,0,0,0,0,0,0,0,0,6,51,0,0,,,,,BrowTr00
Kerry Collins,QB,32.252,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,20.80,20.8,21.8,20.8,18,39,265,3,0,1,2,0,0,0,0,0,,,,,CollKe00
Zack Crockett,RB,32.280,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,2.00,2.0,2.0,2.0,0,0,0,0,0,3,20,0,0,0,0,0,,,,,CrocZa00
Corey Dillon,RB,30.319,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,21.30,23.3,23.3,22.3,0,0,0,0,0,23,63,2,2,30,0,0,,,,,DillCo00
Tim Dwight,WR,30.057,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,6.50,7.5,7.5,7.0,0,0,0,0,0,0,0,0,1,5,1,0,,,,,DwigTi00
Kevin Faulk,RB,29.095,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,2.90,5.9,5.9,4.4,0,0,0,0,0,5,11,0,3,18,0,0,,,,,FaulKe00
David Givens,WR,25.023,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,3.10,5.1,5.1,4.1,0,0,0,0,0,0,0,0,2,31,0,0,,,,,GiveDa00
Daniel Graham,TE,26.296,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,1.70,2.7,2.7,2.2,0,0,0,0,0,0,0,0,1,17,0,0,,,,,GrahDa00
Sebastian Janikowski,K,27.190,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,2.00,2.0,,2.0,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,2,janikseb01
LaMont Jordan,RB,26.301,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,11.00,16.0,16.0,13.5,0,0,0,0,0,18,70,0,5,40,0,0,,,,,JordLa00
Randy Moss*,WR,28.207,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,19.00,24.0,27.0,21.5,0,0,0,0,0,0,0,0,5,130,1,0,,,,,MossRa00
Jerry Porter,WR,27.056,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,4.80,7.8,7.8,6.3,0,0,0,0,0,0,0,0,3,48,0,0,,,,,PortJe00
Adam Vinatieri,K,32.254,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,6.00,6.0,,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,vinatada01
Ben Watson,TE,24.264,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,5.50,7.5,7.5,6.5,0,0,0,0,0,0,0,0,2,55,0,0,,,,,WatsBe00
Alvis Whitted,WR,31.004,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,2.90,4.9,4.9,3.9,0,0,0,0,0,0,0,0,2,29,0,0,,,,,WhitAl00
Charlie Adams,CB,25.323,2005-09-11,NFL,DEN,@,MIA,L 10-34,1,1,Sun,3.50,5.5,5.5,4.5,0,0,0,0,0,0,0,0,2,35,0,0,,,,,AdamCh00
Shaun Alexander,RB,28.012,2005-09-11,NFL,SEA,@,JAX,L 14-26,1,1,Sun,7.30,7.3,7.3,7.3,0,0,0,0,0,14,73,0,0,0,0,0,,,,,AlexSh00
J.J. Arrington,RB,22.231,2005-09-11,NFL,ARI,@,NYG,L 19-42,1,1,Sun,2.70,6.7,6.7,4.7,0,0,0,0,0,8,5,0,4,22,0,0,,,,,ArriJ.00
Obafemi Ayanbadejo,FB,30.190,2005-09-11,NFL,ARI,@,NYG,L 19-42,1,1,Sun,3.10,8.1,8.1,5.6,0,0,0,0,0,2,2,0,5,29,0,0,,,,,AyanOb00
Chris Baker,TE,25.297,2005-09-11,NFL,NYJ,@,KAN,L 7-27,1,1,Sun,18.40,25.4,28.4,21.9,0,0,0,0,0,0,0,0,7,124,1,0,,,,,BakeCh00
Tiki Barber,RB,30.157,2005-09-11,NFL,NYG,,ARI,W 42-19,1,1,Sun,18.20,20.2,20.2,19.2,0,0,0,0,0,13,62,1,2,60,0,0,,,,,BarbTi00
Kevan Barlow,RB,26.247,2005-09-11,NFL,SFO,,STL,W 28-25,1,1,Sun,7.90,9.9,10.9,8.9,0,0,0,0,0,14,22,1,2,17,0,0,,,,,BarlKe00
Arnaz Battle,WR,25.201,2005-09-11,NFL,SFO,,STL,W 28-25,1,1,Sun,12.68,17.7,17.7,15.2,2,2,27,0,0,1,-3,0,5,59,1,0,,,,,BattAr00
Tatum Bell,RB,24.193,2005-09-11,NFL,DEN,@,MIA,L 10-34,1,1,Sun,6.00,7.0,7.0,6.5,0,0,0,0,0,13,47,0,1,13,0,0,,,,,BellTa00
Drew Bennett,WR,27.016,2005-09-11,NFL,TEN,@,PIT,L 7-34,1,1,Sun,7.90,10.9,10.9,9.4,0,0,0,0,0,0,0,0,3,79,0,0,,,,,BennDr00
Michael Bennett,RB,27.029,2005-09-11,NFL,MIN,,TAM,L 13-24,1,1,Sun,2.00,5.0,5.0,3.5,0,0,0,0,0,6,-1,0,3,21,0,0,,,,,BennMi00
Cedric Benson,RB,22.257,2005-09-11,NFL,CHI,@,WAS,L 7-9,1,1,Sun,1.00,1.0,1.0,1.0,0,0,0,0,0,3,10,0,0,0,0,0,,,,,BensCe00
Adam Bergen,TE,22.008,2005-09-11,NFL,ARI,@,NYG,L 19-42,1,1,Sun,1.00,2.0,2.0,1.5,0,0,0,0,0,0,0,0,1,10,0,0,,,,,BergAd00
Ladell Betts,RB,26.015,2005-09-11,NFL,WAS,,CHI,W 9-7,1,1,Sun,4.10,4.1,4.1,4.1,0,0,0,0,0,12,41,0,0,0,0,0,,,,,BettLa00
Rob Bironas,K,27.225,2005-09-11,NFL,TEN,@,PIT,L 7-34,1,1,Sun,1.00,1.0,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,bironrob01
Drew Bledsoe,QB,33.209,2005-09-11,NFL,DAL,@,SDG,W 28-24,1,1,Sun,19.74,19.7,20.7,19.7,18,24,226,3,0,4,7,0,0,0,0,0,,,,,BledDr00
Anquan Boldin,WR,24.343,2005-09-11,NFL,ARI,@,NYG,L 19-42,1,1,Sun,6.20,10.2,10.2,8.2,0,0,0,0,0,0,0,0,4,62,0,0,,,,,BoldAn00
Kyle Boller,QB,24.086,2005-09-11,NFL,BAL,,IND,L 7-24,1,1,Sun,3.84,3.8,4.8,4.8,15,23,141,0,1,1,2,0,0,0,0,0,,,,,BollKy00
Marty Booker,WR,29.042,2005-09-11,NFL,MIA,,DEN,W 34-10,1,1,Sun,16.40,21.4,24.4,18.9,0,0,0,0,0,0,0,0,5,104,1,0,,,,,BookMa00
Mark Bradley,WR,23.225,2005-09-11,NFL,CHI,@,WAS,L 7-9,1,1,Sun,2.20,3.2,3.2,2.7,0,0,0,0,0,0,0,0,1,22,0,0,,,,,BradMa00
