Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Sack,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,unique_id
Will Allen,LCB,24.031,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,0.0,4,1,5,0,,AlleWi20
Micheal Barrow,MLB,32.139,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,0.0,3,7,10,0,,BarrMi20
Zack Bronson,FS,28.220,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,0.0,4,2,6,0,,BronZa20
Ralph Brown,CB,23.354,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,0.0,0,1,1,0,,BrowRa20
John Engelberger,DE,25.322,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,0.0,1,0,1,1,,EngeJo20
Frank Ferrara,DE,26.272,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,0.0,2,0,2,0,,FerrFr20
Cornelius Griffin,LDT,25.276,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,0.0,1,2,3,0,,GrifCo20
Keith Hamilton,RDT,31.103,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,0.0,4,2,6,1,,HamiKe20
Ronnie Heard,S,25.335,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,0.0,2,0,2,0,,HearRo20
Kenny Holmes,RDE,28.316,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,0.0,2,1,3,0,,HolmKe20
Dwight Johnson,DE,25.218,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,0.0,4,2,6,1,,JohnDw20
Dhani Jones,,24.195,2002-09-05,,NYG,,SFO,L 13-16,1,1,Thu,0.0,1,0,1,0,,JoneDh20
Kevin Lewis,LB,23.334,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,0.0,0,1,1,0,,LewiKe23
Matt Mitrione,DT,24.052,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,0.0,0,1,1,0,,MitrMa20
Quincy Monk,LB,23.218,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,0.0,0,1,1,0,,MonkQu20
Chike Okeafor,LDE,26.162,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,1.0,3,1,4,1,,OkeaCh20
Tony Parrish,SS,26.286,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,0.0,6,1,7,0,,ParrTo20
Julian Peterson,LOLB,24.039,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,0.0,2,0,2,0,,PeteJu00
Ahmed Plummer,LCB,26.163,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,0.0,6,1,7,0,,PlumAh20
Marcellus Rivers,TE,23.314,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,0.0,2,0,2,0,,RiveMa00
Mike Rumph,CB,22.301,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,0.0,2,0,2,0,,RumpMi20
Jason Sehorn,CB,31.143,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,0.0,3,0,3,0,,SehoJa20
Brandon Short,OLB,25.056,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,0.0,3,2,5,0,,ShorBr20
Derek Smith,LILB,27.230,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,0.0,1,1,2,0,,SmitDe21
Charles Stackhouse,FB,22.147,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,0.0,1,0,1,0,,StacCh00
Quincy Stewart,LB,24.162,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,0.0,1,0,1,0,,StewQu20
Omar Stoutmire,FS,28.058,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,0.0,2,2,4,1,,StouOm20
Michael Strahan*,LDE,30.288,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,0.0,4,0,4,0,,StraMi02
Dana Stubblefield,RDT,31.295,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,1.0,2,1,3,1,,StubDa00
Jason Webster,RCB,24.362,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,0.0,10,2,12,0,,WebsJa20
Jimmy Williams,CB,23.179,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,0.0,1,0,1,0,,WillJi22
Shaun Williams,SS,25.330,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,0.0,5,3,8,0,,WillSh20
Jamie Winborn,RILB,23.114,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,1.0,13,4,17,3,,WinbJa20
Bryant Young,LDT,30.221,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,0.0,1,2,3,0,,YounBr00
Donnie Abraham,LCB,28.335,2002-09-08,NFL,NYJ,@,BUF,W 37-31,1,1,Sun,0.0,2,2,4,0,,AbraDo00
John Abraham,RDE,24.125,2002-09-08,NFL,NYJ,@,BUF,W 37-31,1,1,Sun,1.0,3,1,4,1,,AbraJo00
Keith Adams,LB,22.290,2002-09-08,NFL,DAL,@,HOU,L 10-19,1,1,Sun,0.0,1,0,1,0,,AdamKe20
Sam Adams,DT,29.087,2002-09-08,NFL,OAK,,SEA,W 31-17,1,1,Sun,0.0,1,0,1,0,,AdamSa00
Chidi Ahanotu,LDE,31.332,2002-09-08,NFL,BUF,,NYJ,L 31-37,1,1,Sun,1.0,4,0,4,2,,AhanCh20
Chris Akins,DB,25.283,2002-09-08,NFL,CLE,,KAN,L 39-40,1,1,Sun,0.0,2,0,2,0,,AkinCh20
Ethan Albright,LS,31.130,2002-09-08,NFL,WAS,,ARI,W 31-23,1,1,Sun,0.0,0,1,1,0,,AlbrEt20
Brian Allen,LB,24.160,2002-09-08,NFL,CAR,,BAL,W 10-7,1,1,Sun,0.0,1,0,1,0,,AlleBr21
James Allen,LB,22.301,2002-09-08,NFL,NOR,@,TAM,W 26-20,1,1,Sun,0.0,2,0,2,0,,AlleJa21
Ashley Ambrose,RCB,31.356,2002-09-08,NFL,ATL,@,GNB,L 34-37,1,1,Sun,0.0,3,0,3,0,,AmbrAs00
Adam Archuleta,SS,24.285,2002-09-08,NFL,STL,@,DEN,L 16-23,1,1,Sun,0.5,6,1,7,0,,ArchAd20
Jessie Armstead,WLB,31.317,2002-09-08,NFL,WAS,,ARI,W 31-23,1,1,Sun,0.0,3,5,8,0,,ArmsJe00
LaVar Arrington,SLB,24.080,2002-09-08,NFL,WAS,,ARI,W 31-23,1,1,Sun,0.0,0,2,2,0,,ArriLa00
Reggie Austin,CB,25.230,2002-09-08,NFL,CHI,,MIN,W 27-23,1,1,Sun,0.0,1,0,1,0,,AustRe20
Jerry Azumah,RCB,25.007,2002-09-08,NFL,CHI,,MIN,W 27-23,1,1,Sun,0.0,5,0,5,1,,AzumJe00
