Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Targets,Rec,Rec Yards,Rec Avg,Rec TD,Catch Pct,YPTgt,unique_id
Evan Engram,TE,25.013,2019-09-15,NFL,NYG,,BUF,L 14-28,2,2,Sun,8,6,48,8.00,0,75.0%,6.00,EngrEv00
Alex Erickson,WR,26.313,2019-09-15,NFL,CIN,,SFO,L 17-41,2,2,Sun,3,1,14,14.00,0,33.3%,4.67,EricAl01
Zach Ertz,TE,28.309,2019-09-15,NFL,PHI,@,ATL,L 20-24,2,2,Sun,16,8,72,9.00,0,50.0%,4.50,ErtzZa00
Gerald Everett,TE,25.082,2019-09-15,NFL,LAR,,NOR,W 27-9,2,2,Sun,4,3,21,7.00,0,75.0%,5.25,EverGe00
Noah Fant,TE,21.299,2019-09-15,NFL,DEN,,CHI,L 14-16,2,2,Sun,4,4,33,8.25,0,100.0%,8.25,FantNo00
Darren Fells,TE,33.146,2019-09-15,NFL,HOU,,JAX,W 13-12,2,2,Sun,3,1,9,9.00,0,33.3%,3.00,FellDa01
Larry Fitzgerald,WR,36.015,2019-09-15,NFL,ARI,@,BAL,L 17-23,2,2,Sun,11,5,104,20.80,0,45.5%,9.45,FitzLa00
Leonard Fournette,RB,24.240,2019-09-15,NFL,JAX,@,HOU,L 12-13,2,2,Sun,6,4,40,10.00,0,66.7%,6.67,FourLe00
Bennie Fowler,WR,28.097,2019-09-15,NFL,NYG,,BUF,L 14-28,2,2,Sun,10,5,51,10.20,0,50.0%,5.10,FowlBe00
Devonta Freeman,RB,27.184,2019-09-15,NFL,ATL,,PHI,W 24-20,2,2,Sun,4,3,42,14.00,0,75.0%,10.50,FreeDe00
Royce Freeman,RB,23.203,2019-09-15,NFL,DEN,,CHI,L 14-16,2,2,Sun,7,5,48,9.60,0,71.4%,6.86,FreeRo00
Will Fuller,WR,25.152,2019-09-15,NFL,HOU,,JAX,W 13-12,2,2,Sun,7,4,40,10.00,0,57.1%,5.71,FullWi01
Troy Fumagalli,TE,24.210,2019-09-15,NFL,DEN,,CHI,L 14-16,2,2,Sun,1,1,7,7.00,0,100.0%,7.00,FumaTr00
Taylor Gabriel,WR,28.210,2019-09-15,NFL,CHI,@,DEN,W 16-14,2,2,Sun,2,1,11,11.00,0,50.0%,5.50,GabrTa00
Michael Gallup,WR,23.164,2019-09-15,NFL,DAL,@,WAS,W 31-21,2,2,Sun,8,6,68,11.33,0,75.0%,8.50,GallMi00
Mike Gesicki,TE,23.347,2019-09-15,NFL,MIA,,NWE,L 0-43,2,2,Sun,2,1,11,11.00,0,50.0%,5.50,GesiMi00
Kenny Golladay,WR,25.316,2019-09-15,NFL,DET,,LAC,W 13-10,2,2,Sun,10,8,117,14.63,1,80.0%,11.70,GollKe00
