Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,unique_id
Randall Cobb,WR,21.017,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,1,5,5.00,0,CobbRa00
Darren Sproles,RB,28.080,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,2,92,46.00,1,SproDa00
Danny Amendola,WR,25.313,2011-09-11,NFL,STL,,PHI,L 13-31,1,1,Sun,1,0,0.00,0,AmenDa00
Javier Arenas,CB,23.318,2011-09-11,NFL,KAN,,BUF,L 7-41,1,1,Sun,1,15,15.00,0,ArenJa99
Brandon Banks,WR,23.264,2011-09-11,NFL,WAS,,NYG,W 28-14,1,1,Sun,4,53,13.25,0,BankBr00
Antonio Brown,WR,23.063,2011-09-11,NFL,PIT,@,BAL,L 7-35,1,1,Sun,2,7,3.50,0,BrowAn04
Dez Bryant,WR,22.311,2011-09-11,NFL,DAL,@,NYJ,L 24-27,1,1,Sun,1,12,12.00,0,BryaDe01
Josh Cribbs,WR,28.094,2011-09-11,NFL,CLE,,CIN,L 17-27,1,1,Sun,6,58,9.67,0,CribJo01
Armanti Edwards,WR,23.187,2011-09-11,NFL,CAR,@,ARI,L 21-28,1,1,Sun,4,19,4.75,0,EdwaAr00
Ted Ginn,WR,26.152,2011-09-11,NFL,SFO,,SEA,W 33-17,1,1,Sun,5,92,18.40,1,GinnTe00
Dwayne Harris,WR,23.360,2011-09-11,NFL,DAL,@,NYJ,L 24-27,1,1,Sun,2,17,8.50,0,HarrDw00
Devin Hester,WR,28.311,2011-09-11,NFL,CHI,,ATL,W 30-12,1,1,Sun,1,14,14.00,0,HestDe99
Domenik Hixon,WR,26.338,2011-09-11,NFL,NYG,@,WAS,L 14-28,1,1,Sun,2,27,13.50,0,HixoDo00
Jacoby Jones,WR,27.062,2011-09-11,NFL,HOU,,IND,W 34-7,1,1,Sun,3,91,30.33,1,JoneJa03
Jeremy Kerley,WR,22.307,2011-09-11,NFL,NYJ,,DAL,W 27-24,1,1,Sun,3,13,4.33,0,KerlJe00
Stefan Logan,WR,30.101,2011-09-11,NFL,DET,@,TAM,W 27-20,1,1,Sun,5,34,6.80,0,LogaSt00
Marc Mariani,WR,24.132,2011-09-11,NFL,TEN,@,JAX,L 14-16,1,1,Sun,1,7,7.00,0,MariMa00
Roscoe Parrish,WR,29.057,2011-09-11,NFL,BUF,@,KAN,W 41-7,1,1,Sun,4,35,8.75,0,ParrRo00
Niles Paul,WR,22.033,2011-09-11,NFL,WAS,,NYG,W 28-14,1,1,Sun,1,0,0.00,0,PaulNi00
Patrick Peterson,RCB,21.062,2011-09-11,NFL,ARI,,CAR,W 28-21,1,1,Sun,2,98,49.00,1,PetePa00
Marcus Sherels,CB,23.346,2011-09-11,NFL,MIN,@,SDG,L 17-24,1,1,Sun,2,17,8.50,0,SherMa20
Cecil Shorts,WR/R,23.263,2011-09-11,NFL,JAX,,TEN,W 16-14,1,1,Sun,3,31,10.33,0,ShorCe00
Micheal Spurlock,WR,28.223,2011-09-11,NFL,TAM,,DET,L 20-27,1,1,Sun,1,-2,-2.00,0,SpurMi00
Brandon Tate,WR,23.341,2011-09-11,NFL,CIN,@,CLE,W 27-17,1,1,Sun,1,15,15.00,0,TateBr00
Bryan Walters,WR,23.311,2011-09-11,NFL,SDG,,MIN,W 24-17,1,1,Sun,5,38,7.60,0,WaltBr00
Leon Washington,RB,29.013,2011-09-11,NFL,SEA,@,SFO,L 17-33,1,1,Sun,3,27,9.00,0,WashLe00
Eric Weems,WR,26.069,2011-09-11,NFL,ATL,@,CHI,L 12-30,1,1,Sun,3,10,3.33,0,WeemEr00
Davone Bess,WR,25.364,2011-09-12,NFL,MIA,,NWE,L 24-38,1,1,Mon,2,11,5.50,0,BessDa00
Eric Decker,WR,24.181,2011-09-12,NFL,DEN,,OAK,L 20-23,1,1,Mon,5,128,25.60,1,DeckEr00
Julian Edelman,WR,25.113,2011-09-12,NFL,NWE,@,MIA,W 38-24,1,1,Mon,5,59,11.80,0,EdelJu00
Javier Arenas,CB,23.325,2011-09-18,NFL,KAN,@,DET,L 3-48,2,2,Sun,1,1,1.00,0,ArenJa99
Brandon Banks,WR,23.271,2011-09-18,NFL,WAS,,ARI,W 22-21,2,2,Sun,4,73,18.25,0,BankBr00
Davone Bess,WR,26.005,2011-09-18,NFL,MIA,,HOU,L 13-23,2,2,Sun,1,8,8.00,0,BessDa00
Antonio Brown,WR,23.070,2011-09-18,NFL,PIT,,SEA,W 24-0,2,2,Sun,4,56,14.00,0,BrowAn04
Josh Cribbs,WR,28.101,2011-09-18,NFL,CLE,@,IND,W 27-19,2,2,Sun,2,52,26.00,0,CribJo01
Armanti Edwards,WR,23.194,2011-09-18,NFL,CAR,,GNB,L 23-30,2,2,Sun,2,11,5.50,0,EdwaAr00
Clyde Gates,WR,25.097,2011-09-18,NFL,MIA,,HOU,L 13-23,2,2,Sun,3,32,10.67,0,GateCl00
Ted Ginn,WR,26.159,2011-09-18,NFL,SFO,,DAL,L 24-27,2,2,Sun,4,45,11.25,0,GinnTe00
Dwayne Harris,WR,24.002,2011-09-18,NFL,DAL,@,SFO,W 27-24,2,2,Sun,2,25,12.50,0,HarrDw00
Devin Hester,WR,28.318,2011-09-18,NFL,CHI,@,NOR,L 13-30,2,2,Sun,1,-4,-4.00,0,HestDe99
