Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fmb,Fumble Forced,FR,FR Yds,FR TD,unique_id
Blaine Bishop,SS,32.046,2002-09-08,NFL,PHI,@,TEN,L 24-27,1,1,Sun,,1,0,,,BishBl00
Chad Bratzke,RDE,30.358,2002-09-08,NFL,IND,@,JAX,W 28-25,1,1,Sun,0,1,0,0,0,BratCh20
Keith Brooking,ILB,26.313,2002-09-08,NFL,ATL,@,GNB,L 34-37,1,1,Sun,,1,0,,,BrooKe00
Rob Burnett,DE,35.012,2002-09-08,NFL,MIA,,DET,W 49-21,1,1,Sun,0,1,0,0,0,BurnRo00
Keion Carpenter,FS,24.312,2002-09-08,NFL,ATL,@,GNB,L 34-37,1,1,Sun,,1,1,,,CarpKe20
Chris Carter,FS,27.346,2002-09-08,NFL,HOU,,DAL,W 19-10,1,1,Sun,,1,0,,,CartCh20
Duane Clemons,RDE,28.108,2002-09-08,NFL,KAN,@,CLE,W 40-39,1,1,Sun,0,1,0,0,0,ClemDu20
Rosevelt Colvin,SLB,25.003,2002-09-08,NFL,CHI,,MIN,W 27-23,1,1,Sun,0,1,0,0,0,ColvRo20
Donovin Darius,SS,27.027,2002-09-08,NFL,JAX,,IND,L 25-28,1,1,Sun,,1,0,,,DariDo20
Hugh Douglas,RDE,31.016,2002-09-08,NFL,PHI,@,TEN,L 24-27,1,1,Sun,0,1,0,0,0,DougHu00
Antuan Edwards,SS,25.105,2002-09-08,NFL,GNB,,ATL,W 37-34,1,1,Sun,0,1,0,0,0,EdwaAn21
Carlos Hall,DE,23.235,2002-09-08,NFL,TEN,,PHI,W 27-24,1,1,Sun,0,1,0,0,0,HallCa20
Bryan Johnson,FB,24.233,2002-09-08,NFL,WAS,,ARI,W 31-23,1,1,Sun,0,1,0,0,0,JohnBr01
Isaiah Kacyvenski,MLB,24.340,2002-09-08,NFL,SEA,@,OAK,L 17-31,1,1,Sun,,1,0,,,KacyIs20
Gerald McBurrows,SS,28.336,2002-09-08,NFL,ATL,@,GNB,L 34-37,1,1,Sun,,1,0,,,McBuGe20
Brian Mitchell,RB/K,34.021,2002-09-08,NFL,PHI,@,TEN,L 24-27,1,1,Sun,0,1,1,0,0,MitcBr00
Bryan Robinson,LDE,28.078,2002-09-08,NFL,CHI,,MIN,W 27-23,1,1,Sun,,1,0,,,RobiBr20
Damien Robinson,FS,28.260,2002-09-08,NFL,NYJ,@,BUF,W 37-31,1,1,Sun,,1,0,,,RobiDa20
Jason Simmons,CB,26.162,2002-09-08,NFL,HOU,,DAL,W 19-10,1,1,Sun,,1,0,,,SimmJa20
Marcus Stroud,LDT,24.075,2002-09-08,NFL,JAX,,IND,L 25-28,1,1,Sun,,1,0,,,StroMa01
Bracy Walker,S,31.315,2002-09-08,NFL,DET,@,MIA,L 21-49,1,1,Sun,,1,0,,,WalkBr20
Lenny Walls,CB,22.347,2002-09-08,NFL,DEN,,STL,W 23-16,1,1,Sun,,1,0,,,WallLe20
Willie Whitehead,DE,29.225,2002-09-08,NFL,NOR,@,TAM,W 26-20,1,1,Sun,0,1,0,0,0,WhitWi23
Pat Williams,RDT,29.319,2002-09-08,NFL,BUF,,NYJ,L 31-37,1,1,Sun,,1,0,,,WillPa20
Charles Woodson,CB,25.336,2002-09-08,NFL,OAK,,SEA,W 31-17,1,1,Sun,,2,0,,,WoodCh00
Jimmy Wyrick,CB,25.251,2002-09-08,NFL,DET,@,MIA,L 21-49,1,1,Sun,,1,0,,,WyriJi20
Lee Flowers,SS,29.238,2002-09-09,NFL,PIT,@,NWE,L 14-30,1,1,Mon,,1,1,,,FlowLe20
