Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Sack,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,unique_id
Donnie Abraham,LCB,29.331,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,0.0,6,0,6,0,,AbraDo00
John Abraham,RDE,25.121,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,2.0,6,0,6,3,,AbraJo00
Jessie Armstead,WLB,32.313,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,0.0,4,1,5,1,,ArmsJe00
LaVar Arrington,SLB,25.076,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,0.0,5,1,6,1,,ArriLa00
B.J. Askew,FB,23.016,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,0.0,1,0,1,0,,AskeB.00
Champ Bailey*,LCB,25.074,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,0.0,4,0,4,0,,BailCh00
Rashad Bauman,CB,24.120,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,0.0,2,1,3,0,,BaumRa20
Aaron Beasley,RCB,30.059,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,0.0,3,0,3,0,,BeasAa20
Matt Bowen,FS,26.296,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,0.0,2,0,2,0,,BoweMa20
Tyrone Carter,SS,27.157,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,0.0,4,1,5,0,,CartTy20
Rock Cartwright,FB,23.275,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,0.0,1,0,1,0,,CartRo01
Sam Cowart,WLB,28.190,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,0.0,8,0,8,0,,CowaSa00
Shaun Ellis,LDE,26.072,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,2.0,5,1,6,2,,ElliSh00
Jason Ferguson,NT,28.280,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,0.0,2,0,2,1,,FergJa21
