Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Sack,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,unique_id
Husain Abdullah,SS,25.044,2010-09-09,NFL,MIN,@,NOR,L 9-14,1,1,Thu,0.0,4,1,5,0,0,AbduHu99
Asher Allen,RCB,22.230,2010-09-09,NFL,MIN,@,NOR,L 9-14,1,1,Thu,0.0,4,2,6,0,0,AlleAs99
Jared Allen,RDE,28.159,2010-09-09,NFL,MIN,@,NOR,L 9-14,1,1,Thu,0.0,3,1,4,0,1,AlleJa22
K.C. Asiodu,LB,23.289,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,0.0,1,0,1,0,0,AsioK.00
Jasper Brinkley,LB,25.059,2010-09-09,NFL,MIN,@,NOR,L 9-14,1,1,Thu,0.0,1,0,1,0,0,BrinJa99
Alex Brown,LDE,31.097,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,0.0,0,1,1,0,1,BrowAl20
Jeff Charleston,DE,27.233,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,0.0,1,0,1,0,0,CharJe99
Jo-Lonn Dunbar,SLB,25.180,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,0.0,4,3,7,1,0,DunbJo20
Ray Edwards,LDE,25.251,2010-09-09,NFL,MIN,@,NOR,L 9-14,1,1,Thu,0.0,1,0,1,1,0,EdwaRa21
Sedrick Ellis,DT,25.062,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,1.0,3,2,5,1,1,ElliSe99
Heath Farwell,LB,28.252,2010-09-09,NFL,MIN,@,NOR,L 9-14,1,1,Thu,0.0,2,0,2,0,0,FarwHe20
Eric Frampton,S,26.215,2010-09-09,NFL,MIN,@,NOR,L 9-14,1,1,Thu,0.0,1,0,1,0,0,FramEr99
Randall Gay,CB,28.127,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,0.0,1,2,3,0,0,GayxRa20
Chad Greenway,SLB,27.240,2010-09-09,NFL,MIN,@,NOR,L 9-14,1,1,Thu,0.0,9,3,12,1,0,GreeCh99
Jabari Greer,LCB,28.210,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,0.0,5,0,5,2,0,GreeJa22
Anthony Hargrove,DL,27.051,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,0.0,2,1,3,,,HargAn20
Roman Harper,SS,27.272,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,0.0,4,1,5,0,1,HarpRo21
E.J. Henderson,MLB,30.037,2010-09-09,NFL,MIN,@,NOR,L 9-14,1,1,Thu,0.0,8,1,9,1,0,HendE.20
Erin Henderson,LB,24.070,2010-09-09,NFL,MIN,@,NOR,L 9-14,1,1,Thu,0.0,1,0,1,0,0,HendEr99
Malcolm Jenkins,FS,22.263,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,0.0,1,1,2,0,0,JenkMa99
Ben Leber,LB,31.276,2010-09-09,NFL,MIN,@,NOR,L 9-14,1,1,Thu,0.0,4,0,4,1,0,LebeBe20
Jayme Mitchell,DE,26.178,2010-09-09,NFL,MIN,@,NOR,L 9-14,1,1,Thu,1.0,1,0,1,1,1,MitcJa20
Marvin Mitchell,LB,25.323,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,0.0,3,2,5,0,1,MitcMa99
Tracy Porter,RCB,24.029,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,0.0,4,0,4,0,0,PortTr99
Courtney Roby,WR,27.242,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,0.0,2,0,2,0,0,RobyCo00
Scott Shanle,WLB,30.290,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,0.0,5,2,7,1,0,ShanSc20
Lito Sheppard,CB,29.154,2010-09-09,NFL,MIN,@,NOR,L 9-14,1,1,Thu,0.0,3,0,3,0,0,ShepLi99
Will Smith,RDE,29.067,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,0.0,1,1,2,0,0,SmitWi99
Jonathan Vilma,MLB,28.146,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,0.0,4,0,4,0,0,VilmJo99
Anthony Waters,LB,26.046,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,0.0,1,0,1,0,0,WateAn00
Jimmy Wilkerson,DL,29.248,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,0.0,0,1,1,0,0,WilkJi20
Kevin Williams,UT,30.024,2010-09-09,NFL,MIN,@,NOR,L 9-14,1,1,Thu,0.0,0,1,1,0,0,WillKe98
Madieu Williams,FS,28.326,2010-09-09,NFL,MIN,@,NOR,L 9-14,1,1,Thu,0.0,3,1,4,0,0,WillMa20
Pat Williams,NT,37.320,2010-09-09,NFL,MIN,@,NOR,L 9-14,1,1,Thu,0.0,2,0,2,0,0,WillPa20
Antoine Winfield,LCB,33.077,2010-09-09,NFL,MIN,@,NOR,L 9-14,1,1,Thu,0.0,7,2,9,0,0,WinfAn20
John Abraham,RDE,32.129,2010-09-12,NFL,ATL,@,PIT,L 9-15,1,1,Sun,1.0,1,1,2,1,1,AbraJo00
Michael Adams,CB,25.087,2010-09-12,NFL,ARI,@,STL,W 17-13,1,1,Sun,0.0,2,0,2,0,0,AdamMi98
Mike Adams,S,29.172,2010-09-12,NFL,CLE,@,TAM,L 14-17,1,1,Sun,0.0,5,2,7,0,0,AdamMi21
Phillip Adams,CB,22.054,2010-09-12,NFL,SFO,@,SEA,L 6-31,1,1,Sun,0.0,1,0,1,0,0,AdamPh00
Xavier Adibi,LB,25.329,2010-09-12,NFL,HOU,,IND,W 34-24,1,1,Sun,0.0,1,0,1,0,0,AdibXa99
C.J. Ah You,DE,28.067,2010-09-12,NFL,STL,,ARI,L 13-17,1,1,Sun,1.0,2,0,2,0,1,AhYoC.00
Lorenzo Alexander,LB,27.104,2010-09-12,NFL,WAS,,DAL,W 13-7,1,1,Sun,0.0,1,0,1,0,1,AlexLo99
Jay Alford,DL,27.107,2010-09-12,NFL,OAK,@,TEN,L 13-38,1,1,Sun,0.0,1,0,1,0,0,AlfoJa99
Jason Allen,RCB,27.069,2010-09-12,NFL,MIA,@,BUF,W 15-10,1,1,Sun,0.0,5,1,6,0,0,AlleJa23
Nate Allen,DB,22.286,2010-09-12,NFL,PHI,,GNB,L 20-27,1,1,Sun,0.0,5,0,5,0,0,AlleNa99
Will Allen,S,28.087,2010-09-12,NFL,PIT,,ATL,W 15-9,1,1,Sun,0.0,1,0,1,0,0,AlleWi21
Tyson Alualu,DT,23.123,2010-09-12,NFL,JAX,,DEN,W 24-17,1,1,Sun,1.0,3,0,3,1,1,AluaTy99
Jamaal Anderson,DE,24.218,2010-09-12,NFL,ATL,@,PIT,L 9-15,1,1,Sun,0.0,1,2,3,0,0,AndeJa98
James Anderson,SLB,26.351,2010-09-12,NFL,CAR,@,NYG,L 18-31,1,1,Sun,0.0,7,3,10,0,0,AndeJa21
Mark Anderson,LDE,27.109,2010-09-12,NFL,CHI,,DET,W 19-14,1,1,Sun,0.0,3,0,3,1,0,AndeMa21
Pat Angerer,LB,23.224,2010-09-12,NFL,IND,@,HOU,L 24-34,1,1,Sun,0.0,1,0,1,0,0,AngePa99
Kyle Arrington,CB,24.031,2010-09-12,NFL,NWE,,CIN,W 38-24,1,1,Sun,0.0,1,0,1,0,0,ArriKy00
