Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fantasy Pts,PPR,DK Pts,FD Pts,Pass_cmp,Pass_att,Pass_yds,Pass_td,Pass_int,Run_att,Run_yds,Run_td,Rec,Rec_yds,Rec_td,Fmb,FGM,FGA,XPM,XPA,unique_id
Charlie Batch,QB,31.276,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,20.36,20.4,21.4,20.4,15,25,209,3,0,7,20,0,0,0,0,0,,,,,BatcCh00
Marty Booker,WR,30.038,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,6.40,9.4,9.4,7.9,0,0,0,0,0,0,0,0,3,64,0,0,,,,,BookMa00
Ronnie Brown,RB,24.269,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,18.20,21.2,21.2,19.7,0,0,0,0,0,15,30,2,3,32,0,0,,,,,BrowRo05
Chris Chambers,WR,28.026,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,5.90,10.9,10.9,8.4,0,0,0,0,0,0,0,0,5,59,0,0,,,,,ChamCh00
Daunte Culpepper,QB,29.222,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,7.28,7.3,9.3,9.3,18,37,262,0,2,3,8,0,0,0,0,0,,,,,CulpDa00
Derek Hagan,WR,21.351,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,1.40,2.4,2.4,1.9,0,0,0,0,0,0,0,0,1,14,0,0,,,,,HagaDe00
Olindo Mare,K,33.093,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,5.00,5.0,,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,marexoli01
Randy McMichael,TE,27.071,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,1.00,2.0,2.0,1.5,0,0,0,0,0,0,0,0,1,10,0,0,,,,,McMiRa01
Heath Miller,TE,23.320,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,16.10,19.1,22.1,17.6,0,0,0,0,0,0,0,0,3,101,1,0,,,,,MillHe00
Willie Parker,HB,25.300,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,12.80,15.8,18.8,14.3,0,0,0,0,0,29,115,0,3,13,0,0,,,,,ParkWi00
Justin Peelle,TE,27.176,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,1.60,2.6,2.6,2.1,0,0,0,0,0,0,0,0,1,16,0,0,,,,,PeelJu00
