Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Kick Ret,Kick Ret Yds,Kick Ret YPA,Kick Ret TD,unique_id
Jerry Azumah,DB,24.008,2001-09-09,NFL,CHI,@,BAL,L 6-17,1,1,Sun,2,36,18.00,0,AzumJe00
Michael Bates,WR/R,31.264,2001-09-09,NFL,WAS,@,SDG,L 3-30,1,1,Sun,6,155,25.83,0,BateMi00
Will Blackwell,WR,26.062,2001-09-09,NFL,PIT,@,JAX,L 3-21,1,1,Sun,2,36,18.00,0,BlacWi00
Aveion Cason,WR,22.059,2001-09-09,NFL,STL,@,PHI,W 20-17,1,1,Sun,4,73,18.25,0,CasoAv00
Nate Clements,CB,21.271,2001-09-09,NFL,BUF,,NOR,L 6-24,1,1,Sun,2,26,13.00,0,ClemNa99
Laveranues Coles,WR,23.254,2001-09-09,NFL,NYJ,,IND,L 24-45,1,1,Sun,3,57,19.00,0,ColeLa00
James Dearth,TE,25.230,2001-09-09,NFL,NYJ,,IND,L 24-45,1,1,Sun,1,7,7.00,0,DearJa00
Tony Driver,S,24.036,2001-09-09,NFL,BUF,,NOR,L 6-24,1,1,Sun,3,51,17.00,0,DrivTo20
David Dunn,WR,29.091,2001-09-09,NFL,OAK,@,KAN,W 27-24,1,1,Sun,4,130,32.50,0,DunnDa00
Jason Dunn,TE,27.298,2001-09-09,NFL,KAN,,OAK,L 24-27,1,1,Sun,2,34,17.00,0,DunnJa00
Troy Edwards,WR,24.155,2001-09-09,NFL,PIT,@,JAX,L 3-21,1,1,Sun,2,46,23.00,0,EdwaTr00
Damon Gibson,WR/K,26.196,2001-09-09,NFL,JAX,,PIT,W 21-3,1,1,Sun,1,17,17.00,0,GibsDa00
Dante Hall,WR,23.008,2001-09-09,NFL,KAN,,OAK,L 24-27,1,1,Sun,1,21,21.00,0,HallDa00
Desmond Howard,WR,31.117,2001-09-09,NFL,DET,@,GNB,L 6-28,1,1,Sun,5,127,25.40,0,HowaDe00
