Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Sack,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,unique_id
Chris Bordano,MLB,24.256,1999-09-12,NFL,NOR,,CAR,W 19-10,1,1,Sun,0.0,1,1,2,0,,BordCh20
Joe Bowden,RLB,29.199,1999-09-12,NFL,TEN,,CIN,W 36-35,1,1,Sun,0.0,4,1,5,0,,BowdJo20
Fabien Bownes,WR,27.195,1999-09-12,NFL,SEA,,DET,L 20-28,1,1,Sun,0.0,1,0,1,0,,BownFa00
Stephen Boyd,MLB,27.021,1999-09-12,NFL,DET,@,SEA,W 28-20,1,1,Sun,0.0,4,2,6,1,,BoydSt00
Brant Boyer,LB,28.077,1999-09-12,NFL,JAX,,SFO,W 41-3,1,1,Sun,0.0,2,1,3,0,,BoyeBr20
Tony Brackens,RDE,24.260,1999-09-12,NFL,JAX,,SFO,W 41-3,1,1,Sun,1.0,3,0,3,1,,BracTo00
Corey Bradford,WR,23.278,1999-09-12,NFL,GNB,,OAK,W 28-24,1,1,Sun,0.0,2,0,2,0,,BradCo00
Ronnie Bradford,CB,28.346,1999-09-12,NFL,ATL,,MIN,L 14-17,1,1,Sun,0.0,5,0,5,0,,BradRo20
Calvin Branch,S,25.127,1999-09-12,NFL,OAK,@,GNB,L 24-28,1,1,Sun,0.0,1,0,1,0,,BranCa20
Chad Bratzke,RDE,27.362,1999-09-12,NFL,IND,,BUF,W 31-14,1,1,Sun,3.0,4,0,4,1,,BratCh20
Keith Brooking,LB,23.317,1999-09-12,NFL,ATL,,MIN,L 14-17,1,1,Sun,0.0,6,2,8,1,,BrooKe00
Derrick Brooks*,WLB,26.147,1999-09-12,NFL,TAM,,NYG,L 13-17,1,1,Sun,0.0,10,3,13,2,,BrooDe00
Chad Brown,OLB,29.062,1999-09-12,NFL,SEA,,DET,L 20-28,1,1,Sun,1.5,3,1,4,1,,BrowCh04
Cornell Brown,LB,24.181,1999-09-12,NFL,BAL,@,STL,L 10-27,1,1,Sun,0.0,2,0,2,0,,BrowCo20
Gilbert Brown,NT,28.202,1999-09-12,NFL,GNB,,OAK,W 28-24,1,1,Sun,0.0,0,3,3,0,,BrowGi20
Lance Brown,DB,27.222,1999-09-12,NFL,PIT,@,CLE,W 43-0,1,1,Sun,0.0,1,0,1,0,,BrowLa20
Omar Brown,S,24.168,1999-09-12,NFL,ATL,,MIN,L 14-17,1,1,Sun,0.0,1,0,1,0,,BrowOm20
Troy Brown,WR,28.072,1999-09-12,NFL,NWE,@,NYJ,W 30-28,1,1,Sun,0.0,1,0,1,0,,BrowTr00
Tedy Bruschi,WLB,26.095,1999-09-12,NFL,NWE,@,NYJ,W 30-28,1,1,Sun,1.0,9,3,12,1,,BrusTe99
Fernando Bryant,LCB,22.170,1999-09-12,NFL,JAX,,SFO,W 41-3,1,1,Sun,0.0,3,0,3,0,,BryaFe20
Junior Bryant,RDT,28.239,1999-09-12,NFL,SFO,@,JAX,L 3-41,1,1,Sun,1.0,4,0,4,2,,BryaJu20
Ray Buchanan,CB,27.348,1999-09-12,NFL,ATL,,MIN,L 14-17,1,1,Sun,0.0,4,0,4,0,,BuchRa00
Marcus Buckley,LB,28.221,1999-09-12,NFL,NYG,@,TAM,W 17-13,1,1,Sun,0.0,1,0,1,0,,BuckMa20
Brentson Buckner,DT,27.347,1999-09-12,NFL,SFO,@,JAX,L 3-41,1,1,Sun,0.0,1,2,3,0,,BuckBr20
Tom Burke,DE,22.335,1999-09-12,NFL,ARI,@,PHI,W 25-24,1,1,Sun,0.0,1,0,1,0,,BurkTo20
Rob Burnett,LDE,32.016,1999-09-12,NFL,BAL,@,STL,L 10-27,1,1,Sun,0.0,3,1,4,1,,BurnRo00
Keith Burns,LB,27.119,1999-09-12,NFL,CHI,,KAN,W 20-17,1,1,Sun,0.0,1,0,1,0,,BurnKe21
Jeff Burris,LCB,27.097,1999-09-12,NFL,IND,,BUF,W 31-14,1,1,Sun,0.0,2,1,3,0,,BurrJe20
John Burrough,DE,27.118,1999-09-12,NFL,MIN,@,ATL,W 17-14,1,1,Sun,0.0,2,1,3,0,,BurrJo20
LeRoy Butler,SS,31.055,1999-09-12,NFL,GNB,,OAK,W 28-24,1,1,Sun,0.0,5,1,6,0,,ButlLe00
Mike Caldwell,LB,28.012,1999-09-12,NFL,PHI,,ARI,L 24-25,1,1,Sun,0.0,3,0,3,0,,CaldMi20
Lamar Campbell,CB,23.014,1999-09-12,NFL,DET,@,SEA,W 28-20,1,1,Sun,0.0,2,0,2,0,,CampLa20
Chris Canty,CB,23.166,1999-09-12,NFL,SEA,,DET,L 20-28,1,1,Sun,0.0,2,0,2,0,,CantCh20
Mark Carrier,FS,31.137,1999-09-12,NFL,DET,@,SEA,W 28-20,1,1,Sun,0.0,1,0,1,0,,CarrMa01
Chris Carter,FS,24.350,1999-09-12,NFL,NWE,@,NYJ,W 30-28,1,1,Sun,0.0,5,2,7,0,,CartCh20
Kevin Carter,LDE,25.356,1999-09-12,NFL,STL,,BAL,W 27-10,1,1,Sun,2.0,3,0,3,1,,CartKe00
Marty Carter,S,29.269,1999-09-12,NFL,ATL,,MIN,L 14-17,1,1,Sun,0.0,5,0,5,0,,CartMa20
Tom Carter,RCB,27.007,1999-09-12,NFL,CHI,,KAN,W 20-17,1,1,Sun,0.0,4,0,4,0,,CartTo20
Johndale Carty,S,22.016,1999-09-12,NFL,ATL,,MIN,L 14-17,1,1,Sun,0.0,1,1,2,0,,CartJo22
Chad Cascadden,LB,27.121,1999-09-12,NFL,NYJ,,NWE,L 28-30,1,1,Sun,0.0,3,1,4,0,,CascCh20
Corey Chavous,RCB,23.240,1999-09-12,NFL,ARI,@,PHI,W 25-24,1,1,Sun,0.0,2,2,4,0,,ChavCo00
Chris Claiborne,WLB,21.048,1999-09-12,NFL,DET,@,SEA,W 28-20,1,1,Sun,0.0,2,1,3,0,,ClaiCh20
Willie Clay,S,29.007,1999-09-12,NFL,NOR,,CAR,W 19-10,1,1,Sun,0.0,1,0,1,0,,ClayWi20
Charlie Clemons,LB,27.070,1999-09-12,NFL,STL,,BAL,W 27-10,1,1,Sun,0.0,1,0,1,0,,ClemCh22
Duane Clemons,DE,25.112,1999-09-12,NFL,MIN,@,ATL,W 17-14,1,1,Sun,1.0,4,1,5,1,,ClemDu20
Dexter Coakley,WLB,26.327,1999-09-12,NFL,DAL,@,WAS,W 41-35,1,1,Sun,0.0,5,1,6,0,,CoakDe00
Marco Coleman,DE,29.268,1999-09-12,NFL,WAS,,DAL,L 35-41,1,1,Sun,1.0,6,0,6,2,,ColeMa00
Marcus Coleman,CB,25.111,1999-09-12,NFL,NYJ,,NWE,L 28-30,1,1,Sun,0.0,1,0,1,0,,ColeMa20
Andre Collins,LB,31.131,1999-09-12,NFL,DET,@,SEA,W 28-20,1,1,Sun,0.0,0,1,1,0,,CollAn20
Todd Collins,RLB,29.108,1999-09-12,NFL,STL,,BAL,W 27-10,1,1,Sun,0.0,3,3,6,1,,CollTo20
Greg Comella,FB,24.045,1999-09-12,NFL,NYG,@,TAM,W 17-13,1,1,Sun,0.0,1,0,1,0,,ComeGr00
John Copeland,LDE,28.357,1999-09-12,NFL,CIN,@,TEN,L 35-36,1,1,Sun,0.0,1,0,1,0,,CopeJo20
Chad Cota,SS,28.035,1999-09-12,NFL,IND,,BUF,W 31-14,1,1,Sun,0.0,5,0,5,0,,CotaCh20
Terry Cousin,CB,24.185,1999-09-12,NFL,CHI,,KAN,W 20-17,1,1,Sun,0.0,1,0,1,0,,CousTe20
Sam Cowart,RILB,24.198,1999-09-12,NFL,BUF,@,IND,L 14-31,1,1,Sun,0.0,8,2,10,0,,CowaSa00
Bryan Cox,LILB,31.207,1999-09-12,NFL,NYJ,,NWE,L 28-30,1,1,Sun,0.0,6,0,6,3,,CoxxBr00
Jason Craft,CB,23.211,1999-09-12,NFL,JAX,,SFO,W 41-3,1,1,Sun,0.0,2,0,2,0,,CrafJa20
Vernon Crawford,LB,25.079,1999-09-12,NFL,NWE,@,NYJ,W 30-28,1,1,Sun,0.0,0,1,1,0,,CrawVe20
Henri Crockett,LB,24.319,1999-09-12,NFL,ATL,,MIN,L 14-17,1,1,Sun,0.0,2,0,2,0,,CrocHe20
Brad Culpepper,NT,30.127,1999-09-12,NFL,TAM,,NYG,L 13-17,1,1,Sun,0.0,1,2,3,0,,CulpBr20
Eric Curry,DE,29.221,1999-09-12,NFL,JAX,,SFO,W 41-3,1,1,Sun,0.5,1,1,2,0,,CurrEr20
Canute Curtis,LB,25.039,1999-09-12,NFL,CIN,@,TEN,L 35-36,1,1,Sun,0.0,3,0,3,0,,CurtCa20
Lional Dalton,DT,24.203,1999-09-12,NFL,BAL,@,STL,L 10-27,1,1,Sun,0.0,0,1,1,0,,DaltLi20
Phillip Daniels,RDE,26.192,1999-09-12,NFL,SEA,,DET,L 20-28,1,1,Sun,1.0,4,0,4,2,,DaniPh20
Donovin Darius,SS,24.031,1999-09-12,NFL,JAX,,SFO,W 41-3,1,1,Sun,0.0,3,0,3,0,,DariDo20
James Darling,LLB,24.257,1999-09-12,NFL,PHI,,ARI,L 24-25,1,1,Sun,0.0,1,1,2,1,,DarlJa20
Eric Davis,LCB,31.229,1999-09-12,NFL,CAR,@,NOR,L 10-19,1,1,Sun,0.0,6,1,7,1,,DaviEr00
Nathan Davis,DT,25.218,1999-09-12,NFL,DAL,@,WAS,W 41-35,1,1,Sun,0.0,1,0,1,0,,DaviNa20
Russell Davis,RDE,24.168,1999-09-12,NFL,CHI,,KAN,W 20-17,1,1,Sun,1.0,1,0,1,1,,DaviRu20
Travis Davis,S,26.245,1999-09-12,NFL,PIT,@,CLE,W 43-0,1,1,Sun,0.0,1,0,1,1,,DaviTr20
Brian Dawkins*,FS,25.334,1999-09-12,NFL,PHI,,ARI,L 24-25,1,1,Sun,0.0,4,0,4,0,,DawkBr00
Tim Denton,CB,26.222,1999-09-12,NFL,WAS,,DAL,L 35-41,1,1,Sun,0.0,1,0,1,0,,DentTi20
Kevin Devine,CB,24.275,1999-09-12,NFL,MIN,@,ATL,W 17-14,1,1,Sun,0.0,0,1,1,0,,DeviKe20
Cris Dishman,LCB,34.030,1999-09-12,NFL,KAN,@,CHI,L 17-20,1,1,Sun,0.0,6,0,6,0,,DishCr00
Santana Dotson,T,29.267,1999-09-12,NFL,GNB,,OAK,W 28-24,1,1,Sun,1.0,5,1,6,1,,DotsSa20
Hugh Douglas,RDE,28.020,1999-09-12,NFL,PHI,,ARI,L 24-25,1,1,Sun,1.0,2,1,3,1,,DougHu00
Jerry Drake,RDT,30.065,1999-09-12,NFL,ARI,@,PHI,W 25-24,1,1,Sun,1.0,3,0,3,1,,DrakJe20
Tyronne Drakeford,RCB,28.083,1999-09-12,NFL,NOR,,CAR,W 19-10,1,1,Sun,0.0,7,0,7,0,,DrakTy20
Shane Dronett,DT,28.243,1999-09-12,NFL,ATL,,MIN,L 14-17,1,1,Sun,0.0,2,1,3,0,,DronSh20
Chad Eaton,LDT,27.159,1999-09-12,NFL,NWE,@,NYJ,W 30-28,1,1,Sun,0.0,3,3,6,0,,EatoCh20
Antuan Edwards,CB,22.109,1999-09-12,NFL,GNB,,OAK,W 28-24,1,1,Sun,0.0,1,0,1,0,,EdwaAn21
Donnie Edwards,RLB,26.159,1999-09-12,NFL,KAN,@,CHI,L 17-20,1,1,Sun,0.0,8,1,9,0,,EdwaDo20
Keith Elias,RB,27.221,1999-09-12,NFL,IND,,BUF,W 31-14,1,1,Sun,0.0,1,0,1,0,,EliaKe00
Greg Ellis,DE,24.029,1999-09-12,NFL,DAL,@,WAS,W 41-35,1,1,Sun,2.0,5,1,6,1,,ElliGr20
Luther Elliss,UT,26.174,1999-09-12,NFL,DET,@,SEA,W 28-20,1,1,Sun,1.0,3,0,3,1,,ElliLu00
Percy Ellsworth,FS,24.328,1999-09-12,NFL,NYG,@,TAM,W 17-13,1,1,Sun,0.0,3,1,4,0,,EllsPe20
Doug Evans,RCB,29.122,1999-09-12,NFL,CAR,@,NOR,L 10-19,1,1,Sun,0.0,3,1,4,0,,EvanDo21
Leomont Evans,S,25.062,1999-09-12,NFL,WAS,,DAL,L 35-41,1,1,Sun,0.0,5,4,9,0,,EvanLe20
Terry Fair,RCB,23.054,1999-09-12,NFL,DET,@,SEA,W 28-20,1,1,Sun,0.0,4,0,4,0,,FairTe20
D'Marco Farr,RDT,28.095,1999-09-12,NFL,STL,,BAL,W 27-10,1,1,Sun,0.5,2,1,3,1,,FarrDM20
James Farrior,ROLB,24.249,1999-09-12,NFL,NYJ,,NWE,L 28-30,1,1,Sun,0.0,2,1,3,1,,FarrJa99
Christian Fauria,TE,27.355,1999-09-12,NFL,SEA,,DET,L 20-28,1,1,Sun,0.0,0,1,1,0,,FaurCh00
Jason Ferguson,NT,24.288,1999-09-12,NFL,NYJ,,NWE,L 28-30,1,1,Sun,0.0,5,0,5,0,,FergJa21
John Fiala,LB,25.291,1999-09-12,NFL,PIT,@,CLE,W 43-0,1,1,Sun,0.0,1,0,1,0,,FialJo20
Mark Fields,WLB,26.307,1999-09-12,NFL,NOR,,CAR,W 19-10,1,1,Sun,0.0,3,2,5,0,,FielMa99
Brian Finneran,WR,23.224,1999-09-12,NFL,PHI,,ARI,L 24-25,1,1,Sun,0.0,1,0,1,0,,FinnBr00
Charles Fisher,LCB,23.222,1999-09-12,NFL,CIN,@,TEN,L 35-36,1,1,Sun,0.0,1,1,2,0,,FishCh20
Jason Fisk,RDT,27.008,1999-09-12,NFL,TEN,,CIN,W 36-35,1,1,Sun,0.0,2,1,3,1,,FiskJa20
Jim Flanigan,LDT,28.016,1999-09-12,NFL,CHI,,KAN,W 20-17,1,1,Sun,0.0,1,0,1,0,,FlanJi21
