Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,unique_id
Diontae Johnson,WR,23.072,2019-09-15,NFL,PIT,,SEA,L 26-28,2,2,Sun,1,11,11.00,0,JohnDi01
Cyrus Jones,CB/RS,25.290,2019-09-15,NFL,BAL,,ARI,W 23-17,2,2,Sun,3,45,15.00,0,JoneCy00
T.J. Jones,WR,27.058,2019-09-15,NFL,NYG,,BUF,L 14-28,2,2,Sun,3,75,25.00,0,JoneT.00
Desmond King,DB,24.275,2019-09-15,NFL,LAC,@,DET,L 10-13,2,2,Sun,1,0,0.00,0,KingDe01
Christian Kirk,WR,22.301,2019-09-15,NFL,ARI,@,BAL,L 17-23,2,2,Sun,1,0,0.00,0,KirkCh01
Tyler Lockett,WR,26.352,2019-09-15,NFL,SEA,@,PIT,W 28-26,2,2,Sun,2,10,5.00,0,LockTy00
Jojo Natson,WR,25.226,2019-09-15,NFL,LAR,,NOR,W 27-9,2,2,Sun,2,42,21.00,0,NatsJo00
Gunner Olszewski,WR,22.293,2019-09-15,NFL,NWE,@,MIA,W 43-0,2,2,Sun,3,9,3.00,0,OlszGu00
Trey Quinn,WR,23.282,2019-09-15,NFL,WAS,,DAL,L 21-31,2,2,Sun,1,9,9.00,0,QuinTr00
Jalen Richard,RB,25.335,2019-09-15,NFL,OAK,,KAN,L 10-28,2,2,Sun,1,-1,-1.00,0,RichJa01
Chester Rogers,WR,25.246,2019-09-15,NFL,IND,@,TEN,W 19-17,2,2,Sun,4,42,10.50,0,RogeCh02
Diontae Spencer,WR,27.180,2019-09-15,NFL,DEN,,CHI,L 14-16,2,2,Sun,4,35,8.75,0,SpenDi00
Darren Sproles,RB,36.087,2019-09-15,NFL,PHI,@,ATL,L 20-24,2,2,Sun,1,8,8.00,0,SproDa00
Ryan Switzer,WR,24.315,2019-09-15,NFL,PIT,,SEA,L 26-28,2,2,Sun,1,1,1.00,0,SwitRy00
De'Anthony Thomas,WR,26.253,2019-09-15,NFL,KAN,@,OAK,W 28-10,2,2,Sun,5,28,5.60,0,ThomDe05
Dede Westbrook,WR,25.298,2019-09-15,NFL,JAX,@,HOU,L 12-13,2,2,Sun,2,3,1.50,0,WestDe00
Cedrick Wilson,WR,23.299,2019-09-15,NFL,DAL,@,WAS,W 31-21,2,2,Sun,1,0,0.00,0,WilsCe01
Braxton Berrios,WR,23.345,2019-09-16,NFL,NYJ,,CLE,L 3-23,2,2,Mon,1,5,5.00,0,BerrBr00
Jarvis Landry,WR,26.292,2019-09-16,NFL,CLE,@,NYJ,W 23-3,2,2,Mon,4,48,12.00,0,LandJa00
Adoree' Jackson,CB,24.001,2019-09-19,NFL,TEN,@,JAX,L 7-20,3,3,Thu,1,0,0.00,0,JackAd00
Dede Westbrook,WR,25.302,2019-09-19,NFL,JAX,,TEN,W 20-7,3,3,Thu,2,11,5.50,0,WestDe00
Jamal Agnew,CB,24.172,2019-09-22,NFL,DET,@,PHI,W 27-24,3,3,Sun,1,24,24.00,0,AgneJa00
