Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fmb,Fumble Forced,FR,FR Yds,FR TD,unique_id
Troy Polamalu,SS,25.141,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,0,1,0,0,0,PolaTr99
John Abraham,RDE,28.127,2006-09-10,NFL,ATL,@,CAR,W 20-6,1,1,Sun,0,2,0,0,0,AbraJo00
Jared Allen,RDE,24.160,2006-09-10,NFL,KAN,,CIN,L 10-23,1,1,Sun,0,1,0,0,0,AlleJa22
David Barrett,CB,28.262,2006-09-10,NFL,NYJ,@,TEN,W 23-16,1,1,Sun,,1,0,,,BarrDa22
Rocky Bernard,RDT,27.144,2006-09-10,NFL,SEA,@,DET,W 9-6,1,1,Sun,,1,0,,,BernRo20
Dre' Bly,RCB,29.111,2006-09-10,NFL,DET,,SEA,L 6-9,1,1,Sun,,1,0,,,BlyxDr00
Michael Boulware,SS,24.358,2006-09-10,NFL,SEA,@,DET,W 9-6,1,1,Sun,,1,0,,,BoulMi20
Keith Bulluck,RLB,29.159,2006-09-10,NFL,TEN,,NYJ,L 16-23,1,1,Sun,,1,0,,,BullKe00
Thomas Davis,SLB,23.172,2006-09-10,NFL,CAR,,ATL,L 6-20,1,1,Sun,,1,0,,,DaviTh20
Cortland Finnegan,CB,22.220,2006-09-10,NFL,TEN,,NYJ,L 16-23,1,1,Sun,0,1,0,0,0,FinnCo20
Walt Harris,RCB,32.031,2006-09-10,NFL,SFO,@,ARI,L 27-34,1,1,Sun,0,1,1,0,0,HarrWa21
Orlando Huff,WLB,28.027,2006-09-10,NFL,ARI,,SFO,W 34-27,1,1,Sun,,1,0,,,HuffOr20
Chris Kelsay,LDE,26.314,2006-09-10,NFL,BUF,@,NWE,L 17-19,1,1,Sun,0,1,0,0,0,KelsCh21
Alex Lewis,SLB,25.091,2006-09-10,NFL,DET,,SEA,L 6-9,1,1,Sun,,1,0,,,LewiAl20
Leonard Little,LDE,31.326,2006-09-10,NFL,STL,,DEN,W 18-10,1,1,Sun,0,1,0,0,0,LittLe00
Kevin Mathis,S,32.134,2006-09-10,NFL,ATL,@,CAR,W 20-6,1,1,Sun,,1,0,,,MathKe20
Matt McCoy,WLB,23.331,2006-09-10,NFL,PHI,@,HOU,W 24-10,1,1,Sun,,1,0,,,McCoMa20
Brandon Moore,LB,27.237,2006-09-10,NFL,SFO,@,ARI,L 27-34,1,1,Sun,0,1,0,0,0,MoorBr22
Calvin Pace,SLB,25.317,2006-09-10,NFL,ARI,,SFO,W 34-27,1,1,Sun,,1,0,,,PaceCa20
Adrian Peterson,RB,27.071,2006-09-10,NFL,CHI,@,GNB,W 26-0,1,1,Sun,0,1,0,0,0,PeteAd00
Simeon Rice,DE,32.198,2006-09-10,NFL,TAM,,BAL,L 0-27,1,1,Sun,,1,0,,,RiceSi00
Bryan Robinson,LDE,32.080,2006-09-10,NFL,CIN,@,KAN,W 23-10,1,1,Sun,0,1,0,0,0,RobiBr20
Brian Russell,FS,28.217,2006-09-10,NFL,CLE,,NOR,L 14-19,1,1,Sun,,1,0,,,RussBr20
Justin Smith,RDE,26.345,2006-09-10,NFL,CIN,@,KAN,W 23-10,1,1,Sun,0,1,1,0,0,SmitJu20
Takeo Spikes,SLB,29.267,2006-09-10,NFL,BUF,@,NWE,L 17-19,1,1,Sun,0,1,0,0,0,SpikTa00
Dewayne White,DE,26.326,2006-09-10,NFL,TAM,,BAL,L 0-27,1,1,Sun,0,1,0,0,0,WhitDe20
Will Witherspoon,MLB,26.022,2006-09-10,NFL,STL,,DEN,W 18-10,1,1,Sun,,1,0,,,WithWi20
Demetric Evans,DL,27.008,2006-09-11,NFL,WAS,,MIN,L 16-19,1,1,Mon,0,1,0,0,0,EvanDe20
Darren Sharper,SS,30.312,2006-09-11,NFL,MIN,@,WAS,W 19-16,1,1,Mon,,1,0,,,SharDa00
Marcus Washington,SLB,28.329,2006-09-11,NFL,WAS,,MIN,L 16-19,1,1,Mon,,1,0,,,WashMa99
Dre' Bly,RCB,29.118,2006-09-17,NFL,DET,@,CHI,L 7-34,2,2,Sun,,1,0,,,BlyxDr00
Raheem Brock,RDT,28.099,2006-09-17,NFL,IND,,HOU,W 43-24,2,2,Sun,0,1,1,0,0,BrocRa20
Alex Brown,RDE,27.105,2006-09-17,NFL,CHI,,DET,W 34-7,2,2,Sun,,1,1,,,BrowAl20
Brian Dawkins*,FS,32.339,2006-09-17,NFL,PHI,,NYG,L 24-30,2,2,Sun,,1,0,,,DawkBr00
Ryan Denney,DE,29.094,2006-09-17,NFL,BUF,@,MIA,W 16-6,2,2,Sun,0,1,0,0,0,DennRy20
Marques Douglas,DL,29.196,2006-09-17,NFL,SFO,,STL,W 20-13,2,2,Sun,0,1,0,0,0,DougMa20
Glenn Earl,SS,25.099,2006-09-17,NFL,HOU,@,IND,L 24-43,2,2,Sun,,1,0,,,EarlGl20
John Engelberger,DE,29.334,2006-09-17,NFL,DEN,,KAN,W 9-6,2,2,Sun,,1,0,,,EngeJo20
Nick Ferguson,SS,31.294,2006-09-17,NFL,DEN,,KAN,W 9-6,2,2,Sun,,1,0,,,FergNi20
Kabeer Gbaja-Biamila,RDE,28.358,2006-09-17,NFL,GNB,,NOR,L 27-34,2,2,Sun,0,1,0,0,0,GbajKa20
Charles Grant,LDE,28.014,2006-09-17,NFL,NOR,@,GNB,W 34-27,2,2,Sun,,1,0,,,GranCh21
Ken Hamlin,FS,25.240,2006-09-17,NFL,SEA,,ARI,W 21-10,2,2,Sun,0,1,0,0,0,HamlKe20
Kelly Herndon,LCB,29.318,2006-09-17,NFL,SEA,,ARI,W 21-10,2,2,Sun,,1,0,,,HernKe20
Tank Johnson,DT,24.284,2006-09-17,NFL,CHI,,DET,W 34-7,2,2,Sun,0,1,0,0,0,JohnTa20
Aaron Kampman,LDE,26.291,2006-09-17,NFL,GNB,,NOR,L 27-34,2,2,Sun,0,2,1,0,0,KampAa99
Jevon Kearse,LDE,30.014,2006-09-17,NFL,PHI,,NYG,L 24-30,2,2,Sun,0,1,0,0,0,KearJe00
Robert Mathis,LDE,25.203,2006-09-17,NFL,IND,,HOU,W 43-24,2,2,Sun,0,1,0,0,0,MathRo20
Juqua Parker,DE,28.125,2006-09-17,NFL,PHI,,NYG,L 24-30,2,2,Sun,0,1,0,0,0,ThomJu20
Jermaine Phillips,SS,27.174,2006-09-17,NFL,TAM,@,ATL,L 3-14,2,2,Sun,,2,1,,,PhilJe20
Shelton Quarles,MLB,35.006,2006-09-17,NFL,TAM,@,ATL,L 3-14,2,2,Sun,,1,0,,,QuarSh20
Montae Reagor,LDT,29.080,2006-09-17,NFL,IND,,HOU,W 43-24,2,2,Sun,,1,1,,,ReagMo20
Kerry Rhodes,S,24.046,2006-09-17,NFL,NYJ,,NWE,L 17-24,2,2,Sun,0,1,0,0,0,RhodKe20
Ian Scott,RDT,24.313,2006-09-17,NFL,CHI,,DET,W 34-7,2,2,Sun,,1,0,,,ScotIa20
Scott Shanle,WLB,26.298,2006-09-17,NFL,NOR,@,GNB,W 34-27,2,2,Sun,,1,0,,,ShanSc20
Brian Simmons,MLB,31.088,2006-09-17,NFL,CIN,,CLE,W 34-17,2,2,Sun,0,1,0,0,0,SimmBr20
Terrell Suggs,RDE,23.341,2006-09-17,NFL,BAL,,OAK,W 28-6,2,2,Sun,0,1,1,0,0,SuggTe99
Sean Taylor,FS,23.169,2006-09-17,NFL,WAS,@,DAL,L 10-27,2,2,Sun,,1,0,,,TaylSe20
Pat Watkins,FS,23.273,2006-09-17,NFL,DAL,,WAS,W 27-10,2,2,Sun,,1,0,,,WatkPa20
Gibril Wilson,SS,24.309,2006-09-17,NFL,NYG,@,PHI,W 30-24,2,2,Sun,,1,0,,,WilsGi20
Grant Wistrom,RDE ,30.076,2006-09-17,NFL,SEA,,ARI,W 21-10,2,2,Sun,0,1,0,0,0,WistGr20
Will Witherspoon,MLB,26.029,2006-09-17,NFL,STL,@,SFO,L 13-20,2,2,Sun,,1,0,,,WithWi20
Charles Woodson,LCB,29.345,2006-09-17,NFL,GNB,,NOR,L 27-34,2,2,Sun,0,1,0,0,0,WoodCh00
Will Allen,LCB,28.050,2006-09-24,NFL,MIA,,TEN,W 13-10,3,3,Sun,,1,0,,,AlleWi20
Mike Brown,SS,28.223,2006-09-24,NFL,CHI,@,MIN,W 19-16,3,3,Sun,,1,0,,,BrowMi99
Keith Bulluck,RLB,29.173,2006-09-24,NFL,TEN,@,MIA,L 10-13,3,3,Sun,0,1,0,0,0,BullKe00
Kendrick Clancy,NT,28.007,2006-09-24,NFL,ARI,,STL,L 14-16,3,3,Sun,0,1,0,0,0,ClanKe20
Brian Dawkins*,FS,32.346,2006-09-24,NFL,PHI,@,SFO,W 38-24,3,3,Sun,,1,0,,,DawkBr00
Larry Foote,RILB,26.104,2006-09-24,NFL,PIT,,CIN,L 20-28,3,3,Sun,0,1,0,0,0,FootLa20
Clark Haggans,LOLB,29.257,2006-09-24,NFL,PIT,,CIN,L 20-28,3,3,Sun,0,1,0,0,0,HaggCl20
Walt Harris,RCB,32.045,2006-09-24,NFL,SFO,,PHI,L 24-38,3,3,Sun,,1,0,,,HarrWa21
Terrence Holt,FS,26.203,2006-09-24,NFL,DET,,GNB,L 24-31,3,3,Sun,,1,0,,,HoltTe20
Darren Howard,LDE,29.309,2006-09-24,NFL,PHI,@,SFO,W 38-24,3,3,Sun,0,1,0,0,0,HowaDa21
Kevin Kaesviharn,SS,30.026,2006-09-24,NFL,CIN,@,PIT,W 28-20,3,3,Sun,0,1,0,0,0,KaesKe20
