Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,unique_id
Chad Morton,RB/K,26.153,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,1,10,10.00,0,MortCh00
Santana Moss,WR-K,24.095,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,1,26,26.00,0,MossSa00
Anquan Boldin,WR,22.339,2003-09-07,NFL,ARI,@,DET,L 24-42,1,1,Sun,3,18,6.00,0,BoldAn00
Deion Branch,WR,24.051,2003-09-07,NFL,NWE,@,BUF,L 0-31,1,1,Sun,1,11,11.00,0,BranDe00
Lamont Brightful,DB,24.221,2003-09-07,NFL,BAL,@,PIT,L 15-34,1,1,Sun,4,22,5.50,0,BrigLa20
Antonio Brown,WR,25.188,2003-09-07,NFL,BUF,,NWE,W 31-0,1,1,Sun,4,3,0.75,0,BrowAn01
Troy Brown,WR,32.067,2003-09-07,NFL,NWE,@,BUF,L 0-31,1,1,Sun,2,26,13.00,0,BrowTr00
Arland Bruce,WR,25.288,2003-09-07,NFL,SFO,,CHI,W 49-7,1,1,Sun,4,24,6.00,0,BrucAr20
Phillip Buchanon,CB,22.353,2003-09-07,NFL,OAK,@,TEN,L 20-25,1,1,Sun,2,-1,-0.50,0,BuchPh20
Antonio Chatman,WR/K,24.207,2003-09-07,NFL,GNB,,MIN,L 25-30,1,1,Sun,2,13,6.50,0,ChatAn00
Eddie Drummond,WR,23.148,2003-09-07,NFL,DET,,ARI,W 42-24,1,1,Sun,3,77,25.67,1,DrumEd00
Bobby Engram,WR,30.243,2003-09-07,NFL,SEA,,NOR,W 27-10,1,1,Sun,3,25,8.33,0,EngrBo00
Dante Hall,WR,25.006,2003-09-07,NFL,KAN,,SDG,W 27-14,1,1,Sun,3,23,7.67,0,HallDa00
Arlen Harris,RB,23.138,2003-09-07,NFL,STL,@,NYG,L 13-23,1,1,Sun,2,23,11.50,0,HarrAr00
Keenan Howry,WR,22.082,2003-09-07,NFL,MIN,@,GNB,W 30-25,1,1,Sun,1,0,0.00,0,HowrKe00
Bethel Johnson,WR,24.208,2003-09-07,NFL,NWE,@,BUF,L 0-31,1,1,Sun,1,2,2.00,0,JohnBe00
Eric Johnson,S/LB,27.130,2003-09-07,NFL,OAK,@,TEN,L 20-25,1,1,Sun,1,1,1.00,0,JohnEr21
Jermaine Lewis,KR/W,28.326,2003-09-07,NFL,JAX,@,CAR,L 23-24,1,1,Sun,4,37,9.25,0,LewiJe00
Michael Lewis,WR,31.297,2003-09-07,NFL,NOR,@,SEA,L 10-27,1,1,Sun,4,31,7.75,0,LewiMi00
Justin McCareins,WR,24.280,2003-09-07,NFL,TEN,,OAK,W 25-20,1,1,Sun,5,74,14.80,0,McCaJu00
Brian Mitchell,RB,35.020,2003-09-07,NFL,NYG,,STL,W 23-13,1,1,Sun,1,4,4.00,0,MitcBr00
J.J. Moses,WR,23.360,2003-09-07,NFL,HOU,@,MIA,W 21-20,1,1,Sun,4,12,3.00,0,MoseJ.00
Dennis Northcutt,WR,25.259,2003-09-07,NFL,CLE,,IND,L 6-9,1,1,Sun,1,2,2.00,0,NortDe00
Deltha O'Neal,RCB,26.220,2003-09-07,NFL,DEN,@,CIN,W 30-10,1,1,Sun,3,26,8.67,0,ONeaDe00
Eric Parker,WR,24.146,2003-09-07,NFL,SDG,@,KAN,L 14-27,1,1,Sun,4,46,11.50,0,ParkEr00
Brad Pyatt,WR,23.144,2003-09-07,NFL,IND,@,CLE,W 9-6,1,1,Sun,1,2,2.00,0,PyatBr00
Antwaan Randle El,WR,24.021,2003-09-07,NFL,PIT,,BAL,W 34-15,1,1,Sun,1,9,9.00,0,RandAn00
Charlie Rogers,KR,27.080,2003-09-07,NFL,MIA,,HOU,L 20-21,1,1,Sun,2,4,2.00,0,RogeCh00
Allen Rossum,CB,27.320,2003-09-07,NFL,ATL,@,DAL,W 27-13,1,1,Sun,5,34,6.80,0,RossAl99
Steve Smith,WR,24.118,2003-09-07,NFL,CAR,,JAX,W 24-23,1,1,Sun,6,102,17.00,0,SmitSt01
Omar Stoutmire,FS,29.060,2003-09-07,NFL,NYG,,STL,W 23-13,1,1,Sun,1,0,0.00,0,StouOm20
Reggie Swinton,WR,28.045,2003-09-07,NFL,DAL,,ATL,L 13-27,1,1,Sun,1,0,0.00,0,SwinRe00
Bobby Wade,WR,22.194,2003-09-07,NFL,CHI,@,SFO,L 7-49,1,1,Sun,2,9,4.50,0,WadeBo00
Peter Warrick,WR,26.080,2003-09-07,NFL,CIN,,DEN,L 10-30,1,1,Sun,2,3,1.50,0,WarrPe00
Jimmy Williams,CB,24.181,2003-09-07,NFL,SFO,,CHI,W 49-7,1,1,Sun,1,5,5.00,0,WillJi22
Lito Sheppard,CB,22.153,2003-09-08,NFL,PHI,,TAM,L 0-17,1,1,Mon,4,15,3.75,0,ShepLi99
Karl Williams,WR,32.151,2003-09-08,NFL,TAM,@,PHI,W 17-0,1,1,Mon,4,30,7.50,0,WillKa00
Anquan Boldin,WR,22.346,2003-09-14,NFL,ARI,,SEA,L 0-38,2,2,Sun,1,7,7.00,0,BoldAn00
Lamont Brightful,DB,24.228,2003-09-14,NFL,BAL,,CLE,W 33-13,2,2,Sun,5,54,10.80,0,BrigLa20
Antonio Brown,WR,25.195,2003-09-14,NFL,BUF,@,JAX,W 38-17,2,2,Sun,3,38,12.67,0,BrowAn01
Troy Brown,WR,32.074,2003-09-14,NFL,NWE,@,PHI,W 31-10,2,2,Sun,5,47,9.40,0,BrowTr00
