Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Int Ret,Int Ret Yds,Int Ret TD,Pass Broken Up,unique_id
Joselio Hanson,DB,29.030,2010-09-12,NFL,PHI,,GNB,L 20-27,1,1,Sun,1,17,0,1,HansJo20
Derrick Harvey,DE,23.307,2010-09-12,NFL,JAX,,DEN,W 24-17,1,1,Sun,0,0,0,1,HarvDe99
David Hawthorne,OLB,25.121,2010-09-12,NFL,SEA,,SFO,W 31-6,1,1,Sun,0,0,0,1,HawtDa20
Kelvin Hayden,LCB,27.051,2010-09-12,NFL,IND,@,HOU,L 24-34,1,1,Sun,0,0,0,1,HaydKe20
Chris Hope,SS,29.348,2010-09-12,NFL,TEN,,OAK,W 38-13,1,1,Sun,1,32,0,1,HopeCh21
Kareem Jackson,RCB,22.155,2010-09-12,NFL,HOU,,IND,W 34-24,1,1,Sun,0,0,0,1,JackKa99
Bradie James,MILB,29.238,2010-09-12,NFL,DAL,@,WAS,L 7-13,1,1,Sun,0,0,0,1,JameBr20
Mike Jenkins,RCB,25.174,2010-09-12,NFL,DAL,@,WAS,L 7-13,1,1,Sun,0,0,0,1,JenkMi99
Kelly Jennings,RCB,27.286,2010-09-12,NFL,SEA,,SFO,W 31-6,1,1,Sun,0,0,0,1,JennKe20
Spencer Johnson,DE,28.274,2010-09-12,NFL,BUF,,MIA,L 10-15,1,1,Sun,0,0,0,1,JohnSp20
Jason Jones,DT,24.112,2010-09-12,NFL,TEN,,OAK,W 38-13,1,1,Sun,0,0,0,1,JoneJa99
LaRon Landry,SS,25.333,2010-09-12,NFL,WAS,,DAL,W 13-7,1,1,Sun,0,0,0,1,LandLa99
Danieal Manning,SS,28.034,2010-09-12,NFL,CHI,,DET,W 19-14,1,1,Sun,0,0,0,1,MannDa21
Rashean Mathis,CB,30.016,2010-09-12,NFL,JAX,,DEN,W 24-17,1,1,Sun,0,0,0,1,MathRa99
Clay Matthews,LB,24.121,2010-09-12,NFL,GNB,@,PHI,W 27-20,1,1,Sun,0,0,0,1,MattCl99
Devin McCourty,RCB,23.030,2010-09-12,NFL,NWE,,CIN,W 38-24,1,1,Sun,0,0,0,1,McCoDe99
Jason McCourty,LCB,23.030,2010-09-12,NFL,TEN,,OAK,W 38-13,1,1,Sun,0,0,0,1,McCoJa99
Tony McDaniel,DT,25.235,2010-09-12,NFL,MIA,@,BUF,W 15-10,1,1,Sun,0,0,0,1,McDaTo20
Bryant McFadden,RCB,28.295,2010-09-12,NFL,PIT,,ATL,W 15-9,1,1,Sun,0,0,0,1,McFaBr20
Terrence McGee,LCB,29.333,2010-09-12,NFL,BUF,,MIA,L 10-15,1,1,Sun,0,0,0,1,McGeTe99
Rocky McIntosh,ILB,27.301,2010-09-12,NFL,WAS,,DAL,W 13-7,1,1,Sun,0,0,0,1,McInRo20
Leodis McKelvin,CB,25.011,2010-09-12,NFL,BUF,,MIA,L 10-15,1,1,Sun,0,0,0,2,McKeLe99
Quintin Mikell,DB,29.361,2010-09-12,NFL,PHI,,GNB,L 20-27,1,1,Sun,0,0,0,1,MikeQu20
Lawyer Milloy,SS,36.302,2010-09-12,NFL,SEA,,SFO,W 31-6,1,1,Sun,0,0,0,1,MillLa00
Jeremy Mincey,DL,26.272,2010-09-12,NFL,JAX,,DEN,W 24-17,1,1,Sun,0,0,0,1,MincJe99
Derrick Morgan,DE,21.249,2010-09-12,NFL,TEN,,OAK,W 38-13,1,1,Sun,0,0,0,1,MorgDe99
Captain Munnerlyn,CB,22.155,2010-09-12,NFL,CAR,@,NYG,L 18-31,1,1,Sun,0,0,0,1,MunnCa99
Brian Orakpo,ROLB,24.043,2010-09-12,NFL,WAS,,DAL,W 13-7,1,1,Sun,0,0,0,1,OrakBr99
