Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Int Ret,Int Ret Yds,Int Ret TD,Pass Broken Up,unique_id
Stephon Gilmore,RCB,26.353,2017-09-07,NFL,NWE,,KAN,L 27-42,1,1,Thu,0,0,0,1,GilmSt00
Derrick Johnson,LILB,34.289,2017-09-07,NFL,KAN,@,NWE,W 42-27,1,1,Thu,0,0,0,1,JohnDe25
Devin McCourty,S,30.025,2017-09-07,NFL,NWE,,KAN,L 27-42,1,1,Thu,0,0,0,2,McCoDe99
Terrance Mitchell,RCB,25.113,2017-09-07,NFL,KAN,@,NWE,W 42-27,1,1,Thu,0,0,0,1,MitcTe00
Jamal Adams,SS,21.328,2017-09-10,NFL,NYJ,@,BUF,L 12-21,1,1,Sun,0,0,0,1,AdamJa00
Robert Alford,CB,28.313,2017-09-10,NFL,ATL,@,CHI,W 23-17,1,1,Sun,0,0,0,3,AlfoRo00
Eli Apple,CB,22.032,2017-09-10,NFL,NYG,@,DAL,L 3-19,1,1,Sun,0,0,0,1,ApplEl00
Antoine Bethea,S,33.045,2017-09-10,NFL,ARI,@,DET,L 23-35,1,1,Sun,0,0,0,1,BethAn20
Justin Bethel,RCB,27.085,2017-09-10,NFL,ARI,@,DET,L 23-35,1,1,Sun,1,82,1,2,BethJu00
Briean Boddy-Calhoun,CB,24.232,2017-09-10,NFL,CLE,,PIT,L 18-21,1,1,Sun,0,0,0,1,BoddBr01
A.J. Bouye,RCB,26.025,2017-09-10,NFL,JAX,@,HOU,W 29-7,1,1,Sun,0,0,0,2,BouyA.00
Nigel Bradham,OLB,28.006,2017-09-10,NFL,PHI,@,WAS,W 30-17,1,1,Sun,0,0,0,1,BradNi00
Tyvon Branch,SS,30.273,2017-09-10,NFL,ARI,@,DET,L 23-35,1,1,Sun,0,0,0,2,BranTy99
Bashaud Breeland,CB,25.223,2017-09-10,NFL,WAS,,PHI,L 17-30,1,1,Sun,0,0,0,1,BreeBa00
Anthony Brown,DB,23.269,2017-09-10,NFL,DAL,,NYG,W 19-3,1,1,Sun,1,0,0,1,BrowAn02
James Burgess,OLB,23.185,2017-09-10,NFL,CLE,,PIT,L 18-21,1,1,Sun,0,0,0,1,BurgJa01
Morgan Burnett,SS,28.240,2017-09-10,NFL,GNB,,SEA,W 17-9,1,1,Sun,0,0,0,1,BurnMo99
Juston Burris,CB,24.037,2017-09-10,NFL,NYJ,@,BUF,L 12-21,1,1,Sun,1,48,0,1,BurrJu00
De'Vondre Campbell,LB,24.069,2017-09-10,NFL,ATL,@,CHI,W 23-17,1,1,Sun,0,0,0,1,CampDe00
