Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Targets,Rec,Rec Yards,Rec Avg,Rec TD,Catch Pct,YPTgt,unique_id
Kenny Britt,WR,20.356,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,6,4,85,21.25,0,66.7%,14.17,BritKe00
Alge Crumpler,TE,31.261,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,3,2,5,2.50,0,66.7%,1.67,CrumAl00
Justin Gage,WR,28.228,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,11,7,78,11.14,1,63.6%,7.09,GageJu00
Ahmard Hall,FB,29.301,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,1,1,4,4.00,0,100.0%,4.00,HallAh00
Santonio Holmes,SE,25.191,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,11,9,131,14.56,1,81.8%,11.91,HolmSa00
Chris Johnson,RB,23.352,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,2,1,11,11.00,0,50.0%,5.50,JohnCh04
Heath Miller,TE,26.323,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,8,8,64,8.00,0,100.0%,8.00,MillHe00
Mewelde Moore,RB,27.048,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,7,4,28,7.00,0,57.1%,4.00,MoorMe00
Willie Parker,RB,28.303,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,1,1,5,5.00,0,100.0%,5.00,ParkWi00
Bo Scaife,TE,28.247,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,6,5,48,9.60,0,83.3%,8.00,ScaiBo00
Mike Wallace,WR,23.040,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,6,3,32,10.67,0,50.0%,5.33,WallMi00
Hines Ward,FL,33.186,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,10,8,103,12.88,0,80.0%,10.30,WardHi00
Nate Washington,WR,26.013,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,3,1,8,8.00,0,33.3%,2.67,WashNa00
LenDale White,RB,24.264,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,1,1,5,5.00,0,100.0%,5.00,WhitLe01
Joseph Addai,RB,26.133,2009-09-13,NFL,IND,,JAX,W 14-12,1,1,Sun,6,5,35,7.00,0,83.3%,5.83,AddaJo00
David Anderson,WR,26.047,2009-09-13,NFL,HOU,,NYJ,L 7-24,1,1,Sun,4,1,14,14.00,0,25.0%,3.50,AndeDa01
B.J. Askew,FB,29.025,2009-09-13,NFL,TAM,,DAL,L 21-34,1,1,Sun,1,1,4,4.00,0,100.0%,4.00,AskeB.00
Miles Austin,WR,25.075,2009-09-13,NFL,DAL,@,TAM,W 34-21,1,1,Sun,2,1,42,42.00,1,50.0%,21.00,AustMi00
Jason Avant,WR,26.146,2009-09-13,NFL,PHI,@,CAR,W 38-10,1,1,Sun,1,1,18,18.00,0,100.0%,18.00,AvanJa00
Donnie Avery,WR,25.093,2009-09-13,NFL,STL,@,SEA,L 0-28,1,1,Sun,8,6,46,7.67,0,75.0%,5.75,AverDo00
Hank Baskett,WR,27.009,2009-09-13,NFL,PHI,@,CAR,W 38-10,1,1,Sun,2,1,6,6.00,0,50.0%,3.00,BaskHa00
Arnaz Battle,WR,29.203,2009-09-13,NFL,SFO,@,ARI,W 20-16,1,1,Sun,2,2,22,11.00,0,100.0%,11.00,BattAr00
Earl Bennett,WR,22.174,2009-09-13,NFL,CHI,@,GNB,L 15-21,1,1,Sun,13,7,66,9.43,0,53.8%,5.08,BennEa00
Martellus Bennett,TE,22.187,2009-09-13,NFL,DAL,@,TAM,W 34-21,1,1,Sun,2,1,13,13.00,0,50.0%,6.50,BennMa00
Cedric Benson,HB,26.259,2009-09-13,NFL,CIN,,DEN,L 7-12,1,1,Sun,4,4,32,8.00,0,100.0%,8.00,BensCe00
Davone Bess,WR,24.000,2009-09-13,NFL,MIA,@,ATL,L 7-19,1,1,Sun,7,7,57,8.14,0,100.0%,8.14,BessDa00
Ladell Betts,RB,30.017,2009-09-13,NFL,WAS,@,NYG,L 17-23,1,1,Sun,2,1,23,23.00,0,50.0%,11.50,BettLa00
Anquan Boldin,WR,28.345,2009-09-13,NFL,ARI,,SFO,L 16-20,1,1,Sun,5,2,19,9.50,0,40.0%,3.80,BoldAn00
Kevin Boss,TE,25.245,2009-09-13,NFL,NYG,,WAS,W 23-17,1,1,Sun,3,3,62,20.67,0,100.0%,20.67,BossKe00
Dwayne Bowe,WR,24.357,2009-09-13,NFL,KAN,@,BAL,L 24-38,1,1,Sun,5,4,40,10.00,1,80.0%,8.00,BoweDw00
Mark Bradley,WR,27.227,2009-09-13,NFL,KAN,@,BAL,L 24-38,1,1,Sun,7,4,73,18.25,0,57.1%,10.43,BradMa00
Ahmad Bradshaw,RB,23.178,2009-09-13,NFL,NYG,,WAS,W 23-17,1,1,Sun,4,3,11,3.67,0,75.0%,2.75,BradAh00
Chris Brown,RB,28.149,2009-09-13,NFL,HOU,,NYJ,L 7-24,1,1,Sun,1,1,1,1.00,0,100.0%,1.00,BrowCh03
Donald Brown,RB,22.155,2009-09-13,NFL,IND,,JAX,W 14-12,1,1,Sun,2,2,16,8.00,0,100.0%,8.00,BrowDo00
