Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,unique_id
Reggie Bush,RB,22.188,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,1,2,2.00,0,BushRe00
Lance Moore,WR,24.006,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,1,30,30.00,0,MoorLa00
T.J. Rushing,DB,24.090,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,3,29,9.67,0,RushT.20
Nate Burleson,WR,26.021,2007-09-09,NFL,SEA,,TAM,W 20-6,1,1,Sun,5,63,12.60,0,BurlNa00
Patrick Crayton,WR,28.155,2007-09-09,NFL,DAL,,NYG,W 45-35,1,1,Sun,2,15,7.50,0,CrayPa00
Chris Davis,WR,23.229,2007-09-09,NFL,TEN,@,JAX,W 13-10,1,1,Sun,3,27,9.00,0,DaviCh02
Craig Davis,WR,21.342,2007-09-09,NFL,SDG,,CHI,W 14-3,1,1,Sun,1,-1,-1.00,0,DaviCr00
Eddie Drummond,WR,27.150,2007-09-09,NFL,KAN,@,HOU,L 3-20,1,1,Sun,3,19,6.33,0,DrumEd00
Joey Galloway,WR,35.293,2007-09-09,NFL,TAM,@,SEA,L 6-20,1,1,Sun,1,2,2.00,0,GallJo00
Ted Ginn,WR,22.150,2007-09-09,NFL,MIA,@,WAS,L 13-16,1,1,Sun,4,20,5.00,0,GinnTe00
Dante Hall,WR,29.008,2007-09-09,NFL,STL,,CAR,L 13-27,1,1,Sun,2,5,2.50,0,HallDa00
Johnnie Lee Higgins,WR,24.001,2007-09-09,NFL,OAK,,DET,L 21-36,1,1,Sun,2,0,0.00,0,HiggJo00
Ike Hilliard,WR,31.157,2007-09-09,NFL,TAM,@,SEA,L 6-20,1,1,Sun,4,38,9.50,0,HillIk00
Domenik Hixon,WR,22.336,2007-09-09,NFL,DEN,@,BUF,W 15-14,1,1,Sun,4,10,2.50,0,HixoDo00
Adam Jennings,WR,24.296,2007-09-09,NFL,ATL,@,MIN,L 3-24,1,1,Sun,2,1,0.50,0,JennAd00
Jacoby Jones,WR,23.060,2007-09-09,NFL,HOU,,KAN,W 20-3,1,1,Sun,4,14,3.50,0,JoneJa03
Greg Lewis,WR,27.209,2007-09-09,NFL,PHI,@,GNB,L 13-16,1,1,Sun,4,4,1.00,0,LewiGr01
Brandon McGowan,RCB,23.358,2007-09-09,NFL,CHI,@,SDG,L 3-14,1,1,Sun,1,0,0.00,0,McGoBr21
R.W. McQuarters,LCB,30.262,2007-09-09,NFL,NYG,@,DAL,L 35-45,1,1,Sun,1,13,13.00,0,McQuR.20
Dennis Northcutt,WR,29.261,2007-09-09,NFL,JAX,,TEN,L 10-13,1,1,Sun,1,3,3.00,0,NortDe00
Roscoe Parrish,WR,25.055,2007-09-09,NFL,BUF,,DEN,L 14-15,1,1,Sun,2,88,44.00,1,ParrRo00
Antwaan Randle El,WR,28.023,2007-09-09,NFL,WAS,,MIA,W 16-13,1,1,Sun,3,23,7.67,0,RandAn00
J.R. Reed,S/KR,25.210,2007-09-09,NFL,PHI,@,GNB,L 13-16,1,1,Sun,2,8,4.00,0,ReedJ.20
Ryne Robinson,WR,22.309,2007-09-09,NFL,CAR,@,STL,W 27-13,1,1,Sun,3,21,7.00,0,RobiRy00
Allen Rossum,CB,31.322,2007-09-09,NFL,PIT,@,CLE,W 34-7,1,1,Sun,2,7,3.50,0,RossAl99
Bobby Wade,WR,26.196,2007-09-09,NFL,MIN,,ATL,W 24-3,1,1,Sun,3,20,6.67,0,WadeBo00
Troy Walters,WR,30.268,2007-09-09,NFL,DET,@,OAK,W 36-21,1,1,Sun,1,18,18.00,0,WaltTr00
Wes Welker,WR,26.131,2007-09-09,NFL,NWE,@,NYJ,W 38-14,1,1,Sun,2,6,3.00,0,WelkWe00
Charles Woodson,LCB,30.337,2007-09-09,NFL,GNB,,PHI,W 16-13,1,1,Sun,2,13,6.50,0,WoodCh00
Steve Breaston,WR,24.021,2007-09-10,NFL,ARI,@,SFO,L 17-20,1,1,Mon,3,1,0.33,0,BreaSt00
Skyler Green,WR,22.363,2007-09-10,NFL,CIN,,BAL,W 27-20,1,1,Mon,1,9,9.00,0,GreeSk20
Ed Reed*,FS,28.364,2007-09-10,NFL,BAL,@,CIN,L 20-27,1,1,Mon,2,68,34.00,1,ReedEd00
B.J. Sams,DB/R,26.316,2007-09-10,NFL,BAL,@,CIN,L 20-27,1,1,Mon,4,37,9.25,0,SamsB.00
Brandon Williams,WR,23.198,2007-09-10,NFL,SFO,,ARI,W 20-17,1,1,Mon,2,20,10.00,0,WillBr01
Steve Breaston,WR,24.027,2007-09-16,NFL,ARI,,SEA,W 23-20,2,2,Sun,2,33,16.50,0,BreaSt00
Nate Burleson,WR,26.028,2007-09-16,NFL,SEA,@,ARI,L 20-23,2,2,Sun,2,30,15.00,0,BurlNa00
Patrick Crayton,WR,28.162,2007-09-16,NFL,DAL,@,MIA,W 37-20,2,2,Sun,2,49,24.50,0,CrayPa00
Josh Cribbs,WR,24.099,2007-09-16,NFL,CLE,,CIN,W 51-45,2,2,Sun,2,11,5.50,0,CribJo01
Eddie Drummond,WR,27.157,2007-09-16,NFL,KAN,@,CHI,L 10-20,2,2,Sun,2,22,11.00,0,DrumEd00
Yamon Figurs,WR/R,24.249,2007-09-16,NFL,BAL,,NYJ,W 20-13,2,2,Sun,3,20,6.67,0,FiguYa00
Ted Ginn,WR,22.157,2007-09-16,NFL,MIA,,DAL,L 20-37,2,2,Sun,3,37,12.33,0,GinnTe00
Skyler Green,WR,23.004,2007-09-16,NFL,CIN,@,CLE,L 45-51,2,2,Sun,1,7,7.00,0,GreeSk20
Dante Hall,WR,29.015,2007-09-16,NFL,STL,,SFO,L 16-17,2,2,Sun,3,8,2.67,0,HallDa00
Devin Hester,KR/P,24.316,2007-09-16,NFL,CHI,,KAN,W 20-10,2,2,Sun,5,143,28.60,1,HestDe99
Johnnie Lee Higgins,WR,24.008,2007-09-16,NFL,OAK,@,DEN,L 20-23,2,2,Sun,1,6,6.00,0,HiggJo00
Domenik Hixon,WR,22.343,2007-09-16,NFL,DEN,,OAK,W 23-20,2,2,Sun,2,8,4.00,0,HixoDo00
Adam Jennings,WR,24.303,2007-09-16,NFL,ATL,@,JAX,L 7-13,2,2,Sun,1,3,3.00,0,JennAd00
Jacoby Jones,WR,23.067,2007-09-16,NFL,HOU,@,CAR,W 34-21,2,2,Sun,2,32,16.00,0,JoneJa03
Mark Jones,WR,26.317,2007-09-16,NFL,TAM,,NOR,W 31-14,2,2,Sun,3,25,8.33,0,JoneMa01
R.W. McQuarters,CB,30.269,2007-09-16,NFL,NYG,,GNB,L 13-35,2,2,Sun,1,2,2.00,0,McQuR.20
Dennis Northcutt,WR,29.268,2007-09-16,NFL,JAX,,ATL,W 13-7,2,2,Sun,1,10,10.00,0,NortDe00
Ed Reed*,FS,29.005,2007-09-16,NFL,BAL,,NYJ,W 20-13,2,2,Sun,1,5,5.00,0,ReedEd00
Ryne Robinson,WR,22.316,2007-09-16,NFL,CAR,,HOU,L 21-34,2,2,Sun,2,18,9.00,0,RobiRy00
Allen Rossum,CB,31.329,2007-09-16,NFL,PIT,,BUF,W 26-3,2,2,Sun,2,13,6.50,0,RossAl99
T.J. Rushing,DB,24.100,2007-09-16,NFL,IND,@,TEN,W 22-20,2,2,Sun,1,5,5.00,0,RushT.20
Darren Sproles,RB-K,24.088,2007-09-16,NFL,SDG,@,NWE,L 14-38,2,2,Sun,1,0,0.00,0,SproDa00
Bobby Wade,WR,26.203,2007-09-16,NFL,MIN,@,DET,L 17-20,2,2,Sun,1,0,0.00,0,WadeBo00
Troy Walters,WR,30.275,2007-09-16,NFL,DET,,MIN,W 20-17,2,2,Sun,3,39,13.00,0,WaltTr00
Leon Washington,RB-K,25.018,2007-09-16,NFL,NYJ,@,BAL,L 13-20,2,2,Sun,1,6,6.00,0,WashLe00
Wes Welker,WR,26.138,2007-09-16,NFL,NWE,,SDG,W 38-14,2,2,Sun,2,13,6.50,0,WelkWe00
Brandon Williams,WR,23.204,2007-09-16,NFL,SFO,@,STL,W 17-16,2,2,Sun,2,12,6.00,0,WillBr01
Charles Woodson,LCB,30.344,2007-09-16,NFL,GNB,@,NYG,W 35-13,2,2,Sun,2,8,4.00,0,WoodCh00
Reno Mahe,PR,27.106,2007-09-17,NFL,PHI,,WAS,L 12-20,2,2,Mon,2,9,4.50,0,MaheRe00
Antwaan Randle El,WR,28.031,2007-09-17,NFL,WAS,@,PHI,W 20-12,2,2,Mon,4,17,4.25,0,RandAn00
Steve Breaston,WR,24.034,2007-09-23,NFL,ARI,@,BAL,L 23-26,3,3,Sun,1,13,13.00,0,BreaSt00
Nate Burleson,WR,26.035,2007-09-23,NFL,SEA,,CIN,W 24-21,3,3,Sun,2,10,5.00,0,BurlNa00
Chris Carr,CB,24.146,2007-09-23,NFL,OAK,,CLE,W 26-24,3,3,Sun,1,1,1.00,0,CarrCh22
Patrick Crayton,WR,28.169,2007-09-23,NFL,DAL,@,CHI,W 34-10,3,3,Sun,2,2,1.00,0,CrayPa00
Josh Cribbs,WR,24.106,2007-09-23,NFL,CLE,@,OAK,L 24-26,3,3,Sun,1,22,22.00,0,CribJo01
Eddie Drummond,WR,27.164,2007-09-23,NFL,KAN,,MIN,W 13-10,3,3,Sun,2,18,9.00,0,DrumEd00
Yamon Figurs,WR/R,24.256,2007-09-23,NFL,BAL,,ARI,W 26-23,3,3,Sun,2,75,37.50,1,FiguYa00
Ted Ginn,WR,22.164,2007-09-23,NFL,MIA,@,NYJ,L 28-31,3,3,Sun,2,6,3.00,0,GinnTe00
Skyler Green,WR,23.011,2007-09-23,NFL,CIN,@,SEA,L 21-24,3,3,Sun,2,6,3.00,0,GreeSk20
Dante Hall,WR,29.022,2007-09-23,NFL,STL,@,TAM,L 3-24,3,3,Sun,1,10,10.00,0,HallDa00
Devin Hester,KR/P,24.323,2007-09-23,NFL,CHI,,DAL,L 10-34,3,3,Sun,2,1,0.50,0,HestDe99
Johnnie Lee Higgins,WR,24.015,2007-09-23,NFL,OAK,,CLE,W 26-24,3,3,Sun,2,1,0.50,0,HiggJo00
Domenik Hixon,WR,22.350,2007-09-23,NFL,DEN,,JAX,L 14-23,3,3,Sun,1,14,14.00,0,HixoDo00
Adam Jennings,WR,24.310,2007-09-23,NFL,ATL,,CAR,L 20-27,3,3,Sun,2,5,2.50,0,JennAd00
Jacoby Jones,WR,23.074,2007-09-23,NFL,HOU,,IND,L 24-30,3,3,Sun,2,86,43.00,0,JoneJa03
Mark Jones,WR,26.324,2007-09-23,NFL,TAM,,STL,W 24-3,3,3,Sun,1,35,35.00,0,JoneMa01
Reno Mahe,PR,27.112,2007-09-23,NFL,PHI,,DET,W 56-21,3,3,Sun,4,41,10.25,0,MaheRe00
R.W. McQuarters,CB,30.276,2007-09-23,NFL,NYG,@,WAS,W 24-17,3,3,Sun,3,23,7.67,0,McQuR.20
