Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Targets,Rec,Rec Yards,Rec Avg,Rec TD,Catch Pct,YPTgt,unique_id
Stephen Alexander,TE,25.306,2001-09-09,NFL,WAS,@,SDG,L 3-30,1,1,Sun,6,2,23,11.50,0,33.3%,3.83,AlexSt00
James Allen,RB,26.165,2001-09-09,NFL,CHI,@,BAL,L 6-17,1,1,Sun,9,8,32,4.00,0,88.9%,3.56,AlleJa00
Terry Allen,RB,33.200,2001-09-09,NFL,BAL,,CHI,W 17-6,1,1,Sun,1,1,6,6.00,0,100.0%,6.00,AlleTe00
Mike Alstott,FB,27.262,2001-09-09,NFL,TAM,@,DAL,W 10-6,1,1,Sun,6,4,15,3.75,0,66.7%,2.50,AlstMi00
Jamal Anderson,RB,28.344,2001-09-09,NFL,ATL,@,SFO,L 13-16,1,1,Sun,2,1,8,8.00,0,50.0%,4.00,AndeJa00
Richie Anderson,FB,29.361,2001-09-09,NFL,NYJ,,IND,L 24-45,1,1,Sun,6,6,53,8.83,1,100.0%,8.83,AndeRi00
Obafemi Ayanbadejo,FB,26.188,2001-09-09,NFL,BAL,,CHI,W 17-6,1,1,Sun,2,2,13,6.50,0,100.0%,6.50,AyanOb00
Kevan Barlow,RB,22.245,2001-09-09,NFL,SFO,,ATL,W 16-13,1,1,Sun,2,2,4,2.00,0,100.0%,2.00,BarlKe00
Fred Baxter,TE,30.087,2001-09-09,NFL,CHI,@,BAL,L 6-17,1,1,Sun,2,2,4,2.00,0,100.0%,2.00,BaxtFr00
Anthony Becht,TE,24.032,2001-09-09,NFL,NYJ,,IND,L 24-45,1,1,Sun,5,4,58,14.50,0,80.0%,11.60,BechAn00
Michael Bennett,RB,23.027,2001-09-09,NFL,MIN,,CAR,L 13-24,1,1,Sun,4,2,18,9.00,0,50.0%,4.50,BennMi00
Jerome Bettis*,RB,29.205,2001-09-09,NFL,PIT,@,JAX,L 3-21,1,1,Sun,1,1,2,2.00,0,100.0%,2.00,BettJe00
Tim Biakabutuka,RB,27.228,2001-09-09,NFL,CAR,@,MIN,W 24-13,1,1,Sun,2,2,12,6.00,0,100.0%,6.00,BiakTi00
Will Blackwell,WR,26.062,2001-09-09,NFL,PIT,@,JAX,L 3-21,1,1,Sun,1,1,8,8.00,0,100.0%,8.00,BlacWi00
Marty Booker,WR,25.040,2001-09-09,NFL,CHI,@,BAL,L 6-17,1,1,Sun,11,9,49,5.44,0,81.8%,4.45,BookMa00
Corey Bradford,WR,25.275,2001-09-09,NFL,GNB,,DET,W 28-6,1,1,Sun,2,2,20,10.00,0,100.0%,10.00,BradCo00
Kyle Brady,TE,29.238,2001-09-09,NFL,JAX,,PIT,W 21-3,1,1,Sun,7,3,39,13.00,0,42.9%,5.57,BradKy00
Na Brown,WR,24.199,2001-09-09,NFL,PHI,,STL,L 17-20,1,1,Sun,2,2,36,18.00,0,100.0%,18.00,BrowNa00
Tim Brown*,WR,35.049,2001-09-09,NFL,OAK,@,KAN,W 27-24,1,1,Sun,10,8,133,16.63,1,80.0%,13.30,BrowTi00
Troy Brown,WR,30.069,2001-09-09,NFL,NWE,@,CIN,L 17-23,1,1,Sun,7,7,106,15.14,1,100.0%,15.14,BrowTr00
Isaac Bruce,WR,28.303,2001-09-09,NFL,STL,@,PHI,W 20-17,1,1,Sun,5,4,89,22.25,0,80.0%,17.80,BrucIs00
Mark Bruener,TE,28.358,2001-09-09,NFL,PIT,@,JAX,L 3-21,1,1,Sun,4,2,4,2.00,0,50.0%,1.00,BrueMa00
Plaxico Burress,WR,24.028,2001-09-09,NFL,PIT,@,JAX,L 3-21,1,1,Sun,5,2,24,12.00,0,40.0%,4.80,BurrPl00
Isaac Byrd,WR,26.297,2001-09-09,NFL,CAR,@,MIN,W 24-13,1,1,Sun,2,1,31,31.00,0,50.0%,15.50,ByrdIs00
Cris Carter*,WR,35.288,2001-09-09,NFL,MIN,,CAR,L 13-24,1,1,Sun,6,5,44,8.80,1,83.3%,7.33,CartCr00
Larry Centers,FB,33.100,2001-09-09,NFL,BUF,,NOR,L 6-24,1,1,Sun,4,4,37,9.25,0,100.0%,9.25,CentLa00
Byron Chamberlain,TE,29.327,2001-09-09,NFL,MIN,,CAR,L 13-24,1,1,Sun,10,7,83,11.86,0,70.0%,8.30,ChamBy00
Chris Chambers,WR,23.028,2001-09-09,NFL,MIA,@,TEN,W 31-23,1,1,Sun,4,2,52,26.00,0,50.0%,13.00,ChamCh00
Doug Chapman,RB,24.018,2001-09-09,NFL,MIN,,CAR,L 13-24,1,1,Sun,1,1,-3,-3.00,0,100.0%,-3.00,ChapDo00
Wayne Chrebet,WR,28.026,2001-09-09,NFL,NYJ,,IND,L 24-45,1,1,Sun,2,1,20,20.00,0,50.0%,10.00,ChreWa00
Bob Christian,FB,32.299,2001-09-09,NFL,ATL,@,SFO,L 13-16,1,1,Sun,2,2,20,10.00,0,100.0%,10.00,ChriBo00
Cam Cleeland,TE,26.025,2001-09-09,NFL,NOR,@,BUF,W 24-6,1,1,Sun,3,2,14,7.00,1,66.7%,4.67,CleeCa00
Laveranues Coles,WR,23.254,2001-09-09,NFL,NYJ,,IND,L 24-45,1,1,Sun,2,1,38,38.00,1,50.0%,19.00,ColeLa00
Albert Connell,WR,27.119,2001-09-09,NFL,NOR,@,BUF,W 24-6,1,1,Sun,4,3,89,29.67,1,75.0%,22.25,ConnAl00
Curtis Conway,WR,30.239,2001-09-09,NFL,SDG,,WAS,W 30-3,1,1,Sun,4,3,36,12.00,0,75.0%,9.00,ConwCu00
Ernie Conwell,TE,29.023,2001-09-09,NFL,STL,@,PHI,W 20-17,1,1,Sun,6,5,49,9.80,1,83.3%,8.17,ConwEr00
Jameel Cook,FB,22.213,2001-09-09,NFL,TAM,@,DAL,W 10-6,1,1,Sun,1,1,4,4.00,0,100.0%,4.00,CookJa00
Zack Crockett,RB,28.281,2001-09-09,NFL,OAK,@,KAN,W 27-24,1,1,Sun,2,2,10,5.00,0,100.0%,5.00,CrocZa00
Stephen Davis,RB,27.192,2001-09-09,NFL,WAS,@,SDG,L 3-30,1,1,Sun,5,4,31,7.75,0,80.0%,6.20,DaviSt00
JaJuan Dawson,WR,23.308,2001-09-09,NFL,CLE,,SEA,L 6-9,1,1,Sun,8,5,46,9.20,0,62.5%,5.75,DawsJa00
Ken Dilger,TE,30.219,2001-09-09,NFL,IND,@,NYJ,W 45-24,1,1,Sun,4,2,28,14.00,0,50.0%,7.00,DilgKe00
Corey Dillon,HB,26.320,2001-09-09,NFL,CIN,,NWE,W 23-17,1,1,Sun,4,4,32,8.00,0,100.0%,8.00,DillCo00
Rickey Dudley,TE,29.056,2001-09-09,NFL,CLE,,SEA,L 6-9,1,1,Sun,4,1,5,5.00,0,25.0%,1.25,DudlRi00
Ron Dugans,WR,24.135,2001-09-09,NFL,CIN,,NWE,W 23-17,1,1,Sun,2,1,5,5.00,0,50.0%,2.50,DugaRo00
David Dunn,WR,29.091,2001-09-09,NFL,OAK,@,KAN,W 27-24,1,1,Sun,1,1,8,8.00,0,100.0%,8.00,DunnDa00
Jason Dunn,TE,27.298,2001-09-09,NFL,KAN,,OAK,L 24-27,1,1,Sun,3,1,6,6.00,0,33.3%,2.00,DunnJa00
Warrick Dunn,RB,26.247,2001-09-09,NFL,TAM,@,DAL,W 10-6,1,1,Sun,7,4,21,5.25,0,57.1%,3.00,DunnWa00
Tim Dwight,WR/K,26.058,2001-09-09,NFL,SDG,,WAS,W 30-3,1,1,Sun,5,2,31,15.50,0,40.0%,6.20,DwigTi00
Kevin Dyson,WR,26.078,2001-09-09,NFL,TEN,,MIA,L 23-31,1,1,Sun,10,4,51,12.75,0,40.0%,5.10,DysoKe00
