Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,unique_id
R.W. McQuarters,CB,31.258,2008-09-04,NFL,NYG,,WAS,W 16-7,1,1,Thu,3,18,6.00,0,McQuR.20
Antwaan Randle El,WR,29.018,2008-09-04,NFL,WAS,@,NYG,L 7-16,1,1,Thu,1,-2,-2.00,0,RandAn00
Corey Webster,RCB,26.186,2008-09-04,NFL,NYG,,WAS,W 16-7,1,1,Thu,1,3,3.00,0,WebsCo20
Davone Bess,WR,22.360,2008-09-07,NFL,MIA,,NYJ,L 14-20,1,1,Sun,1,25,25.00,0,BessDa00
Steve Breaston,WR,25.018,2008-09-07,NFL,ARI,@,SFO,W 23-13,1,1,Sun,1,17,17.00,0,BreaSt00
Nate Burleson,WR,27.019,2008-09-07,NFL,SEA,@,BUF,L 10-34,1,1,Sun,3,54,18.00,0,BurlNa00
Reggie Bush,RB,23.189,2008-09-07,NFL,NOR,,TAM,W 24-20,1,1,Sun,1,0,0.00,0,BushRe00
Chris Carr,DB,25.130,2008-09-07,NFL,TEN,,JAX,W 17-10,1,1,Sun,2,15,7.50,0,CarrCh22
Antonio Chatman,WR,29.208,2008-09-07,NFL,CIN,@,BAL,L 10-17,1,1,Sun,4,11,2.75,0,ChatAn00
Yamon Figurs,WR,25.241,2008-09-07,NFL,BAL,,CIN,W 17-10,1,1,Sun,4,56,14.00,0,FiguYa00
Ted Ginn,WR,23.148,2008-09-07,NFL,MIA,,NYJ,L 14-20,1,1,Sun,3,13,4.33,0,GinnTe00
Dante Hall,WR,30.006,2008-09-07,NFL,STL,@,PHI,L 3-38,1,1,Sun,1,-2,-2.00,0,HallDa00
Joselio Hanson,CB,27.025,2008-09-07,NFL,PHI,,STL,W 38-3,1,1,Sun,1,0,0.00,0,HansJo20
Devin Hester,WR,25.308,2008-09-07,NFL,CHI,@,IND,W 29-13,1,1,Sun,1,25,25.00,0,HestDe99
Ike Hilliard,WR,32.155,2008-09-07,NFL,TAM,@,NOR,L 20-24,1,1,Sun,1,11,11.00,0,HillIk00
DeSean Jackson,WR,21.281,2008-09-07,NFL,PHI,,STL,W 38-3,1,1,Sun,8,97,12.13,0,JackDe00
Dexter Jackson,WR,22.033,2008-09-07,NFL,TAM,@,NOR,L 20-24,1,1,Sun,5,29,5.80,0,JackDe01
Adam Jennings,WR,25.295,2008-09-07,NFL,ATL,,DET,W 34-21,1,1,Sun,5,15,3.00,0,JennAd00
Adam Jones,LCB,24.343,2008-09-07,NFL,DAL,@,CLE,W 28-10,1,1,Sun,2,8,4.00,0,JonePa20
Jacoby Jones,WR,24.058,2008-09-07,NFL,HOU,@,PIT,L 17-38,1,1,Sun,2,5,2.50,0,JoneJa03
Mark Jones,WR-P,27.309,2008-09-07,NFL,CAR,@,SDG,W 26-24,1,1,Sun,2,16,8.00,0,JoneMa01
Lance Moore,WR,25.007,2008-09-07,NFL,NOR,,TAM,W 24-20,1,1,Sun,1,10,10.00,0,MoorLa00
Mewelde Moore,RB,26.045,2008-09-07,NFL,PIT,,HOU,W 38-17,1,1,Sun,1,-3,-3.00,0,MoorMe00
Deltha O'Neal,CB,31.221,2008-09-07,NFL,NWE,,KAN,W 17-10,1,1,Sun,2,2,1.00,0,ONeaDe00
Roscoe Parrish,WR,26.053,2008-09-07,NFL,BUF,,SEA,W 34-10,1,1,Sun,6,120,20.00,1,ParrRo00
Keiwan Ratliff,DB,27.141,2008-09-07,NFL,IND,,CHI,L 13-29,1,1,Sun,1,8,8.00,0,RatlKe20
Nate Salley,S,24.215,2008-09-07,NFL,CAR,@,SDG,W 26-24,1,1,Sun,1,0,0.00,0,SallNa20
B.J. Sams,KR,27.314,2008-09-07,NFL,KAN,@,NWE,L 10-17,1,1,Sun,1,7,7.00,0,SamsB.00
Darren Sproles,RB-K,25.079,2008-09-07,NFL,SDG,,CAR,L 24-26,1,1,Sun,1,12,12.00,0,SproDa00
Syndric Steptoe,WR,23.276,2008-09-07,NFL,CLE,,DAL,L 10-28,1,1,Sun,2,23,11.50,0,StepSy20
Seneca Wallace,QB,28.032,2008-09-07,NFL,SEA,@,BUF,L 10-34,1,1,Sun,1,0,0.00,0,WallSe00
Leon Washington,RB/K,26.009,2008-09-07,NFL,NYJ,@,MIA,W 20-14,1,1,Sun,5,64,12.80,0,WashLe00
Brian Witherspoon,CB,23.094,2008-09-07,NFL,JAX,@,TEN,L 10-17,1,1,Sun,2,45,22.50,0,WithBr20
Aundrae Allison,WR,22.141,2008-09-08,NFL,MIN,@,GNB,L 19-24,1,1,Mon,3,13,4.33,0,AlliAu00
Will Blackmon,CB,23.317,2008-09-08,NFL,GNB,,MIN,W 24-19,1,1,Mon,3,78,26.00,1,BlacWi20
Charles Gordon,CB,24.052,2008-09-08,NFL,MIN,@,GNB,L 19-24,1,1,Mon,1,0,0.00,0,GordCh20
Johnnie Lee Higgins,WR,25.000,2008-09-08,NFL,OAK,,DEN,L 14-41,1,1,Mon,2,3,1.50,0,HiggJo00
Eddie Royal,WR,22.110,2008-09-08,NFL,DEN,@,OAK,W 41-14,1,1,Mon,2,19,9.50,0,RoyaEd00
Aundrae Allison,WR,22.147,2008-09-14,NFL,MIN,,IND,L 15-18,2,2,Sun,1,27,27.00,0,AlliAu00
Will Blackmon,CB,23.323,2008-09-14,NFL,GNB,@,DET,W 48-25,2,2,Sun,2,4,2.00,0,BlacWi20
Steve Breaston,WR,25.025,2008-09-14,NFL,ARI,,MIA,W 31-10,2,2,Sun,2,18,9.00,0,BreaSt00
Michael Bumpus,WR,22.276,2008-09-14,NFL,SEA,,SFO,L 30-33,2,2,Sun,3,46,15.33,0,BumpMi00
Reggie Bush,RB,23.196,2008-09-14,NFL,NOR,@,WAS,L 24-29,2,2,Sun,1,55,55.00,1,BushRe00
Antonio Chatman,WR,29.215,2008-09-14,NFL,CIN,,TEN,L 7-24,2,2,Sun,2,42,21.00,0,ChatAn00
Josh Cribbs,WR,25.097,2008-09-14,NFL,CLE,,PIT,L 6-10,2,2,Sun,5,44,8.80,0,CribJo01
Chris Davis,WR,24.235,2008-09-14,NFL,TEN,@,CIN,W 24-7,2,2,Sun,2,6,3.00,0,DaviCh02
Craig Davis,WR,22.348,2008-09-14,NFL,SDG,@,DEN,L 38-39,2,2,Sun,2,15,7.50,0,DaviCr00
Kevin Faulk,RB,32.101,2008-09-14,NFL,NWE,@,NYJ,W 19-10,2,2,Sun,3,53,17.67,0,FaulKe00
Justin Forsett,RB,22.336,2008-09-14,NFL,IND,@,MIN,W 18-15,2,2,Sun,2,30,15.00,0,ForsJu00
Mike Furrey,WR,31.125,2008-09-14,NFL,DET,,GNB,L 25-48,2,2,Sun,3,28,9.33,0,FurrMi00
Charles Gordon,CB,24.058,2008-09-14,NFL,MIN,,IND,L 15-18,2,2,Sun,2,15,7.50,0,GordCh20
Dante Hall,WR,30.013,2008-09-14,NFL,STL,,NYG,L 13-41,2,2,Sun,1,7,7.00,0,HallDa00
Devin Hester,KR/P,25.315,2008-09-14,NFL,CHI,@,CAR,L 17-20,2,2,Sun,2,9,4.50,0,HestDe99
Johnnie Lee Higgins,WR,25.006,2008-09-14,NFL,OAK,@,KAN,W 23-8,2,2,Sun,6,46,7.67,0,HiggJo00
