Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Rush Att,Rush Yard,Rush Avg,Rush TD,unique_id
Joseph Addai,RB,24.126,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,23,118,5.13,1,AddaJo00
Drew Brees,QB,28.234,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,1,4,4.00,0,BreeDr00
Reggie Bush,RB,22.188,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,12,38,3.17,0,BushRe00
Dallas Clark,TE,28.086,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,1,14,14.00,0,ClarDa00
Devery Henderson,WR,25.164,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,1,5,5.00,0,HendDe00
Kenton Keith,RB,27.054,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,5,32,6.40,0,KeitKe00
Deuce McAllister,RB,28.253,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,10,38,3.80,0,McAlDe00
Aaron Stecker,RB,31.297,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,2,21,10.50,0,StecAa00
Shaun Alexander,RB,30.010,2007-09-09,NFL,SEA,,TAM,W 20-6,1,1,Sun,27,105,3.89,1,AlexSh00
Derek Anderson,QB,24.086,2007-09-09,NFL,CLE,,PIT,L 7-34,1,1,Sun,1,-1,-1.00,0,AndeDe00
Marion Barber,RB,24.091,2007-09-09,NFL,DAL,,NYG,W 45-35,1,1,Sun,11,65,5.91,1,BarbMa01
Charlie Batch,QB,32.278,2007-09-09,NFL,PIT,@,CLE,W 34-7,1,1,Sun,1,-1,-1.00,0,BatcCh00
Tatum Bell,HB,26.191,2007-09-09,NFL,DET,@,OAK,W 36-21,1,1,Sun,15,87,5.80,1,BellTa00
Michael Bennett,RB,29.027,2007-09-09,NFL,KAN,@,HOU,L 3-20,1,1,Sun,5,24,4.80,0,BennMi00
Cedric Benson,RB,24.255,2007-09-09,NFL,CHI,@,SDG,L 3-14,1,1,Sun,19,42,2.21,0,BensCe00
Ladell Betts,RB,28.013,2007-09-09,NFL,WAS,,MIA,W 16-13,1,1,Sun,17,59,3.47,0,BettLa00
Marty Booker,WR,31.040,2007-09-09,NFL,MIA,@,WAS,L 13-16,1,1,Sun,1,12,12.00,0,BookMa00
