Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,unique_id
Trindon Holliday,WR,27.131,2013-09-05,NFL,DEN,,BAL,W 49-27,1,1,Thu,4,36,9.00,0,HollTr00
Lardarius Webb,LCB,27.328,2013-09-05,NFL,BAL,@,DEN,L 27-49,1,1,Thu,1,13,13.00,0,WebbLa99
Wes Welker,WR,32.127,2013-09-05,NFL,DEN,,BAL,W 49-27,1,1,Thu,2,27,13.50,0,WelkWe00
Phillip Adams,CB,25.050,2013-09-08,NFL,OAK,@,IND,L 17-21,1,1,Sun,1,5,5.00,0,AdamPh00
Tavon Austin,WR,23.177,2013-09-08,NFL,STL,,ARI,W 27-24,1,1,Sun,1,1,1.00,0,AustTa00
Travis Benjamin,WR,23.253,2013-09-08,NFL,CLE,,MIA,L 10-23,1,1,Sun,2,31,15.50,0,BenjTr00
Will Blackmon,CB,28.316,2013-09-08,NFL,JAX,,KAN,L 2-28,1,1,Sun,1,0,0.00,0,BlacWi20
Antonio Brown,WR,25.060,2013-09-08,NFL,PIT,,TEN,L 9-16,1,1,Sun,1,1,1.00,0,BrowAn04
Randall Cobb,WR,23.017,2013-09-08,NFL,GNB,@,SFO,L 28-34,1,1,Sun,1,16,16.00,0,CobbRa00
Harry Douglas,WR,28.357,2013-09-08,NFL,ATL,@,NOR,L 17-23,1,1,Sun,2,21,10.50,0,DougHa00
Julian Edelman,WR,27.109,2013-09-08,NFL,NWE,@,BUF,W 23-21,1,1,Sun,3,32,10.67,0,EdelJu00
Ted Ginn,WR,28.149,2013-09-08,NFL,CAR,,SEA,L 7-12,1,1,Sun,1,10,10.00,0,GinnTe00
Dwayne Harris,WR,25.357,2013-09-08,NFL,DAL,,NYG,W 36-31,1,1,Sun,2,19,9.50,0,HarrDw00
Devin Hester,KR/P,30.308,2013-09-08,NFL,CHI,,CIN,W 24-21,1,1,Sun,2,1,0.50,0,HestDe99
T.Y. Hilton,WR,23.298,2013-09-08,NFL,IND,,OAK,W 21-17,1,1,Sun,1,23,23.00,0,HiltT.00
Adam Jones,CB,29.343,2013-09-08,NFL,CIN,@,CHI,L 21-24,1,1,Sun,1,13,13.00,0,JonePa20
