Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,unique_id
Bernard Berrian,WR,29.256,2010-09-09,NFL,MIN,@,NOR,L 9-14,1,1,Thu,2,2,1.00,0,BerrBe00
Reggie Bush,RB,25.191,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,3,7,2.33,0,BushRe00
Danny Amendola,WR,24.314,2010-09-12,NFL,STL,,ARI,L 13-17,1,1,Sun,3,28,9.33,0,AmenDa00
Dez Bryant,WR,21.312,2010-09-12,NFL,DAL,@,WAS,L 7-13,1,1,Sun,1,11,11.00,0,BryaDe01
Perrish Cox,CB,23.245,2010-09-12,NFL,DEN,@,JAX,L 17-24,1,1,Sun,1,4,4.00,0,CoxxPe99
Josh Cribbs,WR,27.095,2010-09-12,NFL,CLE,@,TAM,L 14-17,1,1,Sun,3,29,9.67,0,CribJo01
Yamon Figurs,WR,27.245,2010-09-12,NFL,OAK,@,TEN,L 13-38,1,1,Sun,1,10,10.00,0,FiguYa00
Justin Forsett,RB,24.333,2010-09-12,NFL,SEA,,SFO,W 31-6,1,1,Sun,3,17,5.67,0,ForsJu00
Ted Ginn,WR,25.153,2010-09-12,NFL,SFO,@,SEA,L 6-31,1,1,Sun,2,27,13.50,0,GinnTe00
Devin Hester,WR,27.312,2010-09-12,NFL,CHI,,DET,W 19-14,1,1,Sun,5,17,3.40,0,HestDe99
Johnnie Lee Higgins,WR,27.004,2010-09-12,NFL,OAK,@,TEN,L 13-38,1,1,Sun,2,12,6.00,0,HiggJo00
DeSean Jackson,WR,23.285,2010-09-12,NFL,PHI,,GNB,L 20-27,1,1,Sun,2,14,7.00,0,JackDe00
Jacoby Jones,WR,26.063,2010-09-12,NFL,HOU,,IND,W 34-24,1,1,Sun,1,39,39.00,0,JoneJa03
Max Komar,WR,22.286,2010-09-12,NFL,ARI,@,STL,W 17-13,1,1,Sun,5,31,6.20,0,KomaMa00
Stefan Logan,WR,29.102,2010-09-12,NFL,DET,@,CHI,L 14-19,1,1,Sun,2,3,1.50,0,LogaSt00
Marc Mariani,WR,23.133,2010-09-12,NFL,TEN,,OAK,W 38-13,1,1,Sun,3,21,7.00,0,MariMa00
Captain Munnerlyn,CB,22.155,2010-09-12,NFL,CAR,@,NYG,L 18-31,1,1,Sun,2,38,19.00,0,MunnCa99
Roscoe Parrish,WR,28.058,2010-09-12,NFL,BUF,,MIA,L 10-15,1,1,Sun,3,30,10.00,0,ParrRo00
Jerraud Powers,RCB,23.055,2010-09-12,NFL,IND,@,HOU,L 24-34,1,1,Sun,1,13,13.00,0,PoweJe99
Antwaan Randle El,WR,31.026,2010-09-12,NFL,PIT,,ATL,W 15-9,1,1,Sun,2,7,3.50,0,RandAn00
Darius Reynaud,WR,25.257,2010-09-12,NFL,NYG,,CAR,W 31-18,1,1,Sun,4,27,6.75,0,ReynDa00
Clifton Smith,RB,25.070,2010-09-12,NFL,MIA,@,BUF,W 15-10,1,1,Sun,2,9,4.50,0,SmitCl22
Micheal Spurlock,WR,27.224,2010-09-12,NFL,TAM,,CLE,W 17-14,1,1,Sun,4,24,6.00,0,SpurMi00
Brandon Tate,WR,22.342,2010-09-12,NFL,NWE,,CIN,W 38-24,1,1,Sun,1,4,4.00,0,TateBr00
Mike Thomas,WR,23.100,2010-09-12,NFL,JAX,,DEN,W 24-17,1,1,Sun,3,26,8.67,0,ThomMi01
Eric Weems,WR,25.070,2010-09-12,NFL,ATL,@,PIT,L 9-15,1,1,Sun,2,20,10.00,0,WeemEr00
Tramon Williams,DB,27.180,2010-09-12,NFL,GNB,@,PHI,W 27-20,1,1,Sun,1,10,10.00,0,WillTr99
Javier Arenas,CB,22.320,2010-09-13,NFL,KAN,,SDG,W 21-14,1,1,Mon,2,60,30.00,0,ArenJa99
Jim Leonhard,S,27.321,2010-09-13,NFL,NYJ,,BAL,L 9-10,1,1,Mon,2,54,27.00,0,LeonJi23
Dexter McCluster,WR,21.019,2010-09-13,NFL,KAN,,SDG,W 21-14,1,1,Mon,3,100,33.33,1,McClDe00
Darren Sproles,RB/K,27.085,2010-09-13,NFL,SDG,@,KAN,L 14-21,1,1,Mon,5,33,6.60,0,SproDa00
Kyle Wilson,CB,23.106,2010-09-13,NFL,NYJ,,BAL,L 9-10,1,1,Mon,2,8,4.00,0,WilsKy99
Tom Zbikowski,FS,25.114,2010-09-13,NFL,BAL,@,NYJ,W 10-9,1,1,Mon,4,5,1.25,0,ZbikTo99
Danny Amendola,WR,24.321,2010-09-19,NFL,STL,@,OAK,L 14-16,2,2,Sun,1,0,0.00,0,AmenDa00
Javier Arenas,CB,22.326,2010-09-19,NFL,KAN,@,CLE,W 16-14,2,2,Sun,4,6,1.50,0,ArenJa99
Bernard Berrian,WR,29.266,2010-09-19,NFL,MIN,,MIA,L 10-14,2,2,Sun,1,0,0.00,0,BerrBe00
Antonio Brown,WR,22.071,2010-09-19,NFL,PIT,@,TEN,W 19-11,2,2,Sun,1,21,21.00,0,BrowAn04
Dez Bryant,WR,21.319,2010-09-19,NFL,DAL,,CHI,L 20-27,2,2,Sun,3,66,22.00,1,BryaDe01
Greg Camarillo,WR,28.154,2010-09-19,NFL,MIN,,MIA,L 10-14,2,2,Sun,2,14,7.00,0,CamaGr00
Quan Cosby,WR,27.270,2010-09-19,NFL,CIN,,BAL,W 15-10,2,2,Sun,2,6,3.00,0,CosbQu00
Perrish Cox,CB,23.252,2010-09-19,NFL,DEN,,SEA,W 31-14,2,2,Sun,1,3,3.00,0,CoxxPe99
Josh Cribbs,WR,27.102,2010-09-19,NFL,CLE,,KAN,L 14-16,2,2,Sun,1,5,5.00,0,CribJo01
Julian Edelman,WR,24.120,2010-09-19,NFL,NWE,@,NYJ,L 14-28,2,2,Sun,2,26,13.00,0,EdelJu00
Devin Hester,WR,27.319,2010-09-19,NFL,CHI,@,DAL,W 27-20,2,2,Sun,1,-5,-5.00,0,HestDe99
Johnnie Lee Higgins,WR,27.011,2010-09-19,NFL,OAK,,STL,W 16-14,2,2,Sun,2,54,27.00,0,HiggJo00
DeSean Jackson,WR,23.292,2010-09-19,NFL,PHI,@,DET,W 35-32,2,2,Sun,3,15,5.00,0,JackDe00
Jacoby Jones,WR,26.070,2010-09-19,NFL,HOU,@,WAS,W 30-27,2,2,Sun,4,28,7.00,0,JoneJa03
Jim Leonhard,S,27.327,2010-09-19,NFL,NYJ,,NWE,W 28-14,2,2,Sun,2,11,5.50,0,LeonJi23
Stefan Logan,WR,29.109,2010-09-19,NFL,DET,,PHI,L 32-35,2,2,Sun,3,34,11.33,0,LogaSt00
Marc Mariani,WR,23.140,2010-09-19,NFL,TEN,,PIT,L 11-19,2,2,Sun,3,43,14.33,0,MariMa00
Captain Munnerlyn,CB,22.162,2010-09-19,NFL,CAR,,TAM,L 7-20,2,2,Sun,3,8,2.67,0,MunnCa99
Brandon Myers,TE,25.015,2010-09-19,NFL,OAK,,STL,W 16-14,2,2,Sun,1,0,0.00,0,MyerBr00
Roscoe Parrish,WR,28.065,2010-09-19,NFL,BUF,@,GNB,L 7-34,2,2,Sun,1,0,0.00,0,ParrRo00
