Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Targets,Rec,Rec Yards,Rec Avg,Rec TD,Catch Pct,YPTgt,unique_id
Courtney Anderson,TE,24.293,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,4,3,18,6.00,2,75.0%,4.50,AndeCo00
Deion Branch,WR,26.052,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,11,7,99,14.14,1,63.6%,9.00,BranDe00
Troy Brown,WR,34.068,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,7,6,51,8.50,0,85.7%,7.29,BrowTr00
Corey Dillon,RB,30.319,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,2,2,30,15.00,0,100.0%,15.00,DillCo00
Tim Dwight,WR,30.057,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,1,1,5,5.00,1,100.0%,5.00,DwigTi00
Kevin Faulk,RB,29.095,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,4,3,18,6.00,0,75.0%,4.50,FaulKe00
David Givens,WR,25.023,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,5,2,31,15.50,0,40.0%,6.20,GiveDa00
Daniel Graham,TE,26.296,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,3,1,17,17.00,0,33.3%,5.67,GrahDa00
LaMont Jordan,RB,26.301,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,7,5,40,8.00,0,71.4%,5.71,JordLa00
Randy Moss*,WR,28.207,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,15,5,130,26.00,1,33.3%,8.67,MossRa00
Jerry Porter,WR,27.056,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,5,3,48,16.00,0,60.0%,9.60,PortJe00
Ben Watson,TE,24.264,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,5,2,55,27.50,0,40.0%,11.00,WatsBe00
Alvis Whitted,WR,31.004,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,5,2,29,14.50,0,40.0%,5.80,WhitAl00
Charlie Adams,CB,25.323,2005-09-11,NFL,DEN,@,MIA,L 10-34,1,1,Sun,3,2,35,17.50,0,66.7%,11.67,AdamCh00
Stephen Alexander,TE,29.308,2005-09-11,NFL,DEN,@,MIA,L 10-34,1,1,Sun,3,1,8,8.00,0,33.3%,2.67,AlexSt00
Mike Alstott,FB,31.264,2005-09-11,NFL,TAM,@,MIN,W 24-13,1,1,Sun,3,1,7,7.00,0,33.3%,2.33,AlstMi00
J.J. Arrington,RB,22.231,2005-09-11,NFL,ARI,@,NYG,L 19-42,1,1,Sun,5,4,22,5.50,0,80.0%,4.40,ArriJ.00
Obafemi Ayanbadejo,FB,30.190,2005-09-11,NFL,ARI,@,NYG,L 19-42,1,1,Sun,6,5,29,5.80,0,83.3%,4.83,AyanOb00
Chris Baker,TE,25.297,2005-09-11,NFL,NYJ,@,KAN,L 7-27,1,1,Sun,8,7,124,17.71,1,87.5%,15.50,BakeCh00
Tiki Barber,RB,30.157,2005-09-11,NFL,NYG,,ARI,W 42-19,1,1,Sun,2,2,60,30.00,0,100.0%,30.00,BarbTi00
Kevan Barlow,RB,26.247,2005-09-11,NFL,SFO,,STL,W 28-25,1,1,Sun,2,2,17,8.50,0,100.0%,8.50,BarlKe00
Arnaz Battle,WR,25.201,2005-09-11,NFL,SFO,,STL,W 28-25,1,1,Sun,6,5,59,11.80,1,83.3%,9.83,BattAr00
Anthony Becht,TE,28.034,2005-09-11,NFL,TAM,@,MIN,W 24-13,1,1,Sun,1,1,7,7.00,0,100.0%,7.00,BechAn00
Tatum Bell,RB,24.193,2005-09-11,NFL,DEN,@,MIA,L 10-34,1,1,Sun,4,1,13,13.00,0,25.0%,3.25,BellTa00
Drew Bennett,WR,27.016,2005-09-11,NFL,TEN,@,PIT,L 7-34,1,1,Sun,7,3,79,26.33,0,42.9%,11.29,BennDr00
Michael Bennett,RB,27.029,2005-09-11,NFL,MIN,,TAM,L 13-24,1,1,Sun,3,3,21,7.00,0,100.0%,7.00,BennMi00
Adam Bergen,TE,22.008,2005-09-11,NFL,ARI,@,NYG,L 19-42,1,1,Sun,4,1,10,10.00,0,25.0%,2.50,BergAd00
Bernard Berrian,WR,24.258,2005-09-11,NFL,CHI,@,WAS,L 7-9,1,1,Sun,1,1,9,9.00,0,100.0%,9.00,BerrBe00
Anquan Boldin,WR,24.343,2005-09-11,NFL,ARI,@,NYG,L 19-42,1,1,Sun,9,4,62,15.50,0,44.4%,6.89,BoldAn00
Marty Booker,WR,29.042,2005-09-11,NFL,MIA,,DEN,W 34-10,1,1,Sun,6,5,104,20.80,1,83.3%,17.33,BookMa00
David Boston,WR,27.023,2005-09-11,NFL,MIA,,DEN,W 34-10,1,1,Sun,3,1,8,8.00,0,33.3%,2.67,BostDa00
Mark Bradley,WR,23.225,2005-09-11,NFL,CHI,@,WAS,L 7-9,1,1,Sun,4,1,22,22.00,0,25.0%,5.50,BradMa00
Ronnie Brown,RB,23.273,2005-09-11,NFL,MIA,,DEN,W 34-10,1,1,Sun,1,1,4,4.00,0,100.0%,4.00,BrowRo05
Isaac Bruce,WR,32.305,2005-09-11,NFL,STL,@,SFO,L 25-28,1,1,Sun,6,3,61,20.33,1,50.0%,10.17,BrucIs00
Mark Bruener,TE,32.360,2005-09-11,NFL,HOU,@,BUF,L 7-22,1,1,Sun,1,1,19,19.00,0,100.0%,19.00,BrueMa00
Antonio Bryant,WR,24.186,2005-09-11,NFL,CLE,,CIN,L 13-27,1,1,Sun,10,5,65,13.00,0,50.0%,6.50,BryaAn00
Shawn Bryson,RB,28.295,2005-09-11,NFL,DET,,GNB,W 17-3,1,1,Sun,1,1,7,7.00,0,100.0%,7.00,BrysSh00
Nate Burleson,WR,24.023,2005-09-11,NFL,MIN,,TAM,L 13-24,1,1,Sun,7,3,45,15.00,0,42.9%,6.43,BurlNa00
Plaxico Burress,WR,28.030,2005-09-11,NFL,NYG,,ARI,W 42-19,1,1,Sun,11,5,76,15.20,1,45.5%,6.91,BurrPl00
Reche Caldwell,WR,26.167,2005-09-11,NFL,SDG,,DAL,L 24-28,1,1,Sun,4,1,9,9.00,0,25.0%,2.25,CaldRe00
Tyrone Calico,WR,24.306,2005-09-11,NFL,TEN,@,PIT,L 7-34,1,1,Sun,4,2,2,1.00,0,50.0%,0.50,CaliTy00
Mark Campbell,TE,29.279,2005-09-11,NFL,BUF,,HOU,W 22-7,1,1,Sun,3,2,18,9.00,0,66.7%,6.00,CampMa00
