Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fantasy Pts,PPR,DK Pts,FD Pts,Pass_cmp,Pass_att,Pass_yds,Pass_td,Pass_int,Run_att,Run_yds,Run_td,Rec,Rec_yds,Rec_td,Fmb,FGM,FGA,XPM,XPA,unique_id
Anthony Becht,TE,26.027,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,1.20,3.2,3.2,2.2,0,0,0,0,0,0,0,0,2,12,0,0,,,,,BechAn00
Ladell Betts,RB,24.008,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,8.10,9.1,9.1,8.6,0,0,0,0,0,18,77,0,1,4,0,0,,,,,BettLa00
Doug Brien,K,32.284,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,7.00,7.0,,8.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,briendou01
Trung Canidate,RB,26.185,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,4.60,4.6,4.6,4.6,0,0,0,0,0,10,46,0,0,0,0,0,,,,,CaniTr00
Wayne Chrebet,WR,30.021,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,4.00,8.0,8.0,6.0,0,0,0,0,0,0,0,0,4,40,0,0,,,,,ChreWa00
Laveranues Coles,WR,25.249,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,10.60,15.6,18.6,13.1,0,0,0,0,0,0,0,0,5,106,0,0,,,,,ColeLa00
Curtis Conway,WR,32.234,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,2.80,4.8,4.8,3.8,0,0,0,0,0,0,0,0,2,28,0,0,,,,,ConwCu00
Rod Gardner,WR,25.313,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,3.20,8.2,8.2,5.7,0,0,0,0,0,0,0,0,5,32,0,0,,,,,GardRo00
John Hall,K,29.171,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,12.00,12.0,,12.0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,hallxjoh01
LaMont Jordan,RB-K,24.297,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,6.00,6.0,6.0,6.0,0,0,0,0,0,6,0,1,0,0,0,0,,,,,JordLa00
Curtis Martin*,RB,30.126,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,4.10,6.1,6.1,5.1,0,0,0,0,0,15,48,0,2,-7,0,0,,,,,MartCu00
Darnerien McCants,WR,26.261,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,6.40,7.4,7.4,6.9,0,0,0,0,0,0,0,0,1,4,1,0,,,,,McCaDa00
Chad Morton,RB/K,26.153,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,1.10,2.1,2.1,1.6,0,0,0,0,0,3,6,0,1,5,0,0,,,,,MortCh00
Santana Moss,WR-K,24.095,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,2.10,5.1,5.1,3.6,0,0,0,0,0,1,9,0,3,12,0,0,,,,,MossSa00
Patrick Ramsey,QB,24.202,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,10.10,10.1,12.1,11.1,17,23,185,1,1,2,27,0,0,0,0,0,,,,,RamsPa00
Robert Royal,TE,24.112,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,2.40,4.4,4.4,3.4,0,0,0,0,0,0,0,0,2,24,0,0,,,,,RoyaRo00
Jerald Sowell,FB,29.226,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,2.00,4.0,4.0,3.0,0,0,0,0,0,0,0,0,2,20,0,0,,,,,SoweJe00
Vinny Testaverde,QB,39.295,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,4.20,4.2,4.2,4.2,15,24,105,0,0,0,0,0,0,0,0,0,,,,,TestVi00
Shaun Alexander,RB,26.008,2003-09-07,NFL,SEA,,NOR,W 27-10,1,1,Sun,24.40,26.4,29.4,25.4,0,0,0,0,0,24,108,1,2,16,1,0,,,,,AlexSh00
Morten Andersen*,K,43.019,2003-09-07,NFL,KAN,,SDG,W 27-14,1,1,Sun,9.00,9.0,,11.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,andermor01
Mike Anderson,RB,29.351,2003-09-07,NFL,DEN,@,CIN,W 30-10,1,1,Sun,1.50,1.5,1.5,1.5,0,0,0,0,0,7,15,0,0,0,0,0,,,,,AndeMi00
John Avery,RB,27.239,2003-09-07,NFL,MIN,@,GNB,W 30-25,1,1,Sun,7.10,8.1,8.1,7.6,0,0,0,0,0,0,0,0,1,11,1,0,,,,,AverJo00
Tiki Barber,RB,28.153,2003-09-07,NFL,NYG,,STL,W 23-13,1,1,Sun,14.50,16.5,20.5,15.5,0,0,0,0,0,24,146,0,2,19,0,0,,,,,BarbTi00
Kevan Barlow,RB,24.243,2003-09-07,NFL,SFO,,CHI,W 49-7,1,1,Sun,6.50,7.5,7.5,7.0,0,0,0,0,0,15,62,0,1,3,0,0,,,,,BarlKe00
D'Wayne Bates,WR,27.277,2003-09-07,NFL,MIN,@,GNB,W 30-25,1,1,Sun,7.50,9.5,9.5,8.5,0,0,0,0,0,0,0,0,2,15,1,0,,,,,BateDW00
Fred Beasley,FB,28.354,2003-09-07,NFL,SFO,,CHI,W 49-7,1,1,Sun,1.70,3.7,3.7,2.7,0,0,0,0,0,2,0,0,2,17,0,0,,,,,BeasFr00
Jerome Bettis*,RB,31.203,2003-09-07,NFL,PIT,,BAL,W 34-15,1,1,Sun,1.40,1.4,1.4,1.4,0,0,0,0,0,4,14,0,0,0,0,0,,,,,BettJe00
Jeff Blake,QB,32.277,2003-09-07,NFL,ARI,@,DET,L 24-42,1,1,Sun,23.52,23.5,28.5,24.5,28,46,358,3,1,3,12,0,0,0,0,0,,,,,BlakJe00
Derrick Blaylock,RB,24.015,2003-09-07,NFL,KAN,,SDG,W 27-14,1,1,Sun,1.50,2.5,2.5,2.0,0,0,0,0,0,4,11,0,1,4,0,0,,,,,BlayDe00
Drew Bledsoe,QB,31.205,2003-09-07,NFL,BUF,,NWE,W 31-0,1,1,Sun,9.20,9.2,11.2,10.2,17,28,230,1,1,2,0,0,0,0,0,0,,,,,BledDr00
Marc Boerigter,WR,25.126,2003-09-07,NFL,KAN,,SDG,W 27-14,1,1,Sun,2.50,3.5,3.5,3.0,0,0,0,0,0,0,0,0,1,25,0,0,,,,,BoerMa00
Anquan Boldin,WR,22.339,2003-09-07,NFL,ARI,@,DET,L 24-42,1,1,Sun,31.70,41.7,45.7,36.7,0,0,0,0,0,0,0,0,10,217,2,0,,,,,BoldAn00
Kyle Boller,QB,22.082,2003-09-07,NFL,BAL,@,PIT,L 15-34,1,1,Sun,11.48,11.5,12.5,12.5,22,43,152,1,1,5,14,0,0,0,0,0,,,,,BollKy00
