Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Pass Int,QBR,Sk,Sk Yds,YPA,AYPA,unique_id
Kerry Collins,QB,29.249,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,28,45,62.22,342,0,3,57.8,3,24,7.60,4.60,CollKe00
Jeff Garcia,QB,32.193,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,16,26,61.54,166,1,1,76.8,0,0,6.38,5.42,GarcJe00
Drew Bledsoe,QB,30.206,2002-09-08,NFL,BUF,,NYJ,L 31-37,1,1,Sun,26,39,66.67,271,1,2,73.8,4,29,6.95,5.15,BledDr00
Drew Brees,QB,23.236,2002-09-08,NFL,SDG,@,CIN,W 34-6,1,1,Sun,15,19,78.95,160,2,0,136.8,1,0,8.42,10.53,BreeDr00
Aaron Brooks,QB,26.168,2002-09-08,NFL,NOR,@,TAM,W 26-20,1,1,Sun,24,42,57.14,260,2,1,81.4,2,10,6.19,6.07,BrooAa00
Mark Brunell,QB,31.356,2002-09-08,NFL,JAX,,IND,L 25-28,1,1,Sun,22,36,61.11,228,2,1,86.3,1,3,6.33,6.19,BrunMa00
David Carr,QB,23.049,2002-09-08,NFL,HOU,,DAL,W 19-10,1,1,Sun,10,22,45.45,145,2,1,78.8,6,22,6.59,6.36,CarrDa00
Quincy Carter,QB,24.330,2002-09-08,NFL,DAL,@,HOU,L 10-19,1,1,Sun,13,30,43.33,131,0,1,42.5,3,19,4.37,2.87,CartQu00
Daunte Culpepper,QB,25.223,2002-09-08,NFL,MIN,@,CHI,L 23-27,1,1,Sun,16,28,57.14,234,1,2,66.7,1,6,8.36,5.86,CulpDa00
Brett Favre*,QB,32.333,2002-09-08,NFL,GNB,,ATL,W 37-34,1,1,Sun,25,36,69.44,284,2,0,111.3,2,11,7.89,9.00,FavrBr00
Jay Fiedler,QB,30.253,2002-09-08,NFL,MIA,,DET,W 49-21,1,1,Sun,18,27,66.67,207,3,0,126.6,0,0,7.67,9.89,FiedJa00
Gus Frerotte,QB,31.039,2002-09-08,NFL,CIN,,SDG,L 6-34,1,1,Sun,18,31,58.06,198,0,1,63.6,4,31,6.39,4.94,FrerGu00
Rich Gannon,QB,36.262,2002-09-08,NFL,OAK,,SEA,W 31-17,1,1,Sun,19,28,67.86,214,2,1,99.4,2,12,7.64,7.46,GannRi00
Trent Green,QB,32.061,2002-09-08,NFL,KAN,@,CLE,W 40-39,1,1,Sun,20,29,68.97,276,1,1,96.3,0,0,9.52,8.66,GreeTr00
Brian Griese,QB,27.174,2002-09-08,NFL,DEN,,STL,W 23-16,1,1,Sun,18,27,66.67,202,2,2,82.6,4,15,7.48,5.63,GrieBr00
Joey Harrington,QB,23.322,2002-09-08,NFL,DET,@,MIA,L 21-49,1,1,Sun,4,11,36.36,41,0,0,47.9,0,0,3.73,3.73,HarrJo00
Matt Hasselbeck,QB,26.348,2002-09-08,NFL,SEA,@,OAK,L 17-31,1,1,Sun,23,32,71.88,155,2,0,103.0,3,12,4.84,6.09,HassMa00
Kelly Holcomb,QB,29.061,2002-09-08,NFL,CLE,,KAN,L 39-40,1,1,Sun,27,39,69.23,326,3,0,120.2,1,7,8.36,9.90,HolcKe00
Brad Johnson,QB,33.360,2002-09-08,NFL,TAM,,NOR,L 20-26,1,1,Sun,28,52,53.85,278,2,0,82.1,3,17,5.35,6.12,JohnBr00
Kevin Johnson,WR,26.055,2002-09-08,NFL,CLE,,KAN,L 39-40,1,1,Sun,1,1,100.00,33,1,0,158.3,0,0,33.00,53.00,JohnKe01
Peyton Manning,QB,26.168,2002-09-08,NFL,IND,@,JAX,W 28-25,1,1,Sun,19,31,61.29,211,3,0,113.8,1,8,6.81,8.74,MannPe00
Shane Matthews,QB,32.099,2002-09-08,NFL,WAS,,ARI,W 31-23,1,1,Sun,28,40,70.00,327,3,1,109.1,1,7,8.18,8.55,MattSh00
Mike McMahon,QB,23.212,2002-09-08,NFL,DET,@,MIA,L 21-49,1,1,Sun,13,25,52.00,179,1,1,71.9,3,14,7.16,6.16,McMaMi00
Donovan McNabb,QB,25.287,2002-09-08,NFL,PHI,@,TEN,L 24-27,1,1,Sun,18,36,50.00,212,3,2,72.9,6,31,5.89,5.06,McNaDo00
Steve McNair,QB,29.206,2002-09-08,NFL,TEN,,PHI,W 27-24,1,1,Sun,24,34,70.59,269,2,1,101.2,1,2,7.91,7.76,McNaSt00
Jim Miller,QB,31.211,2002-09-08,NFL,CHI,,MIN,W 27-23,1,1,Sun,20,33,60.61,297,2,1,97.7,1,9,9.00,8.85,MillJi00
Rodney Peete,QB,36.176,2002-09-08,NFL,CAR,,BAL,W 10-7,1,1,Sun,12,19,63.16,136,1,0,102.1,2,16,7.16,8.21,PeetRo00
Jake Plummer,QB,27.263,2002-09-08,NFL,ARI,@,WAS,L 23-31,1,1,Sun,14,36,38.89,187,1,1,53.8,1,0,5.19,4.50,PlumJa00
Chris Redman,QB,25.063,2002-09-08,NFL,BAL,@,CAR,L 7-10,1,1,Sun,20,34,58.82,218,1,1,75.4,2,6,6.41,5.68,RedmCh00
Vinny Testaverde,QB,38.299,2002-09-08,NFL,NYJ,@,BUF,W 37-31,1,1,Sun,24,30,80.00,210,2,0,118.1,3,17,7.00,8.33,TestVi00
Tom Tupa,P,36.214,2002-09-08,NFL,TAM,,NOR,L 20-26,1,1,Sun,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,TupaTo20
Michael Vick,QB,22.074,2002-09-08,NFL,ATL,@,GNB,L 34-37,1,1,Sun,15,23,65.22,209,1,0,108.8,4,15,9.09,9.96,VickMi00
Kurt Warner*,QB,31.078,2002-09-08,NFL,STL,@,DEN,L 16-23,1,1,Sun,32,41,78.05,315,0,1,88.5,3,20,7.68,6.59,WarnKu00
Tom Brady,QB,25.037,2002-09-09,NFL,NWE,,PIT,W 30-14,1,1,Mon,29,43,67.44,294,3,0,110.0,2,14,6.84,8.23,BradTo00
Antwaan Randle El,WR,23.023,2002-09-09,NFL,PIT,@,NWE,L 14-30,1,1,Mon,1,1,100.00,5,0,0,87.5,0,0,5.00,5.00,RandAn00
Kordell Stewart,QB,29.328,2002-09-09,NFL,PIT,@,NWE,L 14-30,1,1,Mon,24,37,64.86,242,1,3,58.6,5,38,6.54,3.43,StewKo00
Drew Bledsoe,QB,30.213,2002-09-15,NFL,BUF,@,MIN,W 45-39,2,2,Sun,35,49,71.43,463,3,0,121.4,3,26,9.45,10.67,BledDr00
Tom Brady,QB,25.043,2002-09-15,NFL,NWE,@,NYJ,W 44-7,2,2,Sun,25,35,71.43,269,2,1,100.8,0,0,7.69,7.54,BradTo00
Drew Brees,QB,23.243,2002-09-15,NFL,SDG,,HOU,W 24-3,2,2,Sun,15,28,53.57,163,1,1,68.0,2,20,5.82,4.93,BreeDr00
Aaron Brooks,QB,26.175,2002-09-15,NFL,NOR,,GNB,W 35-20,2,2,Sun,16,28,57.14,217,2,2,76.0,1,6,7.75,5.96,BrooAa00
Mark Brunell,QB,31.363,2002-09-15,NFL,JAX,@,KAN,W 23-16,2,2,Sun,25,36,69.44,320,2,0,115.5,0,0,8.89,10.00,BrunMa00
David Carr,QB,23.056,2002-09-15,NFL,HOU,@,SDG,L 3-24,2,2,Sun,6,25,24.00,87,0,2,8.2,9,58,3.48,-0.12,CarrDa00
