Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Kick Ret,Kick Ret Yds,Kick Ret YPA,Kick Ret TD,unique_id
Andre Brown,RB,25.265,2012-09-05,NFL,NYG,,DAL,L 17-24,1,1,Wed,2,29,14.50,0,BrowAn03
Felix Jones,RB,25.120,2012-09-05,NFL,DAL,@,NYG,W 24-17,1,1,Wed,3,61,20.33,0,JoneFe00
David Wilson,RB,21.082,2012-09-05,NFL,NYG,,DAL,L 17-24,1,1,Wed,3,71,23.67,0,WilsDa01
Joe Adams,WR,22.292,2012-09-09,NFL,CAR,@,TAM,L 10-16,1,1,Sun,1,31,31.00,0,AdamJo01
Javier Arenas,CB,24.317,2012-09-09,NFL,KAN,,ATL,L 24-40,1,1,Sun,4,79,19.75,0,ArenJa99
Matt Asiata,FB,25.047,2012-09-09,NFL,MIN,,JAX,W 26-23,1,1,Sun,2,40,20.00,0,AsiaMa00
Brandon Banks,WR,24.263,2012-09-09,NFL,WAS,@,NOR,W 40-32,1,1,Sun,2,49,24.50,0,BankBr00
Brandon Boykin,CB,22.058,2012-09-09,NFL,PHI,@,CLE,W 17-16,1,1,Sun,2,46,23.00,0,BoykBr00
LaVon Brazill,WR,23.178,2012-09-09,NFL,IND,@,CHI,L 21-41,1,1,Sun,1,15,15.00,0,BrazLa00
Randall Cobb,WR,22.018,2012-09-09,NFL,GNB,,SFO,L 22-30,1,1,Sun,3,73,24.33,0,CobbRa00
Terrance Copper,WR,30.181,2012-09-09,NFL,KAN,,ATL,L 24-40,1,1,Sun,1,16,16.00,0,CoppTe00
Josh Cribbs,WR,29.092,2012-09-09,NFL,CLE,,PHI,L 16-17,1,1,Sun,3,91,30.33,0,CribJo01
Harry Douglas,WR,27.359,2012-09-09,NFL,ATL,@,KAN,W 40-24,1,1,Sun,1,8,8.00,0,DougHa00
Percy Harvin,WR,24.104,2012-09-09,NFL,MIN,,JAX,W 26-23,1,1,Sun,3,88,29.33,0,HarvPe00
Stanley Havili,FB,24.300,2012-09-09,NFL,PHI,@,CLE,W 17-16,1,1,Sun,1,18,18.00,0,HaviSt00
Will Heller,TE,31.194,2012-09-09,NFL,DET,,STL,W 27-23,1,1,Sun,1,1,1.00,0,HellWi00
Devin Hester,WR,29.310,2012-09-09,NFL,CHI,,IND,W 41-21,1,1,Sun,2,49,24.50,0,HestDe99
Trindon Holliday,WR,26.135,2012-09-09,NFL,HOU,,MIA,W 30-10,1,1,Sun,3,47,15.67,0,HollTr00
Kendall Hunter,RB,23.359,2012-09-09,NFL,SFO,@,GNB,W 30-22,1,1,Sun,1,31,31.00,0,HuntKe00
Jorvorskie Lane,FB,25.218,2012-09-09,NFL,MIA,@,HOU,L 10-30,1,1,Sun,1,18,18.00,0,LaneJo00
Stefan Logan,RB,31.099,2012-09-09,NFL,DET,,STL,W 27-23,1,1,Sun,1,18,18.00,0,LogaSt00
Devin McCourty,LCB,25.027,2012-09-09,NFL,NWE,@,TEN,W 34-13,1,1,Sun,1,28,28.00,0,McCoDe99
Leodis McKelvin,CB,27.008,2012-09-09,NFL,BUF,@,NYJ,L 28-48,1,1,Sun,3,71,23.67,0,McKeLe99
Joe McKnight,RB,24.146,2012-09-09,NFL,NYJ,,BUF,W 48-28,1,1,Sun,1,24,24.00,0,McKnJo00
Mewelde Moore,RB,30.047,2012-09-09,NFL,IND,@,CHI,L 21-41,1,1,Sun,1,7,7.00,0,MoorMe00
Jalen Parmele,RB,26.254,2012-09-09,NFL,JAX,@,MIN,L 23-26,1,1,Sun,3,63,21.00,0,ParmJa00
Isaiah Pead,RB,22.270,2012-09-09,NFL,STL,@,DET,L 23-27,1,1,Sun,1,25,25.00,0,PeadIs00
Darius Reynaud,RB,27.255,2012-09-09,NFL,TEN,,NWE,L 13-34,1,1,Sun,4,98,24.50,0,ReynDa00
Jacquizz Rodgers,RB,22.216,2012-09-09,NFL,ATL,@,KAN,W 40-24,1,1,Sun,2,104,52.00,0,RodgJa00
Emmanuel Sanders,WR,25.176,2012-09-09,NFL,PIT,@,DEN,L 19-31,1,1,Sun,1,27,27.00,0,SandEm00
Matthew Slater,WR,27.000,2012-09-09,NFL,NWE,@,TEN,W 34-13,1,1,Sun,1,19,19.00,0,SlatMa00
Michael Smith,RB,24.031,2012-09-09,NFL,TAM,,CAR,W 16-10,1,1,Sun,3,55,18.33,0,SmitMi01
Darren Sproles,RB,29.081,2012-09-09,NFL,NOR,,WAS,L 32-40,1,1,Sun,3,103,34.33,0,SproDa00
Emmanuel Stephens,DL,25.205,2012-09-09,NFL,CLE,,PHI,L 16-17,1,1,Sun,1,7,7.00,0,StepEm00
LaRod Stephens-Howling,RB,25.136,2012-09-09,NFL,ARI,,SEA,W 20-16,1,1,Sun,1,22,22.00,0,StepLa00
Marcus Thigpen,RB,26.117,2012-09-09,NFL,MIA,@,HOU,L 10-30,1,1,Sun,5,137,27.40,0,ThigMa00
Cassius Vaughn,CB,24.311,2012-09-09,NFL,IND,@,CHI,L 21-41,1,1,Sun,2,51,25.50,0,VaugCa00
Leon Washington,RB,30.011,2012-09-09,NFL,SEA,@,ARI,L 16-20,1,1,Sun,3,133,44.33,0,WashLe00
Richard Goodman,WR-K,25.140,2012-09-10,NFL,SDG,@,OAK,W 22-14,1,1,Mon,3,76,25.33,0,GoodRi00
Melvin Ingram,OLB,23.137,2012-09-10,NFL,SDG,@,OAK,W 22-14,1,1,Mon,1,0,0.00,0,IngrMe00
Taiwan Jones,RB,24.046,2012-09-10,NFL,OAK,,SDG,L 14-22,1,1,Mon,1,6,6.00,0,JoneTa00
Brandon Tate,WR,24.341,2012-09-10,NFL,CIN,@,BAL,L 13-44,1,1,Mon,3,64,21.33,0,TateBr00
Deonte Thompson,WR,23.209,2012-09-10,NFL,BAL,,CIN,W 44-13,1,1,Mon,4,88,22.00,0,ThomDe04
Randall Cobb,WR,22.022,2012-09-13,NFL,GNB,,CHI,W 23-10,2,2,Thu,1,21,21.00,0,CobbRa00
Devin Hester,WR,29.314,2012-09-13,NFL,CHI,@,GNB,L 10-23,2,2,Thu,2,57,28.50,0,HestDe99
Joe Adams,WR,22.299,2012-09-16,NFL,CAR,,NOR,W 35-27,2,2,Sun,3,72,24.00,0,AdamJo01
Javier Arenas,CB,24.324,2012-09-16,NFL,KAN,@,BUF,L 17-35,2,2,Sun,2,40,20.00,0,ArenJa99
Brandon Banks,WR,24.270,2012-09-16,NFL,WAS,@,STL,L 28-31,2,2,Sun,3,53,17.67,0,BankBr00
Arrelious Benn,WR,24.008,2012-09-16,NFL,TAM,@,NYG,L 34-41,2,2,Sun,7,180,25.71,0,BennAr00
Martellus Bennett,TE,25.190,2012-09-16,NFL,NYG,,TAM,W 41-34,2,2,Sun,1,13,13.00,0,BennMa00
Brandon Boykin,CB,22.065,2012-09-16,NFL,PHI,,BAL,W 24-23,2,2,Sun,2,48,24.00,0,BoykBr00
Josh Cribbs,WR,29.099,2012-09-16,NFL,CLE,@,CIN,L 27-34,2,2,Sun,6,165,27.50,0,CribJo01
Early Doucet,WR,26.324,2012-09-16,NFL,ARI,@,NWE,W 20-18,2,2,Sun,1,18,18.00,0,DoucEa00
Coye Francies,CB,25.306,2012-09-16,NFL,OAK,@,MIA,L 13-35,2,2,Sun,1,13,13.00,0,FranCo99
Junior Galette,DE,24.173,2012-09-16,NFL,NOR,@,CAR,L 27-35,2,2,Sun,1,2,2.00,0,GaleJu00
Richard Goodman,WR-K,25.146,2012-09-16,NFL,SDG,,TEN,W 38-10,2,2,Sun,2,74,37.00,0,GoodRi00
Mike Goodson,RB,25.116,2012-09-16,NFL,OAK,@,MIA,L 13-35,2,2,Sun,2,41,20.50,0,GoodMi00
Percy Harvin,WR,24.111,2012-09-16,NFL,MIN,@,IND,L 20-23,2,2,Sun,2,78,39.00,0,HarvPe00
Lavelle Hawkins,WR,26.066,2012-09-16,NFL,TEN,@,SDG,L 10-38,2,2,Sun,4,130,32.50,0,HawkLa00
T.Y. Hilton,WR,22.307,2012-09-16,NFL,IND,,MIN,W 23-20,2,2,Sun,1,19,19.00,0,HiltT.00
Trindon Holliday,WR,26.142,2012-09-16,NFL,HOU,@,JAX,W 27-7,2,2,Sun,2,58,29.00,0,HollTr00
Kendall Hunter,RB,24.000,2012-09-16,NFL,SFO,,DET,W 27-19,2,2,Sun,4,85,21.25,0,HuntKe00
Adam Jones,CB,28.352,2012-09-16,NFL,CIN,,CLE,W 34-27,2,2,Sun,1,31,31.00,0,JonePa20
Felix Jones,RB,25.131,2012-09-16,NFL,DAL,@,SEA,L 7-27,2,2,Sun,5,109,21.80,0,JoneFe00
Akeem Jordan,LB,27.030,2012-09-16,NFL,PHI,,BAL,W 24-23,2,2,Sun,1,1,1.00,0,JordAk99
Stefan Logan,RB,31.106,2012-09-16,NFL,DET,@,SFO,L 19-27,2,2,Sun,2,64,32.00,0,LogaSt00
Devin McCourty,LCB,25.034,2012-09-16,NFL,NWE,,ARI,L 18-20,2,2,Sun,2,46,23.00,0,McCoDe99
Joe McKnight,RB,24.153,2012-09-16,NFL,NYJ,@,PIT,L 10-27,2,2,Sun,4,112,28.00,0,McKnJo00
Jalen Parmele,RB,26.261,2012-09-16,NFL,JAX,,HOU,L 7-27,2,2,Sun,3,79,26.33,0,ParmJa00
Niles Paul,TE,23.038,2012-09-16,NFL,WAS,@,STL,L 28-31,2,2,Sun,1,0,0.00,0,PaulNi00
Isaiah Pead,RB,22.277,2012-09-16,NFL,STL,,WAS,W 31-28,2,2,Sun,1,12,12.00,0,PeadIs00
Chris Rainey,RB,24.198,2012-09-16,NFL,PIT,,NYJ,W 27-10,2,2,Sun,2,45,22.50,0,RainCh00
D'Aundre Reed,DE,24.259,2012-09-16,NFL,MIN,@,IND,L 20-23,2,2,Sun,1,10,10.00,0,ReedD'00
Darius Reynaud,RB,27.262,2012-09-16,NFL,TEN,@,SDG,L 10-38,2,2,Sun,3,47,15.67,0,ReynDa00
Marcus Sherels,CB,24.352,2012-09-16,NFL,MIN,@,IND,L 20-23,2,2,Sun,1,23,23.00,0,SherMa20
Brad Smith,QB-W,28.279,2012-09-16,NFL,BUF,,KAN,W 35-17,2,2,Sun,1,5,5.00,0,SmitBr01
Darren Sproles,RB,29.088,2012-09-16,NFL,NOR,@,CAR,L 27-35,2,2,Sun,2,52,26.00,0,SproDa00
LaRod Stephens-Howling,RB,25.143,2012-09-16,NFL,ARI,@,NWE,W 20-18,2,2,Sun,1,32,32.00,0,StepLa00
Brandon Tate,WR,24.347,2012-09-16,NFL,CIN,,CLE,W 34-27,2,2,Sun,3,72,24.00,0,TateBr00
Deonte Thompson,WR,23.215,2012-09-16,NFL,BAL,@,PHI,L 23-24,2,2,Sun,3,100,33.33,0,ThomDe04
Danny Ware,RB,27.211,2012-09-16,NFL,TAM,@,NYG,L 34-41,2,2,Sun,1,18,18.00,0,WareDa00
Leon Washington,RB,30.018,2012-09-16,NFL,SEA,,DAL,W 27-7,2,2,Sun,1,20,20.00,0,WashLe00
