Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Targets,Rec,Rec Yards,Rec Avg,Rec TD,Catch Pct,YPTgt,unique_id
Marty Booker,WR,30.038,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,6,3,64,21.33,0,50.0%,10.67,BookMa00
Ronnie Brown,RB,24.269,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,3,3,32,10.67,0,100.0%,10.67,BrowRo05
Chris Chambers,WR,28.026,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,14,5,59,11.80,0,35.7%,4.21,ChamCh00
Derek Hagan,WR,21.351,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,2,1,14,14.00,0,50.0%,7.00,HagaDe00
Santonio Holmes,WR,22.188,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,2,1,6,6.00,0,50.0%,3.00,HolmSa00
Dan Kreider,FB,29.180,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,2,1,4,4.00,0,50.0%,2.00,KreiDa00
Randy McMichael,TE,27.071,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,2,1,10,10.00,0,50.0%,5.00,McMiRa01
Heath Miller,TE,23.320,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,3,3,101,33.67,1,100.0%,33.67,MillHe00
Willie Parker,HB,25.300,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,4,3,13,4.33,0,75.0%,3.25,ParkWi00
Justin Peelle,TE,27.176,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,1,1,16,16.00,0,100.0%,16.00,PeelJu00
Hines Ward,FL,30.183,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,7,5,53,10.60,1,71.4%,7.57,WardHi00
Nate Washington,WR,23.010,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,4,2,32,16.00,1,50.0%,8.00,WashNa00
Wes Welker,WR,25.129,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,8,4,67,16.75,0,50.0%,8.38,WelkWe00
Joseph Addai,RB,23.130,2006-09-10,NFL,IND,@,NYG,W 26-21,1,1,Sun,3,3,22,7.33,0,100.0%,7.33,AddaJo00
Shaun Alexander,RB,29.011,2006-09-10,NFL,SEA,@,DET,W 9-6,1,1,Sun,2,2,1,0.50,0,100.0%,0.50,AlexSh00
Stephen Alexander,TE,30.307,2006-09-10,NFL,DEN,@,STL,L 10-18,1,1,Sun,3,2,24,12.00,0,66.7%,8.00,AlexSt00
Mike Alstott,FB,32.263,2006-09-10,NFL,TAM,,BAL,L 0-27,1,1,Sun,5,3,26,8.67,0,60.0%,5.20,AlstMi00
Chris Baker,TE,26.296,2006-09-10,NFL,NYJ,@,TEN,W 23-16,1,1,Sun,4,4,34,8.50,1,100.0%,8.50,BakeCh00
