Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fantasy Pts,PPR,DK Pts,FD Pts,Pass_cmp,Pass_att,Pass_yds,Pass_td,Pass_int,Run_att,Run_yds,Run_td,Rec,Rec_yds,Rec_td,Fmb,FGM,FGA,XPM,XPA,unique_id
Tom Brady,QB,27.037,2004-09-09,NFL,NWE,,IND,W 27-24,1,1,Thu,23.30,23.3,27.3,24.3,26,38,335,3,1,1,-1,0,0,0,0,0,,,,,BradTo00
Deion Branch,WR,25.053,2004-09-09,NFL,NWE,,IND,W 27-24,1,1,Thu,12.60,19.6,20.6,16.1,0,0,0,0,0,0,0,0,7,86,1,0,,,,,BranDe00
Dallas Clark,TE,25.089,2004-09-09,NFL,IND,@,NWE,L 24-27,1,1,Thu,6.40,7.4,7.4,6.9,0,0,0,0,0,0,0,0,1,64,0,0,,,,,ClarDa00
Corey Dillon,RB,29.321,2004-09-09,NFL,NWE,,IND,W 27-24,1,1,Thu,8.60,8.6,8.6,8.6,0,0,0,0,0,15,86,0,0,0,0,0,,,,,DillCo00
David Givens,WR,24.024,2004-09-09,NFL,NWE,,IND,W 27-24,1,1,Thu,8.00,12.0,12.0,10.0,0,0,0,0,0,0,0,0,4,80,0,0,,,,,GiveDa00
Daniel Graham,TE,25.298,2004-09-09,NFL,NWE,,IND,W 27-24,1,1,Thu,11.70,18.7,18.7,15.2,0,0,0,0,0,0,0,0,7,57,1,0,,,,,GrahDa00
Marvin Harrison*,WR,32.015,2004-09-09,NFL,IND,@,NWE,L 24-27,1,1,Thu,10.40,17.4,17.4,13.9,0,0,0,0,0,0,0,0,7,44,1,0,,,,,HarrMa00
Edgerrin James,RB,26.039,2004-09-09,NFL,IND,@,NWE,L 24-27,1,1,Thu,13.10,16.1,21.1,14.6,0,0,0,0,0,30,142,0,3,29,0,0,,,,,JameEd00
Peyton Manning,QB,28.169,2004-09-09,NFL,IND,@,NWE,L 24-27,1,1,Thu,18.04,18.0,19.0,19.0,16,29,256,2,1,2,18,0,0,0,0,0,,,,,MannPe00
David Patten,WR,30.021,2004-09-09,NFL,NWE,,IND,W 27-24,1,1,Thu,14.60,18.6,18.6,16.6,0,0,0,0,0,0,0,0,4,86,1,0,,,,,PattDa00
Dominic Rhodes,RB,25.236,2004-09-09,NFL,IND,@,NWE,L 24-27,1,1,Thu,10.20,10.2,10.2,10.2,0,0,0,0,0,10,42,1,0,0,0,0,,,,,RhodDo00
Brandon Stokley,WR,28.078,2004-09-09,NFL,IND,@,NWE,L 24-27,1,1,Thu,13.70,17.7,17.7,15.7,0,0,0,0,0,0,0,0,4,77,1,0,,,,,StokBr00
Mike Vanderjagt,K,34.169,2004-09-09,NFL,IND,@,NWE,L 24-27,1,1,Thu,6.00,6.0,,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,vandemik01
