Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fantasy Pts,PPR,DK Pts,FD Pts,Pass_cmp,Pass_att,Pass_yds,Pass_td,Pass_int,Run_att,Run_yds,Run_td,Rec,Rec_yds,Rec_td,Fmb,FGM,FGA,XPM,XPA,unique_id
Adam Vinatieri,K,31.256,2004-09-09,NFL,NWE,,IND,W 27-24,1,1,Thu,9.00,9.0,,10.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,vinatada01
Ben Watson,TE,23.266,2004-09-09,NFL,NWE,,IND,W 27-24,1,1,Thu,1.60,3.6,3.6,2.6,0,0,0,0,0,0,0,0,2,16,0,0,,,,,WatsBe00
Reggie Wayne,WR,25.297,2004-09-09,NFL,IND,@,NWE,L 24-27,1,1,Thu,4.20,5.2,5.2,4.7,0,0,0,0,0,0,0,0,1,42,0,0,,,,,WaynRe00
Drew Bennett,WR,26.016,2004-09-11,NFL,TEN,@,MIA,W 17-7,1,1,Sat,1.50,4.5,4.5,3.0,0,0,0,0,0,0,0,0,3,15,0,0,,,,,BennDr00
Marty Booker,WR,28.042,2004-09-11,NFL,MIA,,TEN,L 7-17,1,1,Sat,3.60,7.6,7.6,5.6,0,0,0,0,0,0,0,0,4,36,0,0,,,,,BookMa00
Chris Brown,RB,23.147,2004-09-11,NFL,TEN,@,MIA,W 17-7,1,1,Sat,10.50,11.5,14.5,11.0,0,0,0,0,0,16,100,0,1,5,0,0,,,,,BrowCh03
Chris Chambers,WR,26.030,2004-09-11,NFL,MIA,,TEN,L 7-17,1,1,Sat,4.10,10.1,10.1,7.1,0,0,0,0,0,1,6,0,6,35,0,0,,,,,ChamCh00
Aaron Elling,K,26.103,2004-09-11,NFL,TEN,@,MIA,W 17-7,1,1,Sat,5.00,5.0,,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,ellinaar01
A.J. Feeley,QB,27.118,2004-09-11,NFL,MIA,,TEN,L 7-17,1,1,Sat,8.72,8.7,9.7,9.7,21,31,168,1,1,0,0,0,0,0,0,0,,,,,FeelA.00
Lamar Gordon,RB,24.248,2004-09-11,NFL,MIA,,TEN,L 7-17,1,1,Sat,6.20,11.2,11.2,8.7,0,0,0,0,0,12,32,0,5,30,0,0,,,,,GordLa00
Robert Holcombe,FB/R,28.275,2004-09-11,NFL,TEN,@,MIA,W 17-7,1,1,Sat,3.10,3.1,3.1,3.1,0,0,0,0,0,7,31,0,0,0,0,0,,,,,HolcRo00
Erron Kinney,TE,27.045,2004-09-11,NFL,TEN,@,MIA,W 17-7,1,1,Sat,6.10,7.1,7.1,6.6,0,0,0,0,0,0,0,0,1,1,1,0,,,,,KinnEr00
Olindo Mare,K,31.097,2004-09-11,NFL,MIA,,TEN,L 7-17,1,1,Sat,1.00,1.0,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,marexoli01
Derrick Mason,WR,30.238,2004-09-11,NFL,TEN,@,MIA,W 17-7,1,1,Sat,5.10,8.1,8.1,6.6,0,0,0,0,0,0,0,0,3,51,0,0,,,,,MasoDe00
Randy McMichael,TE,25.075,2004-09-11,NFL,MIA,,TEN,L 7-17,1,1,Sat,13.90,21.9,21.9,17.9,0,0,0,0,0,0,0,0,8,79,1,0,,,,,McMiRa01
Steve McNair,QB,31.210,2004-09-11,NFL,TEN,@,MIA,W 17-7,1,1,Sat,8.02,8.0,8.0,8.0,9,14,73,1,0,2,11,0,0,0,0,0,,,,,McNaSt00
Travis Minor,RB,25.073,2004-09-11,NFL,MIA,,TEN,L 7-17,1,1,Sat,4.50,5.5,5.5,5.0,0,0,0,0,0,5,25,0,1,20,0,0,,,,,MinoTr00
Antowain Smith,RB,32.181,2004-09-11,NFL,TEN,@,MIA,W 17-7,1,1,Sat,2.10,3.1,4.1,2.6,0,0,0,0,0,11,40,0,1,1,0,0,,,,,SmitAn00
David Akers,K,29.278,2004-09-12,NFL,PHI,,NYG,W 31-17,1,1,Sun,7.00,7.0,,8.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,akersdav01
Shaun Alexander,RB,27.013,2004-09-12,NFL,SEA,@,NOR,W 21-7,1,1,Sun,34.60,36.6,39.6,35.6,0,0,0,0,0,28,135,2,2,31,1,0,,,,,AlexSh00
Stephen Alexander,TE,28.310,2004-09-12,NFL,DET,@,CHI,W 20-16,1,1,Sun,1.50,3.5,3.5,2.5,0,0,0,0,0,0,0,0,2,15,0,0,,,,,AlexSt00
Mike Alstott,FB,30.266,2004-09-12,NFL,TAM,@,WAS,L 10-16,1,1,Sun,2.20,5.2,5.2,3.7,0,0,0,0,0,4,5,0,3,17,0,0,,,,,AlstMi00
Courtney Anderson,TE,23.298,2004-09-12,NFL,OAK,@,PIT,L 21-24,1,1,Sun,1.30,2.3,2.3,1.8,0,0,0,0,0,0,0,0,1,13,0,0,,,,,AndeCo00
Richie Anderson,FB,32.365,2004-09-12,NFL,DAL,@,MIN,L 17-35,1,1,Sun,2.10,6.1,7.1,4.1,0,0,0,0,0,6,10,0,4,31,0,0,,,,,AndeRi00
Champ Bailey*,LCB,26.082,2004-09-12,NFL,DEN,,KAN,W 34-24,1,1,Sun,1.10,2.1,2.1,1.6,0,0,0,0,0,0,0,0,1,11,0,0,,,,,BailCh00
Tiki Barber,RB,29.158,2004-09-12,NFL,NYG,@,PHI,L 17-31,1,1,Sun,26.00,31.0,34.0,28.5,0,0,0,0,0,9,125,1,5,75,0,0,,,,,BarbTi00
Kevan Barlow,RB,25.249,2004-09-12,NFL,SFO,,ATL,L 19-21,1,1,Sun,7.10,8.1,9.1,7.6,0,0,0,0,0,19,76,0,1,15,0,0,,,,,BarlKe00
Tatum Bell,RB,23.194,2004-09-12,NFL,DEN,,KAN,W 34-24,1,1,Sun,1.10,1.1,1.1,1.1,0,0,0,0,0,2,11,0,0,0,0,0,,,,,BellTa00
Jerome Bettis*,RB,32.209,2004-09-12,NFL,PIT,,OAK,W 24-21,1,1,Sun,18.10,18.1,18.1,18.1,0,0,0,0,0,5,1,3,0,0,0,0,,,,,BettJe00
Ladell Betts,RB,25.016,2004-09-12,NFL,WAS,,TAM,W 16-10,1,1,Sun,2.30,3.3,3.3,2.8,0,0,0,0,0,5,17,0,1,6,0,0,,,,,BettLa00
Derrick Blaylock,RB,25.020,2004-09-12,NFL,KAN,@,DEN,L 24-34,1,1,Sun,1.10,2.1,2.1,1.6,0,0,0,0,0,0,0,0,1,11,0,0,,,,,BlayDe00
Drew Bledsoe,QB,32.211,2004-09-12,NFL,BUF,,JAX,L 10-13,1,1,Sun,7.72,7.7,8.7,7.7,17,26,153,1,0,3,-4,0,0,0,0,0,,,,,BledDr00
Kyle Boller,QB,23.087,2004-09-12,NFL,BAL,@,CLE,L 3-20,1,1,Sun,3.24,3.2,6.2,5.2,22,38,191,0,2,2,16,0,0,0,0,0,,,,,BollKy00
Corey Bradford,WR,28.279,2004-09-12,NFL,HOU,,SDG,L 20-27,1,1,Sun,2.40,5.4,5.4,3.9,0,0,0,0,0,0,0,0,3,24,0,0,,,,,BradCo00
Drew Brees,QB,25.241,2004-09-12,NFL,SDG,@,HOU,W 27-20,1,1,Sun,16.16,16.2,16.2,16.2,17,24,209,2,0,5,-2,0,0,0,0,0,,,,,BreeDr00
Doug Brien,K,33.293,2004-09-12,NFL,NYJ,,CIN,W 31-24,1,1,Sun,7.00,7.0,,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,briendou01
Aaron Brooks,QB,28.172,2004-09-12,NFL,NOR,,SEA,L 7-21,1,1,Sun,12.52,12.5,13.5,13.5,18,37,223,1,1,2,16,0,0,0,0,0,,,,,BrooAa00
Kris Brown,PK,27.264,2004-09-12,NFL,HOU,,SDG,L 20-27,1,1,Sun,8.00,8.0,,8.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,brownkri01
Tim Brown*,WR,38.052,2004-09-12,NFL,TAM,@,WAS,L 10-16,1,1,Sun,2.30,6.3,6.3,4.3,0,0,0,0,0,0,0,0,4,23,0,0,,,,,BrowTi00
Isaac Bruce,WR,31.307,2004-09-12,NFL,STL,,ARI,W 17-10,1,1,Sun,17.20,26.2,29.2,21.7,0,0,0,0,0,0,0,0,9,112,1,0,,,,,BrucIs00
Mark Brunell,QB,33.361,2004-09-12,NFL,WAS,,TAM,W 16-10,1,1,Sun,3.10,3.1,4.1,3.1,13,24,125,0,0,5,1,0,0,0,0,0,,,,,BrunMa00
Antonio Bryant,WR,23.187,2004-09-12,NFL,DAL,@,MIN,L 17-35,1,1,Sun,9.20,17.2,21.2,13.2,0,0,0,0,0,0,0,0,8,112,0,0,,,,,BryaAn00
Shawn Bryson,RB,27.297,2004-09-12,NFL,DET,@,CHI,W 20-16,1,1,Sun,1.80,1.8,1.8,1.8,0,0,0,0,0,3,18,0,0,0,0,0,,,,,BrysSh00
Marc Bulger,QB,27.160,2004-09-12,NFL,STL,,ARI,W 17-10,1,1,Sun,12.88,12.9,13.9,13.9,23,34,272,1,1,0,0,0,0,0,0,0,,,,,BulgMa00
Nate Burleson,WR,23.024,2004-09-12,NFL,MIN,,DAL,W 35-17,1,1,Sun,3.40,6.4,6.4,4.9,0,0,0,0,0,0,0,0,3,34,0,0,,,,,BurlNa00
Plaxico Burress,SE,27.031,2004-09-12,NFL,PIT,,OAK,W 24-21,1,1,Sun,1.30,2.3,2.3,1.8,0,0,0,0,0,0,0,0,1,13,0,0,,,,,BurrPl00
Reche Caldwell,WR,25.168,2004-09-12,NFL,SDG,@,HOU,W 27-20,1,1,Sun,12.50,16.5,16.5,14.5,0,0,0,0,0,0,0,0,4,65,1,0,,,,,CaldRe00
Kelly Campbell,WR,24.051,2004-09-12,NFL,MIN,,DAL,W 35-17,1,1,Sun,10.30,11.3,11.3,10.8,0,0,0,0,0,0,0,0,1,43,1,0,,,,,CampKe00
Mark Campbell,TE,28.281,2004-09-12,NFL,BUF,,JAX,L 10-13,1,1,Sun,2.70,3.7,3.7,3.2,0,0,0,0,0,0,0,0,1,27,0,0,,,,,CampMa00
David Carr,QB,25.053,2004-09-12,NFL,HOU,,SDG,L 20-27,1,1,Sun,6.36,6.4,8.4,8.4,19,25,229,0,2,3,12,0,0,0,0,0,,,,,CarrDa00
Jonathan Carter,WR-K,25.176,2004-09-12,NFL,NYJ,,CIN,W 31-24,1,1,Sun,8.60,9.6,10.6,9.1,0,0,0,0,0,0,0,0,1,46,1,0,,,,,CartJo01
Tim Carter,WR,24.357,2004-09-12,NFL,NYG,@,PHI,L 17-31,1,1,Sun,5.10,9.1,9.1,7.1,0,0,0,0,0,0,0,0,4,51,0,0,,,,,CartTi00
Wayne Chrebet,WR,31.029,2004-09-12,NFL,NYJ,,CIN,W 31-24,1,1,Sun,2.10,4.1,4.1,3.1,0,0,0,0,0,0,0,0,2,21,0,0,,,,,ChreWa00
Steve Christie,K,36.304,2004-09-12,NFL,NYG,@,PHI,L 17-31,1,1,Sun,7.00,7.0,,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,chrisste01
Michael Clayton,WR,21.335,2004-09-12,NFL,TAM,@,WAS,L 10-16,1,1,Sun,5.30,12.3,12.3,8.8,0,0,0,0,0,0,0,0,7,53,0,0,,,,,ClayMi00
Laveranues Coles,WR,26.258,2004-09-12,NFL,WAS,,TAM,W 16-10,1,1,Sun,2.70,5.7,5.7,4.2,0,0,0,0,0,0,0,0,3,27,0,0,,,,,ColeLa00
Curtis Conway,WR,33.243,2004-09-12,NFL,SFO,,ATL,L 19-21,1,1,Sun,2.40,4.4,4.4,3.4,0,0,0,0,0,0,0,0,2,24,0,0,,,,,ConwCu00
Ernie Conwell,TE,32.026,2004-09-12,NFL,NOR,,SEA,L 7-21,1,1,Sun,9.20,12.2,12.2,10.7,0,0,0,0,0,0,0,0,3,32,1,0,,,,,ConwEr00
Chris Cooley,HB,22.063,2004-09-12,NFL,WAS,,TAM,W 16-10,1,1,Sun,1.60,2.6,2.6,2.1,0,0,0,0,0,0,0,0,1,16,0,0,,,,,CoolCh00
Zack Crockett,FB,31.285,2004-09-12,NFL,OAK,@,PIT,L 21-24,1,1,Sun,1.80,2.8,2.8,2.3,0,0,0,0,0,2,10,0,1,8,0,0,,,,,CrocZa00
Alge Crumpler,TE,26.264,2004-09-12,NFL,ATL,@,SFO,W 21-19,1,1,Sun,14.20,20.2,20.2,17.2,0,0,0,0,0,0,0,0,6,82,1,0,,,,,CrumAl00
Daunte Culpepper,QB,27.228,2004-09-12,NFL,MIN,,DAL,W 35-17,1,1,Sun,32.18,32.2,32.2,32.2,17,23,242,5,0,6,25,0,0,0,0,0,,,,,CulpDa00
Billy Cundiff,K,24.166,2004-09-12,NFL,DAL,@,MIN,L 17-35,1,1,Sun,5.00,5.0,,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,cundibil01
Ronald Curry,WR,25.107,2004-09-12,NFL,OAK,@,PIT,L 21-24,1,1,Sun,1.20,2.2,2.2,1.7,0,0,0,0,0,0,0,0,1,12,0,0,,,,,CurrRo01
Andre' Davis,,25.092,2004-09-12,NFL,CLE,,BAL,W 20-3,1,1,Sun,5.10,6.1,6.1,5.6,0,0,0,0,0,0,0,0,1,51,0,0,,,,,DaviAn01
Phil Dawson,K,29.233,2004-09-12,NFL,CLE,,BAL,W 20-3,1,1,Sun,8.00,8.0,,8.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,dawsophi01
Ron Dayne,RB,26.182,2004-09-12,NFL,NYG,@,PHI,L 17-31,1,1,Sun,10.50,10.5,10.5,10.5,0,0,0,0,0,13,45,1,0,0,0,0,,,,,DaynRo00
Ken Dilger,TE,33.223,2004-09-12,NFL,TAM,@,WAS,L 10-16,1,1,Sun,1.20,4.2,4.2,2.7,0,0,0,0,0,0,0,0,3,12,0,0,,,,,DilgKe00
Ken Dorsey,QB,23.143,2004-09-12,NFL,SFO,,ATL,L 19-21,1,1,Sun,4.44,4.4,4.4,4.4,9,15,111,0,0,0,0,0,0,0,0,0,,,,,DorsKe00
Rickey Dudley,TE,32.059,2004-09-12,NFL,TAM,@,WAS,L 10-16,1,1,Sun,3.10,5.1,5.1,4.1,0,0,0,0,0,0,0,0,2,31,0,0,,,,,DudlRi00
Warrick Dunn,RB,29.251,2004-09-12,NFL,ATL,@,SFO,W 21-19,1,1,Sun,18.30,18.3,18.3,18.3,0,0,0,0,0,19,63,2,0,0,0,0,,,,,DunnWa00
Paul Edinger,K,26.239,2004-09-12,NFL,CHI,,DET,L 16-20,1,1,Sun,2.00,2.0,,2.0,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,2,edingpau01
Troy Edwards,WR,27.158,2004-09-12,NFL,JAX,@,BUF,W 13-10,1,1,Sun,3.70,8.7,8.7,6.2,0,0,0,0,0,0,0,0,5,37,0,0,,,,,EdwaTr00
Jason Elam,K,34.188,2004-09-12,NFL,DEN,,KAN,W 34-24,1,1,Sun,10.00,10.0,,12.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,elamxjas01
Bobby Engram,WR,31.249,2004-09-12,NFL,SEA,@,NOR,W 21-7,1,1,Sun,3.50,6.5,7.5,5.0,0,0,0,0,0,0,0,0,3,55,0,0,,,,,EngrBo00
Lee Evans,WR,23.185,2004-09-12,NFL,BUF,,JAX,L 10-13,1,1,Sun,1.20,3.2,3.2,2.2,0,0,0,0,0,0,0,0,2,12,0,0,,,,,EvanLe00
Justin Fargas,RB,24.231,2004-09-12,NFL,OAK,@,PIT,L 21-24,1,1,Sun,3.60,5.6,5.6,4.6,0,0,0,0,0,7,17,0,2,19,0,0,,,,,FargJu00
Marshall Faulk*,RB,31.199,2004-09-12,NFL,STL,,ARI,W 17-10,1,1,Sun,14.50,16.5,19.5,15.5,0,0,0,0,0,22,128,0,2,17,0,0,,,,,FaulMa00
Brian Finneran,WR,28.225,2004-09-12,NFL,ATL,@,SFO,W 21-19,1,1,Sun,1.60,2.6,2.6,2.1,0,0,0,0,0,0,0,0,1,16,0,0,,,,,FinnBr00
Larry Fitzgerald,WR,21.012,2004-09-12,NFL,ARI,@,STL,L 10-17,1,1,Sun,6.90,10.9,10.9,8.9,0,0,0,0,0,1,-1,0,4,70,0,0,,,,,FitzLa00
Doug Gabriel,WR,24.016,2004-09-12,NFL,OAK,@,PIT,L 21-24,1,1,Sun,12.40,15.4,16.4,13.9,0,0,0,0,0,1,3,0,3,81,1,0,,,,,GabrDo00
Jabar Gaffney,WR,23.286,2004-09-12,NFL,HOU,,SDG,L 20-27,1,1,Sun,4.00,8.0,8.0,6.0,0,0,0,0,0,0,0,0,4,40,0,0,,,,,GaffJa00
Rich Gannon,QB,38.267,2004-09-12,NFL,OAK,@,PIT,L 21-24,1,1,Sun,16.20,16.2,22.2,18.2,20,37,305,2,2,0,0,0,0,0,0,0,,,,,GannRi00
Jeff Garcia,QB,34.201,2004-09-12,NFL,CLE,,BAL,W 20-3,1,1,Sun,18.50,18.5,18.5,18.5,15,24,180,1,0,3,13,1,0,0,0,0,,,,,GarcJe00
Rod Gardner,WR,26.322,2004-09-12,NFL,WAS,,TAM,W 16-10,1,1,Sun,6.10,10.1,10.1,8.1,0,0,0,0,0,0,0,0,4,61,0,0,,,,,GardRo00
Charlie Garner,RB,32.212,2004-09-12,NFL,TAM,@,WAS,L 10-16,1,1,Sun,2.90,3.9,3.9,3.4,0,0,0,0,0,11,25,0,1,4,0,0,,,,,GarnCh00
Antonio Gates,TE,24.086,2004-09-12,NFL,SDG,@,HOU,W 27-20,1,1,Sun,12.30,20.3,23.3,16.3,0,0,0,0,0,0,0,0,8,123,0,0,,,,,GateAn00
Eddie George,RB,30.354,2004-09-12,NFL,DAL,@,MIN,L 17-35,1,1,Sun,2.50,2.5,2.5,2.5,0,0,0,0,0,8,25,0,0,0,0,0,,,,,GeorEd00
Terry Glenn,WR,30.051,2004-09-12,NFL,DAL,@,MIN,L 17-35,1,1,Sun,14.40,19.4,19.4,16.9,0,0,0,0,0,0,0,0,5,84,1,0,,,,,GlenTe00
Tony Gonzalez*,TE,28.198,2004-09-12,NFL,KAN,@,DEN,L 24-34,1,1,Sun,1.70,3.7,3.7,2.7,0,0,0,0,0,0,0,0,2,17,0,0,,,,,GonzTo00
Shayne Graham,K,26.278,2004-09-12,NFL,CIN,@,NYJ,L 24-31,1,1,Sun,6.00,6.0,,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,grahasha01
Martin Gramatica,K,28.290,2004-09-12,NFL,TAM,@,WAS,L 10-16,1,1,Sun,4.00,4.0,,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,gramamar01
Trent Green,QB,34.065,2004-09-12,NFL,KAN,@,DEN,L 24-34,1,1,Sun,5.26,5.3,6.3,6.3,16,32,174,0,1,1,3,0,0,0,0,0,,,,,GreeTr00
William Green,RB,24.270,2004-09-12,NFL,CLE,,BAL,W 20-3,1,1,Sun,9.20,13.2,13.2,11.2,0,0,0,0,0,22,65,0,4,27,0,0,,,,,GreeWi01
Quentin Griffin,RB,23.244,2004-09-12,NFL,DEN,,KAN,W 34-24,1,1,Sun,31.70,32.7,36.7,32.2,0,0,0,0,0,23,156,2,1,1,1,0,,,,,GrifQu00
Rex Grossman,QB,24.020,2004-09-12,NFL,CHI,,DET,L 16-20,1,1,Sun,5.18,5.2,8.2,7.2,16,35,227,0,2,4,21,0,0,0,0,0,,,,,GrosRe00
Az-Zahir Hakim,WR,27.101,2004-09-12,NFL,DET,@,CHI,W 20-16,1,1,Sun,8.90,11.9,11.9,10.4,0,0,0,0,0,0,0,0,3,29,1,0,,,,,HakiAz00
Dante Hall,WR,26.011,2004-09-12,NFL,KAN,@,DEN,L 24-34,1,1,Sun,1.70,3.7,3.7,2.7,0,0,0,0,0,0,0,0,2,17,0,0,,,,,HallDa00
John Hall,K,30.179,2004-09-12,NFL,WAS,,TAM,W 16-10,1,1,Sun,10.00,10.0,,10.0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,1,hallxjoh01
Jason Hanson,K,34.087,2004-09-12,NFL,DET,@,CHI,W 20-16,1,1,Sun,8.00,8.0,,8.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,hansojas01
Patrick Hape,TE,30.098,2004-09-12,NFL,DEN,,KAN,W 34-24,1,1,Sun,6.20,7.2,7.2,6.7,0,0,0,0,0,0,0,0,1,2,1,0,,,,,HapePa00
Joey Harrington,QB,25.327,2004-09-12,NFL,DET,@,CHI,W 20-16,1,1,Sun,10.08,10.1,11.1,11.1,14,26,187,1,1,3,6,0,0,0,0,0,,,,,HarrJo00
Matt Hasselbeck,QB,28.353,2004-09-12,NFL,SEA,@,NOR,W 21-7,1,1,Sun,11.74,11.7,12.7,12.7,19,29,246,1,1,4,-1,0,0,0,0,0,,,,,HassMa00
Todd Heap,TE,24.180,2004-09-12,NFL,BAL,@,CLE,L 3-20,1,1,Sun,8.60,17.6,17.6,13.1,0,0,0,0,0,0,0,0,9,86,0,0,,,,,HeapTo00
Garrison Hearst,RB,33.252,2004-09-12,NFL,DEN,,KAN,W 34-24,1,1,Sun,1.00,2.0,2.0,1.5,0,0,0,0,0,2,5,0,1,5,0,0,,,,,HearGa00
Travis Henry,RB,25.319,2004-09-12,NFL,BUF,,JAX,L 10-13,1,1,Sun,8.40,11.4,11.4,9.9,0,0,0,0,0,23,75,0,3,9,0,0,,,,,HenrTr00
Ike Hilliard,WR,28.160,2004-09-12,NFL,NYG,@,PHI,L 17-31,1,1,Sun,5.90,8.9,8.9,7.4,0,0,0,0,0,0,0,0,3,59,0,0,,,,,HillIk00
Tony Hollings,RB,22.286,2004-09-12,NFL,HOU,,SDG,L 20-27,1,1,Sun,3.70,4.7,4.7,4.2,0,0,0,0,0,3,10,0,1,27,0,0,,,,,HollTo00
Priest Holmes,RB,30.341,2004-09-12,NFL,KAN,@,DEN,L 24-34,1,1,Sun,32.90,34.9,37.9,33.9,0,0,0,0,0,26,151,3,2,-2,0,0,,,,,HolmPr00
Torry Holt,WR,28.099,2004-09-12,NFL,STL,,ARI,W 17-10,1,1,Sun,9.60,16.6,16.6,13.1,0,0,0,0,0,0,0,0,7,96,0,0,,,,,HoltTo00
Joe Horn,WR,32.240,2004-09-12,NFL,NOR,,SEA,L 7-21,1,1,Sun,11.00,17.0,20.0,14.0,0,0,0,0,0,0,0,0,6,110,0,0,,,,,HornJo00
T.J. Houshmandzadeh,WR,26.352,2004-09-12,NFL,CIN,@,NYJ,L 24-31,1,1,Sun,3.80,6.8,6.8,5.3,0,0,0,0,0,0,0,0,3,38,0,0,,,,,HousTJ00
Randy Hymes,WR,25.036,2004-09-12,NFL,BAL,@,CLE,L 3-20,1,1,Sun,3.90,8.9,8.9,6.4,0,0,0,0,0,0,0,0,5,39,0,0,,,,,HymeRa00
Darrell Jackson,WR,25.281,2004-09-12,NFL,SEA,@,NOR,W 21-7,1,1,Sun,9.80,16.8,16.8,13.3,0,0,0,0,0,0,0,0,7,98,0,0,,,,,JackDa00
James Jackson,RB,28.039,2004-09-12,NFL,CLE,,BAL,W 20-3,1,1,Sun,1.20,3.2,3.2,2.2,0,0,0,0,0,4,7,0,2,5,0,0,,,,,JackJa00
Steven Jackson,RB,21.052,2004-09-12,NFL,STL,,ARI,W 17-10,1,1,Sun,3.00,3.0,4.0,3.0,0,0,0,0,0,7,50,0,0,0,0,0,,,,,JackSt00
Terry Jackson,FB,28.246,2004-09-12,NFL,SFO,,ATL,L 19-21,1,1,Sun,5.00,8.0,8.0,6.5,0,0,0,0,0,3,19,0,3,31,0,0,,,,,JackTe00
Sebastian Janikowski,K,26.194,2004-09-12,NFL,OAK,@,PIT,L 21-24,1,1,Sun,7.00,7.0,,7.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,janikseb01
Andre Johnson,WR,23.063,2004-09-12,NFL,HOU,,SDG,L 20-27,1,1,Sun,5.80,9.8,9.8,7.8,0,0,0,0,0,0,0,0,4,58,0,0,,,,,JohnAn02
Brad Johnson,QB,35.365,2004-09-12,NFL,TAM,@,WAS,L 10-16,1,1,Sun,2.76,2.8,4.8,3.8,24,37,169,0,1,0,0,0,0,0,0,0,,,,,JohnBr00
Bryant Johnson,WR,23.189,2004-09-12,NFL,ARI,@,STL,L 10-17,1,1,Sun,2.00,5.0,5.0,3.5,0,0,0,0,0,1,1,0,3,19,0,0,,,,,JohnBr02
Chad Johnson,WR,26.247,2004-09-12,NFL,CIN,@,NYJ,L 24-31,1,1,Sun,15.90,20.9,20.9,18.4,0,0,0,0,0,0,0,0,5,99,1,0,,,,,JohnCh01
Eric Johnson,TE,28.135,2004-09-12,NFL,SFO,,ATL,L 19-21,1,1,Sun,14.60,22.6,22.6,18.6,0,0,0,0,0,0,0,0,8,86,1,0,,,,,JohnEr00
