Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Int Ret,Int Ret Yds,Int Ret TD,Pass Broken Up,unique_id
Jason David,RCB,25.086,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,,,,1,DaviJa20
Scott Fujita,SLB,28.131,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,,,,1,FujiSc20
Matt Giordano,DB,24.325,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,1,83,1,1,GiorMa20
Roman Harper,SS,24.269,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,,,,1,HarpRo21
Dante Hughes,DB,22.016,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,,,,1,HughDa99
Freddy Keiaho,WLB,24.262,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,1,11,0,1,KeiaFr20
Mike McKenzie,LCB,31.133,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,,,,1,McKeMi20
Bob Sanders,SS,26.194,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,,,,1,SandBo99
Josh Thomas,DE,26.072,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,,,,1,ThomJo25
Ronde Barber,LCB,32.155,2007-09-09,NFL,TAM,@,SEA,L 6-20,1,1,Sun,,,,1,BarbRo00
Nick Barnett,MIKE,26.105,2007-09-09,NFL,GNB,,PHI,W 16-13,1,1,Sun,1,2,0,1,BarnNi20
Dre' Bly,RCB,30.110,2007-09-09,NFL,DEN,@,BUF,W 15-14,1,1,Sun,,,,2,BlyxDr00
Alfonso Boone,RDT,31.241,2007-09-09,NFL,KAN,@,HOU,L 3-20,1,1,Sun,0,0,0,1,BoonAl20
C.C. Brown,FS,24.225,2007-09-09,NFL,HOU,,KAN,W 20-3,1,1,Sun,,,,1,BrowC.20
Mike Brown,FS,29.208,2007-09-09,NFL,CHI,@,SDG,L 3-14,1,1,Sun,1,27,0,2,BrowMi99
Sheldon Brown,RCB,28.174,2007-09-09,NFL,PHI,@,GNB,L 13-16,1,1,Sun,1,3,0,1,BrowSh20
Phillip Buchanon,CB,26.355,2007-09-09,NFL,TAM,@,SEA,L 6-20,1,1,Sun,,,,1,BuchPh20
Chris Clemons,DE,25.313,2007-09-09,NFL,OAK,,DET,L 21-36,1,1,Sun,0,0,0,1,ClemCh23
Nick Collins,FS,24.024,2007-09-09,NFL,GNB,,PHI,W 16-13,1,1,Sun,,,,1,CollNi20
Sean Considine,SS,24.266,2007-09-09,NFL,PHI,@,GNB,L 13-16,1,1,Sun,,,,1,ConsSe20
Deke Cooper,FS,29.326,2007-09-09,NFL,CAR,@,STL,W 27-13,1,1,Sun,,,,1,CoopDe20
Phillip Daniels,LDE,34.189,2007-09-09,NFL,WAS,,MIA,W 16-13,1,1,Sun,,,,1,DaniPh20
Travis Daniels,CB,25.001,2007-09-09,NFL,MIA,@,WAS,L 13-16,1,1,Sun,1,29,0,1,DaniTr20
