Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Int Ret,Int Ret Yds,Int Ret TD,Pass Broken Up,unique_id
Will Allen,LCB,24.031,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,1,0,0,1,AlleWi20
Zack Bronson,FS,28.220,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,1,20,0,1,BronZa20
Keith Hamilton,RDT,31.103,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,,,,1,HamiKe20
Tony Parrish,SS,26.286,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,1,6,0,1,ParrTo20
Julian Peterson,LOLB,24.039,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,1,2,0,1,PeteJu00
Mike Rumph,CB,22.301,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,,,,2,RumpMi20
Derek Smith,LILB,27.230,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,,,,1,SmitDe21
Omar Stoutmire,FS,28.058,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,,,,2,StouOm20
Jamie Winborn,RILB,23.114,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,0,0,0,1,WinbJa20
Donnie Abraham,LCB,28.335,2002-09-08,NFL,NYJ,@,BUF,W 37-31,1,1,Sun,1,13,0,2,AbraDo00
James Allen,LB,22.301,2002-09-08,NFL,NOR,@,TAM,W 26-20,1,1,Sun,1,0,1,1,AlleJa21
Adam Archuleta,SS,24.285,2002-09-08,NFL,STL,@,DEN,L 16-23,1,1,Sun,0,0,0,1,ArchAd20
LaVar Arrington,SLB,24.080,2002-09-08,NFL,WAS,,ARI,W 31-23,1,1,Sun,,,,1,ArriLa00
Reggie Austin,CB,25.230,2002-09-08,NFL,CHI,,MIN,W 27-23,1,1,Sun,1,0,0,2,AustRe20
Champ Bailey*,LCB,24.078,2002-09-08,NFL,WAS,,ARI,W 31-23,1,1,Sun,1,2,0,1,BailCh00
Ronde Barber,RCB,27.154,2002-09-08,NFL,TAM,,NOR,L 20-26,1,1,Sun,,,,2,BarbRo00
Shawn Barber,WILL,27.237,2002-09-08,NFL,PHI,@,TEN,L 24-27,1,1,Sun,1,1,0,2,BarbSh20
William Bartee,RCB,25.075,2002-09-08,NFL,KAN,@,CLE,W 40-39,1,1,Sun,,,,1,BartWi20
Eric Barton,OLB,24.344,2002-09-08,NFL,OAK,,SEA,W 31-17,1,1,Sun,,,,1,BartEr20
Idrees Bashir,FS,23.275,2002-09-08,NFL,IND,@,JAX,W 28-25,1,1,Sun,,,,1,BashId20
Aaron Beasley,RCB,29.063,2002-09-08,NFL,NYJ,@,BUF,W 37-31,1,1,Sun,1,24,0,2,BeasAa20
Marcus Bell,LB,25.051,2002-09-08,NFL,SEA,@,OAK,L 17-31,1,1,Sun,0,0,0,1,BellMa21
Marcus Bell,RDT,23.099,2002-09-08,NFL,ARI,@,WAS,L 23-31,1,1,Sun,,,,1,BellMa20
Juran Bolden,CB,28.073,2002-09-08,NFL,ATL,@,GNB,L 34-37,1,1,Sun,,,,1,BoldJu20
James Boyd,S,24.326,2002-09-08,NFL,JAX,,IND,L 25-28,1,1,Sun,,,,1,BoydJa20
Chad Bratzke,RDE,30.358,2002-09-08,NFL,IND,@,JAX,W 28-25,1,1,Sun,0,0,0,1,BratCh20
Derrick Brooks*,WLB,29.143,2002-09-08,NFL,TAM,,NOR,L 20-26,1,1,Sun,1,23,0,1,BrooDe00
Mike Brown,FS,24.207,2002-09-08,NFL,CHI,,MIN,W 27-23,1,1,Sun,1,16,0,2,BrowMi99
John Browning,LDT,28.343,2002-09-08,NFL,KAN,@,CLE,W 40-39,1,1,Sun,,,,1,BrowJo24
Fernando Bryant,LCB,25.166,2002-09-08,NFL,JAX,,IND,L 25-28,1,1,Sun,,,,1,BryaFe20
Tony Bryant,DE,26.005,2002-09-08,NFL,OAK,,SEA,W 31-17,1,1,Sun,0,0,0,2,BryaTo20
Ray Buchanan,LCB,30.344,2002-09-08,NFL,ATL,@,GNB,L 34-37,1,1,Sun,,,,2,BuchRa00
Brentson Buckner,LDT,30.343,2002-09-08,NFL,CAR,,BAL,W 10-7,1,1,Sun,0,0,0,1,BuckBr20
Kevin Carter,LDE,28.352,2002-09-08,NFL,TEN,,PHI,W 27-24,1,1,Sun,0,0,0,1,CartKe00
Charlie Clemons,OLB,30.066,2002-09-08,NFL,NOR,@,TAM,W 26-20,1,1,Sun,,,,1,ClemCh22
Marcus Coleman,RCB,28.107,2002-09-08,NFL,HOU,,DAL,W 19-10,1,1,Sun,,,,1,ColeMa20
Terry Cousin,LCB,27.181,2002-09-08,NFL,CAR,,BAL,W 10-7,1,1,Sun,,,,3,CousTe20
Sam Cowart,WLB,27.194,2002-09-08,NFL,NYJ,@,BUF,W 37-31,1,1,Sun,,,,1,CowaSa00
Henri Crockett,WLB,27.315,2002-09-08,NFL,MIN,@,CHI,L 23-27,1,1,Sun,,,,1,CrocHe20
Lional Dalton,LDT,27.199,2002-09-08,NFL,DEN,,STL,W 23-16,1,1,Sun,,,,1,DaltLi20
Don Davis,LOLB,29.265,2002-09-08,NFL,STL,@,DEN,L 16-23,1,1,Sun,1,29,0,1,DaviDo22
Eric Davis,LCB,34.225,2002-09-08,NFL,DET,@,MIA,L 21-49,1,1,Sun,,,,1,DaviEr00
Andre Dyson,LCB,23.106,2002-09-08,NFL,TEN,,PHI,W 27-24,1,1,Sun,1,2,0,2,DysoAn20
Mario Edwards,RCB,26.281,2002-09-08,NFL,DAL,@,HOU,L 10-19,1,1,Sun,,,,1,EdwaMa20
Greg Ellis,LDE,27.025,2002-09-08,NFL,DAL,@,HOU,L 10-19,1,1,Sun,0,0,0,1,ElliGr20
Mark Fields,SLB,29.303,2002-09-08,NFL,CAR,,BAL,W 10-7,1,1,Sun,,,,3,FielMa99
Jamar Fletcher,CB,23.011,2002-09-08,NFL,MIA,,DET,W 49-21,1,1,Sun,,,,1,FletJa20
London Fletcher,LLB,27.112,2002-09-08,NFL,BUF,,NYJ,L 31-37,1,1,Sun,,,,1,FletLo20
Jay Foreman,BLB,26.202,2002-09-08,NFL,HOU,,DAL,W 19-10,1,1,Sun,,,,2,ForeJa20
Vernon Fox,SS,22.334,2002-09-08,NFL,SDG,@,CIN,W 34-6,1,1,Sun,,,,1,FoxxVe20
Arturo Freeman,SS,25.316,2002-09-08,NFL,MIA,,DET,W 49-21,1,1,Sun,,,,1,FreeAr20
Aaron Glenn,LCB,30.054,2002-09-08,NFL,HOU,,DAL,W 19-10,1,1,Sun,1,0,0,6,GlenAa00
La'Roi Glover,DT,28.066,2002-09-08,NFL,DAL,@,HOU,L 10-19,1,1,Sun,1,7,0,1,GlovLa00
Barrett Green,WLB,24.314,2002-09-08,NFL,DET,@,MIA,L 21-49,1,1,Sun,,,,2,GreeBa20
Darrell Green*,CB,42.205,2002-09-08,NFL,WAS,,ARI,W 31-23,1,1,Sun,,,,1,GreeDa00
Michael Green,SS,25.276,2002-09-08,NFL,CHI,,MIN,W 27-23,1,1,Sun,,,,1,GreeMi20
Robert Griffith,SS,31.282,2002-09-08,NFL,CLE,,KAN,L 39-40,1,1,Sun,,,,1,GrifRo00
Carlos Hall,DE,23.235,2002-09-08,NFL,TEN,,PHI,W 27-24,1,1,Sun,0,0,0,2,HallCa20
James Hall,RDE,25.216,2002-09-08,NFL,DET,@,MIA,L 21-49,1,1,Sun,,,,1,HallJa21
Kevin Hardy,SLB,29.046,2002-09-08,NFL,DAL,@,HOU,L 10-19,1,1,Sun,,,,2,HardKe00
Eric Hicks,LDE,26.083,2002-09-08,NFL,KAN,@,CLE,W 40-39,1,1,Sun,,,,1,HickEr20
Cletidus Hunt,DT,26.249,2002-09-08,NFL,GNB,,ATL,W 37-34,1,1,Sun,,,,1,HuntCl20
Ken Irvin,DB,30.059,2002-09-08,NFL,NOR,@,TAM,W 26-20,1,1,Sun,,,,2,IrviKe20
Tory James,CB,29.113,2002-09-08,NFL,OAK,,SEA,W 31-17,1,1,Sun,,,,1,JameTo99
Kenoy Kennedy,SS,24.297,2002-09-08,NFL,DEN,,STL,W 23-16,1,1,Sun,,,,1,KennKe21
Sammy Knight,S,26.363,2002-09-08,NFL,NOR,@,TAM,W 26-20,1,1,Sun,0,0,0,1,KnigSa00
Kwamie Lassiter,FS,32.279,2002-09-08,NFL,ARI,@,WAS,L 23-31,1,1,Sun,,,,1,LassKw20
Brock Marion,FS,32.089,2002-09-08,NFL,MIA,,DET,W 49-21,1,1,Sun,1,28,0,1,MariBr00
Mike Maslowski,ROLB,28.059,2002-09-08,NFL,KAN,@,CLE,W 40-39,1,1,Sun,,,,2,MaslMi20
Michael McCrary,DE,32.063,2002-09-08,NFL,BAL,@,CAR,L 7-10,1,1,Sun,,,,1,McCrMi00
Daylon McCutcheon,RCB,25.273,2002-09-08,NFL,CLE,,KAN,L 39-40,1,1,Sun,1,24,0,1,McCuDa22
Chester McGlockton,RDT,32.357,2002-09-08,NFL,DEN,,STL,W 23-16,1,1,Sun,,,,1,McGlCh00
Ronald McKinnon,MLB,28.353,2002-09-08,NFL,ARI,@,WAS,L 23-31,1,1,Sun,,,,1,McKiRo21
Brandon Mitchell,RDT,27.081,2002-09-08,NFL,SEA,@,OAK,L 17-31,1,1,Sun,0,0,0,1,MitcBr20
Donald Mitchell,CB,25.268,2002-09-08,NFL,TEN,,PHI,W 27-24,1,1,Sun,,,,1,MitcDo20
Alex Molden,LCB,29.035,2002-09-08,NFL,SDG,@,CIN,W 34-6,1,1,Sun,1,0,0,2,MoldAl20
Dan Morgan,MLB,23.263,2002-09-08,NFL,CAR,,BAL,W 10-7,1,1,Sun,1,22,0,2,MorgDa99
Willie Offord,SS,23.260,2002-09-08,NFL,MIN,@,CHI,L 23-27,1,1,Sun,1,6,0,1,OffoWi20
Julius Peppers,LDE,22.233,2002-09-08,NFL,CAR,,BAL,W 10-7,1,1,Sun,,,,1,PeppJu99
Kelvin Pritchett,DT,32.319,2002-09-08,NFL,DET,@,MIA,L 21-49,1,1,Sun,,,,1,PritKe20
Derrick Ransom,NT,25.360,2002-09-08,NFL,KAN,@,CLE,W 40-39,1,1,Sun,,,,1,RansDe20
Izell Reese,FS,28.124,2002-09-08,NFL,DEN,,STL,W 23-16,1,1,Sun,,,,1,ReesIz20
Simeon Rice,RDE,28.196,2002-09-08,NFL,TAM,,NOR,L 20-26,1,1,Sun,,,,2,RiceSi00
Fred Robbins,NT,25.167,2002-09-08,NFL,MIN,@,CHI,L 23-27,1,1,Sun,,,,1,RobbFr20
Mike Rucker,RDE,27.192,2002-09-08,NFL,CAR,,BAL,W 10-7,1,1,Sun,,,,1,RuckMi20
Lewis Sanders,DB,24.078,2002-09-08,NFL,CLE,,KAN,L 39-40,1,1,Sun,,,,1,SandLe20
Lance Schulters,FS,27.104,2002-09-08,NFL,TEN,,PHI,W 27-24,1,1,Sun,1,8,0,1,SchuLa00
Junior Seau*,WLB,33.232,2002-09-08,NFL,SDG,@,CIN,W 34-6,1,1,Sun,,,,1,SeauJu00
Darrin Smith,OLB,32.146,2002-09-08,NFL,NOR,@,TAM,W 26-20,1,1,Sun,,,,1,SmitDa22
Fred Smoot,RCB,22.049,2002-09-08,NFL,WAS,,ARI,W 31-23,1,1,Sun,,,,2,SmooFr20
Patrick Surtain,LCB,26.081,2002-09-08,NFL,MIA,,DET,W 49-21,1,1,Sun,,,,1,SurtPa00
Barron Tanner,DT,28.359,2002-09-08,NFL,ARI,@,WAS,L 23-31,1,1,Sun,1,17,0,1,TannBa20
Jason Taylor*,RDE,28.007,2002-09-08,NFL,MIA,,DET,W 49-21,1,1,Sun,0,0,0,1,TaylJa03
Jeremiah Trotter,MLB,25.231,2002-09-08,NFL,WAS,,ARI,W 31-23,1,1,Sun,,,,1,TrotJe00
Denard Walker,RCB,29.030,2002-09-08,NFL,DEN,,STL,W 23-16,1,1,Sun,,,,2,WalkDe20
Keith Washington,DE,29.264,2002-09-08,NFL,DEN,,STL,W 23-16,1,1,Sun,1,-2,0,1,WashKe20
Marcus Washington,WLB,24.326,2002-09-08,NFL,IND,@,JAX,W 28-25,1,1,Sun,1,40,1,1,WashMa99
Ted Washington,LDT,34.148,2002-09-08,NFL,CHI,,MIN,W 27-23,1,1,Sun,,,,1,WashTe01
Nate Wayne,WLB,27.239,2002-09-08,NFL,GNB,,ATL,W 37-34,1,1,Sun,,,,1,WaynNa20
Anthony Weaver,RDE,22.011,2002-09-08,NFL,BAL,@,CAR,L 7-10,1,1,Sun,,,,1,WeavAn20
Bryant Westbrook,LCB,27.263,2002-09-08,NFL,DAL,@,HOU,L 10-19,1,1,Sun,,,,2,WestBr20
Aeneas Williams*,LCB,34.222,2002-09-08,NFL,STL,@,DEN,L 16-23,1,1,Sun,1,3,0,1,WillAe00
Tank Williams,SS,22.070,2002-09-08,NFL,TEN,,PHI,W 27-24,1,1,Sun,,,,1,WillTa20
Willie Williams,CB,31.256,2002-09-08,NFL,SEA,@,OAK,L 17-31,1,1,Sun,1,2,0,1,WillWi21
Kenny Wright,CB,24.359,2002-09-08,NFL,HOU,,DAL,W 19-10,1,1,Sun,,,,3,WrigKe20
Terrell Buckley,CB,31.094,2002-09-09,NFL,NWE,,PIT,W 30-14,1,1,Mon,2,4,0,2,BuckTe20
Victor Green,S,32.275,2002-09-09,NFL,NWE,,PIT,W 30-14,1,1,Mon,,,,1,GreeVi20
Tebucky Jones,FS,27.338,2002-09-09,NFL,NWE,,PIT,W 30-14,1,1,Mon,,,,1,JoneTe20
Steve Martin,DT,28.101,2002-09-09,NFL,NWE,,PIT,W 30-14,1,1,Mon,,,,1,MartSt21
Willie McGinest,LDE,30.272,2002-09-09,NFL,NWE,,PIT,W 30-14,1,1,Mon,0,0,0,1,McGiWi00
Joey Porter,ROLB,25.171,2002-09-09,NFL,PIT,@,NWE,L 14-30,1,1,Mon,,,,1,PortJo00
Mike Vrabel,OLB,27.026,2002-09-09,NFL,NWE,,PIT,W 30-14,1,1,Mon,1,0,0,1,VrabMi20
Dewayne Washington,RCB,29.256,2002-09-09,NFL,PIT,@,NWE,L 14-30,1,1,Mon,,,,1,WashDe20
Ashley Ambrose,CB,31.363,2002-09-15,NFL,ATL,,CHI,L 13-14,2,2,Sun,,,,2,AmbrAs00
