Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,unique_id
Tiki Barber,RB,24.158,1999-09-12,NFL,NYG,@,TAM,W 17-13,1,1,Sun,4,25,6.25,0,BarbTi00
Reggie Barlow,WR/K,26.233,1999-09-12,NFL,JAX,,SFO,W 41-3,1,1,Sun,4,47,11.75,0,BarlRe00
Troy Brown,WR,28.072,1999-09-12,NFL,NWE,@,NYJ,W 30-28,1,1,Sun,2,33,16.50,0,BrowTr00
Troy Edwards,WR,22.158,1999-09-12,NFL,PIT,@,CLE,W 43-0,1,1,Sun,3,17,5.67,0,EdwaTr00
Terry Fair,RCB,23.054,1999-09-12,NFL,DET,@,SEA,W 28-20,1,1,Sun,3,11,3.67,0,FairTe20
Spencer George,RB,25.319,1999-09-12,NFL,TEN,,CIN,W 36-35,1,1,Sun,1,18,18.00,0,GeorSp00
Darrien Gordon,CB,28.302,1999-09-12,NFL,OAK,@,GNB,L 24-28,1,1,Sun,2,3,1.50,0,GordDa20
Jacquez Green,WR,23.240,1999-09-12,NFL,TAM,,NYG,L 13-17,1,1,Sun,3,30,10.00,0,GreeJa00
Az-Zahir Hakim,WR,22.101,1999-09-12,NFL,STL,,BAL,W 27-10,1,1,Sun,4,51,12.75,0,HakiAz00
Desmond Howard,WR/K,29.120,1999-09-12,NFL,GNB,,OAK,W 28-24,1,1,Sun,2,20,10.00,0,HowaDe00
Leon Johnson,RB,25.061,1999-09-12,NFL,NYJ,,NWE,L 28-30,1,1,Sun,1,6,6.00,0,JohnLe00
Eddie Kennison,WR,26.235,1999-09-12,NFL,NOR,,CAR,W 19-10,1,1,Sun,5,31,6.20,0,KennEd00
Mike Logan,S,24.362,1999-09-12,NFL,JAX,,SFO,W 41-3,1,1,Sun,1,7,7.00,0,LogaMi20
R.W. McQuarters,CB,22.265,1999-09-12,NFL,SFO,@,JAX,L 3-41,1,1,Sun,1,-2,-2.00,0,McQuR.20
Eric Metcalf,WR,31.232,1999-09-12,NFL,CAR,@,NOR,L 10-19,1,1,Sun,6,22,3.67,0,MetcEr00
Brian Mitchell,RB,31.025,1999-09-12,NFL,WAS,,DAL,L 35-41,1,1,Sun,4,48,12.00,0,MitcBr00
David Palmer,WR,26.297,1999-09-12,NFL,MIN,@,ATL,W 17-14,1,1,Sun,1,-1,-1.00,0,PalmDa00
Michael Pittman,RB,24.029,1999-09-12,NFL,ARI,@,PHI,W 25-24,1,1,Sun,4,16,4.00,0,PittMi00
Charlie Rogers,WR,23.085,1999-09-12,NFL,SEA,,DET,L 20-28,1,1,Sun,3,6,2.00,0,RogeCh00
Samari Rolle,RCB,23.033,1999-09-12,NFL,TEN,,CIN,W 36-35,1,1,Sun,1,23,23.00,0,RollSa00
Allen Rossum,DB,23.325,1999-09-12,NFL,PHI,,ARI,L 24-25,1,1,Sun,1,2,2.00,0,RossAl99
Yancey Thigpen,WR,30.028,1999-09-12,NFL,TEN,,CIN,W 36-35,1,1,Sun,1,21,21.00,0,ThigYa00
Tamarick Vanover,WR,25.199,1999-09-12,NFL,KAN,@,CHI,L 17-20,1,1,Sun,2,7,3.50,0,VanoTa00
Dedric Ward,WR,24.348,1999-09-12,NFL,NYJ,,NWE,L 28-30,1,1,Sun,2,17,8.50,0,WardDe00
Kevin Williams,WR,28.230,1999-09-12,NFL,BUF,@,IND,L 14-31,1,1,Sun,1,27,27.00,0,WillKe00
