Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fmb,Fumble Forced,FR,FR Yds,FR TD,unique_id
Charles Johnson,LDE,30.060,2016-09-08,NFL,CAR,@,DEN,L 20-21,1,1,Thu,0,1,0,0,0,JohnCh98
Ha Ha Clinton-Dix,FS,23.265,2016-09-11,NFL,GNB,@,JAX,W 27-23,1,1,Sun,0,1,0,0,0,ClinHa00
Markus Golden,LB,25.182,2016-09-11,NFL,ARI,,NWE,L 21-23,1,1,Sun,0,1,0,0,0,GoldMa00
Brandon Graham,DE,28.161,2016-09-11,NFL,PHI,,CLE,W 29-10,1,1,Sun,0,1,0,0,0,GrahBr99
D.J. Hayden,CB,26.076,2016-09-11,NFL,OAK,@,NOR,W 35-34,1,1,Sun,0,1,0,0,0,HaydDJ00
Akiem Hicks,DE,26.300,2016-09-11,NFL,CHI,@,HOU,L 14-23,1,1,Sun,0,1,0,0,0,HickAk00
Bruce Irvin,SLB,28.315,2016-09-11,NFL,OAK,@,NOR,W 35-34,1,1,Sun,0,1,0,0,0,IrviBr00
Linval Joseph,NT,27.337,2016-09-11,NFL,MIN,@,TEN,W 25-16,1,1,Sun,0,1,0,0,0,JoseLi99
Cassius Marsh,DE,24.066,2016-09-11,NFL,SEA,,MIA,W 12-10,1,1,Sun,0,1,0,0,0,MarsCa00
Whitney Mercilus,SAM,26.052,2016-09-11,NFL,HOU,,CHI,W 23-14,1,1,Sun,0,1,0,0,0,MercWh00
Ahtyba Rubin,LDT,30.048,2016-09-11,NFL,SEA,,MIA,W 12-10,1,1,Sun,0,1,0,0,0,RubiAh99
Frostee Rucker,DT,32.363,2016-09-11,NFL,ARI,,NWE,L 21-23,1,1,Sun,0,1,0,0,0,RuckFr99
Orlando Scandrick,CB,29.214,2016-09-11,NFL,DAL,,NYG,L 19-20,1,1,Sun,0,1,0,0,0,ScanOr99
Dominique Easley,DE,24.137,2016-09-12,NFL,LAR,@,SFO,L 0-28,1,1,Mon,0,1,0,0,0,EaslDo00
Ryan Kerrigan,WLB,28.027,2016-09-12,NFL,WAS,,PIT,L 16-38,1,1,Mon,0,1,0,0,0,KerrRy00
Coty Sensabaugh,RCB,27.302,2016-09-12,NFL,LAR,@,SFO,L 0-28,1,1,Mon,0,1,0,0,0,SensCo00
Ryan Shazier,LILB,24.006,2016-09-12,NFL,PIT,@,WAS,W 38-16,1,1,Mon,0,1,0,0,0,ShazRy00
Lorenzo Alexander,OLB,33.107,2016-09-15,NFL,BUF,,NYJ,L 31-37,2,2,Thu,0,1,0,0,0,AlexLo99
Preston Brown,MIKE,23.324,2016-09-15,NFL,BUF,,NYJ,L 31-37,2,2,Thu,0,1,0,0,0,BrowPr00
Leonard Williams,DL,22.087,2016-09-15,NFL,NYJ,@,BUF,W 37-31,2,2,Thu,0,1,0,0,0,WillLe02
Antoine Bethea,SS,32.053,2016-09-18,NFL,SFO,@,CAR,L 27-46,2,2,Sun,0,1,0,0,0,BethAn20
Rex Burkhead,HB,26.078,2016-09-18,NFL,CIN,@,PIT,L 16-24,2,2,Sun,0,1,0,0,0,BurkRe00
Don Carey,S,29.217,2016-09-18,NFL,DET,,TEN,L 15-16,2,2,Sun,0,1,0,0,0,CareDo00
Ken Crawley,DB,23.223,2016-09-18,NFL,NOR,@,NYG,L 13-16,2,2,Sun,0,1,0,0,0,CrawKe02
Quintin Demps,SS,31.081,2016-09-18,NFL,HOU,,KAN,W 19-12,2,2,Sun,0,1,0,0,0,DempQu99
Jonathan Freeny,LB,27.095,2016-09-18,NFL,NWE,,MIA,W 31-24,2,2,Sun,0,1,0,0,0,FreeJo01
Everson Griffen,RDE,28.271,2016-09-18,NFL,MIN,,GNB,W 17-14,2,2,Sun,0,1,0,0,0,GrifEv99
Ladarius Gunter,CB,24.128,2016-09-18,NFL,GNB,@,MIN,L 14-17,2,2,Sun,0,1,0,0,0,GuntLa00
James Harrison,LB,38.137,2016-09-18,NFL,PIT,,CIN,W 24-16,2,2,Sun,0,1,0,0,0,HarrJa23
Gerald Hodges,ILB,25.245,2016-09-18,NFL,SFO,@,CAR,L 27-46,2,2,Sun,0,1,0,0,0,HodgGe00
Danielle Hunter,DE,21.325,2016-09-18,NFL,MIN,,GNB,W 17-14,2,2,Sun,0,1,0,0,0,HuntDa01
