Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,XP Made,XP Att,XP %,FG Made,FG Att,FG %,2PM,Sfty,TD,Pts,unique_id
Morten Andersen*,K,39.024,1999-09-12,NFL,ATL,,MIN,L 14-17,1,1,Sun,2,2,100.0,,2,0.0,,,0,2,andermor01
Gary Anderson,K,40.058,1999-09-12,NFL,MIN,@,ATL,W 17-14,1,1,Sun,2,2,100.0,1,3,33.3,,,0,5,andergar02
Doug Brien,K,28.292,1999-09-12,NFL,NOR,,CAR,W 19-10,1,1,Sun,1,2,50.0,2,2,100.0,,,0,7,briendou01
Kris Brown,K,22.263,1999-09-12,NFL,PIT,@,CLE,W 43-0,1,1,Sun,4,5,80.0,3,3,100.0,,,0,13,brownkri01
Brett Conway,K,24.188,1999-09-12,NFL,WAS,,DAL,L 35-41,1,1,Sun,3,3,100.0,2,2,100.0,,,0,9,conwabre01
Richie Cunningham,K,29.025,1999-09-12,NFL,DAL,@,WAS,W 41-35,1,1,Sun,5,5,100.0,,,,,,0,5,cunniric01
Brad Daluiso,K,31.255,1999-09-12,NFL,NYG,@,TAM,W 17-13,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,daluibra01
Al Del Greco,K,37.194,1999-09-12,NFL,TEN,,CIN,W 36-35,1,1,Sun,4,4,100.0,2,2,100.0,,,0,10,delgralx01
Brian Gowins,K,23.101,1999-09-12,NFL,CHI,,KAN,W 20-17,1,1,Sun,2,2,100.0,2,2,100.0,,,0,8,gowinbri01
Martin Gramatica,K,23.289,1999-09-12,NFL,TAM,,NYG,L 13-17,1,1,Sun,1,1,100.0,2,2,100.0,,,0,7,gramamar01
John Hall,K,25.179,1999-09-12,NFL,NYJ,,NWE,L 28-30,1,1,Sun,2,2,100.0,,,,,,0,2,hallxjoh01
Jason Hanson,K,29.087,1999-09-12,NFL,DET,@,SEA,W 28-20,1,1,Sun,2,3,66.7,2,2,100.0,,,0,8,hansojas01
Mike Hollis,K,27.113,1999-09-12,NFL,JAX,,SFO,W 41-3,1,1,Sun,3,3,100.0,4,4,100.0,,,0,15,hollimik01
Michael Husted,K,29.088,1999-09-12,NFL,OAK,@,GNB,L 24-28,1,1,Sun,3,3,100.0,1,3,33.3,,,0,6,hustemic01
Chris Jacke,K,33.184,1999-09-12,NFL,ARI,@,PHI,W 25-24,1,1,Sun,1,1,100.0,4,4,100.0,,,0,13,jackechr01
Norm Johnson,K,39.104,1999-09-12,NFL,PHI,,ARI,L 24-25,1,1,Sun,3,3,100.0,1,1,100.0,,,0,6,johnsnor01
John Kasay,K,29.320,1999-09-12,NFL,CAR,@,NOR,L 10-19,1,1,Sun,1,1,100.0,1,2,50.0,,,0,4,kasayjoh01
Ryan Longwell,K,25.027,1999-09-12,NFL,GNB,,OAK,W 28-24,1,1,Sun,4,4,100.0,,,,,,0,4,longwrya01
Doug Pelfrey,K,28.352,1999-09-12,NFL,CIN,@,TEN,L 35-36,1,1,Sun,1,1,100.0,2,2,100.0,,,0,7,pelfrdou01
Todd Peterson,K,29.220,1999-09-12,NFL,SEA,,DET,L 20-28,1,1,Sun,2,2,100.0,,1,0.0,,,0,2,petertod01
Matt Stover,K,31.228,1999-09-12,NFL,BAL,@,STL,L 10-27,1,1,Sun,1,1,100.0,1,3,33.3,,,0,4,stovemat01
Pete Stoyanovich,K,32.137,1999-09-12,NFL,KAN,@,CHI,L 17-20,1,1,Sun,2,2,100.0,1,2,50.0,,,0,5,stoyapet01
Mike Vanderjagt,K,29.172,1999-09-12,NFL,IND,,BUF,W 31-14,1,1,Sun,4,4,100.0,1,2,50.0,,,0,7,vandemik01
Adam Vinatieri,K,26.258,1999-09-12,NFL,NWE,@,NYJ,W 30-28,1,1,Sun,3,3,100.0,3,3,100.0,,,0,12,vinatada01
Jeff Wilkins,K,27.146,1999-09-12,NFL,STL,,BAL,W 27-10,1,1,Sun,3,3,100.0,2,2,100.0,,,0,9,wilkijef01
Jason Elam,K,29.189,1999-09-13,NFL,DEN,,MIA,L 21-38,1,1,Mon,3,3,100.0,,2,0.0,,,0,3,elamxjas01
Olindo Mare,K,26.099,1999-09-13,NFL,MIA,@,DEN,W 38-21,1,1,Mon,5,5,100.0,1,1,100.0,,,0,8,marexoli01
Gary Anderson,K,40.065,1999-09-19,NFL,MIN,,OAK,L 17-22,2,2,Sun,2,2,100.0,1,3,33.3,,,0,5,andergar02
Doug Brien,K,28.299,1999-09-19,NFL,NOR,@,SFO,L 21-28,2,2,Sun,3,3,100.0,,,,,,0,3,briendou01
Kris Brown,K,22.270,1999-09-19,NFL,PIT,@,BAL,W 23-20,2,2,Sun,2,2,100.0,3,3,100.0,,,0,11,brownkri01
John Carney,K,35.152,1999-09-19,NFL,SDG,@,CIN,W 34-7,1,2,Sun,2,2,100.0,4,4,100.0,,,0,14,carnejoh01
Steve Christie,K,31.310,1999-09-19,NFL,BUF,,NYJ,W 17-3,2,2,Sun,2,2,100.0,1,3,33.3,,,0,5,chrisste01
Brett Conway,K,24.195,1999-09-19,NFL,WAS,@,NYG,W 50-21,2,2,Sun,5,6,83.3,1,1,100.0,,,0,8,conwabre01
Brad Daluiso,K,31.262,1999-09-19,NFL,NYG,,WAS,L 21-50,2,2,Sun,3,3,100.0,,,,,,0,3,daluibra01
Al Del Greco,K,37.201,1999-09-19,NFL,TEN,,CLE,W 26-9,2,2,Sun,3,3,100.0,1,2,50.0,,,0,6,delgralx01
Jason Elam,K,29.195,1999-09-19,NFL,DEN,@,KAN,L 10-26,2,2,Sun,1,1,100.0,1,1,100.0,,,0,4,elamxjas01
Brian Gowins,K,23.108,1999-09-19,NFL,CHI,,SEA,L 13-14,2,2,Sun,1,1,100.0,2,4,50.0,,,0,7,gowinbri01
Martin Gramatica,K,23.296,1999-09-19,NFL,TAM,@,PHI,W 19-5,2,2,Sun,1,1,100.0,2,2,100.0,,,0,7,gramamar01
Jason Hanson,K,29.094,1999-09-19,NFL,DET,,GNB,W 23-15,2,2,Sun,2,2,100.0,1,1,100.0,,,0,5,hansojas01
Mike Hollis,K,27.120,1999-09-19,NFL,JAX,@,CAR,W 22-20,2,2,Sun,1,1,100.0,3,4,75.0,,,0,10,hollimik01
Michael Husted,K,29.095,1999-09-19,NFL,OAK,@,MIN,W 22-17,2,2,Sun,1,1,100.0,3,3,100.0,,,0,10,hustemic01
Chris Jacke,K,33.191,1999-09-19,NFL,ARI,@,MIA,L 16-19,2,2,Sun,1,1,100.0,3,4,75.0,,,0,10,jackechr01
John Kasay,K,29.327,1999-09-19,NFL,CAR,,JAX,L 20-22,2,2,Sun,2,2,100.0,,,,,,0,2,kasayjoh01
Ryan Longwell,K,25.034,1999-09-19,NFL,GNB,@,DET,L 15-23,2,2,Sun,1,1,100.0,2,2,100.0,,,0,7,longwrya01
Olindo Mare,K,26.105,1999-09-19,NFL,MIA,,ARI,W 19-16,2,2,Sun,1,1,100.0,4,5,80.0,,,0,13,marexoli01
Doug Pelfrey,K,28.359,1999-09-19,NFL,CIN,,SDG,L 7-34,2,2,Sun,1,1,100.0,,,,,,0,1,pelfrdou01
Todd Peterson,K,29.227,1999-09-19,NFL,SEA,@,CHI,W 14-13,2,2,Sun,2,2,100.0,,,,,,0,2,petertod01
Wade Richey,K,23.123,1999-09-19,NFL,SFO,,NOR,W 28-21,2,2,Sun,4,4,100.0,,,,,,0,4,richewad01
Matt Stover,K,31.235,1999-09-19,NFL,BAL,,PIT,L 20-23,2,2,Sun,2,2,100.0,2,2,100.0,,,0,8,stovemat01
Pete Stoyanovich,K,32.144,1999-09-19,NFL,KAN,,DEN,W 26-10,2,2,Sun,2,2,100.0,4,4,100.0,,,0,14,stoyapet01
Mike Vanderjagt,K,29.179,1999-09-19,NFL,IND,@,NWE,L 28-31,2,2,Sun,4,4,100.0,,,,,,0,4,vandemik01
Adam Vinatieri,K,26.265,1999-09-19,NFL,NWE,,IND,W 31-28,2,2,Sun,4,4,100.0,1,1,100.0,,,0,7,vinatada01
Morten Andersen*,K,39.032,1999-09-20,NFL,ATL,@,DAL,L 7-24,2,2,Mon,1,1,100.0,,1,0.0,,,0,1,andermor01
Richie Cunningham,K,29.033,1999-09-20,NFL,DAL,,ATL,W 24-7,2,2,Mon,3,3,100.0,1,2,50.0,,,0,6,cunniric01
Morten Andersen*,K,39.038,1999-09-26,NFL,ATL,@,STL,L 7-35,3,3,Sun,1,1,100.0,,,,,,0,1,andermor01
Gary Anderson,K,40.072,1999-09-26,NFL,MIN,@,GNB,L 20-23,3,3,Sun,2,2,100.0,2,2,100.0,,,0,8,andergar02
Kris Brown,K,22.277,1999-09-26,NFL,PIT,,SEA,L 10-29,3,3,Sun,1,1,100.0,1,1,100.0,,,0,4,brownkri01
John Carney,K,35.159,1999-09-26,NFL,SDG,,IND,L 19-27,2,3,Sun,2,2,100.0,1,1,100.0,,,0,5,carnejoh01
Steve Christie,K,31.317,1999-09-26,NFL,BUF,,PHI,W 26-0,3,3,Sun,2,2,100.0,4,5,80.0,,,0,14,chrisste01
Brett Conway,K,24.202,1999-09-26,NFL,WAS,@,NYJ,W 27-20,3,3,Sun,3,3,100.0,2,2,100.0,,,0,9,conwabre01
Brad Daluiso,K,31.269,1999-09-26,NFL,NYG,@,NWE,L 14-16,3,3,Sun,2,2,100.0,,1,0.0,,,0,2,daluibra01
Phil Dawson,K,24.246,1999-09-26,NFL,CLE,@,BAL,L 10-17,3,3,Sun,1,1,100.0,1,1,100.0,,,0,4,dawsophi01
Al Del Greco,K,37.208,1999-09-26,NFL,TEN,@,JAX,W 20-19,3,3,Sun,2,2,100.0,2,2,100.0,,,0,8,delgralx01
Jason Elam,K,29.202,1999-09-26,NFL,DEN,@,TAM,L 10-13,3,3,Sun,1,1,100.0,1,1,100.0,,,0,4,elamxjas01
Martin Gramatica,K,23.303,1999-09-26,NFL,TAM,,DEN,W 13-10,3,3,Sun,1,1,100.0,2,2,100.0,,,0,7,gramamar01
John Hall,K,25.193,1999-09-26,NFL,NYJ,,WAS,L 20-27,3,3,Sun,2,2,100.0,2,2,100.0,,,0,8,hallxjoh01
Jason Hanson,K,29.101,1999-09-26,NFL,DET,@,KAN,L 21-31,3,3,Sun,1,1,100.0,,,,,,0,1,hansojas01
Mike Hollis,K,27.127,1999-09-26,NFL,JAX,,TEN,L 19-20,3,3,Sun,2,2,100.0,1,1,100.0,,,0,5,hollimik01
Michael Husted,K,29.102,1999-09-26,NFL,OAK,,CHI,W 24-17,3,3,Sun,3,3,100.0,1,1,100.0,,,0,6,hustemic01
Jeff Jaeger,K,34.304,1999-09-26,NFL,CHI,@,OAK,L 17-24,3,3,Sun,2,2,100.0,1,3,33.3,,,0,5,jaegejef01
John Kasay,K,29.334,1999-09-26,NFL,CAR,,CIN,W 27-3,3,3,Sun,3,3,100.0,2,2,100.0,,,0,9,kasayjoh01
Ryan Longwell,K,25.041,1999-09-26,NFL,GNB,,MIN,W 23-20,3,3,Sun,2,2,100.0,3,3,100.0,,,0,11,longwrya01
Todd Peterson,K,29.234,1999-09-26,NFL,SEA,@,PIT,W 29-10,3,3,Sun,2,2,100.0,5,6,83.3,,,0,17,petertod01
Matt Stover,K,31.242,1999-09-26,NFL,BAL,,CLE,W 17-10,3,3,Sun,2,2,100.0,1,1,100.0,,,0,5,stovemat01
Pete Stoyanovich,K,32.151,1999-09-26,NFL,KAN,,DET,W 31-21,3,3,Sun,4,4,100.0,1,1,100.0,,,0,7,stoyapet01
Mike Vanderjagt,K,29.186,1999-09-26,NFL,IND,@,SDG,W 27-19,3,3,Sun,3,3,100.0,2,4,50.0,,,0,9,vandemik01
Adam Vinatieri,K,26.272,1999-09-26,NFL,NWE,,NYG,W 16-14,3,3,Sun,1,1,100.0,3,3,100.0,,,0,10,vinatada01
Jeff Wilkins,K,27.160,1999-09-26,NFL,STL,,ATL,W 35-7,2,3,Sun,5,5,100.0,,,,,,0,5,wilkijef01
Chris Jacke,K,33.199,1999-09-27,NFL,ARI,,SFO,L 10-24,3,3,Mon,1,1,100.0,1,1,100.0,,,0,4,jackechr01
Wade Richey,K,23.131,1999-09-27,NFL,SFO,@,ARI,W 24-10,3,3,Mon,3,3,100.0,1,1,100.0,,,0,6,richewad01
Morten Andersen*,K,39.045,1999-10-03,NFL,ATL,,BAL,L 13-19,4,4,Sun,1,1,100.0,2,3,66.7,,,0,7,andermor01
Gary Anderson,K,40.079,1999-10-03,NFL,MIN,,TAM,W 21-14,4,4,Sun,3,3,100.0,,1,0.0,,,0,3,andergar02
Doug Brien,K,28.313,1999-10-03,NFL,NOR,@,CHI,L 10-14,3,4,Sun,1,1,100.0,1,1,100.0,,,0,4,briendou01
John Carney,K,35.166,1999-10-03,NFL,SDG,,KAN,W 21-14,3,4,Sun,3,3,100.0,,,,,,0,3,carnejoh01
Brett Conway,K,24.209,1999-10-03,NFL,WAS,,CAR,W 38-36,4,4,Sun,5,5,100.0,1,1,100.0,,,0,8,conwabre01
