Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Sack,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,unique_id
Nnamdi Asomugha,CB,24.064,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,0.0,7,1,8,0,,AsomNn20
Monty Beisel,ILB,27.019,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,0.0,3,4,7,1,,BeisMo20
Tyler Brayton,OLB,25.292,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,0.0,0,1,1,0,,BrayTy20
Chad Brown,ILB,35.058,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,0.0,4,1,5,0,,BrowCh04
Derrick Burgess,DE,27.027,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,0.0,2,0,2,0,,BurgDe99
Matt Chatham,LB,28.072,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,0.0,1,0,1,0,,ChatMa20
Danny Clark,MLB,28.122,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,0.0,6,3,9,0,,ClarDa21
Rosevelt Colvin,LB,28.003,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,0.0,1,0,1,0,,ColvRo20
Jarrod Cooper,S,27.161,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,0.0,2,0,2,0,,CoopJa20
Don Davis,LB,32.265,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,0.0,1,2,3,0,,DaviDo22
Omar Easy,FB,27.314,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,0.0,1,1,2,0,,EasyOm00
Zeron Flemister,TE,29.000,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,0.0,2,0,2,0,,FlemZe00
Randall Gay,CB,23.126,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,0.0,2,1,3,0,,GayxRa20
Derrick Gibson,SS,26.170,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,0.0,5,2,7,0,,GibsDe21
DeLawrence Grant,LB,25.294,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,0.0,0,1,1,0,,GranDe20
Jarvis Green,DL,26.239,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,1.0,2,2,4,0,,GreeJa21
Bobby Hamilton,DE,34.069,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,0.0,2,2,4,0,,HamiBo20
Rodney Harrison,SS,32.267,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,0.0,3,3,6,0,,HarrRo01
Renaldo Hill,CB,26.300,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,0.0,1,2,3,0,,HillRe20
Grant Irons,OLB,26.063,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,0.0,1,0,1,0,,IronGr20
Larry Izzo,LB,30.347,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,0.0,2,0,2,0,,IzzoLa00
Ed Jasper,DT,32.233,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,0.0,4,0,4,0,,JaspEd20
Tommy Kelly,DE,24.255,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,0.0,1,0,1,1,,KellTo21
Wesly Mallard,LB,26.291,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,0.0,1,0,1,0,,MallWe20
Willie McGinest,ROLB,33.271,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,0.0,1,1,2,0,,McGiWi00
Kirk Morrison,LB,23.201,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,0.0,6,4,10,1,,MorrKi20
Tyrone Poole,RCB,33.217,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,0.0,1,0,1,0,,PoolTy20
Stanford Routt,CB,22.047,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,0.0,5,0,5,0,,RoutSt20
Asante Samuel,LCB,24.245,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,0.0,3,1,4,1,,SamuAs20
Warren Sapp*,DT,32.263,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,0.0,2,0,2,0,,SappWa00
Stuart Schweigert,FS,24.079,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,0.0,2,2,4,0,,SchwSt20
Chad Scott,CB,31.002,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,0.0,2,0,2,0,,ScotCh20
Guss Scott,S,24.110,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,0.0,1,0,1,0,,ScotGu20
Richard Seymour,RDE,25.337,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,0.0,6,2,8,1,,SeymRi00
Mike Vrabel,LOLB,30.025,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,1.0,4,1,5,2,,VrabMi20
Ty Warren,LDE,24.214,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,0.0,3,2,5,0,,WarrTy20
Ted Washington,NT,37.148,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,0.0,1,0,1,0,,WashTe01
Randal Williams,WR,27.110,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,0.0,1,1,2,0,,WillRa01
Eugene Wilson,FS,25.022,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,0.0,5,1,6,0,,WilsEu20
Charles Woodson,CB,28.336,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,0.0,3,1,4,1,,WoodCh00
John Abraham,WE,27.128,2005-09-11,NFL,NYJ,@,KAN,L 7-27,1,1,Sun,1.0,2,0,2,2,,AbraJo00
Blue Adams,CB,25.331,2005-09-11,NFL,TAM,@,MIN,W 24-13,1,1,Sun,0.0,1,0,1,0,,AdamBl20
Mike Adams,WR,24.171,2005-09-11,NFL,SFO,,STL,W 28-25,1,1,Sun,1.0,4,0,4,1,,AdamMi21
Sam Adams,LDT,32.090,2005-09-11,NFL,BUF,,HOU,W 22-7,1,1,Sun,0.0,1,1,2,0,,AdamSa00
Sam Aiken,WR,24.271,2005-09-11,NFL,BUF,,HOU,W 22-7,1,1,Sun,0.0,1,2,3,0,,AikeSa00
Brent Alexander,FS,34.063,2005-09-11,NFL,NYG,,ARI,W 42-19,1,1,Sun,0.0,1,1,2,0,,AlexBr20
James Allen,LB,25.304,2005-09-11,NFL,NOR,@,CAR,W 23-20,1,1,Sun,0.0,1,1,2,0,,AlleJa21
Jared Allen,DE,23.161,2005-09-11,NFL,KAN,,NYJ,W 27-7,1,1,Sun,1.0,3,0,3,1,,AlleJa22
Will Allen,S,23.086,2005-09-11,NFL,TAM,@,MIN,W 24-13,1,1,Sun,0.0,3,0,3,0,,AlleWi21
Will Allen,LCB,27.037,2005-09-11,NFL,NYG,,ARI,W 42-19,1,1,Sun,0.0,4,0,4,0,,AlleWi20
Marques Anderson,CB,26.108,2005-09-11,NFL,DEN,@,MIA,L 10-34,1,1,Sun,0.0,1,0,1,0,,AndeMa22
Tim Anderson,DT,24.293,2005-09-11,NFL,BUF,,HOU,W 22-7,1,1,Sun,0.0,0,1,1,0,,AndeTi20
