Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Rush Att,Rush Yard,Rush Avg,Rush TD,unique_id
Shaun Alexander,RB,24.010,2001-09-09,NFL,SEA,@,CLE,W 9-6,1,1,Sun,4,3,0.75,0,AlexSh00
James Allen,RB,26.165,2001-09-09,NFL,CHI,@,BAL,L 6-17,1,1,Sun,21,43,2.05,0,AlleJa00
Terry Allen,RB,33.200,2001-09-09,NFL,BAL,,CHI,W 17-6,1,1,Sun,20,37,1.85,1,AlleTe00
Mike Alstott,FB,27.262,2001-09-09,NFL,TAM,@,DAL,W 10-6,1,1,Sun,5,12,2.40,0,AlstMi00
Jamal Anderson,RB,28.344,2001-09-09,NFL,ATL,@,SFO,L 13-16,1,1,Sun,26,86,3.31,1,AndeJa00
Richie Anderson,FB,29.361,2001-09-09,NFL,NYJ,,IND,L 24-45,1,1,Sun,2,21,10.50,0,AndeRi00
Obafemi Ayanbadejo,FB,26.188,2001-09-09,NFL,BAL,,CHI,W 17-6,1,1,Sun,2,2,1.00,0,AyanOb00
Tony Banks,QB,28.157,2001-09-09,NFL,WAS,@,SDG,L 3-30,1,1,Sun,1,0,0.00,0,BankTo00
Kevan Barlow,RB,22.245,2001-09-09,NFL,SFO,,ATL,W 16-13,1,1,Sun,5,9,1.80,0,BarlKe00
Charlie Batch,QB,26.278,2001-09-09,NFL,DET,@,GNB,L 6-28,1,1,Sun,2,9,4.50,0,BatcCh00
Fred Beasley,FB,26.356,2001-09-09,NFL,SFO,,ATL,W 16-13,1,1,Sun,3,7,2.33,0,BeasFr00
Brandon Bennett,RB,28.218,2001-09-09,NFL,CIN,,NWE,W 23-17,1,1,Sun,6,43,7.17,0,BennBr00
Donnell Bennett,FB,28.360,2001-09-09,NFL,WAS,@,SDG,L 3-30,1,1,Sun,1,8,8.00,0,BennDo00
Michael Bennett,RB,23.027,2001-09-09,NFL,MIN,,CAR,L 13-24,1,1,Sun,11,37,3.36,0,BennMi00
Jerome Bettis*,RB,29.205,2001-09-09,NFL,PIT,@,JAX,L 3-21,1,1,Sun,12,28,2.33,0,BettJe00
Tim Biakabutuka,RB,27.228,2001-09-09,NFL,CAR,@,MIN,W 24-13,1,1,Sun,5,7,1.40,0,BiakTi00
Drew Bledsoe,QB,29.207,2001-09-09,NFL,NWE,@,CIN,L 17-23,1,1,Sun,3,10,3.33,0,BledDr00
Jason Brookins,RB,25.247,2001-09-09,NFL,BAL,,CHI,W 17-6,1,1,Sun,1,8,8.00,0,BrooJa01
Aaron Brooks,QB,25.169,2001-09-09,NFL,NOR,@,BUF,W 24-6,1,1,Sun,5,10,2.00,0,BrooAa00
Tim Brown*,WR,35.049,2001-09-09,NFL,OAK,@,KAN,W 27-24,1,1,Sun,1,4,4.00,0,BrowTi00
Mark Brunell,QB,30.357,2001-09-09,NFL,JAX,,PIT,W 21-3,1,1,Sun,3,7,2.33,0,BrunMa00
Trung Canidate,RB,24.190,2001-09-09,NFL,STL,@,PHI,W 20-17,1,1,Sun,1,1,1.00,0,CaniTr00
Quincy Carter,QB,23.331,2001-09-09,NFL,DAL,,TAM,L 6-10,1,1,Sun,4,16,4.00,0,CartQu00
Larry Centers,FB,33.100,2001-09-09,NFL,BUF,,NOR,L 6-24,1,1,Sun,1,11,11.00,0,CentLa00
Chris Chandler,QB,35.332,2001-09-09,NFL,ATL,@,SFO,L 13-16,1,1,Sun,3,16,5.33,0,ChanCh00
Doug Chapman,RB,24.018,2001-09-09,NFL,MIN,,CAR,L 13-24,1,1,Sun,3,15,5.00,0,ChapDo00
Laveranues Coles,WR,23.254,2001-09-09,NFL,NYJ,,IND,L 24-45,1,1,Sun,1,16,16.00,0,ColeLa00
Curtis Conway,WR,30.239,2001-09-09,NFL,SDG,,WAS,W 30-3,1,1,Sun,1,16,16.00,0,ConwCu00
Ernie Conwell,TE,29.023,2001-09-09,NFL,STL,@,PHI,W 20-17,1,1,Sun,1,4,4.00,0,ConwEr00
Tim Couch,QB,24.040,2001-09-09,NFL,CLE,,SEA,L 6-9,1,1,Sun,1,1,1.00,0,CoucTi00
Daunte Culpepper,QB,24.224,2001-09-09,NFL,MIN,,CAR,L 13-24,1,1,Sun,12,57,4.75,1,CulpDa00
Stephen Davis,RB,27.192,2001-09-09,NFL,WAS,@,SDG,L 3-30,1,1,Sun,14,35,2.50,0,DaviSt00
Corey Dillon,HB,26.320,2001-09-09,NFL,CIN,,NWE,W 23-17,1,1,Sun,24,104,4.33,1,DillCo00
Warrick Dunn,RB,26.247,2001-09-09,NFL,TAM,@,DAL,W 10-6,1,1,Sun,22,56,2.55,0,DunnWa00
Marc Edwards,FB,26.296,2001-09-09,NFL,NWE,@,CIN,L 17-23,1,1,Sun,4,13,3.25,0,EdwaMa00
Marshall Faulk*,RB,28.195,2001-09-09,NFL,STL,@,PHI,W 20-17,1,1,Sun,20,72,3.60,1,FaulMa00
Brett Favre*,QB,31.334,2001-09-09,NFL,GNB,,DET,W 28-6,1,1,Sun,4,-2,-0.50,0,FavrBr00
Jay Fiedler,QB,29.254,2001-09-09,NFL,MIA,@,TEN,W 31-23,1,1,Sun,7,25,3.57,0,FiedJa00
Terrell Fletcher,RB,27.360,2001-09-09,NFL,SDG,,WAS,W 30-3,1,1,Sun,4,5,1.25,0,FletTe00
Doug Flutie,QB,38.321,2001-09-09,NFL,SDG,,WAS,W 30-3,1,1,Sun,4,0,0.00,0,FlutDo00
Rich Gannon,QB,35.263,2001-09-09,NFL,OAK,@,KAN,W 27-24,1,1,Sun,1,9,9.00,0,GannRi00
Jeff Garcia,QB,31.197,2001-09-09,NFL,SFO,,ATL,W 16-13,1,1,Sun,5,38,7.60,0,GarcJe00
Charlie Garner,RB,29.208,2001-09-09,NFL,OAK,@,KAN,W 27-24,1,1,Sun,12,38,3.17,0,GarnCh00
Eddie George,RB,27.350,2001-09-09,NFL,TEN,,MIA,L 23-31,1,1,Sun,18,49,2.72,0,GeorEd00
