Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,unique_id
Ted Ginn,WR,31.149,2016-09-08,NFL,CAR,@,DEN,L 20-21,1,1,Thu,2,12,6.00,0,GinnTe00
Jordan Norwood,WR,29.345,2016-09-08,NFL,DEN,,CAR,W 21-20,1,1,Thu,2,26,13.00,0,NorwJo00
D.J. Alexander,LB,24.347,2016-09-11,NFL,KAN,,SDG,W 33-27,1,1,Sun,1,0,0.00,0,AlexD.00
Danny Amendola,WR,30.314,2016-09-11,NFL,NWE,@,ARI,W 23-21,1,1,Sun,1,8,8.00,0,AmenDa00
Travis Benjamin,WR,26.257,2016-09-11,NFL,SDG,@,KAN,L 27-33,1,1,Sun,2,8,4.00,0,BenjTr00
Quan Bray,WR,23.136,2016-09-11,NFL,IND,,DET,L 35-39,1,1,Sun,2,13,6.50,0,BrayQu00
T.J. Carrie,CB,26.045,2016-09-11,NFL,OAK,@,NOR,W 35-34,1,1,Sun,1,10,10.00,0,CarrTr00
Alex Erickson,WR,23.310,2016-09-11,NFL,CIN,@,NYJ,W 23-22,1,1,Sun,1,15,15.00,0,EricAl01
Tyler Ervin,RB,22.340,2016-09-11,NFL,HOU,,CHI,W 23-14,1,1,Sun,3,29,9.67,0,ErviTy00
Jakeem Grant,WR,23.347,2016-09-11,NFL,MIA,@,SEA,L 10-12,1,1,Sun,3,16,5.33,0,GranJa00
Rashad Greene,WR,23.354,2016-09-11,NFL,JAX,,GNB,L 23-27,1,1,Sun,1,14,14.00,0,GreeRa00
Dwayne Harris,WR,28.361,2016-09-11,NFL,NYG,@,DAL,W 20-19,1,1,Sun,1,17,17.00,0,HarrDw00
Devin Hester,WR,33.312,2016-09-11,NFL,BAL,,BUF,W 13-7,1,1,Sun,2,1,0.50,0,HestDe99
Tyreek Hill,WR,22.194,2016-09-11,NFL,KAN,,SDG,W 33-27,1,1,Sun,3,35,11.67,0,HillTy00
Adam Jones,RCB,32.347,2016-09-11,NFL,CIN,@,NYJ,W 23-22,1,1,Sun,1,6,6.00,0,JonePa20
Cyrus Jones,DB,22.287,2016-09-11,NFL,NWE,@,ARI,W 23-21,1,1,Sun,1,10,10.00,0,JoneCy00
Jarvis Landry,WR,23.288,2016-09-11,NFL,MIA,@,SEA,L 10-12,1,1,Sun,1,16,16.00,0,LandJa00
Tyler Lockett,WR,23.349,2016-09-11,NFL,SEA,,MIA,W 12-10,1,1,Sun,3,40,13.33,0,LockTy00
Marc Mariani,WR,29.132,2016-09-11,NFL,TEN,,MIN,L 16-25,1,1,Sun,1,14,14.00,0,MariMa00
Jalin Marshall,WR,21.052,2016-09-11,NFL,NYJ,,CIN,L 22-23,1,1,Sun,2,11,5.50,0,MarsJa01
Marcus Murphy,RB,25.185,2016-09-11,NFL,NOR,,OAK,L 34-35,1,1,Sun,2,11,5.50,0,MurpMa03
Patrick Peterson,LCB,26.062,2016-09-11,NFL,ARI,,NWE,L 21-23,1,1,Sun,1,8,8.00,0,PetePa00
Jalen Richard,RB,22.332,2016-09-11,NFL,OAK,@,NOR,W 35-34,1,1,Sun,1,6,6.00,0,RichJa01
Andre Roberts,WR,28.246,2016-09-11,NFL,DET,@,IND,W 39-35,1,1,Sun,1,-1,-1.00,0,RobeAn00
Eddie Royal,WR,30.113,2016-09-11,NFL,CHI,@,HOU,L 14-23,1,1,Sun,4,40,10.00,0,RoyaEd00
Marcus Sherels,CB,28.347,2016-09-11,NFL,MIN,@,TEN,W 25-16,1,1,Sun,3,10,3.33,0,SherMa20
