Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,XP Made,XP Att,XP %,FG Made,FG Att,FG %,2PM,Sfty,TD,Pts,unique_id
Mason Crosby,K,35.002,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,1,1,100.0,1,1,100.0,,,0,4,CrosMa20
Dan Bailey,K,31.225,2019-09-08,NFL,MIN,,ATL,W 28-12,1,1,Sun,4,4,100.0,,,,,,0,4,BailDa00
Randy Bullock,K,29.266,2019-09-08,NFL,CIN,@,SEA,L 20-21,1,1,Sun,2,2,100.0,2,3,66.7,,,0,8,BullRa00
Harrison Butker,K,24.056,2019-09-08,NFL,KAN,@,JAX,W 40-26,1,1,Sun,4,4,100.0,4,4,100.0,,,0,16,ButkHa00
Jake Elliott,K,24.230,2019-09-08,NFL,PHI,,WAS,W 32-27,1,1,Sun,3,3,100.0,1,1,100.0,,,0,6,ElliJa03
Matt Gay,K,25.177,2019-09-08,NFL,TAM,,SFO,L 17-31,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,GayxMa00
Zane Gonzalez,K,24.124,2019-09-08,NFL,ARI,,DET,T 27-27,1,1,Sun,1,1,100.0,4,4,100.0,,,0,13,GonzZa00
Stephen Gostkowski,K,35.223,2019-09-08,NFL,NWE,,PIT,W 33-3,1,1,Sun,3,3,100.0,4,4,100.0,,,0,15,GostSt20
Robbie Gould,K,36.276,2019-09-08,NFL,SFO,@,TAM,W 31-17,1,1,Sun,2,2,100.0,3,4,75.0,,,0,11,gouldrob01
Stephen Hauschka,K,34.071,2019-09-08,NFL,BUF,@,NYJ,W 17-16,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,HausSt00
Dustin Hopkins,K,28.342,2019-09-08,NFL,WAS,@,PHI,L 27-32,1,1,Sun,3,3,100.0,2,2,100.0,,,0,9,HopkDu00
Josh Lambo,K,28.293,2019-09-08,NFL,JAX,,KAN,L 26-40,1,1,Sun,2,2,100.0,2,2,100.0,,,0,8,LambJo00
Ty Long,P,26.155,2019-09-08,NFL,LAC,,IND,W 30-24,1,1,Sun,3,3,100.0,1,1,100.0,,,0,6,LongTy00
Brett Maher,K,29.291,2019-09-08,NFL,DAL,,NYG,W 35-17,1,1,Sun,5,5,100.0,,,,,,0,5,MaheBr01
Jason Myers,K,28.119,2019-09-08,NFL,SEA,,CIN,W 21-20,1,1,Sun,3,3,100.0,,,,,,0,3,MyerJa00
Matt Prater,K,35.029,2019-09-08,NFL,DET,@,ARI,T 27-27,1,1,Sun,3,3,100.0,2,2,100.0,,,0,9,PratMa20
Aldrick Rosas,K,24.252,2019-09-08,NFL,NYG,@,DAL,L 17-35,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,RosaAl00
Jason Sanders,K,23.296,2019-09-08,NFL,MIA,,BAL,L 10-59,1,1,Sun,1,1,100.0,1,1,100.0,,,0,4,SandJa00
Cairo Santos,K,27.300,2019-09-08,NFL,TEN,@,CLE,W 43-13,1,1,Sun,5,5,100.0,2,2,100.0,,,0,11,SantCa01
Austin Seibert,K,22.297,2019-09-08,NFL,CLE,,TEN,L 13-43,1,1,Sun,1,2,50.0,,,,,,0,1,SeibAu00
Joey Slye,K,23.151,2019-09-08,NFL,CAR,,LAR,L 27-30,1,1,Sun,3,3,100.0,2,3,66.7,,,0,9,SlyeJo00
Justin Tucker,K,29.291,2019-09-08,NFL,BAL,@,MIA,W 59-10,1,1,Sun,8,8,100.0,1,1,100.0,,,0,11,TuckJu00
