Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,unique_id
Danny Amendola,WR,29.312,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,1,1,1.00,0,AmenDa00
Antonio Brown,WR,27.062,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,1,3,3.00,0,BrowAn04
Tavon Austin,WR,25.182,2015-09-13,NFL,STL,,SEA,W 34-31,1,1,Sun,2,85,42.50,1,AustTa00
Cole Beasley,WR,26.140,2015-09-13,NFL,DAL,,NYG,W 27-26,1,1,Sun,1,-3,-3.00,0,BeasCo00
Travis Benjamin,WR,25.258,2015-09-13,NFL,CLE,@,NYJ,L 10-31,1,1,Sun,1,10,10.00,0,BenjTr00
T.J. Carrie,CB,25.047,2015-09-13,NFL,OAK,,CIN,L 13-33,1,1,Sun,3,27,9.00,0,CarrTr00
Jamison Crowder,WR,22.088,2015-09-13,NFL,WAS,,MIA,L 10-17,1,1,Sun,2,23,11.50,0,CrowJa00
Phillip Dorsett,WR,22.251,2015-09-13,NFL,IND,@,BUF,L 14-27,1,1,Sun,2,1,0.50,0,DorsPh00
Ted Ginn,WR,30.154,2015-09-13,NFL,CAR,@,JAX,W 20-9,1,1,Sun,3,46,15.33,0,GinnTe00
Rashad Greene,WR,22.355,2015-09-13,NFL,JAX,,CAR,L 9-20,1,1,Sun,1,9,9.00,0,GreeRa00
Dwayne Harris,WR,27.362,2015-09-13,NFL,NYG,@,DAL,L 26-27,1,1,Sun,2,3,1.50,0,HarrDw00
Adam Jones,RCB,31.348,2015-09-13,NFL,CIN,@,OAK,W 33-13,1,1,Sun,2,23,11.50,0,JonePa20
Jeremy Kerley,WR,26.309,2015-09-13,NFL,NYJ,,CLE,W 31-10,1,1,Sun,2,13,6.50,0,KerlJe00
Jarvis Landry,WR,22.289,2015-09-13,NFL,MIA,@,WAS,W 17-10,1,1,Sun,2,74,37.00,1,LandJa00
Tyler Lockett,WR,22.350,2015-09-13,NFL,SEA,@,STL,L 31-34,1,1,Sun,2,63,31.50,1,LockTy00
Marc Mariani,WR,28.134,2015-09-13,NFL,CHI,,GNB,L 23-31,1,1,Sun,1,11,11.00,0,MariMa00
Dexter McCluster,RB,26.019,2015-09-13,NFL,TEN,@,TAM,W 42-14,1,1,Sun,2,14,7.00,0,McClDe00
Keith Mumphery,WR,23.100,2015-09-13,NFL,HOU,,KAN,L 20-27,1,1,Sun,4,14,3.50,0,MumpKe00
Marcus Murphy,RB,24.187,2015-09-13,NFL,NOR,@,ARI,L 19-31,1,1,Sun,1,2,2.00,0,MurpMa03
JJ Nelson,WR,23.142,2015-09-13,NFL,ARI,,NOR,W 31-19,1,1,Sun,2,15,7.50,0,NelsJJ00
Bobby Rainey,RB,27.332,2015-09-13,NFL,TAM,,TEN,L 14-42,1,1,Sun,2,17,8.50,0,RainBo00
Emmanuel Sanders,WR,28.180,2015-09-13,NFL,DEN,,BAL,W 19-13,1,1,Sun,3,20,6.67,0,SandEm00
Steve Smith,WR,36.124,2015-09-13,NFL,BAL,@,DEN,L 13-19,1,1,Sun,2,32,16.00,0,SmitSt01
Golden Tate,WR,27.042,2015-09-13,NFL,DET,@,SDG,L 28-33,1,1,Sun,2,34,17.00,0,TateGo00
Marcus Thigpen,WR,29.121,2015-09-13,NFL,BUF,,IND,W 27-14,1,1,Sun,1,6,6.00,0,ThigMa00
De'Anthony Thomas,WR,22.251,2015-09-13,NFL,KAN,@,HOU,W 27-20,1,1,Sun,5,81,16.20,0,ThomDe05
Bruce Ellington,WR,24.023,2015-09-14,NFL,SFO,,MIN,W 20-3,1,1,Mon,1,0,0.00,0,ElliBr00
Jarryd Hayne,RB,27.211,2015-09-14,NFL,SFO,,MIN,W 20-3,1,1,Mon,1,0,0.00,0,HaynJa00
