Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Sack,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,unique_id
Colin Allred,LB,26.148,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,0.0,1,1,2,0,0,AllrCo99
Patrick Bailey,LB,23.295,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,0.0,1,0,1,0,0,BailPa99
Tony Brown,RDT,28.346,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,1.0,1,1,2,1,2,BrowTo25
Keith Bulluck,OLB,32.159,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,0.0,3,2,5,0,0,BullKe00
Tyrone Carter,S,33.163,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,0.0,0,1,1,0,0,CartTy20
Ryan Clark,FS,29.333,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,0.0,4,1,5,0,0,ClarRy20
James Farrior,LILB,34.247,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,1.0,3,3,6,1,2,FarrJa99
Cortland Finnegan,RCB,25.220,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,0.0,9,1,10,0,0,FinnCo20
Jacob Ford,DE,26.052,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,0.5,2,1,3,0,2,FordJa99
Keyaron Fox,RILB,27.229,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,0.0,5,5,10,0,0,FoxxKe20
Andre Frazier,LB,27.073,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,0.0,0,2,2,0,0,FrazAn20
Vincent Fuller,S,27.038,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,0.0,2,1,3,1,0,FullVi20
William Gay,RCB,24.252,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,0.0,3,1,4,1,0,GayxWi99
Michael Griffin,FS,24.249,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,0.0,7,2,9,0,0,GrifMi99
Casey Hampton,NT,32.007,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,0.0,2,3,5,1,0,HampCa00
Nick Harper,LCB,35.000,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,0.0,4,5,9,0,0,HarpNi20
Arnold Harrison,LB,26.355,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,0.0,2,1,3,0,0,HarrAr21
James Harrison,ROLB,31.129,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,0.0,4,1,5,1,1,HarrJa23
Jovan Haye,LDT,27.081,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,0.0,2,2,4,0,0,HayeJo20
William Hayes,DE,24.131,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,0.5,2,2,4,0,3,HayeWi99
Chris Hoke,NT,33.157,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,0.0,1,1,2,0,0,HokeCh20
Chris Hope,SS,28.346,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,0.0,7,4,11,0,0,HopeCh21
Jason Jones,DT,23.110,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,1.0,2,1,3,2,1,JoneJa99
Jevon Kearse,LDE,33.007,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,1.0,1,1,2,1,1,KearJe00
Brett Keisel,DE,30.356,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,0.0,5,2,7,0,0,KeisBr20
Ryan Mundy,S,24.211,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,0.0,4,1,5,0,0,MundRy00
Troy Polamalu,SS,28.144,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,0.0,6,0,6,1,0,PolaTr99
Javon Ringer,RB,22.220,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,0.0,1,0,1,0,0,RingJa00
Aaron Smith,DE,33.144,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,0.0,2,1,3,1,0,SmitAa99
Ike Taylor,LCB,29.128,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,0.0,1,0,1,0,0,TaylIk20
David Thornton,LLB,30.313,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,0.0,2,1,3,0,0,ThorDa20
Deshea Townsend,CB,34.002,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,0.0,1,0,1,0,0,TownDe20
Stephen Tulloch,MLB,24.252,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,0.0,8,4,12,1,0,TullSt20
Kyle Vanden Bosch,RDE,30.297,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,0.0,1,1,2,0,1,VandKy99
Kevin Vickerson,DT,26.245,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,0.0,1,2,3,0,0,VickKe99
LaMarr Woodley,LOLB,24.311,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,0.0,1,0,1,1,0,WoodLa99
Husain Abdullah,S,24.048,2009-09-13,NFL,MIN,@,CLE,W 34-20,1,1,Sun,0.0,2,0,2,0,0,AbduHu99
Victor Abiamiri,LDE,23.242,2009-09-13,NFL,PHI,@,CAR,W 38-10,1,1,Sun,0.0,4,1,5,0,1,AbiaVi99
John Abraham,LDE,31.130,2009-09-13,NFL,ATL,,MIA,W 19-7,1,1,Sun,2.0,3,0,3,1,2,AbraJo00
Anthony Adams,NT,29.087,2009-09-13,NFL,CHI,@,GNB,L 15-21,1,1,Sun,0.0,1,1,2,0,0,AdamAn20
Michael Adams,CB,24.088,2009-09-13,NFL,ARI,,SFO,L 16-20,1,1,Sun,0.0,1,0,1,0,0,AdamMi98
Mike Adams,DB,28.173,2009-09-13,NFL,CLE,,MIN,L 20-34,1,1,Sun,0.0,1,0,1,0,0,AdamMi21
Xavier Adibi,LB,24.330,2009-09-13,NFL,HOU,,NYJ,L 7-24,1,1,Sun,0.0,2,0,2,0,1,AdibXa99
Al Afalava,SS,22.236,2009-09-13,NFL,CHI,@,GNB,L 15-21,1,1,Sun,1.0,4,0,4,1,1,AfalAl99
Gerald Alexander,S,25.077,2009-09-13,NFL,JAX,@,IND,L 12-14,1,1,Sun,0.0,1,1,2,0,0,AlexGe99
Lorenzo Alexander,DL,26.105,2009-09-13,NFL,WAS,@,NYG,L 17-23,1,1,Sun,0.0,1,0,1,0,0,AlexLo99
Jared Allen,RDE,27.163,2009-09-13,NFL,MIN,@,CLE,W 34-20,1,1,Sun,0.0,0,1,1,0,0,AlleJa22
Russell Allen,LB,23.131,2009-09-13,NFL,JAX,@,IND,L 12-14,1,1,Sun,0.0,0,1,1,,,AlleRu00
Will Allen,LCB,31.039,2009-09-13,NFL,MIA,@,ATL,L 7-19,1,1,Sun,0.0,5,1,6,0,0,AlleWi20
Mark Anderson,DE,26.110,2009-09-13,NFL,CHI,@,GNB,L 15-21,1,1,Sun,0.0,4,0,4,1,0,AndeMa21
O.J. Atogwe,FS,28.082,2009-09-13,NFL,STL,@,SEA,L 0-28,1,1,Sun,0.0,6,2,8,0,0,AtogO.20
Cliff Avril,LDE,23.158,2009-09-13,NFL,DET,@,NOR,L 27-45,1,1,Sun,0.0,1,0,1,0,0,AvriCl99
Brendon Ayanbadejo,LB,33.007,2009-09-13,NFL,BAL,,KAN,W 38-24,1,1,Sun,0.0,4,0,4,0,0,AyanBr99
Akin Ayodele,ILB,29.361,2009-09-13,NFL,MIA,@,ATL,L 7-19,1,1,Sun,0.0,3,2,5,0,0,AyodAk20
Jonathan Babineaux,UT,27.336,2009-09-13,NFL,ATL,,MIA,W 19-7,1,1,Sun,0.0,2,0,2,1,0,BabiJo20
Jordan Babineaux,FS,27.013,2009-09-13,NFL,SEA,,STL,W 28-0,1,1,Sun,0.0,3,2,5,0,0,BabiJo21
Champ Bailey*,LCB,31.083,2009-09-13,NFL,DEN,@,CIN,W 12-7,1,1,Sun,0.0,1,6,7,0,0,BailCh00
Alan Ball,CB,24.168,2009-09-13,NFL,DAL,@,TAM,W 34-21,1,1,Sun,0.0,1,0,1,0,0,BallAl99
Kentwan Balmer,DE,22.333,2009-09-13,NFL,SFO,@,ARI,W 20-16,1,1,Sun,0.0,1,0,1,0,0,BalmKe99
Dominique Barber,SS,23.042,2009-09-13,NFL,HOU,,NYJ,L 7-24,1,1,Sun,0.0,4,2,6,0,0,BarbDo99
Ronde Barber,RCB,34.159,2009-09-13,NFL,TAM,,DAL,L 21-34,1,1,Sun,1.0,2,0,2,2,1,BarbRo00
Antwan Barnes,LB,24.329,2009-09-13,NFL,BAL,,KAN,W 38-24,1,1,Sun,0.0,3,0,3,0,0,BarnAn99
Nick Barnett,MLB,28.109,2009-09-13,NFL,GNB,,CHI,W 21-15,1,1,Sun,0.0,1,2,3,0,0,BarnNi20
