Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Targets,Rec,Rec Yards,Rec Avg,Rec TD,Catch Pct,YPTgt,unique_id
Joseph Addai,RB,24.126,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,4,3,25,8.33,0,75.0%,6.25,AddaJo00
Drew Brees,QB,28.234,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,1,1,2,2.00,0,100.0%,2.00,BreeDr00
Reggie Bush,RB,22.188,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,8,4,7,1.75,0,50.0%,0.88,BushRe00
Dallas Clark,TE,28.086,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,5,2,48,24.00,0,40.0%,9.60,ClarDa00
Marques Colston,WR,24.093,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,8,6,47,7.83,0,75.0%,5.88,ColsMa00
Marvin Harrison*,WR,35.012,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,6,4,83,20.75,1,66.7%,13.83,HarrMa00
Devery Henderson,WR,25.164,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,6,3,34,11.33,0,50.0%,5.67,HendDe00
Eric Johnson,TE,31.129,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,9,8,57,7.13,0,88.9%,6.33,JohnEr00
Kenton Keith,RB,27.054,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,1,1,-2,-2.00,0,100.0%,-2.00,KeitKe00
Deuce McAllister,RB,28.253,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,2,2,7,3.50,0,100.0%,3.50,McAlDe00
David Patten,WR,33.018,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,4,2,18,9.00,0,50.0%,4.50,PattDa00
Aaron Stecker,RB,31.297,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,2,2,20,10.00,0,100.0%,10.00,StecAa00
Ben Utecht,H-B,26.068,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,1,1,19,19.00,0,100.0%,19.00,UtecBe00
Reggie Wayne,WR,28.293,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,12,7,115,16.43,2,58.3%,9.58,WaynRe00
Shaun Alexander,RB,30.010,2007-09-09,NFL,SEA,,TAM,W 20-6,1,1,Sun,3,2,12,6.00,0,66.7%,4.00,AlexSh00
Aundrae Allison,WR,21.142,2007-09-09,NFL,MIN,,ATL,W 24-3,1,1,Sun,1,1,11,11.00,0,100.0%,11.00,AlliAu00
Jason Avant,WR,24.142,2007-09-09,NFL,PHI,@,GNB,L 13-16,1,1,Sun,4,3,54,18.00,1,75.0%,13.50,AvanJa00
Chris Baker,TE,27.295,2007-09-09,NFL,NYJ,,NWE,L 14-38,1,1,Sun,3,2,29,14.50,0,66.7%,9.67,BakeCh00
Marion Barber,RB,24.091,2007-09-09,NFL,DAL,,NYG,W 45-35,1,1,Sun,1,1,29,29.00,0,100.0%,29.00,BarbMa01
