Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,XP Made,XP Att,XP %,FG Made,FG Att,FG %,2PM,Sfty,TD,Pts,unique_id
Stephen Gostkowski,K,33.222,2017-09-07,NFL,NWE,,KAN,L 27-42,1,1,Thu,3,3,100.0,2,2,100.0,,,0,9,GostSt20
Dan Bailey,K,29.227,2017-09-10,NFL,DAL,,NYG,W 19-3,1,1,Sun,1,1,100.0,4,4,100.0,,,0,13,BailDa00
Connor Barth,K,31.152,2017-09-10,NFL,CHI,,ATL,L 17-23,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,barthco01
Matt Bryant,K,42.104,2017-09-10,NFL,ATL,@,CHI,W 23-17,1,1,Sun,2,2,100.0,3,3,100.0,,,0,11,bryanmat01
Chandler Catanzaro,K,26.196,2017-09-10,NFL,NYJ,@,BUF,L 12-21,1,1,Sun,,,,2,2,100.0,,,0,6,CataCh00
Mason Crosby,K,33.007,2017-09-10,NFL,GNB,,SEA,W 17-9,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,CrosMa20
Phil Dawson,K,42.230,2017-09-10,NFL,ARI,@,DET,L 23-35,1,1,Sun,2,2,100.0,1,2,50.0,,,0,5,dawsophi01
Graham Gano,K,30.154,2017-09-10,NFL,CAR,@,SFO,W 23-3,1,1,Sun,2,2,100.0,3,3,100.0,,,0,11,GanoGr44
Zane Gonzalez,K,22.126,2017-09-10,NFL,CLE,,PIT,L 18-21,1,1,Sun,1,1,100.0,1,1,100.0,,,0,4,GonzZa00
Robbie Gould,K,34.278,2017-09-10,NFL,SFO,,CAR,L 3-23,1,1,Sun,,,,1,1,100.0,,,0,3,gouldrob01
Stephen Hauschka,K,32.073,2017-09-10,NFL,BUF,,NYJ,W 21-12,1,1,Sun,3,3,100.0,,1,0.0,,,0,3,HausSt00
Dustin Hopkins,K,26.344,2017-09-10,NFL,WAS,,PHI,L 17-30,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,HopkDu00
Jason Myers,K,26.121,2017-09-10,NFL,JAX,@,HOU,W 29-7,1,1,Sun,2,3,66.7,3,4,75.0,,,0,11,MyerJa00
Matt Prater,K,33.031,2017-09-10,NFL,DET,,ARI,W 35-23,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,PratMa20
Aldrick Rosas,K,22.254,2017-09-10,NFL,NYG,@,DAL,L 3-19,1,1,Sun,,,,1,1,100.0,,,0,3,RosaAl00
Caleb Sturgis,K,28.032,2017-09-10,NFL,PHI,@,WAS,W 30-17,1,1,Sun,1,2,50.0,3,3,100.0,,,0,10,SturCa00
Ryan Succop,K,30.356,2017-09-10,NFL,TEN,,OAK,L 16-26,1,1,Sun,1,1,100.0,3,4,75.0,,,0,10,SuccRy44
Giorgio Tavecchio,K,27.056,2017-09-10,NFL,OAK,@,TEN,W 26-16,1,1,Sun,2,2,100.0,4,4,100.0,,,0,14,TaveGi00
Justin Tucker,K,27.293,2017-09-10,NFL,BAL,@,CIN,W 20-0,1,1,Sun,2,2,100.0,2,2,100.0,,,0,8,TuckJu00
Adam Vinatieri,K,44.256,2017-09-10,NFL,IND,@,LAR,L 9-46,1,1,Sun,,1,0.0,1,2,50.0,,,0,3,vinatada01
Blair Walsh,K,27.245,2017-09-10,NFL,SEA,@,GNB,L 9-17,1,1,Sun,,,,3,3,100.0,,,0,9,WalsBl00
Greg Zuerlein,K,29.257,2017-09-10,NFL,LAR,,IND,W 46-9,1,1,Sun,5,5,100.0,3,3,100.0,,,0,14,ZuerGr00
Kai Forbath,K,30.009,2017-09-11,NFL,MIN,,NOR,W 29-19,1,1,Mon,2,3,66.7,3,3,100.0,,,0,11,ForbKa00
Younghoe Koo,K,23.039,2017-09-11,NFL,LAC,@,DEN,L 21-24,1,1,Mon,3,3,100.0,,1,0.0,,,0,3,KooxYo00
Wil Lutz,K,23.066,2017-09-11,NFL,NOR,@,MIN,L 19-29,1,1,Mon,1,1,100.0,4,4,100.0,,,0,13,LutzWi00
Brandon McManus,K,26.048,2017-09-11,NFL,DEN,,LAC,W 24-21,1,1,Mon,3,3,100.0,1,2,50.0,,,0,6,McMaBr01
