Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Sack,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,unique_id
Rabih Abdullah,RB,25.129,2000-09-03,NFL,TAM,@,NWE,W 21-16,1,1,Sun,0.0,1,0,1,0,,AbduRa00
Rahim Abdullah,LB,24.165,2000-09-03,NFL,CLE,,JAX,L 7-27,1,1,Sun,0.0,1,0,1,0,,AbduRa20
Donnie Abraham,LCB,26.331,2000-09-03,NFL,TAM,@,NWE,W 21-16,1,1,Sun,0.0,3,1,4,0,,AbraDo00
John Abraham,LB,22.120,2000-09-03,NFL,NYJ,@,GNB,W 20-16,1,1,Sun,0.0,1,0,1,0,,AbraJo00
Sam Adams,LDT,27.082,2000-09-03,NFL,BAL,@,PIT,W 16-0,1,1,Sun,0.0,1,0,1,0,,AdamSa00
Chidi Ahanotu,LDE,29.328,2000-09-03,NFL,TAM,@,NWE,W 21-16,1,1,Sun,0.0,2,2,4,0,,AhanCh20
Chris Akins,S,23.279,2000-09-03,NFL,DAL,,PHI,L 14-41,1,1,Sun,0.0,1,0,1,0,,AkinCh20
Ethan Albright,C,29.125,2000-09-03,NFL,BUF,,TEN,W 16-13,1,1,Sun,0.0,1,0,1,0,,AlbrEt20
Allen Aldridge,SLB,28.096,2000-09-03,NFL,DET,@,NOR,W 14-10,1,1,Sun,0.0,3,0,3,0,,AldrAl21
Brent Alexander,FS,29.055,2000-09-03,NFL,PIT,,BAL,L 0-16,1,1,Sun,0.0,6,1,7,1,,AlexBr20
Elijah Alexander,OLB,30.032,2000-09-03,NFL,OAK,,SDG,W 9-6,1,1,Sun,0.0,2,1,3,0,,AlexEl20
Eric Allen,CB,34.286,2000-09-03,NFL,OAK,,SDG,W 9-6,1,1,Sun,0.0,6,0,6,0,,AlleEr00
Ashley Ambrose,RCB,29.352,2000-09-03,NFL,ATL,,SFO,W 36-28,1,1,Sun,0.0,3,0,3,0,,AmbrAs00
Rashard Anderson,DB,23.081,2000-09-03,NFL,CAR,@,WAS,L 17-20,1,1,Sun,0.0,1,0,1,0,,AndeRa21
Jessie Armstead,OLB,29.313,2000-09-03,NFL,NYG,,ARI,W 21-16,1,1,Sun,0.0,3,3,6,1,,ArmsJe00
Trace Armstrong,DE,34.334,2000-09-03,NFL,MIA,,SEA,W 23-0,1,1,Sun,2.5,2,1,3,2,,ArmsTr00
Jerry Azumah,CB,23.002,2000-09-03,NFL,CHI,@,MIN,L 27-30,1,1,Sun,0.0,1,0,1,0,,AzumJe00
Champ Bailey*,LCB,22.073,2000-09-03,NFL,WAS,,CAR,W 20-17,1,1,Sun,0.0,8,0,8,0,,BailCh00
Robert Bailey,CB,32.000,2000-09-03,NFL,BAL,@,PIT,W 16-0,1,1,Sun,0.0,4,0,4,0,,BailRo20
Antonio Banks,CB,27.175,2000-09-03,NFL,MIN,,CHI,W 30-27,1,1,Sun,0.0,2,0,2,0,,BankAn20
Ronde Barber,RCB,25.149,2000-09-03,NFL,TAM,@,NWE,W 21-16,1,1,Sun,1.0,3,1,4,1,,BarbRo00
Shawn Barber,WLB,25.233,2000-09-03,NFL,WAS,,CAR,W 20-17,1,1,Sun,0.0,3,2,5,1,,BarbSh20
Rashidi Barnes,DB,22.069,2000-09-03,NFL,CLE,,JAX,L 7-27,1,1,Sun,0.0,1,0,1,0,,BarnRa20
David Barrett,CB,22.256,2000-09-03,NFL,ARI,@,NYG,L 16-21,1,1,Sun,0.0,1,0,1,0,,BarrDa22
Micheal Barrow,MLB,30.137,2000-09-03,NFL,NYG,,ARI,W 21-16,1,1,Sun,1.0,6,0,6,2,,BarrMi20
Aaron Beasley,RCB,27.058,2000-09-03,NFL,JAX,@,CLE,W 27-7,1,1,Sun,0.0,4,0,4,0,,BeasAa20
Jay Bellamy,FS,28.057,2000-09-03,NFL,SEA,@,MIA,L 0-23,1,1,Sun,0.0,3,4,7,0,,BellJa22
Jason Belser,FS,30.098,2000-09-03,NFL,IND,@,KAN,W 27-14,1,1,Sun,0.0,3,0,3,0,,BelsJa20
Cornelius Bennett,LLB,35.009,2000-09-03,NFL,IND,@,KAN,W 27-14,1,1,Sun,0.0,2,0,2,0,,BennCo00
Greg Biekert,ILB,31.173,2000-09-03,NFL,OAK,,SDG,W 9-6,1,1,Sun,0.0,4,1,5,0,,BiekGr20
Blaine Bishop,SS,30.041,2000-09-03,NFL,TEN,@,BUF,L 13-16,1,1,Sun,0.0,5,3,8,1,,BishBl00
Cary Blanchard,K,31.303,2000-09-03,NFL,ARI,@,NYG,L 16-21,1,1,Sun,0.0,1,0,1,0,,blanccar01
Tony Blevins,DB,25.218,2000-09-03,NFL,IND,@,KAN,W 27-14,1,1,Sun,0.0,1,0,1,0,,BlevTo20
Jason Bostic,FS,24.065,2000-09-03,NFL,PHI,@,DAL,W 41-14,1,1,Sun,0.0,1,0,1,0,,BostJa20
Peter Boulware,LB,25.260,2000-09-03,NFL,BAL,@,PIT,W 16-0,1,1,Sun,0.0,1,2,3,0,,BoulPe00
Joe Bowden,LB,30.191,2000-09-03,NFL,DAL,,PHI,L 14-41,1,1,Sun,0.0,2,0,2,0,,BowdJo20
Tim Bowens,LDT,27.209,2000-09-03,NFL,MIA,,SEA,W 23-0,1,1,Sun,0.0,1,2,3,0,,BoweTi00
Fabien Bownes,WR,28.187,2000-09-03,NFL,SEA,@,MIA,L 0-23,1,1,Sun,0.0,2,0,2,0,,BownFa00
Stephen Boyd,MLB,28.012,2000-09-03,NFL,DET,@,NOR,W 14-10,1,1,Sun,0.0,6,1,7,0,,BoydSt00
Brant Boyer,LB,29.068,2000-09-03,NFL,JAX,@,CLE,W 27-7,1,1,Sun,0.0,1,0,1,0,,BoyeBr20
