Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Int Ret,Int Ret Yds,Int Ret TD,Pass Broken Up,unique_id
Donnie Abraham,LCB,29.331,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,1,12,0,1,AbraDo00
LaVar Arrington,SLB,25.076,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,,,,1,ArriLa00
Matt Bowen,FS,26.296,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,,,,1,BoweMa20
Sam Garnes,SS,29.054,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,,,,1,GarnSa20
Chester McGlockton,DT,33.353,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,,,,1,McGlCh00
Ifeanyi Ohalete,SS,24.105,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,,,,2,OhalIf20
Peppi Zellner,DE,28.174,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,,,,1,ZellPe20
Anthony Adams,DE,23.081,2003-09-07,NFL,SFO,,CHI,W 49-7,1,1,Sun,,,,2,AdamAn20
Sam Adams,LDT,30.086,2003-09-07,NFL,BUF,,NWE,W 31-0,1,1,Sun,1,37,1,1,AdamSa00
Will Allen,LCB,25.033,2003-09-07,NFL,NYG,,STL,W 23-13,1,1,Sun,,,,1,AlleWi20
Akin Ayodele,WLB,23.355,2003-09-07,NFL,JAX,@,CAR,L 23-24,1,1,Sun,1,13,0,1,AyodAk20
Boss Bailey,SLB,23.328,2003-09-07,NFL,DET,,ARI,W 42-24,1,1,Sun,,,,1,BailBo20
Shawn Barber,ROLB,28.236,2003-09-07,NFL,KAN,,SDG,W 27-14,1,1,Sun,,,,1,BarbSh20
Gary Baxter,FS,24.287,2003-09-07,NFL,BAL,@,PIT,L 15-34,1,1,Sun,,,,1,BaxtGa20
Kendrell Bell,RILB,25.067,2003-09-07,NFL,PIT,,BAL,W 34-15,1,1,Sun,1,42,0,1,BellKe20
Kevin Bentley,SLB,23.252,2003-09-07,NFL,CLE,,IND,L 6-9,1,1,Sun,1,25,0,1,BentKe20
Rocky Bernard,DT,24.141,2003-09-07,NFL,SEA,,NOR,W 27-10,1,1,Sun,,,,1,BernRo20
Dre' Bly,RCB,26.108,2003-09-07,NFL,DET,,ARI,W 42-24,1,1,Sun,1,48,1,2,BlyxDr00
Tony Brackens,LDE,28.255,2003-09-07,NFL,JAX,@,CAR,L 23-24,1,1,Sun,0,0,0,1,BracTo00
Sam Brandon,FS,24.064,2003-09-07,NFL,DEN,@,CIN,W 30-10,1,1,Sun,,,,1,BranSa20
Cornell Brown,LB,28.176,2003-09-07,NFL,BAL,@,PIT,L 15-34,1,1,Sun,,,,1,BrowCo20
Mike Brown,FS,25.206,2003-09-07,NFL,CHI,@,SFO,L 7-49,1,1,Sun,1,0,0,1,BrowMi99
Ralph Brown,DB,24.356,2003-09-07,NFL,NYG,,STL,W 23-13,1,1,Sun,,,,1,BrowRa20
Ray Buchanan,LCB,31.343,2003-09-07,NFL,ATL,@,DAL,W 27-13,1,1,Sun,,,,1,BuchRa00
Terrell Buckley,CB,32.092,2003-09-07,NFL,MIA,,HOU,L 20-21,1,1,Sun,,,,1,BuckTe20
Jeff Burris,LCB,31.092,2003-09-07,NFL,CIN,,DEN,L 10-30,1,1,Sun,,,,1,BurrJe20
Dwaine Carpenter,S,26.307,2003-09-07,NFL,SFO,,CHI,W 49-7,1,1,Sun,,,,1,CarpDw20
Keion Carpenter,FS,25.311,2003-09-07,NFL,ATL,@,DAL,W 27-13,1,1,Sun,1,8,0,1,CarpKe20
Kevin Carter,LDE,29.351,2003-09-07,NFL,TEN,,OAK,W 25-20,1,1,Sun,0,0,0,1,CartKe00
Corey Chavous,SS,27.235,2003-09-07,NFL,MIN,@,GNB,W 30-25,1,1,Sun,2,16,0,2,ChavCo00
Nate Clements,RCB,23.269,2003-09-07,NFL,BUF,,NWE,W 31-0,1,1,Sun,1,0,0,2,ClemNa99
Marcus Coleman,RCB,29.106,2003-09-07,NFL,HOU,@,MIA,W 21-20,1,1,Sun,2,3,0,3,ColeMa20
Phillip Daniels,LDE,30.187,2003-09-07,NFL,CHI,@,SFO,L 7-49,1,1,Sun,,,,1,DaniPh20
Donovin Darius,SS,28.026,2003-09-07,NFL,JAX,@,CAR,L 23-24,1,1,Sun,,,,1,DariDo20
Na'il Diggs,WLB,25.061,2003-09-07,NFL,GNB,,MIN,L 25-30,1,1,Sun,,,,1,DiggNa20
