Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Sack,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,unique_id
Keith Adams,LB,26.289,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,0.0,0,1,1,0,0,AdamKe20
Will Allen,LCB,28.033,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,0.0,2,1,3,1,0,AlleWi20
Rodney Bailey,DE,26.335,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,0.0,1,1,2,0,0,BailRo21
Yeremiah Bell,S,28.188,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,0.0,3,0,3,0,0,BellYe20
David Bowens,DE,29.066,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,0.0,1,1,2,0,0,BoweDa20
Kevin Carter,LDE,32.351,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,1.0,2,2,4,0,0,CartKe00
Tyrone Carter,S,30.160,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,0.0,1,2,3,0,0,CartTy20
Ryan Clark,FS,26.330,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,0.0,4,0,4,0,0,ClarRy20
Ricardo Colclough,CB,22.346,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,0.0,1,0,1,0,0,ColcRi20
Channing Crowder,WLB,22.279,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,0.0,3,1,4,0,0,CrowCh20
James Farrior,RILB,31.244,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,1.0,5,2,7,1,2,FarrJa99
Larry Foote,ROLB,26.087,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,0.0,1,2,3,0,0,FootLa20
Andre' Goodman,RCB,28.027,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,0.0,3,1,4,0,0,GoodAn20
Clark Haggans,LILB,29.240,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,0.0,3,4,7,0,0,HaggCl20
Casey Hampton,NT,29.004,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,0.0,2,0,2,1,0,HampCa00
Arnold Harrison,LB,23.352,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,0.0,1,0,1,0,0,HarrAr21
James Harrison,LB,28.126,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,0.0,2,0,2,0,0,HarrJa23
Verron Haynes,RB,27.202,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,0.0,1,1,2,0,0,HaynVe00
Renaldo Hill,FS,27.299,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,0.0,5,1,6,1,0,HillRe20
Vonnie Holliday,DT,30.270,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,0.0,6,2,8,0,0,HollVo20
Eddie Jackson,CB,25.262,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,0.0,1,0,1,0,0,JackEd20
Brett Keisel,DE,27.353,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,0.0,1,2,3,0,0,KeisBr20
Travis Kirschke,DE,32.001,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,0.0,0,2,2,0,0,KirsTr20
Clint Kriewaldt,LB,30.174,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,0.0,1,0,1,0,0,KrieCl20
Michael Lehan,CB,26.286,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,0.0,1,0,1,0,0,LehaMi20
Olindo Mare,K,33.093,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,0.0,1,0,1,0,0,marexoli01
Bryant McFadden,CB,24.290,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,0.0,1,0,1,0,0,McFaBr20
Travis Minor,RB,27.069,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,0.0,1,0,1,0,0,MinoTr00
Sean Morey,WR,30.193,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,0.0,1,0,1,0,0,MoreSe00
Troy Polamalu,SS,25.141,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,0.0,4,6,10,0,0,PolaTr99
Joey Porter,LOLB,29.169,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,2.0,2,1,3,2,2,PortJo00
Matt Roth,DE,23.328,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,0.0,1,0,1,0,0,RothMa20
Aaron Smith,DE,30.141,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,0.0,3,1,4,0,0,SmitAa99
Anthony Smith,S,22.352,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,0.0,1,2,3,0,0,SmitAn21
Donnie Spragan,SLB,30.057,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,0.0,3,2,5,0,0,SpraDo20
Ike Taylor,LCB,26.125,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,0.0,3,3,6,1,0,TaylIk20
Jason Taylor*,OE,32.006,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,1.0,2,1,3,1,1,TaylJa03
Zach Thomas,MLB,33.006,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,0.0,8,4,12,0,0,ThomZa01
Travares Tillman,SS,28.334,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,0.0,5,4,9,0,0,TillTr20
Keith Traylor,NT,37.004,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,1.0,4,0,4,3,1,TrayKe20
