Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fmb,Fumble Forced,FR,FR Yds,FR TD,unique_id
C.J. Ah You,DE,28.067,2010-09-12,NFL,STL,,ARI,L 13-17,1,1,Sun,0,1,0,0,0,AhYoC.00
O.J. Atogwe,FS,29.081,2010-09-12,NFL,STL,,ARI,L 13-17,1,1,Sun,0,1,0,0,0,AtogO.20
Jason Babin,DE,30.111,2010-09-12,NFL,TEN,,OAK,W 38-13,1,1,Sun,0,1,0,0,0,BabiJa20
Alan Ball,FS,25.167,2010-09-12,NFL,DAL,@,WAS,L 7-13,1,1,Sun,0,1,0,0,0,BallAl99
Lance Briggs,WLB,29.304,2010-09-12,NFL,CHI,,DET,W 19-14,1,1,Sun,0,1,1,0,0,BrigLa99
C.C. Brown,SS,27.228,2010-09-12,NFL,DET,@,CHI,L 14-19,1,1,Sun,0,1,0,0,0,BrowC.20
Red Bryant,RDE,26.147,2010-09-12,NFL,SEA,,SFO,W 31-6,1,1,Sun,0,1,0,0,0,BryaRe99
Louis Delmas,FS,23.153,2010-09-12,NFL,DET,@,CHI,L 14-19,1,1,Sun,0,1,0,0,0,DelmLo99
Andrew Economos,LS,28.080,2010-09-12,NFL,TAM,,CLE,W 17-14,1,1,Sun,0,1,0,0,0,EconAn20
Jacob Ford,DE,27.054,2010-09-12,NFL,TEN,,OAK,W 38-13,1,1,Sun,0,1,0,0,0,FordJa99
Larry Grant,WLB,25.208,2010-09-12,NFL,STL,,ARI,L 13-17,1,1,Sun,0,2,1,0,0,GranLa99
DeAngelo Hall,LCB,26.297,2010-09-12,NFL,WAS,,DAL,W 13-7,1,1,Sun,0,1,1,32,1,HallDe99
Greg Hardy,DE,22.046,2010-09-12,NFL,CAR,@,NYG,L 18-31,1,1,Sun,0,1,0,0,0,HardGr99
Chris Houston,LCB,25.329,2010-09-12,NFL,DET,@,CHI,L 14-19,1,1,Sun,0,1,0,0,0,HousCh99
Thomas Howard,LB,27.060,2010-09-12,NFL,OAK,@,TEN,L 13-38,1,1,Sun,0,1,0,0,0,HowaTh20
Josh Hull,LB,23.114,2010-09-12,NFL,STL,,ARI,L 13-17,1,1,Sun,0,1,0,0,0,HullJo99
Mathias Kiwanuka,WLB,27.188,2010-09-12,NFL,NYG,,CAR,W 31-18,1,1,Sun,0,1,0,0,0,KiwaMa20
Clay Matthews,LB,24.121,2010-09-12,NFL,GNB,@,PHI,W 27-20,1,1,Sun,0,1,0,0,0,MattCl99
Turk McBride,DE,25.105,2010-09-12,NFL,DET,@,CHI,L 14-19,1,1,Sun,0,1,0,0,0,McBrTu99
Gerald McCoy,DT,22.199,2010-09-12,NFL,TAM,,CLE,W 17-14,1,1,Sun,0,1,0,0,0,McCoGe99
Ryan Mouton,CB,23.354,2010-09-12,NFL,TEN,,OAK,W 38-13,1,1,Sun,0,1,0,0,0,MoutRy99
Julius Peppers,RDE,30.237,2010-09-12,NFL,CHI,,DET,W 19-14,1,1,Sun,0,1,0,0,0,PeppJu99
Bernard Pollard,SS,25.263,2010-09-12,NFL,HOU,,IND,W 34-24,1,1,Sun,0,1,0,0,0,PollBe20
Barrett Ruud,MLB,27.115,2010-09-12,NFL,TAM,,CLE,W 17-14,1,1,Sun,0,1,0,0,0,RuudBa20
James Sanders,S,26.305,2010-09-12,NFL,NWE,,CIN,W 38-24,1,1,Sun,0,1,0,0,0,SandJa21
Daryl Smith,LB,28.182,2010-09-12,NFL,JAX,,DEN,W 24-17,1,1,Sun,0,1,0,0,0,SmitDa24
Greg Toler,RCB,25.253,2010-09-12,NFL,ARI,@,STL,W 17-13,1,1,Sun,0,1,0,0,0,ToleGr99
Osi Umenyiora,RDE,28.300,2010-09-12,NFL,NYG,,CAR,W 31-18,1,1,Sun,0,1,0,0,0,UmenOs99
T.J. Ward,S,23.274,2010-09-12,NFL,CLE,@,TAM,L 14-17,1,1,Sun,0,1,0,0,0,WardT.99
Kamerion Wimbley,OLB,26.334,2010-09-12,NFL,OAK,@,TEN,L 13-38,1,1,Sun,0,1,0,0,0,WimbKa20
Charles Woodson,CB,33.340,2010-09-12,NFL,GNB,@,PHI,W 27-20,1,1,Sun,0,1,0,0,0,WoodCh00
Shaun Ellis,END,33.081,2010-09-13,NFL,NYJ,,BAL,L 9-10,1,1,Mon,0,1,0,0,0,ElliSh00
Derrick Johnson,RILB,27.295,2010-09-13,NFL,KAN,,SDG,W 21-14,1,1,Mon,0,1,0,0,0,JohnDe25
David Reed,WR,23.175,2010-09-13,NFL,BAL,@,NYJ,W 10-9,1,1,Mon,0,1,0,0,0,ReedDa00
Bart Scott,WILL,30.026,2010-09-13,NFL,NYJ,,BAL,L 9-10,1,1,Mon,0,1,0,0,0,ScotBa20
Terrell Suggs,RUSH,27.337,2010-09-13,NFL,BAL,@,NYJ,W 10-9,1,1,Mon,0,1,0,0,0,SuggTe99
Antwan Applewhite,LB,24.262,2010-09-19,NFL,SDG,,JAX,W 38-13,2,2,Sun,0,1,0,0,0,ApplAn99
Jonathan Babineaux,DT,28.342,2010-09-19,NFL,ATL,,ARI,W 41-7,2,2,Sun,0,1,0,0,0,BabiJo20
Antoine Cason,RCB,24.072,2010-09-19,NFL,SDG,,JAX,W 38-13,2,2,Sun,0,1,0,0,0,CasoAn99
