Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Int Ret,Int Ret Yds,Int Ret TD,Pass Broken Up,unique_id
Ha Ha Clinton-Dix,S,21.257,2014-09-04,NFL,GNB,@,SEA,L 16-36,1,1,Thu,0,0,0,1,ClinHa00
Byron Maxwell,RCB,26.193,2014-09-04,NFL,SEA,,GNB,W 36-16,1,1,Thu,1,21,0,2,MaxwBy00
Sam Shields,RCB,26.270,2014-09-04,NFL,GNB,@,SEA,L 16-36,1,1,Thu,0,0,0,1,ShieSa00
Earl Thomas,FS,25.120,2014-09-04,NFL,SEA,,GNB,W 36-16,1,1,Thu,0,0,0,1,ThomEa99
Kevin Williams,LDT,34.019,2014-09-04,NFL,SEA,,GNB,W 36-16,1,1,Thu,0,0,0,1,WillKe98
Tramon Williams,LCB,31.172,2014-09-04,NFL,GNB,@,SEA,L 16-36,1,1,Thu,0,0,0,1,WillTr99
Robert Alford,CB,25.310,2014-09-07,NFL,ATL,,NOR,W 37-34,1,1,Sun,0,0,0,2,AlfoRo00
Antonio Allen,CB,25.349,2014-09-07,NFL,NYJ,,OAK,W 19-14,1,1,Sun,0,0,0,1,AlleAn02
Cortez Allen,LCB,25.313,2014-09-07,NFL,PIT,,CLE,W 30-27,1,1,Sun,0,0,0,1,AlleCo00
Alan Ball,RCB,29.162,2014-09-07,NFL,JAX,@,PHI,L 17-34,1,1,Sun,1,0,0,1,BallAl99
Connor Barwin,OLB,27.327,2014-09-07,NFL,PHI,,JAX,W 34-17,1,1,Sun,0,0,0,1,BarwCo99
Bene Benwikere,CB,23.004,2014-09-07,NFL,CAR,@,TAM,W 20-14,1,1,Sun,0,0,0,1,BenwBe00
Eric Berry,SS,25.252,2014-09-07,NFL,KAN,,TEN,L 10-26,1,1,Sun,0,0,0,1,BerrEr99
Antoine Bethea,SS,30.042,2014-09-07,NFL,SFO,@,DAL,W 28-17,1,1,Sun,0,0,0,1,BethAn20
A.J. Bouye,CB,23.022,2014-09-07,NFL,HOU,,WAS,W 17-6,1,1,Sun,0,0,0,1,BouyA.00
Tyvon Branch,SS,27.270,2014-09-07,NFL,OAK,@,NYJ,L 14-19,1,1,Sun,0,0,0,1,BranTy99
Vontaze Burfict,WLB,23.348,2014-09-07,NFL,CIN,@,BAL,W 23-16,1,1,Sun,0,0,0,1,BurfVo00
Darius Butler,CB,28.173,2014-09-07,NFL,IND,@,DEN,L 24-31,1,1,Sun,0,0,0,1,ButlDa99
Bruce Carter,SLB,26.200,2014-09-07,NFL,DAL,,SFO,L 17-28,1,1,Sun,0,0,0,1,CartBr00
Tony Carter,CB,28.106,2014-09-07,NFL,DEN,,IND,W 31-24,1,1,Sun,0,0,0,1,CartTo99
Antoine Cason,LCB,28.060,2014-09-07,NFL,CAR,@,TAM,W 20-14,1,1,Sun,1,1,0,2,CasoAn99
Barry Church,SS,26.208,2014-09-07,NFL,DAL,,SFO,L 17-28,1,1,Sun,0,0,0,1,ChurBa99
Ryan Clark,FS,34.330,2014-09-07,NFL,WAS,@,HOU,L 6-17,1,1,Sun,0,0,0,1,ClarRy20
Jamie Collins,LB,24.322,2014-09-07,NFL,NWE,@,MIA,L 20-33,1,1,Sun,0,0,0,1,CollJa00
Chris Conte,FS,25.196,2014-09-07,NFL,CHI,,BUF,L 20-23,1,1,Sun,1,5,0,1,ContCh00
Perrish Cox,CB,27.240,2014-09-07,NFL,SFO,@,DAL,W 28-17,1,1,Sun,1,0,0,1,CoxxPe99
