Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,XP Made,XP Att,XP %,FG Made,FG Att,FG %,2PM,Sfty,TD,Pts,unique_id
Mason Crosby,K,27.005,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,6,6,100.0,,,,,,0,6,CrosMa20
John Kasay,K,41.316,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,4,4,100.0,2,2,100.0,,,0,10,kasayjoh01
David Akers,K,36.276,2011-09-11,NFL,SFO,,SEA,W 33-17,1,1,Sun,3,3,100.0,4,4,100.0,,,0,15,akersdav01
Dan Bailey,K,23.228,2011-09-11,NFL,DAL,@,NYJ,L 24-27,1,1,Sun,3,3,100.0,1,1,100.0,,,0,6,BailDa00
Connor Barth,K,25.153,2011-09-11,NFL,TAM,,DET,L 20-27,1,1,Sun,2,2,100.0,2,2,100.0,,,0,8,barthco01
Rob Bironas,K,33.225,2011-09-11,NFL,TEN,@,JAX,L 14-16,1,1,Sun,2,2,100.0,,1,0.0,,,0,2,bironrob01
Josh Brown,K,32.135,2011-09-11,NFL,STL,,PHI,L 13-31,1,1,Sun,1,1,100.0,2,3,66.7,,,0,7,brownjos01
Billy Cundiff,K,31.165,2011-09-11,NFL,BAL,,PIT,W 35-7,1,1,Sun,3,3,100.0,2,2,100.0,,,0,9,cundibil01
Phil Dawson,K,36.231,2011-09-11,NFL,CLE,,CIN,L 17-27,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,dawsophi01
Jay Feely,K,35.111,2011-09-11,NFL,ARI,,CAR,W 28-21,1,1,Sun,4,4,100.0,,1,0.0,,,0,4,feelyjay01
Nick Folk,K,26.310,2011-09-11,NFL,NYJ,,DAL,W 27-24,1,1,Sun,3,3,100.0,2,2,100.0,,,0,9,FolkNi20
Graham Gano,K,24.155,2011-09-11,NFL,WAS,,NYG,W 28-14,1,1,Sun,4,4,100.0,,1,0.0,,,0,4,GanoGr44
Robbie Gould,K,28.279,2011-09-11,NFL,CHI,,ATL,W 30-12,1,1,Sun,3,3,100.0,3,3,100.0,,,0,12,gouldrob01
Jason Hanson,K,41.086,2011-09-11,NFL,DET,@,TAM,W 27-20,1,1,Sun,3,3,100.0,2,2,100.0,,,0,9,hansojas01
Stephen Hauschka,K,26.074,2011-09-11,NFL,SEA,@,SFO,L 17-33,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,HausSt00
Alex Henery,K/P,24.024,2011-09-11,NFL,PHI,@,STL,W 31-13,1,1,Sun,4,4,100.0,1,1,100.0,,,0,7,HeneAl00
Rian Lindell,K,34.234,2011-09-11,NFL,BUF,@,KAN,W 41-7,1,1,Sun,5,5,100.0,2,2,100.0,,,0,11,linderia01
Ryan Longwell,K,37.026,2011-09-11,NFL,MIN,@,SDG,L 17-24,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,longwrya01
Olindo Mare,K,38.097,2011-09-11,NFL,CAR,@,ARI,L 21-28,1,1,Sun,3,3,100.0,,,,,,0,3,marexoli01
Mike Nugent,K,29.193,2011-09-11,NFL,CIN,@,CLE,W 27-17,1,1,Sun,3,3,100.0,2,2,100.0,,,0,9,nugenmik01
Neil Rackers,K,35.026,2011-09-11,NFL,HOU,,IND,W 34-7,1,1,Sun,4,4,100.0,2,2,100.0,,,0,10,rackenei01
Mike Scifres,P,30.338,2011-09-11,NFL,SDG,,MIN,W 24-17,1,1,Sun,3,3,100.0,1,1,100.0,,,0,6,ScifMi20
Josh Scobee,K,29.080,2011-09-11,NFL,JAX,,TEN,W 16-14,1,1,Sun,1,1,100.0,3,3,100.0,,,0,10,scobejos01
Ryan Succop,K,24.357,2011-09-11,NFL,KAN,,BUF,L 7-41,1,1,Sun,1,1,100.0,,1,0.0,,,0,1,SuccRy44
Shaun Suisham,K,29.256,2011-09-11,NFL,PIT,@,BAL,L 7-35,1,1,Sun,1,1,100.0,,,,,,0,1,suishsha01
Lawrence Tynes,PK,33.131,2011-09-11,NFL,NYG,@,WAS,L 14-28,1,1,Sun,2,2,100.0,,1,0.0,,,0,2,tyneslaw01
Adam Vinatieri,K,38.257,2011-09-11,NFL,IND,@,HOU,L 7-34,1,1,Sun,1,1,100.0,,1,0.0,,,0,1,vinatada01
Dan Carpenter,K,25.291,2011-09-12,NFL,MIA,,NWE,L 24-38,1,1,Mon,3,3,100.0,1,1,100.0,,,0,6,CarpDa44
Stephen Gostkowski,K,27.227,2011-09-12,NFL,NWE,@,MIA,W 38-24,1,1,Mon,5,5,100.0,1,2,50.0,,,0,8,GostSt20
Sebastian Janikowski,K,33.194,2011-09-12,NFL,OAK,@,DEN,W 23-20,1,1,Mon,2,2,100.0,3,3,100.0,,,0,11,janikseb01
Matt Prater,K,27.033,2011-09-12,NFL,DEN,,OAK,L 20-23,1,1,Mon,2,2,100.0,2,3,66.7,,,0,8,PratMa20
David Akers,K,36.283,2011-09-18,NFL,SFO,,DAL,L 24-27,2,2,Sun,3,3,100.0,1,1,100.0,,,0,6,akersdav01
Dan Bailey,K,23.235,2011-09-18,NFL,DAL,@,SFO,W 27-24,2,2,Sun,3,3,100.0,2,3,66.7,,,0,9,BailDa00
Connor Barth,K,25.160,2011-09-18,NFL,TAM,@,MIN,W 24-20,2,2,Sun,3,3,100.0,1,1,100.0,,,0,6,barthco01
