Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Kick Ret,Kick Ret Yds,Kick Ret YPA,Kick Ret TD,unique_id
Dri Archer,WR,24.032,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,1,22,22.00,0,ArchDr00
Michael Williams,TE,25.002,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,1,8,8.00,0,WillMi06
Ameer Abdullah,RB,22.092,2015-09-13,NFL,DET,@,SDG,L 28-33,1,1,Sun,3,105,35.00,0,AbduAm00
Nick Boyle,TE,22.208,2015-09-13,NFL,BAL,@,DEN,L 13-19,1,1,Sun,1,10,10.00,0,BoylNi00
Kellen Davis,TE,29.337,2015-09-13,NFL,NYJ,,CLE,W 31-10,1,1,Sun,1,13,13.00,0,DaviKe01
Knile Davis,RB,23.343,2015-09-13,NFL,KAN,@,HOU,W 27-20,1,1,Sun,1,30,30.00,0,DaviKn00
Tyeler Davison,DT,22.355,2015-09-13,NFL,NOR,@,ARI,L 19-31,1,1,Sun,1,10,10.00,0,DaviTy01
Shaun Draughn,RB,27.280,2015-09-13,NFL,CLE,@,NYJ,L 10-31,1,1,Sun,1,27,27.00,0,DrauSh00
Lance Dunbar,RB,25.231,2015-09-13,NFL,DAL,,NYG,W 27-26,1,1,Sun,3,70,23.33,0,DunbLa00
Corey Grant,RB,23.268,2015-09-13,NFL,JAX,,CAR,L 9-20,1,1,Sun,1,40,40.00,0,GranCo00
LaMichael James,RB,25.326,2015-09-13,NFL,MIA,@,WAS,W 17-10,1,1,Sun,2,54,27.00,0,JameLa00
David Johnson,RB,23.271,2015-09-13,NFL,ARI,,NOR,W 31-19,1,1,Sun,1,43,43.00,0,JohnDa08
Jacoby Jones,WR,31.064,2015-09-13,NFL,SDG,,DET,W 33-28,1,1,Sun,1,24,24.00,0,JoneJa03
Taiwan Jones,RB,27.049,2015-09-13,NFL,OAK,,CIN,L 13-33,1,1,Sun,2,61,30.50,0,JoneTa00
Tyler Lockett,WR,22.350,2015-09-13,NFL,SEA,@,STL,L 31-34,1,1,Sun,2,56,28.00,0,LockTy00
Marc Mariani,WR,28.134,2015-09-13,NFL,CHI,,GNB,L 23-31,1,1,Sun,2,48,24.00,0,MariMa00
Donte Moncrief,WR,22.038,2015-09-13,NFL,IND,@,BUF,L 14-27,1,1,Sun,1,5,5.00,0,MoncDo00
Ty Montgomery,WR,22.234,2015-09-13,NFL,GNB,@,CHI,W 31-23,1,1,Sun,3,106,35.33,0,MontTy01
Tyler Patmon,CB,24.230,2015-09-13,NFL,DAL,,NYG,W 27-26,1,1,Sun,2,26,13.00,0,PatmTy00
Isaiah Pead,RB,25.273,2015-09-13,NFL,STL,,SEA,W 34-31,1,1,Sun,3,63,21.00,0,PeadIs00
Bobby Rainey,RB,27.332,2015-09-13,NFL,TAM,,TEN,L 14-42,1,1,Sun,3,83,27.67,0,RainBo00
Aaron Ripkowski,FB,22.267,2015-09-13,NFL,GNB,@,CHI,W 31-23,1,1,Sun,1,0,0.00,0,RipkAa00
Jacquizz Rodgers,RB,25.219,2015-09-13,NFL,CHI,,GNB,L 23-31,1,1,Sun,1,15,15.00,0,RodgJa00
Bishop Sankey,RB,22.363,2015-09-13,NFL,TEN,@,TAM,W 42-14,1,1,Sun,1,17,17.00,0,SankBi00
Lee Smith,TE,27.296,2015-09-13,NFL,OAK,,CIN,L 13-33,1,1,Sun,1,8,8.00,0,SmitLe00
Brandon Tate,WR,27.343,2015-09-13,NFL,CIN,@,OAK,W 33-13,1,1,Sun,2,14,7.00,0,TateBr00
Marcus Thigpen,WR,29.121,2015-09-13,NFL,BUF,,IND,W 27-14,1,1,Sun,1,0,0.00,0,ThigMa00
Chris Thompson,RB,24.328,2015-09-13,NFL,WAS,,MIA,L 10-17,1,1,Sun,1,36,36.00,0,ThomCh03
Tyler Varga,RB,21.354,2015-09-13,NFL,IND,@,BUF,L 14-27,1,1,Sun,2,53,26.50,0,VargTy00
Cordarrelle Patterson,WR,24.181,2015-09-14,NFL,MIN,@,SFO,L 3-20,1,1,Mon,1,21,21.00,0,PattCo00
Eric Weems,WR,30.072,2015-09-14,NFL,ATL,,PHI,W 26-24,1,1,Mon,3,59,19.67,0,WeemEr00
Andre Caldwell,WR,30.155,2015-09-17,NFL,DEN,@,KAN,W 31-24,2,2,Thu,1,21,21.00,0,CaldAn00
Knile Davis,RB,23.347,2015-09-17,NFL,KAN,,DEN,L 24-31,2,2,Thu,1,21,21.00,0,DaviKn00
Ameer Abdullah,RB,22.099,2015-09-20,NFL,DET,@,MIN,L 16-26,2,2,Sun,3,84,28.00,0,AbduAm00
Michael Campanaro,WR,24.238,2015-09-20,NFL,BAL,@,OAK,L 33-37,2,2,Sun,1,29,29.00,0,CampMi02
Benny Cunningham,RB,25.075,2015-09-20,NFL,STL,@,WAS,L 10-24,2,2,Sun,1,28,28.00,0,CunnBe01
Shaun Draughn,RB,27.287,2015-09-20,NFL,CLE,,TEN,W 28-14,2,2,Sun,1,31,31.00,0,DrauSh00
Lance Dunbar,RB,25.238,2015-09-20,NFL,DAL,@,PHI,W 20-10,2,2,Sun,1,31,31.00,0,DunbLa00
Corey Grant,RB,23.275,2015-09-20,NFL,JAX,,MIA,W 23-20,2,2,Sun,2,46,23.00,0,GranCo00
Dwayne Harris,WR,28.004,2015-09-20,NFL,NYG,,ATL,L 20-24,2,2,Sun,2,77,38.50,0,HarrDw00
Percy Harvin,WR,27.115,2015-09-20,NFL,BUF,,NWE,L 32-40,2,2,Sun,2,45,22.50,0,HarvPe00
Josh Huff,WR,23.341,2015-09-20,NFL,PHI,,DAL,L 10-20,2,2,Sun,1,21,21.00,0,HuffJo00
Tony Jerod-Eddie,DT,25.175,2015-09-20,NFL,SFO,@,PIT,L 18-43,2,2,Sun,1,11,11.00,0,JeroTo00
David Johnson,RB,23.278,2015-09-20,NFL,ARI,@,CHI,W 48-23,2,2,Sun,1,108,108.00,1,JohnDa08
Adam Jones,RCB,31.355,2015-09-20,NFL,CIN,,SDG,W 24-19,2,2,Sun,2,45,22.50,0,JonePa20
Tyler Lockett,WR,22.357,2015-09-20,NFL,SEA,@,GNB,L 17-27,2,2,Sun,4,79,19.75,0,LockTy00
Marc Mariani,WR,28.141,2015-09-20,NFL,CHI,,ARI,L 23-48,2,2,Sun,3,86,28.67,0,MariMa00
Ty Montgomery,WR,22.241,2015-09-20,NFL,GNB,,SEA,W 27-17,2,2,Sun,1,19,19.00,0,MontTy01
Raheem Mostert,RB,23.164,2015-09-20,NFL,MIA,@,JAX,L 20-23,2,2,Sun,2,57,28.50,0,MostRa00
Marcus Murphy,RB,24.194,2015-09-20,NFL,NOR,,TAM,L 19-26,2,2,Sun,1,23,23.00,0,MurpMa03
Branden Oliver,RB,24.136,2015-09-20,NFL,SDG,@,CIN,L 19-24,2,2,Sun,3,71,23.67,0,OlivBr01
Cordarrelle Patterson,WR,24.187,2015-09-20,NFL,MIN,,DET,W 26-16,2,2,Sun,2,62,31.00,0,PattCo00
Bobby Rainey,RB,27.339,2015-09-20,NFL,TAM,@,NOR,W 26-19,2,2,Sun,1,37,37.00,0,RainBo00
Rashad Ross,WR,25.230,2015-09-20,NFL,WAS,,STL,W 24-10,2,2,Sun,1,23,23.00,0,RossRa00
Brandon Tate,WR,27.350,2015-09-20,NFL,CIN,,SDG,W 24-19,2,2,Sun,1,29,29.00,0,TateBr00
Terron Ward,RB,23.217,2015-09-20,NFL,ATL,@,NYG,W 24-20,2,2,Sun,1,10,10.00,0,WardTe00
Eric Weems,WR,30.078,2015-09-20,NFL,ATL,@,NYG,W 24-20,2,2,Sun,1,21,21.00,0,WeemEr00
DeAndrew White,WR,23.339,2015-09-20,NFL,SFO,@,PIT,L 18-43,2,2,Sun,2,47,23.50,0,WhitDe01
Fozzy Whittaker,RB,26.230,2015-09-20,NFL,CAR,,HOU,W 24-17,2,2,Sun,1,33,33.00,0,WhitFo00
Kerwynn Williams,RB,24.103,2015-09-20,NFL,ARI,@,CHI,W 48-23,2,2,Sun,1,9,9.00,0,WillKe05
Chandler Worthy,WR,22.005,2015-09-20,NFL,HOU,@,CAR,L 17-24,2,2,Sun,1,27,27.00,0,WortCh00
Tyler Varga,RB,21.362,2015-09-21,NFL,IND,,NYJ,L 7-20,2,2,Mon,4,98,24.50,0,VargTy00
Dwayne Harris,WR,28.008,2015-09-24,NFL,NYG,,WAS,W 32-21,3,3,Thu,1,13,13.00,0,HarrDw00
Rashad Ross,WR,25.234,2015-09-24,NFL,WAS,@,NYG,L 21-32,3,3,Thu,4,158,39.50,1,RossRa00
Shane Vereen,RB,26.145,2015-09-24,NFL,NYG,,WAS,W 32-21,3,3,Thu,1,4,4.00,0,VereSh00
Kenjon Barner,RB,25.152,2015-09-27,NFL,PHI,@,NYJ,W 24-17,3,3,Sun,1,10,10.00,0,BarnKe00
Michael Campanaro,WR,24.245,2015-09-27,NFL,BAL,,CIN,L 24-28,3,3,Sun,1,26,26.00,0,CampMi02
Benny Cunningham,RB,25.082,2015-09-27,NFL,STL,,PIT,L 6-12,3,3,Sun,2,48,24.00,0,CunnBe01
Quintin Demps,SS,30.090,2015-09-27,NFL,HOU,,TAM,W 19-9,3,3,Sun,2,46,23.00,0,DempQu99
Shaun Draughn,RB,27.294,2015-09-27,NFL,CLE,,OAK,L 20-27,3,3,Sun,1,19,19.00,0,DrauSh00
Lance Dunbar,RB,25.245,2015-09-27,NFL,DAL,,ATL,L 28-39,3,3,Sun,1,28,28.00,0,DunbLa00
Corey Grant,RB,23.282,2015-09-27,NFL,JAX,@,NWE,L 17-51,3,3,Sun,2,41,20.50,0,GranCo00
Abry Jones,DT,24.019,2015-09-27,NFL,JAX,@,NWE,L 17-51,3,3,Sun,1,0,0.00,0,JoneAb00
Adam Jones,RCB,31.362,2015-09-27,NFL,CIN,@,BAL,W 28-24,3,3,Sun,1,32,32.00,0,JonePa20
Taiwan Jones,RB,27.063,2015-09-27,NFL,OAK,@,CLE,W 27-20,3,3,Sun,2,60,30.00,0,JoneTa00
Jarvis Landry,WR,22.303,2015-09-27,NFL,MIA,,BUF,L 14-41,3,3,Sun,1,18,18.00,0,LandJa00
Tyler Lockett,FB,22.364,2015-09-27,NFL,SEA,,CHI,W 26-0,3,3,Sun,1,105,105.00,1,LockTy00
Marc Mariani,WR,28.148,2015-09-27,NFL,CHI,@,SEA,L 0-26,3,3,Sun,1,27,27.00,0,MariMa00
Marcus Murphy,RB,24.201,2015-09-27,NFL,NOR,@,CAR,L 22-27,3,3,Sun,3,72,24.00,0,MurpMa03
Branden Oliver,RB,24.143,2015-09-27,NFL,SDG,@,MIN,L 14-31,3,3,Sun,1,19,19.00,0,OlivBr01
Cordarrelle Patterson,WR,24.194,2015-09-27,NFL,MIN,,SDG,W 31-14,3,3,Sun,2,53,26.50,0,PattCo00
Patrick Peterson,CB,25.078,2015-09-27,NFL,ARI,,SFO,W 47-7,3,3,Sun,1,24,24.00,0,PetePa00
