Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Kick Ret,Kick Ret Yds,Kick Ret YPA,Kick Ret TD,unique_id
Percy Harvin,WR,22.104,2010-09-09,NFL,MIN,@,NOR,L 9-14,1,1,Thu,2,41,20.50,0,HarvPe00
Courtney Roby,WR,27.242,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,3,70,23.33,0,RobyCo00
Danny Amendola,WR,24.314,2010-09-12,NFL,STL,,ARI,L 13-17,1,1,Sun,1,22,22.00,0,AmenDa00
Marcus Benard,OLB,25.048,2010-09-12,NFL,CLE,@,TAM,L 14-17,1,1,Sun,1,11,11.00,0,BenaMa00
Patrick Cobbs,RB,27.224,2010-09-12,NFL,MIA,@,BUF,W 15-10,1,1,Sun,1,12,12.00,0,CobbPa00
Quan Cosby,WR,27.263,2010-09-12,NFL,CIN,@,NWE,L 24-38,1,1,Sun,1,18,18.00,0,CosbQu00
Perrish Cox,CB,23.245,2010-09-12,NFL,DEN,@,JAX,L 17-24,1,1,Sun,3,62,20.67,0,CoxxPe99
Josh Cribbs,WR,27.095,2010-09-12,NFL,CLE,@,TAM,L 14-17,1,1,Sun,3,46,15.33,0,CribJo01
Yamon Figurs,WR,27.245,2010-09-12,NFL,OAK,@,TEN,L 13-38,1,1,Sun,5,105,21.00,0,FiguYa00
Mardy Gilyard,WR,23.284,2010-09-12,NFL,STL,,ARI,L 13-17,1,1,Sun,1,34,34.00,0,GilyMa00
Ted Ginn,WR,25.153,2010-09-12,NFL,SFO,@,SEA,L 6-31,1,1,Sun,3,54,18.00,0,GinnTe00
Mike Goodson,RB,23.112,2010-09-12,NFL,CAR,@,NYG,L 18-31,1,1,Sun,5,117,23.40,0,GoodMi00
Ellis Hobbs,CB,27.119,2010-09-12,NFL,PHI,,GNB,L 20-27,1,1,Sun,4,93,23.25,0,HobbEl20
Adam Jones,CB,26.347,2010-09-12,NFL,CIN,@,NWE,L 24-38,1,1,Sun,2,37,18.50,0,JonePa20
