Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fmb,Fumble Forced,FR,FR Yds,FR TD,unique_id
Dee Ford,ROLB,26.172,2017-09-07,NFL,KAN,@,NWE,W 42-27,1,1,Thu,0,1,0,0,0,FordDe00
Jordan Richards,DB,24.229,2017-09-07,NFL,NWE,,KAN,L 27-42,1,1,Thu,0,1,0,0,0,RichJo00
Darius Butler,FS,31.176,2017-09-10,NFL,IND,@,LAR,L 9-46,1,1,Sun,0,1,0,0,0,ButlDa99
Jamie Collins,SAM,27.325,2017-09-10,NFL,CLE,,PIT,L 18-21,1,1,Sun,0,1,0,0,0,CollJa00
Fletcher Cox,DT,26.271,2017-09-10,NFL,PHI,@,WAS,W 30-17,1,1,Sun,0,1,1,20,1,CoxxFl00
Mike Daniels,DT,28.128,2017-09-10,NFL,GNB,,SEA,W 17-9,1,1,Sun,0,1,0,0,0,DaniMi00
Dante Fowler,DE,23.038,2017-09-10,NFL,JAX,@,HOU,W 29-7,1,1,Sun,0,1,1,53,1,FowlDa00
Brandon Graham,DE,29.160,2017-09-10,NFL,PHI,@,WAS,W 30-17,1,1,Sun,0,1,0,0,0,GrahBr99
Wes Horton,DE,27.267,2017-09-10,NFL,CAR,@,SFO,W 23-3,1,1,Sun,0,1,0,0,0,HortWe00
Trumaine Johnson,LCB,27.252,2017-09-10,NFL,LAR,,IND,W 46-9,1,1,Sun,0,1,1,0,0,JohnTr05
Damontae Kazee,S,24.097,2017-09-10,NFL,ATL,@,CHI,W 23-17,1,1,Sun,0,1,0,0,0,KazeDa00
Cory Littleton,OLB,23.296,2017-09-10,NFL,LAR,,IND,W 46-9,1,1,Sun,0,1,0,0,0,LittCo01
Benardrick McKinney,WILL,24.295,2017-09-10,NFL,HOU,,JAX,L 7-29,1,1,Sun,0,1,0,0,0,McKiBe00
Yannick Ngakoue,DE,22.163,2017-09-10,NFL,JAX,@,HOU,W 29-7,1,1,Sun,0,2,1,0,0,NgakYa00
Brian Orakpo,OLB,31.041,2017-09-10,NFL,TEN,,OAK,L 16-26,1,1,Sun,0,1,0,0,0,OrakBr99
Glover Quin,FS,31.238,2017-09-10,NFL,DET,,ARI,W 35-23,1,1,Sun,0,1,0,0,0,QuinGl99
A'Shawn Robinson,DT,22.173,2017-09-10,NFL,DET,,ARI,W 35-23,1,1,Sun,0,1,0,0,0,RobiAS00
Rashard Robinson,LCB,22.049,2017-09-10,NFL,SFO,,CAR,L 3-23,1,1,Sun,0,1,1,2,0,RobiRa00
Logan Ryan,CB,26.213,2017-09-10,NFL,TEN,,OAK,L 16-26,1,1,Sun,0,1,0,0,0,RyanLo00
Jaylon Smith,MLB,22.088,2017-09-10,NFL,DAL,,NYG,W 19-3,1,1,Sun,0,1,0,0,0,SmitJa05
Terrell Suggs,OLB,34.334,2017-09-10,NFL,BAL,@,CIN,W 20-0,1,1,Sun,0,1,0,0,0,SuggTe99
A.J. Klein,SAM,26.043,2017-09-11,NFL,NOR,@,MIN,L 19-29,1,1,Mon,0,1,0,0,0,KleiAJ00
Korey Toomer,MIKE,28.276,2017-09-11,NFL,LAC,@,DEN,L 21-24,1,1,Mon,0,1,0,0,0,ToomKo00
Kareem Jackson,CB,29.157,2017-09-14,NFL,HOU,@,CIN,W 13-9,2,2,Thu,0,1,0,0,0,JackKa99
Vic Beasley,LB,25.071,2017-09-17,NFL,ATL,,GNB,W 34-23,2,2,Sun,0,1,0,0,0,BeasVi00
Josh Bynes,LB,28.024,2017-09-17,NFL,ARI,@,IND,W 16-13,2,2,Sun,0,1,0,0,0,ByneJo00
William Gay,FS,32.259,2017-09-17,NFL,PIT,,MIN,W 26-9,2,2,Sun,0,1,0,0,0,GayxWi99
Jeff Heath,SS,26.126,2017-09-17,NFL,DAL,@,DEN,L 17-42,2,2,Sun,0,1,0,0,0,HeatJe00
Chandler Jones,SAM,27.202,2017-09-17,NFL,ARI,@,IND,W 16-13,2,2,Sun,0,1,0,0,0,JoneCh03
Chris Jones,DL,23.076,2017-09-17,NFL,KAN,,PHI,W 27-20,2,2,Sun,0,2,0,0,0,JoneCh09
Karl Joseph,SS,24.009,2017-09-17,NFL,OAK,,NYJ,W 45-20,2,2,Sun,0,1,1,0,0,JoseKa00
Ryan Kerrigan,WLB,29.032,2017-09-17,NFL,WAS,@,LAR,W 27-20,2,2,Sun,0,1,0,0,0,KerrRy00
Luke Kuechly,MLB,26.150,2017-09-17,NFL,CAR,,BUF,W 9-3,2,2,Sun,0,1,0,0,0,KuecLu00
Demarcus Lawrence,DE,25.142,2017-09-17,NFL,DAL,@,DEN,L 17-42,2,2,Sun,0,1,0,0,0,LawrDe00
Jason McCourty,CB,30.035,2017-09-17,NFL,CLE,@,BAL,L 10-24,2,2,Sun,0,1,0,0,0,McCoJa99
Pernell McPhee,LB,28.274,2017-09-17,NFL,CHI,@,TAM,L 7-29,2,2,Sun,0,1,0,0,0,McPhPe00
Josh Norman,CB,29.276,2017-09-17,NFL,WAS,@,LAR,W 27-20,2,2,Sun,0,2,0,0,0,NormJo01
Brian Orakpo,OLB,31.048,2017-09-17,NFL,TEN,@,JAX,W 37-16,2,2,Sun,0,1,0,0,0,OrakBr99
Nickell Robey-Coleman,RCB,25.243,2017-09-17,NFL,LAR,,WAS,L 20-27,2,2,Sun,0,1,0,0,0,RobeNi00
LeShaun Sims,CB,23.364,2017-09-17,NFL,TEN,@,JAX,W 37-16,2,2,Sun,0,1,0,0,0,SimsLe00
Buster Skrine,CB,28.144,2017-09-17,NFL,NYJ,@,OAK,L 20-45,2,2,Sun,0,1,0,0,0,SkriBu00
Ryan Smith,CB,24.010,2017-09-17,NFL,TAM,,CHI,W 29-7,1,2,Sun,0,1,0,0,0,SmitRy00
