Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fmb,Fumble Forced,FR,FR Yds,FR TD,unique_id
Shaun Phillips,SLB,32.115,2013-09-05,NFL,DEN,,BAL,W 49-27,1,1,Thu,0,1,0,0,0,PhilSh20
Jimmy Smith,RCB,25.041,2013-09-05,NFL,BAL,@,DEN,L 27-49,1,1,Thu,0,1,0,0,0,SmitJi03
Sam Acho,SAM,25.002,2013-09-08,NFL,ARI,@,STL,L 24-27,1,1,Sun,0,1,0,0,0,AchoSa00
Kiko Alonso,MLB,23.025,2013-09-08,NFL,BUF,,NWE,L 21-23,1,1,Sun,0,1,1,13,0,AlonKi00
Kyle Arrington,DB,27.027,2013-09-08,NFL,NWE,@,BUF,W 23-21,1,1,Sun,0,2,0,0,0,ArriKy00
NaVorro Bowman,ILB,25.164,2013-09-08,NFL,SFO,,GNB,W 34-28,1,1,Sun,0,1,0,0,0,BowmNa99
Jonathan Casillas,LB,26.097,2013-09-08,NFL,TAM,@,NYJ,L 17-18,1,1,Sun,0,1,0,0,0,CasiJo99
Barry Church,FS,25.209,2013-09-08,NFL,DAL,,NYG,W 36-31,1,1,Sun,0,1,1,27,1,ChurBa99
Mason Foster,MLB,24.191,2013-09-08,NFL,TAM,@,NYJ,L 17-18,1,1,Sun,0,1,0,0,0,FostMa00
Matt Giordano,S,30.327,2013-09-08,NFL,STL,,ARI,W 27-24,1,1,Sun,0,1,0,0,0,GiorMa20
David Harris,MIKE,29.230,2013-09-08,NFL,NYJ,,TAM,W 18-17,1,1,Sun,0,1,0,0,0,HarrDa99
Nick Hayden,DT,27.216,2013-09-08,NFL,DAL,,NYG,W 36-31,1,1,Sun,0,1,0,0,0,HaydNi99
Jaiquawn Jarrett,S,23.352,2013-09-08,NFL,NYJ,,TAM,W 18-17,1,1,Sun,0,1,0,0,0,JarrJa00
Malcolm Jenkins,S,25.262,2013-09-08,NFL,NOR,,ATL,W 23-17,1,1,Sun,0,1,0,0,0,JenkMa99
Tim Jennings,LCB,29.258,2013-09-08,NFL,CHI,,CIN,W 24-21,1,1,Sun,0,2,1,0,0,JennTi20
Charles Johnson,LDE,27.060,2013-09-08,NFL,CAR,,SEA,L 7-12,1,1,Sun,0,1,1,0,0,JohnCh98
Linval Joseph,LDT,24.333,2013-09-08,NFL,NYG,@,DAL,L 31-36,1,1,Sun,0,1,0,0,0,JoseLi99
Keenan Lewis,RCB,27.114,2013-09-08,NFL,NOR,,ATL,W 23-17,1,1,Sun,0,1,0,0,0,LewiKe96
Tyrann Mathieu,S,21.118,2013-09-08,NFL,ARI,@,STL,L 24-27,1,1,Sun,0,1,0,0,0,MathTy00
Byron Maxwell,CB,25.197,2013-09-08,NFL,SEA,@,CAR,W 12-7,1,1,Sun,0,1,0,0,0,MaxwBy00
Alec Ogletree,LLB,21.348,2013-09-08,NFL,STL,,ARI,W 27-24,1,1,Sun,0,1,0,0,0,OgleAl00
Robert Quinn,RDE,23.113,2013-09-08,NFL,STL,,ARI,W 27-24,1,1,Sun,0,2,0,0,0,QuinRo00
Josh Robinson,LCB,22.243,2013-09-08,NFL,MIN,@,DET,L 24-34,1,1,Sun,0,1,0,0,0,RobiJo01
Derrick Shelby,DE,24.188,2013-09-08,NFL,MIA,@,CLE,W 23-10,1,1,Sun,0,1,0,0,0,ShelDe00
Earl Thomas,FS,24.124,2013-09-08,NFL,SEA,@,CAR,W 12-7,1,1,Sun,0,1,0,0,0,ThomEa99
Trent Cole,ROLB,30.339,2013-09-09,NFL,PHI,@,WAS,W 33-27,1,1,Mon,0,1,0,0,0,ColeTr20
Ryan Kerrigan,LOLB,25.024,2013-09-09,NFL,WAS,,PHI,L 27-33,1,1,Mon,0,1,0,0,0,KerrRy00
Josh Wilson,RCB,28.182,2013-09-09,NFL,WAS,,PHI,L 27-33,1,1,Mon,0,1,0,0,0,WilsJo99
Rob Ninkovich,LDE,29.223,2013-09-12,NFL,NWE,,NYJ,W 13-10,2,2,Thu,0,1,0,0,0,NinkRo20
Aqib Talib,LCB,27.211,2013-09-12,NFL,NWE,,NYJ,W 13-10,2,2,Thu,0,1,0,0,0,TaliAq99
Jared Allen,RDE,31.165,2013-09-15,NFL,MIN,@,CHI,L 30-31,2,2,Sun,0,1,0,0,0,AlleJa22
Prince Amukamara,RCB,24.101,2013-09-15,NFL,NYG,,DEN,L 23-41,2,2,Sun,0,1,0,0,0,AmukPr00
Colt Anderson,S,27.325,2013-09-15,NFL,PHI,,SDG,L 30-33,2,2,Sun,0,1,0,0,0,AndeCo01
Cliff Avril,DE,27.160,2013-09-15,NFL,SEA,,SFO,W 29-3,2,2,Sun,0,1,0,0,0,AvriCl99
Brandon Boykin,LCB,23.064,2013-09-15,NFL,PHI,,SDG,L 30-33,2,2,Sun,0,1,0,0,0,BoykBr00
Adrian Clayborn,RDE,25.071,2013-09-15,NFL,TAM,,NOR,L 14-16,2,2,Sun,0,1,0,0,0,ClayAd00
Trent Cole,ROLB,30.345,2013-09-15,NFL,PHI,,SDG,L 30-33,2,2,Sun,0,1,0,0,0,ColeTr20
Blake Costanzo,LB,29.154,2013-09-15,NFL,CHI,,MIN,W 31-30,2,2,Sun,0,1,1,0,0,CostBl20
Johnathan Cyprien,SS,23.048,2013-09-15,NFL,JAX,@,OAK,L 9-19,2,2,Sun,0,1,0,0,0,CyprJo00
Brandon Deaderick,DE,26.027,2013-09-15,NFL,JAX,@,OAK,L 9-19,2,2,Sun,0,1,0,0,0,DeadBr99
Heath Farwell,LB,31.258,2013-09-15,NFL,SEA,,SFO,W 29-3,2,2,Sun,0,1,0,0,0,FarwHe20
Jerrell Freeman,WILL,27.137,2013-09-15,NFL,IND,,MIA,L 20-24,2,2,Sun,0,1,0,0,0,FreeJe00
Letroy Guion,NT,26.086,2013-09-15,NFL,MIN,@,CHI,L 30-31,2,2,Sun,0,1,1,0,0,GuioLe99
DeAngelo Hall,LCB,29.300,2013-09-15,NFL,WAS,@,GNB,L 20-38,2,2,Sun,0,1,0,0,0,HallDe99
Cullen Jenkins,RDT,32.238,2013-09-15,NFL,NYG,,DEN,L 23-41,2,2,Sun,0,1,0,0,0,JenkCu20
Akeem Jordan,LILB,28.029,2013-09-15,NFL,KAN,,DAL,W 17-16,2,2,Sun,0,1,0,0,0,JordAk99
Cameron Jordan,RDE,24.067,2013-09-15,NFL,NOR,@,TAM,W 16-14,2,2,Sun,0,1,0,0,0,JordCa00
Robert Mathis,RUSH,32.201,2013-09-15,NFL,IND,,MIA,L 20-24,2,2,Sun,0,1,0,0,0,MathRo20
Quintin Mikell,SS,32.364,2013-09-15,NFL,CAR,@,BUF,L 23-24,2,2,Sun,0,1,0,0,0,MikeQu20
Ron Parker,CB,26.029,2013-09-15,NFL,KAN,,DAL,W 17-16,2,2,Sun,0,1,1,0,0,ParkRo01
Craig Robertson,ILB,25.216,2013-09-15,NFL,CLE,@,BAL,L 6-14,2,2,Sun,0,1,0,0,0,RobeCr00
Derrick Shelby,DE,24.195,2013-09-15,NFL,MIA,@,IND,W 24-20,2,2,Sun,0,1,0,0,0,ShelDe00
Major Wright,SS,25.076,2013-09-15,NFL,CHI,,MIN,W 31-30,2,2,Sun,0,1,0,0,0,WrigMa99
Adam Jones,DB,29.351,2013-09-16,NFL,CIN,,PIT,W 20-10,2,2,Mon,0,1,1,0,0,JonePa20
Justin Houston,LOLB,24.250,2013-09-19,NFL,KAN,@,PHI,W 26-16,3,3,Thu,0,1,2,0,0,HousJu00
Ezekiel Ansah,DE,24.116,2013-09-22,NFL,DET,@,WAS,W 27-20,3,3,Sun,0,1,0,0,0,AnsaEz00
Lance Briggs,WLB,32.314,2013-09-22,NFL,CHI,@,PIT,W 40-23,3,3,Sun,0,1,0,0,0,BrigLa99
Antonio Cromartie,CB,29.160,2013-09-22,NFL,NYJ,,BUF,W 27-20,3,3,Sun,0,1,0,0,0,CromAn20
Johnathan Cyprien,SS,23.055,2013-09-22,NFL,JAX,@,SEA,L 17-45,3,3,Sun,0,1,0,0,0,CyprJo00
Justin Durant,LB,28.002,2013-09-22,NFL,DAL,,STL,W 31-7,3,3,Sun,0,1,0,0,0,DuraJu99
Rob Francois,LB,28.131,2013-09-22,NFL,GNB,@,CIN,L 30-34,3,3,Sun,0,1,0,0,0,FranRo99
Jerrell Freeman,WILL,27.144,2013-09-22,NFL,IND,@,SFO,W 27-7,3,3,Sun,0,1,0,0,0,FreeJe00
Andrew Gachkar,ILB,24.322,2013-09-22,NFL,SDG,@,TEN,L 17-20,3,3,Sun,0,1,0,0,0,GachAn00
William Gay,LCB,28.264,2013-09-22,NFL,PIT,,CHI,L 23-40,3,3,Sun,0,1,0,0,0,GayxWi99
D'Qwell Jackson,ILB,29.361,2013-09-22,NFL,CLE,@,MIN,W 31-27,3,3,Sun,0,1,0,0,0,JackDQ20
Michael Johnson,RDE,26.227,2013-09-22,NFL,CIN,,GNB,W 34-30,3,3,Sun,0,1,0,0,0,JohnMi98
Brad Jones,MLB,27.174,2013-09-22,NFL,GNB,@,CIN,L 30-34,3,3,Sun,0,1,1,3,0,JoneBr99
Don Jones,S,23.131,2013-09-22,NFL,MIA,,ATL,W 27-23,3,3,Sun,0,1,0,0,0,JoneDo02
Clay Matthews,ROLB,27.131,2013-09-22,NFL,GNB,@,CIN,L 30-34,3,3,Sun,0,2,0,0,0,MattCl99
Robert Quinn,RDE,23.127,2013-09-22,NFL,STL,@,DAL,L 7-31,3,3,Sun,0,1,0,0,0,QuinRo00
Kevin Reddick,ILB,23.268,2013-09-22,NFL,NOR,,ARI,W 31-7,3,3,Sun,0,1,0,0,0,ReddKe00
Jabaal Sheard,OLB,24.135,2013-09-22,NFL,CLE,@,MIN,W 31-27,3,3,Sun,0,1,1,0,0,SheaJa00
Antonio Smith,DE,31.336,2013-09-22,NFL,HOU,@,BAL,L 9-30,3,3,Sun,0,1,0,0,0,SmitAn22
Osi Umenyiora,RDE,31.310,2013-09-22,NFL,ATL,@,MIA,L 23-27,3,3,Sun,0,2,0,0,0,UmenOs99
Melvin White,CB,23.088,2013-09-22,NFL,CAR,,NYG,W 38-0,3,3,Sun,0,1,0,0,0,WhitMe00
Muhammad Wilkerson,END,23.335,2013-09-22,NFL,NYJ,,BUF,W 27-20,3,3,Sun,0,1,0,0,0,WilkMu00
D.J. Williams,MLB,31.064,2013-09-22,NFL,CHI,@,PIT,W 40-23,3,3,Sun,0,1,0,0,0,WillD.20
Major Wright,SS,25.083,2013-09-22,NFL,CHI,@,PIT,W 40-23,3,3,Sun,0,1,0,0,0,WrigMa99
Kevin Burnett,WLB,30.273,2013-09-23,NFL,OAK,@,DEN,L 21-37,3,3,Mon,0,1,0,0,0,BurnKe20
Lamarr Houston,RDE,26.091,2013-09-23,NFL,OAK,@,DEN,L 21-37,3,3,Mon,0,1,0,0,0,HousLa99
NaVorro Bowman,ILB,25.182,2013-09-26,NFL,SFO,@,STL,W 35-11,4,4,Thu,0,1,0,0,0,BowmNa99
Anthony Dixon,RB,26.002,2013-09-26,NFL,SFO,@,STL,W 35-11,4,4,Thu,0,1,0,0,0,DixoAn00
Alec Ogletree,LLB,22.001,2013-09-26,NFL,STL,,SFO,L 11-35,4,4,Thu,0,1,0,0,0,OgleAl00
Lance Briggs,WLB,32.321,2013-09-29,NFL,CHI,@,DET,L 32-40,4,4,Sun,0,1,0,0,0,BrigLa99
Zach Brown,WLB,23.341,2013-09-29,NFL,TEN,,NYJ,W 38-13,4,4,Sun,0,1,0,0,0,BrowZa00
Crezdon Butler,CB,26.126,2013-09-29,NFL,SDG,,DAL,W 30-21,4,4,Sun,0,1,0,0,0,ButlCr99
Chris Canty,DE,30.323,2013-09-29,NFL,BAL,@,BUF,L 20-23,4,4,Sun,0,2,0,0,0,CantCh21
Brian Cushing,MLB,26.248,2013-09-29,NFL,HOU,,SEA,L 20-23,4,4,Sun,0,1,0,0,0,CushBr99
London Fletcher,MLB,38.133,2013-09-29,NFL,WAS,@,OAK,W 24-14,4,4,Sun,0,1,0,0,0,FletLo20
Corey Graham,CB,28.066,2013-09-29,NFL,BAL,@,BUF,L 20-23,4,4,Sun,0,1,0,0,0,GrahCo99
Everson Griffen,DE,25.281,2013-09-29,NFL,MIN,,PIT,W 34-27,4,4,Sun,0,1,0,0,0,GrifEv99
