Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Kick Ret,Kick Ret Yds,Kick Ret YPA,Kick Ret TD,unique_id
Shelton Gibson,WR,23.170,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,2,43,21.50,0,GibsSh00
Giovani Bernard,HB,26.291,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,1,14,14.00,0,BernGi00
Antonio Callaway,WR,21.243,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,1,8,8.00,0,CallAn00
T.J. Carrie,DB,28.043,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,1,14,14.00,0,CarrTr00
Benny Cunningham,RB,28.064,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,1,18,18.00,0,CunnBe01
Alex Erickson,WR,25.307,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,1,28,28.00,0,EricAl01
Tyler Ervin,RB,24.337,2018-09-09,NFL,HOU,@,NWE,L 20-27,1,1,Sun,5,156,31.20,0,ErviTy00
Jakeem Grant,WR,25.344,2018-09-09,NFL,MIA,,TEN,W 27-20,1,1,Sun,2,125,62.50,1,GranJa00
Janarion Grant,WR,24.293,2018-09-09,NFL,BAL,,BUF,W 47-3,1,1,Sun,1,24,24.00,0,GranJa01
Adam Humphries,WR,25.077,2018-09-09,NFL,TAM,@,NOR,W 48-40,1,1,Sun,1,4,4.00,0,HumpAd00
Darius Jennings,WR,26.073,2018-09-09,NFL,TEN,@,MIA,L 20-27,1,1,Sun,2,121,60.50,1,JennDa00
Danny Johnson,CB,22.296,2018-09-09,NFL,WAS,@,ARI,W 24-6,1,1,Sun,1,24,24.00,0,JohnDa09
JJ Jones,WR,25.277,2018-09-09,NFL,LAC,,KAN,L 28-38,1,1,Sun,2,36,18.00,0,JoneJJ00
Cody Latimer,WR,25.334,2018-09-09,NFL,NYG,,JAX,L 15-20,1,1,Sun,1,15,15.00,0,LatiCo00
Tommylee Lewis,WR,25.320,2018-09-09,NFL,NOR,,TAM,L 40-48,1,1,Sun,3,69,23.00,0,LewiTo00
Tyler Lockett,WR,25.346,2018-09-09,NFL,SEA,@,DEN,L 24-27,1,1,Sun,2,39,19.50,0,LockTy00
Jaydon Mickens,WR,24.141,2018-09-09,NFL,JAX,@,NYG,W 20-15,1,1,Sun,2,45,22.50,0,MickJa01
Ty Montgomery,RB,25.230,2018-09-09,NFL,GNB,,CHI,W 24-23,1,1,Sun,2,47,23.50,0,MontTy01
Marcus Murphy,RB,27.183,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,5,165,33.00,0,MurpMa03
Zach Pascal,WR,23.265,2018-09-09,NFL,IND,,CIN,L 23-34,1,1,Sun,2,54,27.00,0,PascZa00
