Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Pass Int,QBR,Sk,Sk Yds,YPA,AYPA,unique_id
Patrick Ramsey,QB,24.202,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,17,23,73.91,185,1,1,93.6,4,18,8.04,6.96,RamsPa00
Vinny Testaverde,QB,39.295,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,15,24,62.50,105,0,0,72.4,1,4,4.38,4.38,TestVi00
Jeff Blake,QB,32.277,2003-09-07,NFL,ARI,@,DET,L 24-42,1,1,Sun,28,46,60.87,358,3,1,97.9,2,19,7.78,8.11,BlakJe00
Drew Bledsoe,QB,31.205,2003-09-07,NFL,BUF,,NWE,W 31-0,1,1,Sun,17,28,60.71,230,1,1,83.9,2,15,8.21,7.32,BledDr00
Kyle Boller,QB,22.082,2003-09-07,NFL,BAL,@,PIT,L 15-34,1,1,Sun,22,43,51.16,152,1,1,57.5,2,9,3.53,2.95,BollKy00
Tom Brady,QB,26.035,2003-09-07,NFL,NWE,@,BUF,L 0-31,1,1,Sun,14,28,50.00,123,0,4,22.5,2,20,4.39,-2.04,BradTo00
Drew Brees,QB,24.235,2003-09-07,NFL,SDG,@,KAN,L 14-27,1,1,Sun,18,33,54.55,202,2,2,68.0,3,34,6.12,4.61,BreeDr00
Aaron Brooks,QB,27.167,2003-09-07,NFL,NOR,@,SEA,L 10-27,1,1,Sun,29,47,61.70,274,1,1,76.0,2,11,5.83,5.30,BrooAa00
Mark Brunell,QB,32.355,2003-09-07,NFL,JAX,@,CAR,L 23-24,1,1,Sun,23,27,85.19,272,2,0,133.3,4,16,10.07,11.56,BrunMa00
David Carr,QB,24.048,2003-09-07,NFL,HOU,@,MIA,W 21-20,1,1,Sun,17,31,54.84,266,1,0,94.3,0,0,8.58,9.23,CarrDa00
Quincy Carter,QB,25.329,2003-09-07,NFL,DAL,,ATL,L 13-27,1,1,Sun,15,32,46.88,268,1,1,73.4,3,14,8.38,7.59,CartQu00
Kerry Collins,QB,30.251,2003-09-07,NFL,NYG,,STL,W 23-13,1,1,Sun,14,26,53.85,202,0,0,79.3,2,15,7.77,7.77,CollKe00
Daunte Culpepper,QB,26.222,2003-09-07,NFL,MIN,@,GNB,W 30-25,1,1,Sun,15,30,50.00,195,3,0,104.2,2,12,6.50,8.50,CulpDa00
Rohan Davey,QB,25.146,2003-09-07,NFL,NWE,@,BUF,L 0-31,1,1,Sun,3,7,42.86,31,0,0,56.2,0,0,4.43,4.43,DaveRo01
Jake Delhomme,QB,28.240,2003-09-07,NFL,CAR,,JAX,W 24-23,1,1,Sun,12,20,60.00,122,3,2,77.5,2,1,6.10,4.60,DelhJa00
Brett Favre*,QB,33.332,2003-09-07,NFL,GNB,,MIN,L 25-30,1,1,Sun,25,41,60.98,248,1,4,46.6,1,6,6.05,2.15,FavrBr00
Jay Fiedler,QB,31.252,2003-09-07,NFL,MIA,,HOU,L 20-21,1,1,Sun,17,32,53.13,227,3,2,81.1,2,12,7.09,6.16,FiedJa00
Jabar Gaffney,WR,22.280,2003-09-07,NFL,HOU,@,MIA,W 21-20,1,1,Sun,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,GaffJa00
Rich Gannon,QB,37.261,2003-09-07,NFL,OAK,@,TEN,L 20-25,1,1,Sun,24,38,63.16,264,2,0,101.2,4,18,6.95,8.00,GannRi00
Jeff Garcia,QB,33.195,2003-09-07,NFL,SFO,,CHI,W 49-7,1,1,Sun,19,35,54.29,229,2,1,81.7,0,0,6.54,6.40,GarcJe00
Trent Green,QB,33.060,2003-09-07,NFL,KAN,,SDG,W 27-14,1,1,Sun,21,32,65.63,282,1,1,90.9,3,23,8.81,8.03,GreeTr00
Joey Harrington,QB,24.321,2003-09-07,NFL,DET,,ARI,W 42-24,1,1,Sun,17,30,56.67,195,4,0,116.0,,,6.50,9.17,HarrJo00
