Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,unique_id
Tiki Barber,RB,25.149,2000-09-03,NFL,NYG,,ARI,W 21-16,1,1,Sun,3,18,6.00,0,BarbTi00
Reggie Barlow,WR/K,27.225,2000-09-03,NFL,JAX,@,CLE,W 27-7,1,1,Sun,3,17,5.67,0,BarlRe00
Troy Brown,WR,29.063,2000-09-03,NFL,NWE,,TAM,L 16-21,1,1,Sun,4,118,29.50,1,BrowTr00
Mac Cody,WR,28.027,2000-09-03,NFL,ARI,@,NYG,L 16-21,1,1,Sun,1,16,16.00,0,CodyMa00
Tim Dwight,WR/K,25.052,2000-09-03,NFL,ATL,,SFO,W 36-28,1,1,Sun,2,21,10.50,0,DwigTi00
Joey Galloway,WR,28.288,2000-09-03,NFL,DAL,,PHI,L 14-41,1,1,Sun,1,2,2.00,0,GallJo00
Darrien Gordon,CB,29.294,2000-09-03,NFL,OAK,,SDG,W 9-6,1,1,Sun,3,12,4.00,0,GordDa20
Jeff Graham,WR,31.202,2000-09-03,NFL,SDG,@,OAK,L 6-9,1,1,Sun,2,7,3.50,0,GrahJe00
Desmond Howard,WR,30.111,2000-09-03,NFL,DET,@,NOR,W 14-10,1,1,Sun,4,119,29.75,1,HowaDe00
MarTay Jenkins,WR,25.188,2000-09-03,NFL,ARI,@,NYG,L 16-21,1,1,Sun,1,1,1.00,0,JenkMa00
Ben Kelly,CB,21.354,2000-09-03,NFL,MIA,,SEA,W 23-0,1,1,Sun,3,13,4.33,0,KellBe20
Jermaine Lewis,,25.323,2000-09-03,NFL,BAL,@,PIT,W 16-0,1,1,Sun,5,50,10.00,0,LewiJe00
Derrick Mason,WR,26.230,2000-09-03,NFL,TEN,@,BUF,L 13-16,1,1,Sun,6,60,10.00,0,MasoDe00
Glyn Milburn,RB/K,29.197,2000-09-03,NFL,CHI,@,MIN,L 27-30,1,1,Sun,1,12,12.00,0,MilbGl00
Brian Mitchell,RB/K,32.016,2000-09-03,NFL,PHI,@,DAL,W 41-14,1,1,Sun,4,20,5.00,0,MitcBr00
Chad Morton,RB,23.152,2000-09-03,NFL,NOR,,DET,L 10-14,1,1,Sun,6,36,6.00,0,MortCh00
