Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fantasy Pts,PPR,DK Pts,FD Pts,Pass_cmp,Pass_att,Pass_yds,Pass_td,Pass_int,Run_att,Run_yds,Run_td,Rec,Rec_yds,Rec_td,Fmb,FGM,FGA,XPM,XPA,unique_id
David Akers,K,26.274,2001-09-09,NFL,PHI,,STL,L 17-20,1,1,Sun,7.00,7.0,,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,akersdav01
Stephen Alexander,TE,25.306,2001-09-09,NFL,WAS,@,SDG,L 3-30,1,1,Sun,2.30,4.3,4.3,3.3,0,0,0,0,0,0,0,0,2,23,0,0,,,,,AlexSt00
James Allen,RB,26.165,2001-09-09,NFL,CHI,@,BAL,L 6-17,1,1,Sun,7.50,15.5,15.5,11.5,0,0,0,0,0,21,43,0,8,32,0,0,,,,,AlleJa00
Terry Allen,RB,33.200,2001-09-09,NFL,BAL,,CHI,W 17-6,1,1,Sun,8.30,9.3,10.3,8.8,0,0,0,0,0,20,37,1,1,6,0,0,,,,,AlleTe00
Mike Alstott,FB,27.262,2001-09-09,NFL,TAM,@,DAL,W 10-6,1,1,Sun,2.70,6.7,6.7,4.7,0,0,0,0,0,5,12,0,4,15,0,0,,,,,AlstMi00
Gary Anderson,K,42.055,2001-09-09,NFL,MIN,,CAR,L 13-24,1,1,Sun,1.00,1.0,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,2,andergar02
Jamal Anderson,RB,28.344,2001-09-09,NFL,ATL,@,SFO,L 13-16,1,1,Sun,15.40,16.4,16.4,15.9,0,0,0,0,0,26,86,1,1,8,0,0,,,,,AndeJa00
Richie Anderson,FB,29.361,2001-09-09,NFL,NYJ,,IND,L 24-45,1,1,Sun,13.40,19.4,19.4,16.4,0,0,0,0,0,2,21,0,6,53,1,0,,,,,AndeRi00
Jake Arians,K,23.226,2001-09-09,NFL,BUF,,NOR,L 6-24,1,1,Sun,6.00,6.0,,6.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,arianjak01
Obafemi Ayanbadejo,FB,26.188,2001-09-09,NFL,BAL,,CHI,W 17-6,1,1,Sun,1.50,3.5,3.5,2.5,0,0,0,0,0,2,2,0,2,13,0,0,,,,,AyanOb00
