Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,XP Made,XP Att,XP %,FG Made,FG Att,FG %,2PM,Sfty,TD,Pts,unique_id
Doug Brien,K,32.284,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,1,1,100.0,2,2,100.0,,,0,7,briendou01
John Hall,K,29.171,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,1,1,100.0,3,3,100.0,,,0,10,hallxjoh01
Morten Andersen*,K,43.019,2003-09-07,NFL,KAN,,SDG,W 27-14,1,1,Sun,3,3,100.0,2,2,100.0,,,0,9,andermor01
Josh Brown,K,24.131,2003-09-07,NFL,SEA,,NOR,W 27-10,1,1,Sun,3,3,100.0,2,2,100.0,,,0,9,brownjos01
Matt Bryant,K,28.101,2003-09-07,NFL,NYG,,STL,W 23-13,1,1,Sun,2,2,100.0,3,3,100.0,,,0,11,bryanmat01
John Carney,K,39.140,2003-09-07,NFL,NOR,@,SEA,L 10-27,1,1,Sun,1,1,100.0,1,1,100.0,,,0,4,carnejoh01
Jeff Chandler,K,24.081,2003-09-07,NFL,SFO,,CHI,W 49-7,1,1,Sun,4,5,80.0,5,5,100.0,,,0,19,chandjef01
Steve Christie,K,35.298,2003-09-07,NFL,SDG,@,KAN,L 14-27,1,1,Sun,2,2,100.0,,,,,,0,2,chrisste01
Billy Cundiff,K,23.161,2003-09-07,NFL,DAL,,ATL,L 13-27,1,1,Sun,1,2,50.0,,1,0.0,,,0,1,cundibil01
Paul Edinger,K,25.233,2003-09-07,NFL,CHI,@,SFO,L 7-49,1,1,Sun,1,1,100.0,,,,,,0,1,edingpau01
Jason Elam,K,33.183,2003-09-07,NFL,DEN,@,CIN,W 30-10,1,1,Sun,3,3,100.0,3,3,100.0,,,0,12,elamxjas01
Aaron Elling,K,25.099,2003-09-07,NFL,MIN,@,GNB,W 30-25,1,1,Sun,3,3,100.0,3,3,100.0,,,0,12,ellinaar01
Jay Feely,K,27.107,2003-09-07,NFL,ATL,@,DAL,W 27-13,1,1,Sun,3,3,100.0,2,2,100.0,,,0,9,feelyjay01
Shayne Graham,K,25.272,2003-09-07,NFL,CIN,,DEN,L 10-30,1,1,Sun,1,1,100.0,1,1,100.0,,,0,4,grahasha01
Bill Gramatica,K,25.059,2003-09-07,NFL,ARI,@,DET,L 24-42,1,1,Sun,3,3,100.0,1,1,100.0,,,0,6,gramabil01
Jason Hanson,K,33.082,2003-09-07,NFL,DET,,ARI,W 42-24,1,1,Sun,6,6,100.0,,,,,,0,6,hansojas01
Craig Hentrich,P/K,32.112,2003-09-07,NFL,TEN,,OAK,W 25-20,1,1,Sun,1,1,100.0,3,3,100.0,,,0,10,hentrcra01
Sebastian Janikowski,K,25.189,2003-09-07,NFL,OAK,@,TEN,L 20-25,1,1,Sun,2,2,100.0,2,2,100.0,,,0,8,janikseb01
John Kasay,K,33.315,2003-09-07,NFL,CAR,,JAX,W 24-23,1,1,Sun,1,1,100.0,1,1,100.0,,,0,4,kasayjoh01
Rian Lindell,K,26.230,2003-09-07,NFL,BUF,,NWE,W 31-0,1,1,Sun,4,4,100.0,1,1,100.0,,,0,7,linderia01
Ryan Longwell,K,29.022,2003-09-07,NFL,GNB,,MIN,L 25-30,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,longwrya01
Olindo Mare,K,30.093,2003-09-07,NFL,MIA,,HOU,L 20-21,1,1,Sun,2,2,100.0,,,,,,0,2,marexoli01
Seth Marler,PK,22.164,2003-09-07,NFL,JAX,@,CAR,L 23-24,1,1,Sun,2,2,100.0,1,2,50.0,,,0,5,marleset01
Joe Nedney,K,30.169,2003-09-07,NFL,TEN,,OAK,W 25-20,1,1,Sun,,1,0.0,1,1,100.0,,,0,3,nednejoe01
Jeff Reed,K,24.151,2003-09-07,NFL,PIT,,BAL,W 34-15,1,1,Sun,4,4,100.0,2,2,100.0,,,0,10,reedxjef01
Matt Stover,K,35.223,2003-09-07,NFL,BAL,@,PIT,L 15-34,1,1,Sun,1,1,100.0,,,,,,0,1,stovemat01
Jeff Wilkins,K,31.141,2003-09-07,NFL,STL,@,NYG,L 13-23,1,1,Sun,1,1,100.0,2,2,100.0,,,0,7,wilkijef01
