Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,XP Made,XP Att,XP %,FG Made,FG Att,FG %,2PM,Sfty,TD,Pts,unique_id
Olindo Mare,K,33.093,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,2,2,100.0,1,1,100.0,,,0,5,marexoli01
Jeff Reed,K,27.151,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,4,4,100.0,,1,0.0,,,0,4,reedxjef01
David Akers,K,31.275,2006-09-10,NFL,PHI,@,HOU,W 24-10,1,1,Sun,3,3,100.0,1,1,100.0,,,0,6,akersdav01
Josh Brown,K,27.134,2006-09-10,NFL,SEA,@,DET,W 9-6,1,1,Sun,,,,3,5,60.0,,,0,9,brownjos01
Kris Brown,PK,29.261,2006-09-10,NFL,HOU,,PHI,L 10-24,1,1,Sun,1,1,100.0,1,1,100.0,,,0,4,brownkri01
John Carney,K,42.143,2006-09-10,NFL,NOR,@,CLE,W 19-14,1,1,Sun,1,1,100.0,4,4,100.0,,,0,13,carnejoh01
Jason Elam,K,36.186,2006-09-10,NFL,DEN,@,STL,L 10-18,1,1,Sun,1,1,100.0,1,1,100.0,,,0,4,elamxjas01
Jay Feely,K,30.110,2006-09-10,NFL,NYG,,IND,L 21-26,1,1,Sun,3,3,100.0,,1,0.0,,,0,3,feelyjay01
Stephen Gostkowski,K,22.225,2006-09-10,NFL,NWE,,BUF,W 19-17,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,GostSt20
Robbie Gould,K,23.278,2006-09-10,NFL,CHI,@,GNB,W 26-0,1,1,Sun,2,2,100.0,4,4,100.0,,,0,14,gouldrob01
Shayne Graham,K,28.275,2006-09-10,NFL,CIN,@,KAN,W 23-10,1,1,Sun,2,2,100.0,3,3,100.0,,,0,11,grahasha01
Jason Hanson,K,36.085,2006-09-10,NFL,DET,,SEA,L 6-9,1,1,Sun,,,,2,3,66.7,,,0,6,hansojas01
John Kasay,K,36.318,2006-09-10,NFL,CAR,,ATL,L 6-20,1,1,Sun,,,,2,2,100.0,,,0,6,kasayjoh01
Michael Koenen,P,24.059,2006-09-10,NFL,ATL,@,CAR,W 20-6,1,1,Sun,2,2,100.0,2,4,50.0,,,0,8,koenemic01
Rian Lindell,K,29.233,2006-09-10,NFL,BUF,@,NWE,L 17-19,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,linderia01
Joe Nedney,K,33.172,2006-09-10,NFL,SFO,@,ARI,L 27-34,1,1,Sun,3,3,100.0,2,3,66.7,,,0,9,nednejoe01
Mike Nugent,K,24.192,2006-09-10,NFL,NYJ,@,TEN,W 23-16,1,1,Sun,2,3,66.7,1,3,33.3,,,0,5,nugenmik01
Neil Rackers,K,30.025,2006-09-10,NFL,ARI,,SFO,W 34-27,1,1,Sun,4,4,100.0,2,2,100.0,,,0,10,rackenei01
Dave Rayner,K,23.319,2006-09-10,NFL,GNB,,CHI,L 0-26,1,1,Sun,,,,,1,0.0,,,0,0,raynedav01
Josh Scobee,PK,24.079,2006-09-10,NFL,JAX,,DAL,W 24-17,1,1,Sun,3,3,100.0,1,2,50.0,,,0,6,scobejos01
Matt Stover,K,38.226,2006-09-10,NFL,BAL,@,TAM,W 27-0,1,1,Sun,3,3,100.0,2,2,100.0,,,0,9,stovemat01
Shaun Suisham,K,24.255,2006-09-10,NFL,DAL,@,JAX,L 17-24,1,1,Sun,2,2,100.0,1,2,50.0,,,0,5,suishsha01
Lawrence Tynes,K,28.130,2006-09-10,NFL,KAN,,CIN,L 10-23,1,1,Sun,1,1,100.0,1,2,50.0,,,0,4,tyneslaw01
Adam Vinatieri,K,33.256,2006-09-10,NFL,IND,@,NYG,W 26-21,1,1,Sun,2,2,100.0,4,4,100.0,,,0,14,vinatada01
Jeff Wilkins,K,34.144,2006-09-10,NFL,STL,,DEN,W 18-10,1,1,Sun,,,,6,7,85.7,,,0,18,wilkijef01
John Hall,K,32.178,2006-09-11,NFL,WAS,,MIN,L 16-19,1,1,Mon,1,1,100.0,3,4,75.0,,,0,10,hallxjoh01
