Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,unique_id
Dez Bryant,WR,23.306,2012-09-05,NFL,DAL,@,NYG,W 24-17,1,1,Wed,2,0,0.00,0,BryaDe01
Dwayne Harris,WR,24.355,2012-09-05,NFL,DAL,@,NYG,W 24-17,1,1,Wed,1,3,3.00,0,HarrDw00
Domenik Hixon,WR,27.333,2012-09-05,NFL,NYG,,DAL,L 17-24,1,1,Wed,1,5,5.00,0,HixoDo00
Joe Adams,WR,22.292,2012-09-09,NFL,CAR,@,TAM,L 10-16,1,1,Sun,3,28,9.33,0,AdamJo01
Danny Amendola,WR,26.312,2012-09-09,NFL,STL,@,DET,L 23-27,1,1,Sun,1,6,6.00,0,AmenDa00
Javier Arenas,CB,24.317,2012-09-09,NFL,KAN,,ATL,L 24-40,1,1,Sun,1,14,14.00,0,ArenJa99
Brandon Banks,WR,24.263,2012-09-09,NFL,WAS,@,NOR,W 40-32,1,1,Sun,4,34,8.50,0,BankBr00
LaVon Brazill,WR,23.178,2012-09-09,NFL,IND,@,CHI,L 21-41,1,1,Sun,2,12,6.00,0,BrazLa00
Antonio Brown,WR,24.061,2012-09-09,NFL,PIT,@,DEN,L 19-31,1,1,Sun,2,23,11.50,0,BrowAn04
Brandon Browner,RCB,28.038,2012-09-09,NFL,SEA,@,ARI,L 16-20,1,1,Sun,1,-1,-1.00,0,BrowBr00
Randall Cobb,WR,22.018,2012-09-09,NFL,GNB,,SFO,L 22-30,1,1,Sun,3,80,26.67,1,CobbRa00
Josh Cribbs,WR,29.092,2012-09-09,NFL,CLE,,PHI,L 16-17,1,1,Sun,6,78,13.00,0,CribJo01
Julian Edelman,WR,26.110,2012-09-09,NFL,NWE,@,TEN,W 34-13,1,1,Sun,3,27,9.00,0,EdelJu00
Devin Hester,WR,29.310,2012-09-09,NFL,CHI,,IND,W 41-21,1,1,Sun,1,23,23.00,0,HestDe99
Trindon Holliday,WR,26.135,2012-09-09,NFL,HOU,,MIA,W 30-10,1,1,Sun,1,14,14.00,0,HollTr00
Damaris Johnson,WR,22.292,2012-09-09,NFL,PHI,@,CLE,W 17-16,1,1,Sun,1,6,6.00,0,JohnDa04
Maurice Jones-Drew,RB,27.170,2012-09-09,NFL,JAX,@,MIN,L 23-26,1,1,Sun,2,4,2.00,0,DrewMa00
Jeremy Kerley,WR,23.306,2012-09-09,NFL,NYJ,,BUF,W 48-28,1,1,Sun,1,68,68.00,1,KerlJe00
Jim Leonhard,FS,29.318,2012-09-09,NFL,DEN,,PIT,W 31-19,1,1,Sun,2,22,11.00,0,LeonJi23
Stefan Logan,RB,31.099,2012-09-09,NFL,DET,,STL,W 27-23,1,1,Sun,5,53,10.60,0,LogaSt00
Leodis McKelvin,CB,27.008,2012-09-09,NFL,BUF,@,NYJ,L 28-48,1,1,Sun,1,27,27.00,0,McKeLe99
