Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Int Ret,Int Ret Yds,Int Ret TD,Pass Broken Up,unique_id
Ashley Ambrose,RCB,30.357,2001-09-09,,ATL,@,SFO,L 13-16,1,1,Sun,,,,1,AmbrAs00
Rashard Anderson,LCB,24.087,2001-09-09,NFL,CAR,@,MIN,W 24-13,1,1,Sun,1,0,0,1,AndeRa21
Adam Archuleta,SS,23.286,2001-09-09,,STL,@,PHI,W 20-17,1,1,Sun,,,,1,ArchAd20
Jerry Azumah,DB,24.008,2001-09-09,NFL,CHI,@,BAL,L 6-17,1,1,Sun,0,0,0,1,AzumJe00
Champ Bailey*,LCB,23.079,2001-09-09,NFL,WAS,@,SDG,L 3-30,1,1,Sun,1,5,0,1,BailCh00
Aaron Beasley,RCB,28.064,2001-09-09,NFL,JAX,,PIT,W 21-3,1,1,Sun,,,,1,BeasAa20
Tommy Bennett,SS,28.202,2001-09-09,,DET,@,GNB,L 6-28,1,1,Sun,,,,1,BennTo20
Dre' Bly,CB,24.110,2001-09-09,NFL,STL,@,PHI,W 20-17,1,1,Sun,1,1,0,3,BlyxDr00
Vaughn Booker,LDE,33.197,2001-09-09,NFL,CIN,,NWE,W 23-17,1,1,Sun,0,0,0,2,BookVa20
Peter Boulware,LLB,26.265,2001-09-09,NFL,BAL,,CHI,W 17-6,1,1,Sun,0,0,0,2,BoulPe00
Derrick Brooks*,WLB,28.144,2001-09-09,NFL,TAM,@,DAL,W 10-6,1,1,Sun,,,,1,BrooDe00
Fernando Bryant,LCB,24.167,2001-09-09,NFL,JAX,,PIT,W 21-3,1,1,Sun,,,,1,BryaFe20
Shane Burton,DT-D,27.234,2001-09-09,NFL,NYJ,,IND,L 24-45,1,1,Sun,,,,1,BurtSh20
LeRoy Butler,SS,33.052,2001-09-09,NFL,GNB,,DET,W 28-6,1,1,Sun,,,,2,ButlLe00
Keion Carpenter,FS,23.313,2001-09-09,NFL,BUF,,NOR,L 6-24,1,1,Sun,,,,2,CarpKe20
Charlie Clemons,MLB,29.067,2001-09-09,NFL,NOR,@,BUF,W 24-6,1,1,Sun,0,0,0,1,ClemCh22
Marcus Coleman,RCB,27.108,2001-09-09,NFL,NYJ,,IND,L 24-45,1,1,Sun,1,36,0,1,ColeMa20
Terry Cousin,CB,26.182,2001-09-09,NFL,MIA,@,TEN,W 31-23,1,1,Sun,,,,1,CousTe20
Bryan Cox,MLB,33.204,2001-09-09,NFL,NWE,@,CIN,L 17-23,1,1,Sun,,,,1,CoxxBr00
Jason Craft,CB,25.208,2001-09-09,NFL,JAX,,PIT,W 21-3,1,1,Sun,,,,2,CrafJa20
Donovin Darius,SS,26.028,2001-09-09,NFL,JAX,,PIT,W 21-3,1,1,Sun,1,39,0,1,DariDo20
Brian Dawkins*,FS,27.331,2001-09-09,NFL,PHI,,STL,L 17-20,1,1,Sun,,,,3,DawkBr00
Na'il Diggs,SLB,23.063,2001-09-09,NFL,GNB,,DET,W 28-6,1,1,Sun,,,,1,DiggNa20
Gerald Dixon,SLB,32.081,2001-09-09,NFL,SDG,,WAS,W 30-3,1,1,Sun,,,,1,DixoGe20
Anthony Dorsett,FS,27.360,2001-09-09,,OAK,@,KAN,W 27-24,1,1,Sun,,,,1,DorsAn20
Santana Dotson,DT,31.264,2001-09-09,NFL,GNB,,DET,W 28-6,1,1,Sun,,,,1,DotsSa20
Shane Dronett,RDT,30.240,2001-09-09,NFL,ATL,@,SFO,L 13-16,1,1,Sun,1,-6,0,1,DronSh20
Chad Eaton,LDT,29.156,2001-09-09,NFL,SEA,@,CLE,W 9-6,1,1,Sun,,,,1,EatoCh20
Luther Elliss,DT,28.171,2001-09-09,NFL,DET,@,GNB,L 6-28,1,1,Sun,,,,1,ElliLu00
John Engelberger,LDE,24.326,2001-09-09,NFL,SFO,,ATL,W 16-13,1,1,Sun,,,,1,EngeJo20
Mark Fields,WLB,28.304,2001-09-09,,STL,@,PHI,W 20-17,1,1,Sun,,,,2,FielMa99
Arturo Freeman,S,24.317,2001-09-09,NFL,MIA,@,TEN,W 31-23,1,1,Sun,,,,1,FreeAr20
Corey Fuller,LCB,30.131,2001-09-09,NFL,CLE,,SEA,L 6-9,1,1,Sun,,,,3,FullCo20
Darrien Gordon,CB,30.299,2001-09-09,NFL,ATL,@,SFO,L 13-16,1,1,Sun,0,0,0,1,GordDa20
Deon Grant,FS,22.179,2001-09-09,NFL,CAR,@,MIN,W 24-13,1,1,Sun,1,0,0,1,GranDe21
Robert Griffith,SS,30.283,2001-09-09,NFL,MIN,,CAR,L 13-24,1,1,Sun,,,,2,GrifRo00
Travis Hall,LDT,29.037,2001-09-09,,ATL,@,SFO,L 13-16,1,1,Sun,,,,1,HallTr20
Bobby Hamilton,LDE,30.070,2001-09-09,NFL,NWE,@,CIN,L 17-23,1,1,Sun,,,,1,HamiBo20
Kevin Hardy,SLB,28.047,2001-09-09,NFL,JAX,,PIT,W 21-3,1,1,Sun,0,0,0,1,HardKe00
Al Harris,CB,26.276,2001-09-09,NFL,PHI,,STL,L 17-20,1,1,Sun,,,,2,HarrAl21
